cluster_id,Applicable Material,Base,Brand,Built,Capacity,Care Instructions,Category,Collection,Color,Compliance Standards,Construction,Control Type,Country of Origin,Depth,Diameter,Dimensions,Dirt Types,EAN,Energy Efficiency,Expiry,Finish,Freezer Capacity,Height,Length,Manufacturing Standard,Material,Model Number,Model Number Type,Mounting,Packaging Type,Packing Type,Power,Price,Product Type,Room,Scent,Series,Shape,Style,Thickness,UPC,Warranty,Weight,Width
76069,,"['(1) standard oven, (1) cabinet']",,,,,,,['ultimate'],,,,,,,,,,,,['nsf'],,['1075.00 Pound(s)'],,,['battery'],,,,,,,,"['standard grates', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,,"['restaurant', 'oven', 'flue riser with shelf stainless steel', 'front']",,,,,
76283,,,,,,,,,,,,,,,,,,,,,,,,,,['lid fits keepers style'],,,,,,,,,,,,,,,,,,
79324,,"['(1) standard oven, (1) cabinet']",,,,,,,,,,,,,,,,,,,['nsf'],,['1075.00 Pound(s)'],,,['battery'],,,,,,,,"['standard grates', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,['restaurant'],"['burners', 'rear', 'oven', 'flue riser with shelf stainless steel', 'front']",,,,,
80033,,"['flue riser with shelf', '(1) convection oven, (1) cabinet']",,,,,,,['ultimate'],,,,['front'],,,,,,,['22'],"['stainless steel', 'legs', 'nsf']",,['735.00 Pound(s)'],,,['battery'],,,,,,,,"['standard grates', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,,"['restaurant', 'rear', 'oven']",,,,,
83255,,,,,,,,,,['controls no'],,['digital'],,,,,,,['Energy Star'],,,,"['12 x 20', '512.00 Pound(s)']",['11 0kw'],,,,,,,,,,"['not voided', 'star includes']",,,,,['deep pans each compartment digital'],,,,,
86141,,"['(1) standard oven, (1) convection oven']",,,,,,,['ultimate'],,,,,,,,,,,,['nsf'],['60 4 star saut burners'],['1075.00 Pound(s)'],,,"['battery', 'battery']",,,,,,,,"['standard grates', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,,"['restaurant', 'oven', 'oven', 'flue riser with shelf stainless steel', 'front']",,,,,
86513,,"['convection ovens', '(2) convection ovens']",,,,,,,['per oven'],,,,['front'],,,,,,,,['nsf'],['22 1 2'],['1075.00 Pound(s)'],,,"['battery', 'stainless steel']",,,,,,,,"['burners', 'shelf 6']",,"['1 raised griddle broiler standing pilot', 'backriser with hi-shelf']",,,"['ultimate', 'restaurant']",,,,,
89505,,"['left thermostatic', '(1) standard oven, (1) cabinet']",['s series restaurant'],,,,,,,,,,['front'],,,,,,,,['nsf'],,['860.00 Pound(s)'],['4 front'],,['stainless steel'],,,,,,,,"['open burners', 'removable shelf']",,['backriser with hi-shelf'],,['valve panel includes'],['oven'],,,,,
94089,,,,,,,,,['blue'],,,,,,,,,,,,['nsf'],,,,,,,,,,,,,,,,,,,,,,,
94549,,['(1) standard oven'],,,,,['nsf'],,,,,,,,,,,,,,,,['570.00 Pound(s)'],,,"['manual', 'stainless steel front']",,,,,,,,"['heavy duty', 'open burners', '2 racks']",,"['front 1 16', 'backriser']",,,"['hot top', 'rear', 'oven']",,,,,
94807,,['(1) standard oven'],,,,,,,,,,,,,,,,,,,,,['650.00 Pound(s)'],,,['oven'],,,,,,,,"['heavy duty', 'lining 6', 'sanitiation']",,,,,"['oven', 'includes 1 rack']",,,,,
97302,,['legs'],,,,,['27 legs adjustable'],,['convection oven'],,,['programmable'],,,,,,,,,['solid state 200 500 f cook hold pulse fan 2 sp fan'],,['505.00 Pound(s)'],,,['stainless steel'],,,,,,,,['independent doors'],,,,,"['deep depth with', 'floor model']",,,,,
97930,,['legs with boxed crossrails'],,,,['stainless steel'],,,['regaline sink 2'],"['12 deep with 8', 'h backsplash stainless steel']",,,,,,,,,,,,,"['195.00 Pound(s)', '8""']",,,,,,,,,,,"['open frame', 'gauge']",,"['28 front to', '304 series stainless steel overall']",,,['compartment with left hand drainboard'],,['nsf'],,['35 f'],
101661,,,['deli case refrigerated'],,"['36 f', '42 f', '2hp 115v', '60 1', '1']",,['fluorescent light'],,['cetlus etl sanitation'],,,,,,,,,,,,,,['843.00 Pound(s)'],,,['stainless steel'],,,,,,,,['floor air flow grille rear'],,,,['lamp'],"['rear doors', 'shelf shielded top']",,,,,"['91"" - 96""']"
106493,,"['flue riser with shelf', '(1) convection oven, (1) cabinet']",,,,,,,,,,,['front'],,,,,,,['22'],"['stainless steel', 'nsf']",,['1075.00 Pound(s)'],,,"['saut burners', 'battery']",,,,,,,,"['burners rear', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,,"['ultimate', 'restaurant', 'oven']",,,,,['60 3']
108912,,"['(1) standard oven, (1) convection oven']",,,,,,,['ultimate'],,,,,,,,,,,,['nsf'],,['1075.00 Pound(s)'],,,"['battery', 'battery']",,,,,,,,"['standard grates', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,,"['restaurant', 'oven', 'oven', 'flue riser with shelf stainless steel', 'front']",,,,,
112810,,['legs with boxed crossrails'],,,['18 gauge'],['stainless steel'],,,['regaline sink 2'],,,,,,,,,,,,,,"['176.00 Pound(s)', '8""']",,,,,,,,,,,['open frame'],,"['28 front to', '304 series stainless steel']",,,"['compartment with left hand drainboard', 'deep with']",,['nsf'],,['35 f'],
114148,,"['flue riser with shelf', '(1) convection oven, (1) cabinet']",['ultimate'],,,,['front'],,,,,,['front'],,,,,,,['22'],"['stainless steel', 'nsf']",,['1075.00 Pound(s)'],,,['battery'],,,,,,,,"['burners rear', 'shelf 6 adjustable']",,"['left 4 star saut burners', 'backriser with hi-shelf']",,,"['restaurant', 'oven']",,,,,
115055,,['legs with boxed crossrails'],,,['125 l'],['stainless steel'],,,,,,,,,,,,,,,['nsf'],['12'],"['375.00 Pound(s)', '8""']",,,,,,,,,,,"['open frame', 'gauge']",,['304 series stainless steel'],,,"['compartment with left right hand drainboards', 'back', 'deep with']",,,,,
115628,,"['(1) standard oven, (1) convection oven']",,,,,,,['ultimate'],,,,,,,,,,,,"['legs', 'nsf']",,['1075.00 Pound(s)'],,,"['battery', 'battery']",,,,,,,,"['standard grates', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,,"['restaurant', 'oven', 'oven', 'flue riser with shelf stainless steel', 'front']",,,,,
116696,,"['(1) standard oven, (1) convection oven']",,,,,,,,,,,,,,,,,,,['nsf'],,['1075.00 Pound(s)'],,,"['saut burners', 'battery', 'battery']",,,,,,,,"['burners rear', 'shelf 6 adjustable']",,"['left standing pilot 1 standard', 'backriser with hi-shelf']",,,"['ultimate', 'restaurant', 'oven', 'oven', 'flue riser with shelf stainless steel', 'front']",,,,,['60 3']
120674,,,,,"['off 100', '450 f']",,,,,,,,,,,,,,,,['nsf'],,,,,,,,,,,,,"['pan with', 'legs with front']",,['control housing for thermostatic control'],,,"['assist hinged cover', 'rear', 'flanged feet', 'csa star csa flame']",,,,,
120767,,['legs with side crossrails'],,,,['stainless steel'],['27 f b x 62 l r'],,['regaline sink 1'],['12 deep with 8 h backsplash stainless steel'],,,,,,,,,,,['gauge 304 series stainless steel'],,"['110.00 Pound(s)', '8""']",['20 front'],,,,,,,,,,['open frame'],,,,,['compartment with left hand drainboard'],,,,,
120950,['front'],,['undercounter refrigerator'],,,,,,['reduced height two'],,,,,,,,,,,,,,['398.00 Pound(s)'],,,"['stainless steel', 'front breathing rear mounted']",,,,,,,,,,,,,"['top', 'refrigeration system', 'flat top, stainless steel', 'drawers']",,,,,
123535,,"['(1) standard oven, (1) cabinet']",,,,,,,,,,,,,,,,,,,['nsf'],,['1075.00 Pound(s)'],,,['battery'],,,,,,,,"['standard grates', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,,"['ultimate', 'restaurant', 'burners', 'rear', 'oven', 'flue riser with shelf stainless steel', 'front']",,,,,
124945,,['(2) standard / space saver ovens'],['ultimate'],,,,,,['oven'],,,,,,,,,,,,['nsf'],,['735.00 Pound(s)'],,,,,,,,,,,['burners rear'],,"['front left', 'left 1 star saut', 'backriser with hi-shelf']",,,"['restaurant', 'burners']",,,,,
125568,,"['flue riser with shelf', '(1) convection oven, (1) cabinet']",,,,,,,['ultimate'],,,,['front'],,,,,,,['22'],"['stainless steel', 'nsf']",,['1075.00 Pound(s)'],,,['battery'],,,,,,,,"['standard grates', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,,"['restaurant', 'rear', 'oven']",,,,,
129820,,"['convection ovens', '(2) convection ovens']",,,,,['front'],,"['ultimate', 'per oven']",,,,['front'],,,,,,,,['nsf'],['22 1 2'],['1075.00 Pound(s)'],,,"['pyromax burners', 'battery', 'stainless steel']",,,,,,,,"['rear', 'shelf 6 adjustable']",,['backriser with hi-shelf'],,,['restaurant'],,,,,
130500,,"['convection ovens', '(2) convection ovens']",,,['48 griddle'],,,,"['ultimate', 'per oven']",,,,['front'],,,,,,,,['nsf'],['22 1 2'],['1075.00 Pound(s)'],,,"['left thermostatic', 'battery', 'stainless steel']",,,,,,,,"['standard grates', 'shelf 6']",,['backriser with hi-shelf'],,,"['restaurant', 'rear']",,,,,
