dnb_id,dnb_uri,dnb_birthdate,dnb_deathdate,dnb_gender,dnb_name,dnb_work
dnb_27,http://d-nb.info/gnd/123453658,1934-08-16,2011-03-26,notKnown,"Jones, Diana Wynne",
dnb_28,http://d-nb.info/gnd/124788297,1904-01-01,1977-01-01,notKnown,"Hamilton, Edmond",
dnb_29,http://d-nb.info/gnd/118512102,1896-01-01,1974-01-01,notKnown,"Blunden, Edmund",
dnb_30,http://d-nb.info/gnd/118683284,1885-08-15,1968-04-16,female,"Ferber, Edna",
dnb_31,http://d-nb.info/gnd/118501380,1928-03-12,2016-09-16,male,"Albee, Edward",
dnb_32,http://d-nb.info/gnd/118622161,1878-01-01,1917-01-01,male,"Thomas, Edward",
dnb_33,http://d-nb.info/gnd/118689649,1810-01-01,1865-01-01,female,"Gaskell, Elizabeth Cleghorn",
dnb_34,http://d-nb.info/gnd/118596039,1885-01-01,1972-01-01,male,"Pound, Ezra",
dnb_35,http://d-nb.info/gnd/119357453,1895-02-06,1978-04-20,male,"Peroutka, Ferdinand",
dnb_36,http://d-nb.info/gnd/118639064,1873-01-01,1939-01-01,notKnown,"Ford, Ford Madox",
dnb_37,http://d-nb.info/gnd/118638106,1752-06-13,1840-01-06,female,"Burney, Fanny",
dnb_38,http://d-nb.info/gnd/118627066,1431-01-01,1464-01-01,male,"Villon, François",
dnb_39,http://d-nb.info/gnd/119251787,1906-10-29,1972-11-03,male,"Brown, Fredric",
dnb_40,http://d-nb.info/gnd/119375168,1947-01-10,2002-04-27,male,"Effinger, George Alec",
dnb_41,http://d-nb.info/gnd/118531980,1677-01-01,1707-01-01,male,"Farquhar, George",
dnb_42,http://d-nb.info/gnd/118903004,1936-03-07,1982-03-03,male,"Perec, Georges",
dnb_43,http://d-nb.info/gnd/118717618,1147-01-01,1223-01-01,male,"Gerardus, Cambrensis",
dnb_44,http://d-nb.info/gnd/115717110,1933-03-13,2009-12-24,male,"Wilpert, Gero von",
dnb_45,http://d-nb.info/gnd/122684524,1951-01-01,,male,"Bear, Greg",
dnb_46,http://d-nb.info/gnd/121630862,1941-01-01,,male,"Benford, Gregory",
dnb_47,http://d-nb.info/gnd/118050982,1954-01-01,,notKnown,"Kay, Guy Gavriel",
dnb_48,http://d-nb.info/gnd/133034925,1887-01-13,1917-07-31,notKnown,Hedd Wyn,
dnb_49,http://d-nb.info/gnd/118506358,1799-05-20,1850-08-19,male,"Balzac, Honoré de",
dnb_50,http://d-nb.info/gnd/119110741,1886-01-14,1947-09-26,male,"Lofting, Hugh",
dnb_51,http://d-nb.info/gnd/115629394,1958-09-27,,male,"Welsh, Irvine",
dnb_52,http://d-nb.info/gnd/118574183,1876-01-12,1916-11-22,male,"London, Jack",
dnb_53,http://d-nb.info/gnd/13013015X,1935-01-01,,notKnown,"McDevitt, Jack",
dnb_54,http://d-nb.info/gnd/119185121,1941-01-01,,notKnown,"Masson, Jeffrey Moussaieff",
dnb_55,http://d-nb.info/gnd/118542729,1933-08-13,1999-01-14,male,"Grotowski, Jerzy",
dnb_56,http://d-nb.info/gnd/118610473,1766-07-03,1838-04-17,female,"Schopenhauer, Johanna",
dnb_57,http://d-nb.info/gnd/122880765,1938-01-17,1991-03-08,male,"Bellairs, John",
dnb_58,http://d-nb.info/gnd/118517473,1628-01-01,1688-01-01,male,"Bunyan, John",
dnb_59,http://d-nb.info/gnd/118689371,1867-08-14,1933-01-31,male,"Galsworthy, John",
dnb_60,http://d-nb.info/gnd/172999421,1947-01-01,2018-01-01,male,"Barlow, John Perry",
dnb_61,http://d-nb.info/gnd/118964038,1922-11-16,2010-06-18,male,"Saramago, José",
dnb_62,http://d-nb.info/gnd/118808567,1817-01-01,1893-01-01,male,"Zorrilla, José",
dnb_63,http://d-nb.info/gnd/118668250,1890-01-09,1938-12-25,male,"Čapek, Karel",
dnb_64,http://d-nb.info/gnd/118885820,1851-01-01,1904-01-01,female,"Chopin, Kate",
dnb_65,http://d-nb.info/gnd/120546647,1962-01-01,,male,"Anderson, Kevin J.",
dnb_66,http://d-nb.info/gnd/124269087,1907-11-27,2000-11-06,male,"De Camp, L. Sprague",
dnb_67,http://d-nb.info/gnd/122549074,1911-05-29,1970-01-15,notKnown,"Goldberg, Leʾah",
dnb_68,http://d-nb.info/gnd/119209977,1915-12-07,1978-03-18,female,"Brackett, Leigh",
dnb_69,http://d-nb.info/gnd/119210347,1924-01-30,2007-05-17,male,"Alexander, Lloyd",
dnb_70,http://d-nb.info/gnd/118845144,1931-01-01,,notKnown,"DeMause, Lloyd",
dnb_71,http://d-nb.info/gnd/118696734,1713-04-11,1762-06-26,female,"Gottsched, Luise Adelgunde Victorie",
dnb_72,http://d-nb.info/gnd/107959879,1945-01-01,,notKnown,"Harrison, Michael John",
dnb_73,http://d-nb.info/gnd/123511399,1862-08-01,1936-06-12,male,"James, M. R.",
dnb_74,http://d-nb.info/gnd/118681648,1767-01-01,1849-05-22,female,"Edgeworth, Maria",
dnb_75,http://d-nb.info/gnd/119222159,1930-01-01,1999-01-01,notKnown,"Bradley, Marion Zimmer",
dnb_76,http://d-nb.info/gnd/138521336,1917-01-01,1995-01-01,notKnown,"Kranzberg, Melvin",
dnb_77,http://d-nb.info/gnd/114001464,1950-06-24,,female,"Lackey, Mercedes",
dnb_78,http://d-nb.info/gnd/118644041,1509-01-01,1557-04-09,male,"Agricola, Mikael",
dnb_79,http://d-nb.info/gnd/118568043,1929-04-01,,male,"Kundera, Milan",
dnb_80,http://d-nb.info/gnd/11858331X,1622-01-15,1673-02-17,male,Molière,
dnb_81,http://d-nb.info/gnd/1020268409,1896-01-01,1975-01-01,male,"Leinster, Murray",
dnb_82,http://d-nb.info/gnd/118639536,1862-09-11,1910-06-05,male,"Henry, O.",
dnb_83,http://d-nb.info/gnd/118696211,1728-11-10,1774-04-04,male,"Goldsmith, Oliver",
dnb_84,http://d-nb.info/gnd/118590995,-0043,0017-01-01,male,"Ovidius Naso, Publius",
dnb_85,http://d-nb.info/gnd/118981501,1909-11-10,1970-08-19,male,"Jasienica, Paweł",
dnb_86,http://d-nb.info/gnd/118767593,1753-01-01,1784-01-01,female,"Wheatley, Phillis",
dnb_87,http://d-nb.info/gnd/109810007,1914-11-07,2002-03-18,male,"Lafferty, Raphael Aloysius",
dnb_88,http://d-nb.info/gnd/11853002X,1914-03-01,1994-04-16,notKnown,"Ellison, Ralph",
dnb_89,http://d-nb.info/gnd/118597302,1903-02-21,1976-10-25,male,"Queneau, Raymond",
dnb_90,http://d-nb.info/gnd/118635344,1908-01-01,1960-01-01,notKnown,"Wright, Richard",
dnb_91,http://d-nb.info/gnd/118630962,1916-09-13,1990-11-21,male,"Dahl, Roald",
dnb_92,http://d-nb.info/gnd/108990168,1946-06-28,2008-05-22,notKnown,"Asprin, Robert",
dnb_93,http://d-nb.info/gnd/118639331,1895-07-24,1985-12-07,male,"Graves, Robert",
dnb_94,http://d-nb.info/gnd/119171449,1927-05-25,2001-03-12,male,"Ludlum, Robert",
dnb_95,http://d-nb.info/gnd/132272741,1942-06-18,2013-04-04,male,"Ebert, Roger",
dnb_96,http://d-nb.info/gnd/119204428,1937-01-01,1995-01-01,notKnown,"Zelazny, Roger",
dnb_97,http://d-nb.info/gnd/118641239,1870-12-18,1916-11-13,male,Saki,
dnb_98,http://d-nb.info/gnd/118873520,1947-06-19,,male,"Rushdie, Salman",
dnb_99,http://d-nb.info/gnd/118558161,1709-09-18,1784-12-13,male,"Johnson, Samuel",
dnb_100,http://d-nb.info/gnd/118508725,1915-06-10,2005-04-05,notKnown,"Bellow, Saul",
dnb_101,http://d-nb.info/gnd/118547410,1939-04-13,2013-08-30,male,"Heaney, Seamus",
dnb_102,http://d-nb.info/gnd/118501038,1888-01-01,1970-01-01,male,"ʿAgnon, Shemuʾel Yosef",
dnb_103,http://d-nb.info/gnd/118642243,1886-01-01,1967-01-01,male,"Sassoon, Siegfried",
dnb_104,http://d-nb.info/gnd/11880314X,1882-05-20,1949-06-10,female,"Undset, Sigrid",
dnb_105,http://d-nb.info/gnd/118572490,1885-05-07,1951-01-10,male,"Lewis, Sinclair",
dnb_106,http://d-nb.info/gnd/120858568,1942-01-01,,male,"Rice, Stan",
dnb_107,http://d-nb.info/gnd/118529951,1930-01-01,1995-01-01,male,"Elkin, Stanley",
dnb_108,http://d-nb.info/gnd/119337266,1947-01-01,,male,"Benni, Stefano",
dnb_109,http://d-nb.info/gnd/124280927,1957-01-01,,notKnown,"Baxter, Stephen",
dnb_110,http://d-nb.info/gnd/118522620,1871-11-01,1900-06-05,male,"Crane, Stephen",
dnb_111,http://d-nb.info/gnd/123689015,1955-01-01,,male,"Brust, Steven",
dnb_112,http://d-nb.info/gnd/119006081,1902-01-01,1971-01-01,female,"Smith, Stevie",
dnb_113,http://d-nb.info/gnd/118576771,1842-01-01,1898-01-01,male,"Mallarmé, Stéphane",
dnb_114,http://d-nb.info/gnd/118619918,0070-01-01,0150-01-01,male,"Suetonius Tranquillus, Gaius",
dnb_115,http://d-nb.info/gnd/107683733,1839-03-16,1907-09-07,male,"Prudhomme, Sully",
dnb_116,http://d-nb.info/gnd/118841386,,,notKnown,"Sun, Wu",
dnb_117,http://d-nb.info/gnd/120249677,1935-05-23,,female,"Cooper, Susan",
dnb_118,http://d-nb.info/gnd/118594877,1932-10-27,1963-02-11,female,"Plath, Sylvia",
dnb_119,http://d-nb.info/gnd/118632159,1906-05-29,1964-01-17,male,"White, Terence H.",
dnb_120,http://d-nb.info/gnd/110658019,1949-01-01,,notKnown,"King, Tabitha",
dnb_121,http://d-nb.info/gnd/11855459X,1930-08-17,1998-10-28,male,"Hughes, Ted",
dnb_122,http://d-nb.info/gnd/120191806,1944-01-01,,notKnown,"Brooks, Terry",
dnb_123,http://d-nb.info/gnd/119252880,1948-04-28,2015-03-12,male,"Pratchett, Terry",
dnb_124,http://d-nb.info/gnd/118799282,1918-02-16,1985-05-08,notKnown,"Sturgeon, Theodore",
dnb_125,http://d-nb.info/gnd/118697277,1716-01-01,1771-01-01,male,"Gray, Thomas",
dnb_126,http://d-nb.info/gnd/118545930,1840-06-02,1928-01-11,male,"Hardy, Thomas",
dnb_127,http://d-nb.info/gnd/118577166,1875-06-06,1955-08-12,male,"Mann, Thomas",
dnb_128,http://d-nb.info/gnd/118632817,1897-04-17,1975-12-07,male,"Wilder, Thornton",
dnb_129,http://d-nb.info/gnd/11853789X,1811-08-30,1872-10-23,male,"Gautier, Théophile",
dnb_130,http://d-nb.info/gnd/128678283,1952-01-01,,notKnown,"Powers, Tim",
dnb_131,http://d-nb.info/gnd/119419610,1947-04-12,2013-10-01,male,"Clancy, Tom",
dnb_132,http://d-nb.info/gnd/118618695,1937-07-03,,male,"Stoppard, Tom",
dnb_133,http://d-nb.info/gnd/118911627,1931-01-01,,notKnown,"Morrison, Toni",
dnb_134,http://d-nb.info/gnd/115745351,1942-01-01,,male,"Buzan, Tony",
dnb_135,http://d-nb.info/gnd/118620916,1544-03-11,1595-04-25,male,"Tasso, Torquato",
dnb_136,http://d-nb.info/gnd/118920316,1914-08-09,2001-06-27,female,"Jansson, Tove",
dnb_137,http://d-nb.info/gnd/118624938,1896-04-04,1963-12-24,male,"Tzara, Tristan",
dnb_138,http://d-nb.info/gnd/118923382,1929-10-21,2018-01-22,female,"Le Guin, Ursula K.",
dnb_139,http://d-nb.info/gnd/119500655,1936-04-09,1988-04-26,notKnown,"Solanas, Valerie",
dnb_140,http://d-nb.info/gnd/124820662,1944-01-01,,notKnown,"Vinge, Vernor",
dnb_141,http://d-nb.info/gnd/118911023,1546-01-01,1591-01-01,male,"Franco, Veronica",
dnb_142,http://d-nb.info/gnd/118644572,1898-04-26,1984-12-14,male,"Aleixandre, Vicente",
dnb_143,http://d-nb.info/gnd/118554654,1802-02-26,1885-05-22,male,"Hugo, Victor",
dnb_144,http://d-nb.info/gnd/118626574,-0070,-0019,male,"Vergilius Maro, Publius",
dnb_145,http://d-nb.info/gnd/118635174,1882-01-25,1941-03-28,female,"Woolf, Virginia",
dnb_146,http://d-nb.info/gnd/118586114,1899-04-23,1970-07-02,male,"Nabokov, Vladimir",
dnb_147,http://d-nb.info/gnd/118627813,1694-11-21,1778-05-30,male,Voltaire,
dnb_148,http://d-nb.info/gnd/118912135,1916-04-28,1990-05-10,notKnown,"Percy, Walker",
dnb_149,http://d-nb.info/gnd/118807153,1819-05-31,1892-03-26,male,"Whitman, Walt",
dnb_150,http://d-nb.info/gnd/118641859,1552-01-01,1618-01-01,male,"Raleigh, Walter",
dnb_151,http://d-nb.info/gnd/118787454,1893-03-18,1918-11-04,male,"Owen, Wilfred",
dnb_152,http://d-nb.info/gnd/118517880,1832-04-15,1908-01-09,male,"Busch, Wilhelm",
dnb_153,http://d-nb.info/gnd/118542265,1786-02-24,1859-12-16,male,"Grimm, Wilhelm",
dnb_154,http://d-nb.info/gnd/118511513,1757-11-28,1827-08-12,male,"Blake, William",
dnb_155,http://d-nb.info/gnd/11877199X,1883-01-01,1963-01-01,notKnown,"Williams, William Carlos",
dnb_156,http://d-nb.info/gnd/118521802,1670-01-01,1729-01-01,male,"Congreve, William",
dnb_157,http://d-nb.info/gnd/11894939X,1928-01-01,,notKnown,"Nolan, William F.",
dnb_158,http://d-nb.info/gnd/118532081,1897-09-25,1962-07-06,male,"Faulkner, William",
dnb_159,http://d-nb.info/gnd/122148010,1948-03-17,,notKnown,"Gibson, William",
dnb_160,http://d-nb.info/gnd/118696165,1911-09-19,1993-06-19,male,"Golding, William",
dnb_161,http://d-nb.info/gnd/12442290X,1931-08-12,,male,"Goldman, William",
dnb_162,http://d-nb.info/gnd/118621483,1811-07-16,1863-12-24,male,"Thackeray, William Makepeace",
dnb_163,http://d-nb.info/gnd/118517805,1914-02-05,1997-08-02,male,"Burroughs, William S.",
dnb_164,http://d-nb.info/gnd/118605569,1908-08-31,1981-05-18,male,"Saroyan, William",
dnb_165,http://d-nb.info/gnd/118635212,1770-04-07,1850-04-23,male,"Wordsworth, William",
dnb_166,http://d-nb.info/gnd/119449048,1923-07-02,2012-02-01,female,"Szymborska, Wisława",
dnb_167,http://d-nb.info/gnd/118540645,1904-08-04,1969-07-25,male,"Gombrowicz, Witold",
dnb_168,http://d-nb.info/gnd/118615807,1934-07-13,,notKnown,"Soyinka, Wole",
dnb_169,http://d-nb.info/gnd/11878854X,1867-05-07,1925-12-05,male,"Reymont, Władysław Stanisław",
dnb_170,http://d-nb.info/gnd/118635808,-0430,-0355,male,Xenophon,
dnb_171,http://d-nb.info/gnd/118605259,1884-01-01,1937-01-01,male,"Zamjatin, Evgenij Ivanovič",
dnb_172,http://d-nb.info/gnd/119241269,1818-01-14,1898-03-12,male,"Topelius, Zacharias",
dnb_173,http://d-nb.info/gnd/11904949X,1891-01-01,1960-01-01,female,"Hurston, Zora Neale",
dnb_174,http://d-nb.info/gnd/118637223,1840-04-02,1902-09-28,male,"Zola, Émile",
dnb_175,http://d-nb.info/gnd/130545155,1837-01-01,1926-01-01,notKnown,"Machar, Agnes Maule",
dnb_176,http://d-nb.info/gnd/11880426X,1741-01-01,1816-01-01,notKnown,"Verri, Alessandro",
dnb_177,http://d-nb.info/gnd/1031900519,1906-05-23,1995-04-13,male,"Scott, Allan",
dnb_178,http://d-nb.info/gnd/119264439,1858-01-01,1922-01-01,notKnown,"Raman Pillai, C. V.",
dnb_179,http://d-nb.info/gnd/1018595686,,,notKnown,"Kessler, David",
dnb_180,http://d-nb.info/gnd/1062973712,1979-01-01,,female,"Mandel, Emily St. John",
dnb_181,http://d-nb.info/gnd/114037299,1957-01-01,,male,"Steinmetz, George",
dnb_182,http://d-nb.info/gnd/132678802,1971-01-01,,female,"Flynn, Gillian",
dnb_183,http://d-nb.info/gnd/119293684,1938-05-29,,male,"Karnad, Girish Raghunath",
dnb_184,http://d-nb.info/gnd/124684378,1956-01-01,,notKnown,"Galloway, Janice",
dnb_185,http://d-nb.info/gnd/100371310,1741-01-01,1806-01-01,notKnown,"Lolme, Jean Louis de",
dnb_186,http://d-nb.info/gnd/118781022,1864-02-29,1942-03-17,male,"Machar, Josef Svatopluk",
dnb_187,http://d-nb.info/gnd/118944428,1890-01-01,1954-01-01,male,"Kishida, Kunio",
dnb_188,http://d-nb.info/gnd/138885702,1927-01-01,2008-01-01,male,"Ogawa, Kunio",
dnb_189,http://d-nb.info/gnd/1022634445,1940-01-01,,notKnown,"Sacadeva, Padmā",
dnb_190,http://d-nb.info/gnd/1022828789,,,notKnown,"Khanna, Parag",
dnb_191,http://d-nb.info/gnd/118589334,1898-05-23,1989-10-16,male,"O'Dell, Scott",
dnb_192,http://d-nb.info/gnd/118547607,1865-02-19,1952-11-26,male,"Hedin, Sven Anders",
dnb_193,http://d-nb.info/gnd/124928048,1961-01-01,,male,"Regener, Sven",
dnb_194,http://d-nb.info/gnd/1054557985,1973-01-01,,male,"Taylor, Thomas",
dnb_195,http://d-nb.info/gnd/119015072,1923-10-06,2015-02-28,male,Yaşar Kemal,
dnb_196,http://d-nb.info/gnd/118962876,1891-01-01,1938-01-01,male,"Polivanov, Evgenij Dmitrievič",
dnb_197,http://d-nb.info/gnd/119083264,1931-01-01,,notKnown,"Kennedy, Adrienne",
dnb_198,http://d-nb.info/gnd/128832304,1959-01-01,,notKnown,Alai,
dnb_199,http://d-nb.info/gnd/11903817X,1910-01-01,1983-01-01,notKnown,"Moorehead, Alan",
dnb_200,http://d-nb.info/gnd/12878945X,1872-01-01,1945-01-01,notKnown,"Nock, Albert Jay",
dnb_201,http://d-nb.info/gnd/142371556,1915-03-11,1992-04-01,male,"Carrión, Alejandro",
dnb_202,http://d-nb.info/gnd/141884347,1966-01-01,,notKnown,"Flinn, Alex",
dnb_203,http://d-nb.info/gnd/116941359,1851-01-15,1934-09-26,male,"Moszkowski, Alexander",
dnb_204,http://d-nb.info/gnd/118743481,1749-08-31,1802-09-24,male,"Radiščev, Aleksandr N.",
dnb_205,http://d-nb.info/gnd/118557548,1851-01-01,1930-01-01,notKnown,"Jirásek, Alois",
dnb_206,http://d-nb.info/gnd/11878594X,1870-01-01,1919-01-01,notKnown,"Nervo, Amado",
dnb_207,http://d-nb.info/gnd/115806040,1959-01-01,,male,"Mand, Andreas",
dnb_208,http://d-nb.info/gnd/13232394X,1952-01-01,,male,"Motion, Andrew",
dnb_209,http://d-nb.info/gnd/118888781,1937-06-24,,female,"Desai, Anita",
dnb_210,http://d-nb.info/gnd/123575087,1916-08-22,2007-10-18,male,"Michaelis, Anthony R.",
dnb_211,http://d-nb.info/gnd/118684094,1842-01-01,1911-01-01,male,"Fogazzaro, Antonio",
dnb_212,http://d-nb.info/gnd/132909243,1931-05-30,,notKnown,"Gamoneda, Antonio",
dnb_213,http://d-nb.info/gnd/119022060,1943-09-23,2012-03-25,male,"Tabucchi, Antonio",
dnb_214,http://d-nb.info/gnd/128371161,1950-01-01,,female,"Huffington, Arianna Stassinopoulos",
dnb_215,http://d-nb.info/gnd/118850067,1828-04-27,1891-03-23,male,"Becker, August",
dnb_216,http://d-nb.info/gnd/118668757,1825-01-01,1890-01-01,notKnown,"Castelo Branco, Camilo",
dnb_217,http://d-nb.info/gnd/123749115,1944-01-01,,notKnown,"Vergara, Camilo José",
dnb_218,http://d-nb.info/gnd/124102646,1950-01-01,,male,"Frazier, Charles",
dnb_219,http://d-nb.info/gnd/172277760,1889-01-01,1930-01-01,notKnown,"Scott Moncrieff, Charles K.",
dnb_220,http://d-nb.info/gnd/112054277,1950-07-19,,male,"Nicholl, Charles",
dnb_221,http://d-nb.info/gnd/12251081X,1926-06-10,2015-11-29,male,"Middleton, Christopher",
dnb_222,http://d-nb.info/gnd/132349345,1965-01-01,2009-01-01,notKnown,"Nolan, Christopher",
dnb_223,http://d-nb.info/gnd/118791435,1915-01-01,1997-01-01,male,"Roy, Claude",
dnb_224,http://d-nb.info/gnd/109050444,1951-05-01,,male,"McNaughton, Colin",
dnb_225,http://d-nb.info/gnd/120041952,1955-05-30,,notKnown,"Tóibín, Colm",
dnb_226,http://d-nb.info/gnd/121859606,1969-01-01,,male,"Whitehead, Colson",
dnb_227,http://d-nb.info/gnd/133249980,1970-03-12,,male,"Eggers, Dave",
dnb_228,http://d-nb.info/gnd/119201178,1947-06-05,,male,"Hare, David",
dnb_229,http://d-nb.info/gnd/101226306,1835-01-01,1913-01-01,notKnown,"Alcock, Deborah",
dnb_230,http://d-nb.info/gnd/172031796,1954-01-01,,notKnown,"Margulies, Donald",
dnb_231,http://d-nb.info/gnd/119469596,1923-01-01,2001-01-01,notKnown,"Dunnett, Dorothy",
dnb_232,http://d-nb.info/gnd/122717473,1955-01-01,,notKnown,"Kennedy, Douglas",
dnb_233,http://d-nb.info/gnd/1055098976,1856-02-05,1947-02-12,notKnown,"Sladen, Douglas Brooke Wheelton",
dnb_234,http://d-nb.info/gnd/173691803,1970-01-01,,notKnown,"Umar, Ebru",
dnb_235,http://d-nb.info/gnd/119042673,1940-09-03,2015-04-13,male,"Galeano, Eduardo",
dnb_236,http://d-nb.info/gnd/119535467,1960-01-01,,female,"Hoppe, Felicitas",
dnb_237,http://d-nb.info/gnd/119255901,1521-01-01,1583-01-01,notKnown,"Sansovino, Francesco",
dnb_238,http://d-nb.info/gnd/1055122591,1859-01-01,1939-01-01,male,"Goodnow, Frank J.",
dnb_239,http://d-nb.info/gnd/11921086X,1953-07-29,,notKnown,"McGuinness, Frank",
dnb_240,http://d-nb.info/gnd/1057562823,1923-01-01,,notKnown,"Zimmerman, Franklin B.",
dnb_241,http://d-nb.info/gnd/1041304919,1879-07-01,1957-04-11,male,"Crofts, Freeman Wills",
dnb_242,http://d-nb.info/gnd/118734180,1830-01-01,1914-01-01,male,"Mistral, Frédéric",
dnb_243,http://d-nb.info/gnd/119287277,1832-12-08,1902-01-01,notKnown,"Henty, George A.",
dnb_244,http://d-nb.info/gnd/119257513,1914-01-01,1969-01-01,notKnown,"Maxwell, Gavin",
dnb_245,http://d-nb.info/gnd/118514326,1842-02-04,1927-02-19,male,"Brandes, Georg",
dnb_246,http://d-nb.info/gnd/130572306,1869-01-01,1902-01-01,male,"Brown, George Douglas",
dnb_247,http://d-nb.info/gnd/118125060,1871-01-01,1952-01-01,notKnown,"Winship, George Parker",
dnb_248,http://d-nb.info/gnd/1055677623,1818-01-01,1859-01-01,male,"Wilson, George",
dnb_249,http://d-nb.info/gnd/101775849,,,,"Engelbrecht, Helmuth C.",
dnb_250,http://d-nb.info/gnd/11650787X,1872-01-31,1953-04-24,female,"Christaller, Helene",
dnb_251,http://d-nb.info/gnd/118582089,1899-05-24,1984-10-19,notKnown,"Michaux, Henri",
dnb_252,http://d-nb.info/gnd/138742081,1950-11-29,,notKnown,"Levy, Ian Hideo",
dnb_253,http://d-nb.info/gnd/1028870426,1902-01-01,1967-01-01,notKnown,"Yoshino, Hideo",
dnb_254,http://d-nb.info/gnd/121227960,1907-01-01,,notKnown,"Browne, Howard",
dnb_255,http://d-nb.info/gnd/110418799X,1955-03-05,,notKnown,"Sebag-Montefiore, Hugh",
dnb_256,http://d-nb.info/gnd/117416746,1905-11-27,1985-02-09,male,"Trevelyan, Humphrey",
dnb_257,http://d-nb.info/gnd/119226138,1914-06-05,2001-10-07,notKnown,"Vogel, Ilse Margret",
dnb_258,http://d-nb.info/gnd/118501232,1921-11-01,2016-11-11,female,"Aichinger, Ilse",
dnb_259,http://d-nb.info/gnd/118675656,1740-01-01,1805-01-01,female,"Charrière, Isabelle de",
dnb_260,http://d-nb.info/gnd/118895117,1940-02-09,,male,"Coetzee, J. M.",
dnb_261,http://d-nb.info/gnd/121086305,1943-01-01,,notKnown,"Carroll, James",
dnb_262,http://d-nb.info/gnd/123434181,1946-01-01,1997-01-01,notKnown,"Baker, James Robert",
dnb_263,http://d-nb.info/gnd/119133741,1940-01-01,2003-01-01,notKnown,"Welch, James",
dnb_264,http://d-nb.info/gnd/1027719376,1962-01-01,,male,"O'Neill, Jamie",
dnb_265,http://d-nb.info/gnd/11904174X,1914-10-27,2001-12-22,male,"Kott, Jan",
dnb_266,http://d-nb.info/gnd/118941178,1925-06-16,2017-12-05,male,"Ormesson, Jean d'",
dnb_267,http://d-nb.info/gnd/117456829,1783-10-16,1861-11-27,female,"Wohl, Jeanette",
dnb_268,http://d-nb.info/gnd/118137360,1953-01-01,,notKnown,"Roberson, Jennifer",
dnb_269,http://d-nb.info/gnd/118691287,1816-10-25,1897-05-04,male,"Fischer, Johann Georg",
dnb_270,http://d-nb.info/gnd/118775782,1740-09-02,1814-01-04,male,"Jacobi, Johann Georg",
dnb_271,http://d-nb.info/gnd/118614444,1924-04-07,2009-01-01,male,"Simmel, Johannes Mario",
dnb_272,http://d-nb.info/gnd/118658492,1914-10-25,1972-01-07,male,"Berryman, John",
dnb_273,http://d-nb.info/gnd/12330735X,1668-01-01,1701-01-01,notKnown,"Dryden, John",
