viaf_id,viaf_birthdate,viaf_deathdate,viaf_gender,viaf_name,viaf_work,viaf_uri
viaf_92,1935-05-23,,female,Susan Cooper,Magician's boy	 Boggart and the monster	 Grey king	 Frog	 Greenwitch	 Seaward	 Boggart book	 Dark is rising sequence	 Over Sea Under Stone	 Silver on the tree,http://viaf.org/viaf/49344224
viaf_93,1932-10-27,1963-02-11,female,Sylvia Plath,"Plath, Sylvia	 Three women	 Poems	 Ariel	 Plath, Sylvia.	 The bell jar	 Winter trees",http://viaf.org/viaf/14775269
viaf_94,1906-05-29,1964-01-17,male,T. H. White,"Maharajah & other stories	 Sword in the stone	 Witch in the wood	 Ill-made knight	 White, T. H.	 Elephant and the kangaroo",http://viaf.org/viaf/19685792
viaf_95,1949-03-24,,female,Tabitha King,Book of reuben	 Trap	 Small world	 Candles burning : a novel	 One on one	 Pearl	 Caretakers	 Survivor,http://viaf.org/viaf/61639391
viaf_96,1930-08-17,1998-10-28,male,Ted Hughes,"The iron man	 Hughes, Ted,	 Hughes, Ted	 Iron giant : a story in five nights	 Poems	 Crow: from the life and songs of the Crow	 Birthday Letters	 Shakespeare and the Goddess of Complete Being",http://viaf.org/viaf/108232871
viaf_97,1944-01-08,,male,Terrence Dean Brooks,"Brooks, Terry	 Wizard at large	 Brooks, Terry.	 Magic kingdom of Landover.	 Antrax	 Armageddon's children	 Star Wars, episode I : the phantom menace	 Sword of shannara	 Elves of cintra",http://viaf.org/viaf/73911214
viaf_98,1948-04-28,2015-03-12,male,Terry Pratchett,"Reaper man	 Eric	 Wee free men	 Sourcery	 Colour of magic	 Wintersmith	 Guards! Guards!	 Mort	 Pyramids	 Pratchett, Terry",http://viaf.org/viaf/76382712
viaf_99,1918-02-26,1985-05-08,male,Theodore Sturgeon,"Godbody	 Caviar	 Cosmic rape	 More than human	 Touch of strange	 Sturgeon in orbit	 Killdozer!	 Some of your blood	 Sturgeon, Theodore.	 Sturgeon, Theodore",http://viaf.org/viaf/100257330
viaf_100,1897-04-17,1975-12-07,male,Thornton Niven Wilder,"Long Christmas dinner	 Wilder, Thornton	 Heaven's my destination	 Our town	 Skin of our teeth.	 Eighth day	 Cabala	 Wilder, Thornton,	 The Ides of March",http://viaf.org/viaf/100167035
viaf_101,1811-08-30,1872-10-23,male,Théophile Gautier,"Roman de la momie	 Recits fantastiques	 Gautier	 Mademoiselle de Maupin	 Gautier, Théophile,	 Captain fracasse. texte complet (1863)	 Constantinople	 Histoire du romantisme",http://viaf.org/viaf/96428598
viaf_102,1952-02-29,,male,Tim Powers,Anubis gates	 Stress of her regard	 Declare	 Expiration date	 On stranger tides	 Last call	 Three days to never	 Earthquake weather	 Dinner at deviant's palace	 Drawing of the dark,http://viaf.org/viaf/85448856
viaf_103,1937-07-03,,male,Tom Stoppard,"Arcadia	 Night and day	 Stoppard, Tom.	 Rosenkrantz and Guildenstern are dead (film)	 Stoppard, Tom (1937-....).	 Rock'n'roll	 Jumpers	 Invention of love",http://viaf.org/viaf/101362857
viaf_104,1942-06-02,,male,Tony Buzan,Master your memory	 Embracing change : essential steps to make your future today	 Speed reading	 Buzan study skills handbook	 How to mind map	 Use your memory	 Mind mapping	 Make the most of your mind	 Power of spiritual intelligence	 Use your head,http://viaf.org/viaf/66455569
viaf_105,1544-03-11,1595-04-25,male,Torquato Tasso,"Rime d'amore.	 Dialoghi	 Tasse	 Re torrismondo	 Tasso, Torquato,	 La Gerusalemme liberata	 Gerusalemme conquistata	 Mondo creato.",http://viaf.org/viaf/4936996
viaf_106,1914-08-09,2001-06-27,female,Tove Jansson,"Småtrolllen och den stora översvämningen	 Trollkarlens hatt	 Muminpappans memoarer	 Farlig midsommar	 Jansson, Tove	 Sent i november	 Trollvinter	 Pappan och havet",http://viaf.org/viaf/111533709
viaf_107,1944-10-02,,male,Vernor Vinge,Marooned in realtime	 True names	 Witling	 Rainbows end	 Children of the sky	 Fire upon the deep	 Collected stories of vernor vinge	 Deepness in the sky	 Peace war,http://viaf.org/viaf/79037788
viaf_108,1546-03-25,1591-07-22,,Veronica Franco,"Franco, Veronica,",http://viaf.org/viaf/66577804
viaf_109,1953-09-05,,male,Victor Davis Hanson,Wars of the ancient greeks : and their invention of western military culture	 War like no other : how the athenians and spartans fought the peloponnesian war	 Western way of war : infantry battle in classical greece	 Carnage and culture : landmark battles in the rise of Western power,http://viaf.org/viaf/46790634
viaf_110,1802-02-26,1885-05-22,male,V. Hugo,"Travailleurs de la mer	 Hugo	 Cromwell	 Ruy Blas	 Notre-Dame de Paris	 Misérables	 Hugo, Victor (1802-1885).	 Les contemplations",http://viaf.org/viaf/9847974
viaf_111,1882-01-25,1941-03-28,female,Virginia Woolf,"Woolf, Virginia	 Three guineas	 Between the acts	 Woolf, Virginia (1882-1941).	 Woolf, Virginia,	 Voyage out	 Flush	 To the lighthouse	 Mrs. Dalloway	 Room of one's own.",http://viaf.org/viaf/39385478
viaf_112,1899-04-23,1977-07-02,male,Vladimir Vladimirovich Nabokov,"Pnin	 Transparent things	 Nikolai Gogol	 Nabokov, Vladimir	 Lolita	 Nabokov, Vladimir Vladimirovich,	 Le don	 Pale fire.	 Lectures on Don Quixote",http://viaf.org/viaf/27069388
viaf_113,1694-02-20,1778-05-30,male,Voltaire,"Voltaire	 Traité sur la tolérance	 Voltaire,	 Alzire	 Lettres philosophiques	 Ingénu",http://viaf.org/viaf/36925746
viaf_114,1916-05-28,1990-05-10,male,Walker Percy,"Lancelot	 Thanatos syndrome	 Percy	 Percy, Walker	 Lost in the cosmos : the last self-help book	 Love in the ruins	 The last gentleman",http://viaf.org/viaf/29539039
viaf_115,1552,1618-10-29,male,Walter Raleigh,"Raleigh, Walter,	 Apologie for his voyage to Guiana	 Discoverie of Guiana	 Observations concerning the causes of the magnificency and opulency of cities	 History of the world",http://viaf.org/viaf/107533796
viaf_116,1893-03-18,1918-11-04,male,Wilfred Owen,Works	 Poems	 War poems	 War requiem	 Collected letters	 Correspondence.	 Poems.	 War poems and others	 Works.,http://viaf.org/viaf/2564947
viaf_117,1832-04-15,1908-01-09,male,Wilhelm Busch,"Bilder zur Jobsiade	 Busch, Wilhelm	 Maler Klecksel	 Der heilige Antonius von Padua	 Hans Huckebein, der Unglücksrabe	 Fipps der Affe	 Busch, Wilhelm (1832-1908).",http://viaf.org/viaf/22139423
viaf_118,1757-11-28,1827-08-12,male,William Blake,"Blake, William,	 Poems.	 Songs of innocence	 Blake, William	 Poems of William Blake	 Visions of the daughters of Albion	 Blake's illuminated books",http://viaf.org/viaf/54144439
viaf_119,1883-09-17,1963-03-04,male,William Carlos Williams,"Pictures from Brueghel : and other poems	 Williams, William Carlos,	 William Carlos Williams archive series	 Journey to love	 Imaginations	 In the American grain	 Paterson	 Williams, William Carlos	 White Mule",http://viaf.org/viaf/29542054
