dbp_id,dbp_uri,dbp_birthdate,dbp_deathdate,dbp_gender,dbp_name,dbp_work
dbp_13,http://dbpedia.org/resource/Astrid_Lindgren,1907-11-14,2002-01-28,female,Astrid Lindgren,"Mio,_My_Son	Pippi_Longstocking_(novel)	The_Children_of_Bullerbyn_Village	Most_Beloved_Sister	Pippi_Longstocking_(1969_TV_series)	Ronia_the_Robber's_Daughter	Bill_Bergson,_Master_Detective_(novel)	The_Runaway_Sleigh_Ride	The_Brothers_Lionheart	Pippi_Goes_on_Board_(book)	Pippi_in_the_South_Seas_(book)	Bill_Bergson_Lives_Dangerously	Bill_Bergson_and_the_White_Rose_Rescue	Sia_lives_on_Kilimanjaro"
dbp_14,http://dbpedia.org/resource/August_Strindberg,1849-01-22,1912-05-14,male,August Strindberg,Miss_Julie	The_Ghost_Sonata	The_Red_Room_(Strindberg_novel)	Inferno_(Strindberg_novel)	To_Damascus	A_Dream_Play	The_Father_(Strindberg_play)	Creditors_(play)	Easter_(play)	The_Stronger	The_Defence_of_a_Fool	The_Town_(Strindberg)	The_Outlaw_(play)
dbp_15,http://dbpedia.org/resource/Augusto_Boal,1931-03-16,2009-05-02,male,Augusto Boal,
dbp_16,http://dbpedia.org/resource/Barry_Took,1928-06-19,2002-03-31,male,Barry Took,Round_the_Horne	Bootsie_and_Snudge	The_Army_Game	One-Upmanship	Lulu_(singer)__It's_Luluaka_Lulu's_Back_In_TownHappening_For_Lulu__1
dbp_17,http://dbpedia.org/resource/Ben_Jonson,1572-06-11,1637-08-06,male,Ben Jonson,Mortimer_His_Fall
dbp_18,http://dbpedia.org/resource/Carl_Sandburg,1878-01-06,1967-07-22,male,Carl Sandburg,"The_People,_Yes	Rootabaga_Stories	Chicago_Poems	Abraham_Lincoln:_The_War_Years	NET_Playhouse	Remembrance_Rock"
dbp_19,http://dbpedia.org/resource/Charles_Beaumont,1929-01-02,1967-02-21,male,Charles Beaumont,The_Twilight_Zone	The_Hunger_and_Other_Stories	Buckskin_(TV_series)	Yonder_(collection)
dbp_20,http://dbpedia.org/resource/Dafydd_ap_Gwilym,1340-1-1,1350-1-1,male,Dafydd ap Gwilym,
dbp_21,http://dbpedia.org/resource/Damon_Knight,1922-09-19,2002-04-15,male,Damon Knight,Special_Delivery_(short_story)	In_Search_of_Wonder	The_Observers	Science_Fiction_Inventions	Far_Out_(book)	Captain_Video_and_His_Video_Rangers	Beyond_the_Barrier	Not_with_a_Bang_(short_story)	Thing_of_Beauty_(short_story)	Time_Enough	You're_Another	First_Voyages	CV_(novel)	Shall_the_Dust_Praise_Thee%3F	Off_Center	Turning_On	Orbit_1	The_Enemy_(short_story)	To_Serve_Man	The_Country_of_the_Kind	Idiot_Stick	Science_Fiction_of_the_Thirties	The_Last_Word_(Knight_short_story)	Be_My_Guest_(short_story)	In_Deep_(book)	Dulcie_and_Decorum	Extempore	A_for_Anything	Hell's_Pavement	Masters_of_Evolution	Mind_Switch	The_Rithian_Terror	The_Sun_Saboteurs	Masks_(short_story)
dbp_22,http://dbpedia.org/resource/David_Eddings,1931-07-07,2009-06-02,male,David Eddings,The_Belgariad	The_Malloreon	The_Dreamers_(novel_series)	The_Elenium	The_Tamuli	The_Redemption_of_Althalus	Polgara_the_Sorceress	The_Rivan_Codex	Belgarath_the_Sorcerer	High_Hunt	Regina's_Song
dbp_23,http://dbpedia.org/resource/David_Foster_Wallace,1962-02-21,2008-09-12,male,David Foster Wallace,A_Supposedly_Fun_Thing_I'll_Never_Do_Again	Infinite_Jest	The_Broom_of_the_System	Brief_Interviews_with_Hideous_Men	The_Pale_King	This_Is_Water	Both_Flesh_and_Not	Girl_with_Curious_Hair	Consider_the_Lobster	Oblivion:_Stories	Everything_and_More_(book)	Signifying_Rappers
dbp_24,http://dbpedia.org/resource/David_Jones_(artist-poet),1895-11-01,1974-10-28,male,David Jones (artist-poet),In_Parenthesis
dbp_25,http://dbpedia.org/resource/Diana_Wynne_Jones,1934-08-16,2011-03-26,female,Diana Wynne Jones,Howl's_Moving_Castle	Chrestomanci	Dalemark_Quartet	Castle_in_the_Air_(novel)	The_Magicians_of_Caprona	Enchanted_Glass	The_Pinhoe_Egg	The_Game_(Jones_novel)	Charmed_Life_(novel)	Archer's_Goon	Deep_Secret	Eight_Days_of_Luke	Conrad's_Fate	Fire_and_Hemlock	The_Merlin_Conspiracy	The_Crown_of_Dalemark	The_Homeward_Bounders	The_Spellcoats	The_Lives_of_Christopher_Chant	Year_of_the_Griffin	Dogsbody_(novel)	The_Tough_Guide_To_Fantasyland	Witch_Week	Mixed_Magics	Dark_Lord_of_Derkholm	Cart_and_Cwidder	Drowned_Ammet	A_Tale_of_Time_City	The_Time_of_the_Ghost	Hexwood	House_of_Many_Ways	Power_of_Three_(novel)	The_Ogre_Downstairs
dbp_26,http://dbpedia.org/resource/Edmond_Hamilton,1904-10-21,1977-02-01,male,Edmond Hamilton,Star_Wolf_(TV_series)	The_Haunted_Stars	The_Man_Who_Evolved
dbp_27,http://dbpedia.org/resource/Edmund_Blunden,1896-11-01,1974-01-20,male,Edmund Blunden,Shelley:_A_Life_Story
dbp_28,http://dbpedia.org/resource/Edna_Ferber,1885-08-15,1968-04-16,female,Edna Ferber,Show_Boat_(novel)	American_Beauty_(Ferber_novel)	The_Royal_Family_(play)	Saratoga_Trunk_(novel)
dbp_29,http://dbpedia.org/resource/Edward_Albee,1928-03-12,2016-09-16,male,Edward Albee,"Who's_Afraid_of_Virginia_Woolf%3F	A_Delicate_Balance_(play)	The_Zoo_Story	The_Goat,_or_Who_is_Sylvia%3F	Edward_Albee's_At_Home_at_the_Zoo	Three_Tall_Women	The_Goat,_or_Who_Is_Sylvia%3F	Everything_in_the_Garden	Breakfast_at_Tiffany's_(musical)	Seascape_(play)	The_Play_About_the_Baby"
dbp_30,http://dbpedia.org/resource/Edward_Thomas_(poet),1878-03-03,1917-04-09,male,Edward Thomas (poet),
dbp_31,http://dbpedia.org/resource/Elizabeth_Gaskell,1810-09-29,1865-11-12,female,Elizabeth Gaskell,North_&_South_(TV_serial)	Mary_Barton	Cranford_(novel)	North_and_South_(Gaskell_novel)	A_Dark_Night's_Work	Ruth_(novel)	Wives_and_Daughters_(1999_miniseries)	The_Poor_Clare_(Gaskell_story)	Wives_and_Daughters
dbp_32,http://dbpedia.org/resource/Ezra_Pound,1885-10-30,1972-11-01,male,Ezra Pound,The_Spirit_of_Romance	A_Lume_Spento
dbp_33,http://dbpedia.org/resource/Ferdinand_Peroutka,1895-02-06,1978-04-20,male,Ferdinand Peroutka,
dbp_34,http://dbpedia.org/resource/Ford_Madox_Ford,1873-12-17,1939-06-26,male,Ford Madox Ford,Last_Post_(novel)	A_Man_Could_Stand_Up_—	Some_Do_Not_...	The_Fifth_Queen	The_Inheritors_(Conrad_and_Ford_novel)	No_More_Parades_(novel)	Parade's_End	The_Good_Soldier	Ladies_Whose_Bright_Eyes
dbp_35,http://dbpedia.org/resource/Frances_Burney,1752-06-13,1840-01-06,female,Frances Burney,Cecilia_(Burney_novel)	The_Wanderer_(1814_novel)	Camilla_(Burney_novel)	Evelina
dbp_36,http://dbpedia.org/resource/François_Villon,1431-4-1,1463-1-1,male,François Villon,
dbp_37,http://dbpedia.org/resource/Fredric_Brown,1906-10-29,1972-03-11,male,Fredric Brown,"The_Fabulous_Clipjoint	Arena_(short_story)	Honeymoon_in_Hell	The_Proofreaders'_Page_and_Other_Uncollected_Items	Nightmares_and_Geezenstacks	Martians,_Go_Home	What_Mad_Universe	Rogue_in_Space	The_Screaming_Mimi_(novel)	Science_Fiction_Carnival	Space_on_My_Hands	Angels_and_Spaceships"
dbp_38,http://dbpedia.org/resource/George_Alec_Effinger,1947-01-10,2002-04-27,male,George Alec Effinger,"When_Gravity_Fails	A_Fire_in_the_Sun	The_Exile_Kiss	Budayeen_Nights	Maureen_Birnbaum,_Barbarian_Swordsperson	Mars:_The_Home_Front	Tales_from_Jabba's_Palace	The_Last_Full_Measure_(short_story)"
dbp_39,http://dbpedia.org/resource/George_Farquhar,1677-0-0,1707-04-29,male,George Farquhar,
dbp_40,http://dbpedia.org/resource/Georges_Perec,1936-03-07,1982-03-03,male,Georges Perec,"Life_a_User's_Manual	A_Void	A_Man_Asleep	Which_Moped_with_Chrome-plated_Handlebars_at_the_Back_of_the_Yard%3F	W,_or_the_Memory_of_Childhood	Things:_A_Story_of_the_Sixties"
dbp_41,http://dbpedia.org/resource/Gerald_of_Wales,1146-1-1,1223-1-1,male,Gerald of Wales,
dbp_42,http://dbpedia.org/resource/Gero_von_Wilpert,1933-3-13,2009-12-24,male,Gero von Wilpert,
dbp_43,http://dbpedia.org/resource/Hedd_Wyn,1887-01-13,1917-07-31,male,Hedd Wyn,
dbp_44,http://dbpedia.org/resource/Honoré_de_Balzac,1799-05-20,1850-08-18,male,Honoré de Balzac,Eugénie_Grandet	Illusions_perdues	La_Peau_de_chagrin	Splendeurs_et_misères_des_courtisanes	Colonel_Chabert_(novel)	La_Comédie_humaine	La_Rabouilleuse	Le_Lys_dans_la_vallée	Le_Père_Goriot	La_Maison_du_chat-qui-pelote	Le_Curé_de_Tours	Louis_Lambert_(novel)	Mémoires_de_deux_jeunes_mariées	Un_début_dans_la_vie	Une_double_famille	Modeste_Mignon	La_Grande_Bretèche	La_Vendetta_(novel)	César_Birotteau	Ursule_Mirouët	Z._Marcas	Père_Goriot	Gambara_(short_story)	Le_Cabinet_des_Antiques	Les_Proscrits	Massimilla_Doni	Le_Contrat_de_mariage	The_Quest_of_the_Absolute	La_Bourse	Le_Chef-d'œuvre_inconnu	Cousin_Bette	La_Vieille_Fille_(novel)	Sarrasine	Albert_Savarus	La_Paix_du_ménage	Le_Bal_de_Sceaux	Le_Curé_de_village
dbp_45,http://dbpedia.org/resource/Hugh_Lofting,1886-01-14,1947-09-26,male,Hugh Lofting,Doctor_Dolittle	Doctor_Dolittle's_Puddleby_Adventures	Doctor_Dolittle's_Caravan	Doctor_Dolittle's_Circus	Doctor_Dolittle's_Post_Office	Gub_Gub's_Book	Doctor_Dolittle_and_the_Green_Canary	Doctor_Dolittle's_Garden	Doctor_Dolittle's_Return	Doctor_Dolittle's_Zoo	Doctor_Dolittle_and_the_Secret_Lake	Doctor_Dolittle_in_the_Moon	The_Story_of_Doctor_Dolittle	The_Voyages_of_Doctor_Dolittle	Doctor_Dolittle_Meets_a_Londoner_in_Paris
dbp_46,http://dbpedia.org/resource/Jack_Jones_(novelist),1884-11-24,1970-05-07,male,Jack Jones (novelist),
dbp_47,http://dbpedia.org/resource/Jack_London,1876-01-12,1916-11-22,male,Jack London,"Lost_Face	To_Build_a_Fire	Adventure_(novel)	The_Heathen	The_Mexican_(short_story)	Moon-Face	The_Cruise_of_the_Dazzler	John_Barleycorn_(novel)	The_Red_One	The_Game_(London_novel)	The_Abysmal_Brute	The_Dream_of_Debs	The_Call_of_the_Wild	The_Road_(Jack_London)	Jack_London's_San_Francisco_Stories	A_Piece_of_Steak	Bâtard	The_Unparalleled_Invasion	The_South_of_the_Slot	The_Law_of_Life	The_Sea-Wolf	The_White_Silence	The_Leopard_Man's_Story	A_Thousand_Deaths_(London_short_story)	The_Kempton-Wace_Letters	The_Scarlet_Plague	White_Fang	South_Sea_Tales_(London_collection)	The_Valley_of_the_Moon_(novel)	A_Daughter_of_the_Snows	Martin_Eden	The_Iron_Heel	The_Little_Lady_of_the_Big_House	The_Star_Rover	Hearts_of_Three	Jerry_of_the_Islands	Michael,_Brother_of_Jerry"
dbp_48,http://dbpedia.org/resource/James_White_(author),1928-04-07,1999-08-23,male,James White (author),Second_Ending	The_Escape_Orbit	Sector_General	Ambulance_Ship	Star_Surgeon	Hospital_Station	The_Silent_Stars_Go_By
dbp_49,http://dbpedia.org/resource/Jerzy_Grotowski,1933-08-11,1999-01-14,male,Jerzy Grotowski,
dbp_50,http://dbpedia.org/resource/Johanna_Schopenhauer,1766-07-09,1838-04-17,female,Johanna Schopenhauer,
dbp_51,http://dbpedia.org/resource/John_Bellairs,1938-01-17,1991-03-08,male,John Bellairs,St._Fidgeta_and_Other_Parodies	The_Face_in_the_Frost	The_Dark_Secret_of_Weatherend	The_Lamp_from_the_Warlock's_Tomb	The_Treasure_of_Alpheus_Winterborn
dbp_52,http://dbpedia.org/resource/John_Bunyan,1628-11-28,1688-08-31,male,John Bunyan,The_Pilgrim's_Progress	The_Holy_War	Grace_Abounding_to_the_Chief_of_Sinners
dbp_53,http://dbpedia.org/resource/John_Galsworthy,1867-08-14,1933-01-31,male,John Galsworthy,Escape_(play)	The_Forsyte_Saga	The_Forsyte_Saga_(2002_miniseries)	In_Chancery
dbp_54,http://dbpedia.org/resource/Alice_Walker,1944-02-09,,female,Alice Walker,The_Color_Purple	In_Search_of_Our_Mothers'_Gardens	Meridian_(novel)	Everyday_Use	The_Third_Life_of_Grange_Copeland	The_Temple_of_My_Familiar	Possessing_the_Secret_of_Joy	Warrior_Marks
dbp_55,http://dbpedia.org/resource/Amy_Tan,1952-02-19,,female,Amy Tan,The_Joy_Luck_Club_(novel)	The_Bonesetter's_Daughter	The_Kitchen_God's_Wife	Saving_Fish_from_Drowning	The_Hundred_Secret_Senses	The_Valley_of_Amazement
dbp_56,http://dbpedia.org/resource/Christopher_Tolkien,1924-11-21,,male,Christopher Tolkien,"The_Letters_of_J._R._R._Tolkien	The_Monsters_and_the_Critics,_and_Other_Essays	On_Translating_Beowulf	Unfinished_Tales"
dbp_57,http://dbpedia.org/resource/David_Zindell,1952-11-28,,male,David Zindell,The_Lightstone
dbp_58,http://dbpedia.org/resource/Eric_Corley,1959-12-16,,male,Eric Corley,
dbp_59,http://dbpedia.org/resource/Greg_Bear,1951-08-20,,male,Greg Bear,Blood_Music_(novel)	The_Forge_of_God	Hull_Zero_Three	The_Infinity_Concerto	Halo:_Primordium	Corona_(novel)	Moving_Mars	Queen_of_Angels_(novel)	Eternity_(novel)	The_Mongoliad	Halo:_Silentium	City_at_the_End_of_Time	Halo:_Cryptum	Dead_Lines	Mariposa_(novel)	Darwin's_Radio	Eon_(novel)	Anvil_of_Stars	Rogue_Planet_(novel)	Foundation_and_Chaos	The_Wind_from_a_Burning_Woman	Multiverse:_Exploring_Poul_Anderson's_Worlds
dbp_60,http://dbpedia.org/resource/Gregory_Benford,1941-01-30,,male,Gregory Benford,Galactic_Center_Saga	Beyond_the_Fall_of_Night	Great_Sky_River_(novel)	Timescape	Across_the_Sea_of_Suns	In_the_Ocean_of_Night	Alternate_Americas	Alternate_Wars	Eater_(novel)	Heart_of_the_Comet	Foundation's_Fear	Alternate_Empires	Alternate_Heroes
dbp_61,http://dbpedia.org/resource/Guy_Gavriel_Kay,1954-11-07,,male,Guy Gavriel Kay,The_Summer_Tree	Tigana	Under_Heaven_(book)	River_of_Stars	The_Darkest_Road	Ysabel	The_Last_Light_of_the_Sun	The_Wandering_Fire	The_Lions_of_Al-Rassan
dbp_62,http://dbpedia.org/resource/Harry_Turtledove,1949-06-14,,male,Harry Turtledove,The_Two_Georges	The_Guns_of_the_South	Southern_Victory_Series	Crosstime_Traffic	Worldwar_Series	Kaleidoscope_(short_story_collection)	Colonization:_Aftershocks	Colonization:_Down_to_Earth	The_Gryphon's_Skull	Owls_to_Athens	Conan_of_Venarium	The_Case_of_the_Toxic_Spell_Dump	Days_of_Infamy_series	Agent_of_Byzantium	American_Empire:_Blood_and_Iron	Ruled_Britannia	Settling_Accounts:_In_at_the_Death	How_Few_Remain	American_Empire:_The_Victorious_Opposition	The_Great_War:_Walk_in_Hell	Worldwar:_In_the_Balance	Worldwar:_Striking_the_Balance	Worldwar:_Tilting_the_Balance	Worldwar:_Upsetting_the_Balance	Departures_(short_story_collection)	The_War_That_Came_Early	Earthgrip	Justinian_(novel)	Beyond_the_Gap	Curious_Notions	Gunpowder_Empire	In_High_Places_(Harry_Turtledove_novel)	The_Valley-Westside_War	In_the_Presence_of_Mine_Enemies	A_World_of_Difference_(novel)	Between_the_Rivers	The_Great_War:_Breakthroughs	Over_the_Wine_Dark_Sea	Every_Inch_a_King	Joe_Steele_(novel)	The_Gladiator_(Turtledove_novel)	Settling_Accounts:_Drive_to_the_East	The_Enchanter_Completed:_A_Tribute_Anthology_for_L._Sprague_de_Camp	The_Road_Not_Taken_(short_story)	The_Great_War:_American_Front	The_Last_Article	American_Empire:_The_Center_Cannot_Hold	Colonization:_Second_Contact	The_Disunited_States_of_America	The_Man_with_the_Iron_Heart	The_Sacred_Land	Homeward_Bound_(Turtledove_novel)	Settling_Accounts:_Return_Engagement	Settling_Accounts:_The_Grapple	A_Different_Flesh	The_Best_Time_Travel_Stories_of_the_20th_Century
dbp_63,http://dbpedia.org/resource/Irvine_Welsh,1957-09-27,,male,Irvine Welsh,The_Acid_House	Porno_(novel)	Filth_(novel)	Trainspotting_(novel)	Dockers_(film)	Marabou_Stork_Nightmares	The_Sex_Lives_of_Siamese_Twins	Ecstasy:_Three_Tales_of_Chemical_Romance	Reheated_Cabbage	Skagboys	The_Bedroom_Secrets_of_the_Master_Chefs	If_You_Liked_School_You'll_Love_Work	Crime_(novel)	Glue_(novel)	The_Blade_Artist
dbp_64,http://dbpedia.org/resource/Jack_McDevitt,1935-04-14,,male,Jack McDevitt,"The_Hercules_Text	Ancient_Shores	Time_Travelers_Never_Die	Polaris_(novel)	Henry_James,_This_One's_for_You	The_Engines_of_God	Coming_Home_(McDevitt_novel)	Omega_(novel)	Seeker_(McDevitt_novel)	A_Talent_for_War	Deepsix	Eternity_Road_(novel)	Chindi_(novel)"
dbp_65,http://dbpedia.org/resource/Jeffrey_Moussaieff_Masson,1941-03-28,,male,Jeffrey Moussaieff Masson,The_Assault_on_Truth	Against_Therapy
dbp_66,http://dbpedia.org/resource/José_Saramago,1922-11-16,2010-06-18,male,José Saramago,Blindness_(novel)	The_Elephant's_Journey	The_Stone_Raft	Seeing_(novel)	Death_with_Interruptions	All_the_Names	Baltasar_and_Blimunda	The_Cave_(novel)	The_Year_of_the_Death_of_Ricardo_Reis	The_Gospel_According_to_Jesus_Christ	The_Tale_of_the_Unknown_Island
dbp_67,http://dbpedia.org/resource/José_Zorrilla,1817-02-21,1893-01-23,male,José Zorrilla,Don_Juan_Tenorio
dbp_68,http://dbpedia.org/resource/Karel_Čapek,1890-01-09,1938-12-25,male,Karel Čapek,Krakatit	The_Absolute_at_Large	The_White_Disease	War_with_the_Newts	R.U.R	R.U.R.	Hordubal	Život_a_dílo_skladatele_Foltýna	Pictures_from_the_Insects'_Life
dbp_69,http://dbpedia.org/resource/Kate_Chopin,1850-02-08,1904-08-22,female,Kate Chopin,The_Awakening_(Chopin_novel)	A_Pair_of_Silk_Stockings	The_Story_of_an_Hour
dbp_70,http://dbpedia.org/resource/L._Sprague_de_Camp,1907-11-27,2000-11-06,male,L. Sprague de Camp,"Perpetual_Motion_(short_story)	The_Command_(short_story)	Black_Tears_(short_story)	The_Lair_of_the_Ice_Worm	Hawks_over_Shem	Time_and_Chance:_an_Autobiography	The_City_of_Skulls_(short_story)	The_Curse_of_the_Monolith	Black_Sphinx_of_Nebthu	Red_Moon_of_Zembabwei	Shadows_in_the_Skull	The_Witch_of_the_Mists	The_Castle_of_Terror	The_Road_of_the_Eagles	Legions_of_the_Dead	Moon_of_Blood	Shadows_in_the_Dark_(Conan_story)	The_Gem_in_the_Tower	The_Ivory_Goddess	The_Mathematics_of_Magic	The_People_of_the_Summit	The_Roaring_Trumpet	The_Star_of_Khorala	Elephant_(science_book)	Conan_the_Usurper	Conan_the_Buccaneer	Conan_the_Swordsman	Conan_the_Wanderer	None_but_Lucifer	Sagas_of_Conan	Swords_and_Sorcery	Tales_of_Conan	The_Blade_of_Conan	The_Conan_Chronicles	The_Conan_Chronicles_2	The_Conan_Grimoire	The_Conan_Reader	The_Conan_Swordbook	The_Emperor's_Fan	The_Enchanter_Reborn	The_Exotic_Enchanter	The_Fallible_Fiend	The_Fantastic_Swordsmen	The_Flame_Knife	The_Incorporated_Knight	The_Pixilated_Peeress	The_Reluctant_King	The_Spell_of_Conan	The_Spell_of_Seven	The_Treasure_of_Tranicos_(collection)	The_Virgin_of_Zesh	The_Virgin_of_Zesh_&_The_Tower_of_Zanid	Warlocks_and_Warriors	3000_Years_of_Fantasy_and_Science_Fiction	Ka_the_Appalling	Rogue_Queen	Tales_Beyond_Time	The_Eye_of_Tandyla	The_Hungry_Hercynian	The_Owl_and_the_Ape	The_Rug_and_the_Bull	The_Stone_of_the_Witch_Queen	The_Stronger_Spell	The_Tritonian_Ring	Footprints_on_Sand	The_Heroic_Age_of_American_Invention	The_Compleat_Enchanter	The_Complete_Compleat_Enchanter	The_Castle_of_Iron	Wall_of_Serpents	Divide_and_Rule_(short_story)	The_Gnarly_Man	The_Green_Magician	The_Wall_of_Serpents	Hyperpilosity	The_Stolen_Dormouse	The_Blue_Giraffe	The_Hardwood_Pile	An_Elephant_for_Aristotle	Solomon's_Stone	The_Bronze_God_of_Rhodes	The_Isolinguals	Judgment_Day_(short_story)	Ancient_Ruins_and_Archaeology	Dark_Valley_Destiny	Darwin_and_His_Great_Discovery	Energy_and_Power	Great_Cities_of_the_Ancient_World	Lands_Beyond	Literary_Swordsmen_and_Sorcerers	Lost_Continents	Lovecraft:_A_Biography	Man_and_Power	Spirits,_Stars,_and_Spells	The_Ancient_Engineers	The_Arrows_of_Hercules	The_Day_of_the_Dinosaur	The_Dragon_of_the_Ishtar_Gate	The_Fringe_of_the_Unknown	The_Golden_Wind	The_Ragged_Edge_of_Science	The_Great_Fetish	Calories_(story)	The_Colorful_Character	Sir_Harold_of_Zodanga	Summer_Wear	The_Inspector's_Teeth	Finished_(short_story)	Aristotle_and_the_Gun_and_Other_Stories	Heroes_and_Hobgoblins	Rivers_of_Time	A_Gun_for_Dinosaur_and_Other_Imaginative_Tales	Blond_Barbarians_and_Noble_Savages	Conan_(short_story_collection)	Conan_and_the_Spider_God	Conan_of_Aquilonia	Conan_of_Cimmeria	Conan_of_the_Isles	Conan_the_Adventurer_(short_story_collection)	Conan_the_Avenger	Conan_the_Freebooter	Conan_the_Liberator	Demons_and_Dinosaurs	Divide_and_Rule_(collection)	Genus_Homo_(novel)	Inventions_and_Their_Management	Land_of_Unreason	Phantoms_and_Fancies	Rubber_Dinosaurs_and_Wooden_Elephants	Science-Fiction_Handbook	Scribblings	Sprague_de_Camp's_New_Anthology_of_Science_Fiction	Tales_from_Gavagan's_Bar	The_Ape-Man_Within	The_Best_of_L._Sprague_de_Camp	The_Carnelian_Cube	The_Continent_Makers_and_Other_Tales_of_the_Viagens	The_Evolution_of_Naval_Weapons	The_Glory_That_Was	The_Goblin_Tower	The_Hand_of_Zei	The_Honorable_Barbarian	The_Hostage_of_Zir	The_Miscast_Barbarian	The_Purple_Pterodactyls	The_Queen_of_Zamba	The_Reluctant_Shaman_and_Other_Fantastic_Tales	The_Return_of_Conan	The_Tritonian_Ring_and_Other_Pusadian_Tales	The_Undesired_Princess	The_Virgin_&_the_Wheels	The_Wheels_of_If_and_Other_Science_Fiction	Years_in_the_Making:_the_Time-Travel_Stories_of_L._Sprague_de_Camp	The_Tower_of_Zanid	The_Continent_Makers	The_Mathematics_of_Magic:_The_Enchanter_Stories_of_L._Sprague_de_Camp_and_Fletcher_Pratt	The_Bones_of_Zora	The_Swords_of_Zinjaban	The_Thing_in_the_Crypt	The_Venom_Trees_of_Sunga	The_Prisoner_of_Zhamanak	Nothing_in_the_Rules	Internal_Combustion_(short_story)	Lest_Darkness_Fall	Conan_the_Barbarian_(1982_novel)	Engines_(children's_book)	The_Clocks_of_Iraz	The_Story_of_Science_in_America	The_Great_Monkey_Trial	Fantasy_Twin	Employment_(short_story)	Living_Fossil_(short_story)	The_Merman	The_Blood-Stained_God	The_Stones_of_Nomuru	The_Unbeheaded_King	A_Gun_for_Dinosaur	Sir_Harold_and_the_Gnome_King	Aristotle_and_the_Gun	The_Animal-Cracker_Plot	The_Galton_Whistle	The_Wheels_of_If	The_Incomplete_Enchanter	The_Reluctant_Shaman"
dbp_71,http://dbpedia.org/resource/Leah_Goldberg,1911-05-29,1970-01-15,female,Leah Goldberg,
dbp_72,http://dbpedia.org/resource/Leigh_Brackett,1915-12-07,1978-03-18,female,Leigh Brackett,Eric_John_Stark	The_Starmen	The_Big_Jump	The_Long_Tomorrow_(novel)	Alpha_Centauri_or_Die!	Shadow_Over_Mars	People_of_the_Talisman	The_Secret_of_Sinharat	The_Sword_of_Rhiannon
