"birthdate","deathdate","label","work","gender","uri"
"+1941-01-30T00:00:00Z","","Gregory Benford","If the Stars Are Gods	Timescape","male","http://www.wikidata.org/entity/Q358312"
"+1954-11-07T00:00:00Z","","Guy Gavriel Kay","The Summer Tree	Tigana","male","http://www.wikidata.org/entity/Q95099"
"+1949-06-14T00:00:00Z","","Harry Turtledove","The Guns of the South	The Two Georges","male","http://www.wikidata.org/entity/Q455780"
"+1887-01-13T00:00:00Z","+1917-07-31T00:00:00Z","Hedd Wyn","","male","http://www.wikidata.org/entity/Q1388537"
"+1799-05-20T00:00:00Z","+1850-08-18T00:00:00Z","Honoré de Balzac","Le Pere Goriot	La Comédie humaine	Illusions perdues	Eugénie Grandet	Splendeurs et misères des courtisanes	La Peau de chagrin	Les Chouans","male","http://www.wikidata.org/entity/Q9711"
"+1886-01-14T00:00:00Z","+1947-09-26T00:00:00Z","Hugh Lofting","","male","http://www.wikidata.org/entity/Q560015"
"+1958-09-27T00:00:00Z","","Irvine Welsh","Trainspotting	The Acid House","male","http://www.wikidata.org/entity/Q178403"
"+1884-11-24T00:00:00Z","+1970-05-07T00:00:00Z","Jack Jones","","male","http://www.wikidata.org/entity/Q3403530"
"+1876-01-12T00:00:00Z","+1916-11-22T00:00:00Z","Jack London","The Call of the Wild	The People of the Abyss	The Sea-Wolf	White Fang	The Roads	To Build a Fire	Martin Eden	The Valley of the Moon	The Star Rover","male","http://www.wikidata.org/entity/Q45765"
"+1935-04-14T00:00:00Z","","Jack McDevitt","","male","http://www.wikidata.org/entity/Q715241"
"+1928-04-07T00:00:00Z","+1999-08-23T00:00:00Z","James White","Second Ending	The Escape Orbit","male","http://www.wikidata.org/entity/Q586756"
"+1941-03-28T00:00:00Z","","Jeffrey Masson","","male","http://www.wikidata.org/entity/Q1399625"
"+1933-08-11T00:00:00Z","+1999-01-14T00:00:00Z","Jerzy Grotowski","","male","http://www.wikidata.org/entity/Q332618"
"+1766-07-09T00:00:00Z","+1838-04-17T00:00:00Z","Johanna Schopenhauer","","female","http://www.wikidata.org/entity/Q61440"
"+1938-01-17T00:00:00Z","+1991-03-08T00:00:00Z","John Bellairs","The Face in the Frost	Johnny Dixon Series	Lewis Barnavelt","male","http://www.wikidata.org/entity/Q709295"
"+1628-11-30T00:00:00Z","+1688-08-31T00:00:00Z","John Bunyan","The Pilgrim's Progress","male","http://www.wikidata.org/entity/Q108206"
"+1867-08-14T00:00:00Z","+1933-01-31T00:00:00Z","John Galsworthy","","male","http://www.wikidata.org/entity/Q82248"
"+1947-10-03T00:00:00Z","+2018-02-07T00:00:00Z","John Perry Barlow","A Declaration of the Independence of Cyberspace","male","http://www.wikidata.org/entity/Q534428"
"+1922-11-16T00:00:00Z","+2010-06-18T00:00:00Z","José Saramago","The Gospel According to Jesus Christ	Blindness	Seeing	Death with Interruptions	Cain","male","http://www.wikidata.org/entity/Q37060"
"+1817-02-21T00:00:00Z","+1893-01-23T00:00:00Z","José Zorrilla","Don Juan Tenorio","male","http://www.wikidata.org/entity/Q331863"
"+1890-01-09T00:00:00Z","+1938-12-25T00:00:00Z","Karel Čapek","Zářivé hlubiny	Krakonošova zahrada	Boží muka	The Absolute at Large	Krakatit	The Gardener's Year	Hordubal	War with the Newts	První parta	Život a dílo skladatele Foltýna	Lásky hra osudná	R.U.R.	Pictures from the Insects' Life	The Makropulos Affair	Adam stvořitel	The White Disease	The Mother","male","http://www.wikidata.org/entity/Q155855"
"+1850-02-08T00:00:00Z","+1904-08-22T00:00:00Z","Kate Chopin","The Awakening	At the Cadian Ball","female","http://www.wikidata.org/entity/Q230476"
"+1962-03-27T00:00:00Z","","Kevin J. Anderson","","male","http://www.wikidata.org/entity/Q339577"
"+1907-11-27T00:00:00Z","+2000-11-06T00:00:00Z","Lyon Sprague de Camp","","male","http://www.wikidata.org/entity/Q316313"
"+1911-05-29T00:00:00Z","+1970-01-15T00:00:00Z","Leah Goldberg","","female","http://www.wikidata.org/entity/Q138007"
"+1915-12-07T00:00:00Z","+1978-03-18T00:00:00Z","Leigh Brackett","","female","http://www.wikidata.org/entity/Q298242"
"+1924-01-30T00:00:00Z","+2007-05-17T00:00:00Z","Lloyd Alexander","The Chronicles of Prydain	Westmark","male","http://www.wikidata.org/entity/Q366643"
"+1931-09-19T00:00:00Z","","Lloyd deMause","","male","http://www.wikidata.org/entity/Q676269"
"+1713-04-11T00:00:00Z","+1762-06-26T00:00:00Z","Luise Gottsched","","female","http://www.wikidata.org/entity/Q65863"
"+1945-07-26T00:00:00Z","","M. John Harrison","","male","http://www.wikidata.org/entity/Q963799"
"+1862-08-01T00:00:00Z","+1936-06-12T00:00:00Z","M. R. James","","male","http://www.wikidata.org/entity/Q963715"
"+1768-01-01T00:00:00Z","+1849-05-22T00:00:00Z","Maria Edgeworth","","female","http://www.wikidata.org/entity/Q237575"
"+1930-06-03T00:00:00Z","+1999-09-25T00:00:00Z","Marion Zimmer Bradley","Falcons of Narabedla	The Door Through Space	The Firebrand	The Mists of Avalon	The Forest House	Lady of Avalon	Priestess of Avalon	Ancestors of Avalon	The Planet Savers	The Sword of Aldones	The Bloody Sun	Star of Danger	The Winds of Darkover	The World Wreckers	Darkover Landfall	The Spell Sword	The Heritage of Hastur	The Shattered Chain	The Forbidden Tower	Stormqueen!	Two to Conquer	The Keeper's Price	Sharra's Exile	Hawkmistress!	Sword of Chaos	Thendara House	City of Sorcery	Free Amazons of Darkover	The Other Side of the Mirror	Red Sun of Darkover	Four Moons of Darkover	The Heirs of Hammerfell	Domains of Darkover	Renunciates of Darkover	Leroni of Darkover	Rediscovery	Towers of Darkover	Marion Zimmer Bradley's Darkover	Snows of Darkover	Exile's Song	The Shadow Matrix	Traitor's Sun	The Fall of Neskaya	A Flame in Hali	The Alton Gift	Hastur Lord","female","http://www.wikidata.org/entity/Q465179"
"+1917-11-22T00:00:00Z","+1995-12-06T00:00:00Z","Melvin Kranzberg","","male","http://www.wikidata.org/entity/Q1919788"
"+1950-06-24T00:00:00Z","","Mercedes Lackey","","female","http://www.wikidata.org/entity/Q298234"
"+1961-11-15T00:00:00Z","+2013-01-06T00:00:00Z","Metin Kaçan","","male","http://www.wikidata.org/entity/Q4832882"
"+1509-01-01T00:00:00Z","+1557-04-19T00:00:00Z","Mikael Agricola","","male","http://www.wikidata.org/entity/Q215346"
"+1929-04-01T00:00:00Z","","Milan Kundera","The Joke	The Book of Laughter and Forgetting	The Unbearable Lightness of Being","male","http://www.wikidata.org/entity/Q93166"
"+1905-07-10T00:00:00Z","+2002-05-28T00:00:00Z","Mildred Benson","","female","http://www.wikidata.org/entity/Q3814719"
"+1622-01-15T00:00:00Z","+1673-02-17T00:00:00Z","Molière","Les Fourberies de Scapin	Le Bourgeois gentilhomme	The Imaginary Invalid	The Misanthrope	Tartuffe	Dom Juan	The School for Wives	The Imaginary Cuckold	Psyché (tragédie-ballet)	The Miser	Le Médecin volant","male","http://www.wikidata.org/entity/Q687"
"+1896-06-16T00:00:00Z","+1975-06-08T00:00:00Z","Murray Leinster","","male","http://www.wikidata.org/entity/Q550449"
"+1862-09-11T00:00:00Z","+1910-06-05T00:00:00Z","O. Henry","","male","http://www.wikidata.org/entity/Q172788"
"+1728-11-10T00:00:00Z","+1774-04-04T00:00:00Z","Oliver Goldsmith","","male","http://www.wikidata.org/entity/Q236236"
"-0043-03-20T00:00:00Z","+0017-00-00T00:00:00Z","Ovid","Metamorphoses	Heroides	Ibis","male","http://www.wikidata.org/entity/Q7198"
"+1909-11-10T00:00:00Z","+1970-08-19T00:00:00Z","Paweł Jasienica","","male","http://www.wikidata.org/entity/Q2500770"
"+1753-05-08T00:00:00Z","+1784-12-05T00:00:00Z","Phillis Wheatley","Poems on Various Subjects, Religious and Moral","female","http://www.wikidata.org/entity/Q257911"
"+1914-11-07T00:00:00Z","+2002-03-18T00:00:00Z","R. A. Lafferty","","male","http://www.wikidata.org/entity/Q982489"
"+1914-03-01T00:00:00Z","+1994-04-16T00:00:00Z","Ralph Ellison","Invisible Man","male","http://www.wikidata.org/entity/Q299965"
"+1903-02-21T00:00:00Z","+1976-10-25T00:00:00Z","Raymond Queneau","","male","http://www.wikidata.org/entity/Q218690"
"+1908-09-04T00:00:00Z","+1960-11-28T00:00:00Z","Richard Wright","Uncle Tom's Children	Native Son	Black Boy	The Outsider","male","http://www.wikidata.org/entity/Q319820"
"+1916-09-13T00:00:00Z","+1990-11-23T00:00:00Z","Roald Dahl","Charlie and the Chocolate Factory	James and the Giant Peach	Fantastic Mr Fox	Matilda	The Witches	The Twits	The BFG	The Gremlins	George's Marvellous Medicine	Danny, the Champion of the World	Charlie and the Great Glass Elevator","male","http://www.wikidata.org/entity/Q25161"
"+1946-06-28T00:00:00Z","+2008-05-22T00:00:00Z","Robert Asprin","","male","http://www.wikidata.org/entity/Q976059"
"+1895-07-24T00:00:00Z","+1985-12-07T00:00:00Z","Robert Graves","I, Claudius","male","http://www.wikidata.org/entity/Q201732"
"+1927-05-25T00:00:00Z","+2001-03-12T00:00:00Z","Robert Ludlum","Bourne Trilogy","male","http://www.wikidata.org/entity/Q224113"
"+1942-06-18T00:00:00Z","+2013-04-04T00:00:00Z","Roger Ebert","","male","http://www.wikidata.org/entity/Q212173"
"+1937-05-13T00:00:00Z","+1995-06-14T00:00:00Z","Roger Zelazny","Lord of Light	The Chronicles of Amber	Isle of the Dead	The Doors of His Face, The Lamps of His Mouth, and Other Stories	Doorways in the Sand	Eye of Cat	Unicorn Variations	A Night in the Lonesome October","male","http://www.wikidata.org/entity/Q295406"
"+1870-12-18T00:00:00Z","+1916-11-13T00:00:00Z","Sakura","","male","http://www.wikidata.org/entity/Q311526"
"+1947-06-19T00:00:00Z","","Salman Rushdie","The Satanic Verses","male","http://www.wikidata.org/entity/Q44306"
"+1709-09-18T00:00:00Z","+1784-12-13T00:00:00Z","Samuel Johnson","","male","http://www.wikidata.org/entity/Q183266"
"+1915-06-10T00:00:00Z","+2005-04-05T00:00:00Z","Saul Bellow","The Adventures of Augie March	Herzog	Henderson the Rain King","male","http://www.wikidata.org/entity/Q83059"
"+1939-04-13T00:00:00Z","+2013-08-30T00:00:00Z","Seamus Heaney","Death of a Naturalist	District and Circle	Human Chain","male","http://www.wikidata.org/entity/Q93356"
"+1888-07-17T00:00:00Z","+1970-02-17T00:00:00Z","Shmuel Yosef Agnon","Tel ou tel	The Bridal Canopy	Invité pour la Nuit	Those Were the Days	Une histoire simple	Days of Awe","male","http://www.wikidata.org/entity/Q133042"
"+1886-09-08T00:00:00Z","+1967-09-01T00:00:00Z","Siegfried Sassoon","Memoirs of a Fox-Hunting Man","male","http://www.wikidata.org/entity/Q363729"
"+1882-05-20T00:00:00Z","+1949-06-10T00:00:00Z","Sigrid Undset","","female","http://www.wikidata.org/entity/Q80889"
"+1885-02-07T00:00:00Z","+1951-01-10T00:00:00Z","Sinclair Lewis","It Can't Happen Here","male","http://www.wikidata.org/entity/Q123469"
"+1942-11-07T00:00:00Z","+2002-12-09T00:00:00Z","Stan Rice","","male","http://www.wikidata.org/entity/Q941337"
"+1930-05-11T00:00:00Z","+1995-05-31T00:00:00Z","Stanley Elkin","","male","http://www.wikidata.org/entity/Q3968234"
"+1947-08-12T00:00:00Z","","Stefano Benni","","male","http://www.wikidata.org/entity/Q561116"
"+1957-11-13T00:00:00Z","","Stephen Baxter","Xeelee Sequence	Manifold Trilogy	The Long Earth	The Time Ships","male","http://www.wikidata.org/entity/Q314416"
"+1871-11-01T00:00:00Z","+1900-06-05T00:00:00Z","Stephen Crane","The Red Badge of Courage","male","http://www.wikidata.org/entity/Q206534"
"+1955-11-23T00:00:00Z","","Steven Brust","","male","http://www.wikidata.org/entity/Q1780503"
"+1902-09-20T00:00:00Z","+1971-03-07T00:00:00Z","Stevie Smith","","female","http://www.wikidata.org/entity/Q468344"
"+1842-03-18T00:00:00Z","+1898-09-09T00:00:00Z","Stéphane Mallarmé","","male","http://www.wikidata.org/entity/Q767"
"+0070-00-00T00:00:00Z","+0126-00-00T00:00:00Z","Suetonius","The Twelve Caesars","male","http://www.wikidata.org/entity/Q10133"
"+1839-03-16T00:00:00Z","+1907-09-06T00:00:00Z","Sully Prudhomme","","male","http://www.wikidata.org/entity/Q42247"
"-0543-01-01T00:00:00Z","-0495-01-01T00:00:00Z","Sun Tzu","","male","http://www.wikidata.org/entity/Q37151"
"+1935-05-23T00:00:00Z","","Susan Cooper","The Dark Is Rising Sequence","female","http://www.wikidata.org/entity/Q236848"
"+1932-10-27T00:00:00Z","+1963-02-11T00:00:00Z","Sylvia Plath","The Bell Jar	Ariel","female","http://www.wikidata.org/entity/Q133054"
"+1906-05-29T00:00:00Z","+1964-01-17T00:00:00Z","T. H. White","","male","http://www.wikidata.org/entity/Q453410"
"+1949-03-24T00:00:00Z","","Tabitha King","","female","http://www.wikidata.org/entity/Q284287"
"+1930-08-17T00:00:00Z","+1998-10-28T00:00:00Z","Ted Hughes","","male","http://www.wikidata.org/entity/Q272194"
"+1944-01-08T00:00:00Z","","Terry Brooks","","male","http://www.wikidata.org/entity/Q318845"
"+1948-04-28T00:00:00Z","+2015-03-12T00:00:00Z","Terry Pratchett","Good Omens	Nation	Discworld books","male","http://www.wikidata.org/entity/Q46248"
"+1918-02-26T00:00:00Z","+1985-05-08T00:00:00Z","Theodore Sturgeon","More Than Human	Microcosmic God	I, Libertine","male","http://www.wikidata.org/entity/Q240253"
"+1716-12-26T00:00:00Z","+1771-07-30T00:00:00Z","Thomas Gray","","male","http://www.wikidata.org/entity/Q315516"
"+1840-06-02T00:00:00Z","+1928-01-11T00:00:00Z","Thomas Hardy","Tess of the d'Urbervilles	Far from the Madding Crowd	Jude the Obscure","male","http://www.wikidata.org/entity/Q132805"
"+1875-06-06T00:00:00Z","+1955-08-12T00:00:00Z","Thomas Mann","Buddenbrooks	The Magic Mountain	Death in Venice	Joseph and His Brothers	Lotte in Weimar: The Beloved Returns	Royal Highness	Doctor Faustus	The Holy Sinner	Confessions of Felix Krull	Tristan	Tonio Kröger	Mario and the Magician	Reflections of an Unpolitical Man	Gefallen	Disillusionment	Little Herr Friedemann	The Clown	Tobias Mindernickel	The Wardrobe	Luischen	The Road to the Churchyard	Gladius Dei	Fiorenza	The Child Prodigy	Anekdote	Railway Accident	The Fight between Jappe and the Do Escobar	A Man and His Dog	The Blood of the Walsungs	Disorder and Early Sorrow	The Transposed Heads	The Tables of the Law	The Black Swan	Die Lösung der Judenfrage	The German Republic	The Problem of Freedom	Listen, Germany!	Germany and the Germans	The Coming Victory of Democracy","male","http://www.wikidata.org/entity/Q37030"
"+1897-04-17T00:00:00Z","+1975-12-07T00:00:00Z","Thornton Wilder","","male","http://www.wikidata.org/entity/Q155087"
"+1811-08-30T00:00:00Z","+1872-10-23T00:00:00Z","Théophile Gautier","","male","http://www.wikidata.org/entity/Q183713"
"+1952-02-29T00:00:00Z","","Tim Powers","","male","http://www.wikidata.org/entity/Q363810"
"+1947-04-12T00:00:00Z","+2013-10-01T00:00:00Z","Tom Clancy","Threat Vector	The Hunt for Red October","male","http://www.wikidata.org/entity/Q105167"
"+1937-07-03T00:00:00Z","","Tom Stoppard","","male","http://www.wikidata.org/entity/Q294773"
"+1931-02-18T00:00:00Z","","Toni Morrison","The Bluest Eye	Sula	Song of Solomon	Tar Baby	Beloved	Jazz	Paradise	Love	A Mercy	Home	God Help the Child","female","http://www.wikidata.org/entity/Q72334"
"+1942-06-02T00:00:00Z","","Tony Buzan","","male","http://www.wikidata.org/entity/Q324925"
"+1544-03-11T00:00:00Z","+1595-04-25T00:00:00Z","Torquato Tasso","","male","http://www.wikidata.org/entity/Q168962"
"+1914-08-09T00:00:00Z","+2001-06-27T00:00:00Z","Tove Jansson","The Moomins	Moomin comic strips","female","http://www.wikidata.org/entity/Q102071"
"+1896-04-16T00:00:00Z","+1963-12-25T00:00:00Z","Tristan Tzara","Handkerchief of Clouds","male","http://www.wikidata.org/entity/Q16409"
"+1929-10-21T00:00:00Z","+2018-01-22T00:00:00Z","Ursula K. Le Guin","Earthsea series	Hainish Cycle	The Lathe of Heaven	The Eye of the Heron	Malafrena	The Beginning Place	Always Coming Home	Annals of the Western Shore	Lavinia	Catwings series	The Language of the Night	Dancing at the Edge of the World	Steering the Craft","female","http://www.wikidata.org/entity/Q181659"
"+1936-04-09T00:00:00Z","+1988-04-25T00:00:00Z","Valerie Solanas","SCUM Manifesto	Performing Scum	SCUM manifesto [Images animées]","female","http://www.wikidata.org/entity/Q11093"
"+1944-10-02T00:00:00Z","","Vernor Vinge","True Names	A Fire Upon the Deep","male","http://www.wikidata.org/entity/Q312405"
"+1546-01-01T00:00:00Z","+1591-07-22T00:00:00Z","Veronica Franco","","female","http://www.wikidata.org/entity/Q257493"
"+1898-04-26T00:00:00Z","+1984-12-14T00:00:00Z","Vicente Aleixandre","","male","http://www.wikidata.org/entity/Q134644"
"+1953-09-05T00:00:00Z","","Victor Davis Hanson","","male","http://www.wikidata.org/entity/Q1276395"
"+1802-02-26T00:00:00Z","+1885-05-22T00:00:00Z","Victor Hugo","Les Misérables	The Hunchback of Notre Dame","male","http://www.wikidata.org/entity/Q535"
"-0070-10-15T00:00:00Z","-0019-09-21T00:00:00Z","Virgil","Eclogues	Georgics	Aeneid","male","http://www.wikidata.org/entity/Q1398"
"+1882-01-25T00:00:00Z","+1941-03-28T00:00:00Z","Virginia Woolf","To the Lighthouse	Mrs Dalloway	Orlando: A Biography	A Room of One's Own","female","http://www.wikidata.org/entity/Q40909"
"+1899-04-10T00:00:00Z","+1977-07-02T00:00:00Z","Vladimir Nabokov","The Defense	The Real Life of Sebastian Knight	Lolita	Pale Fire	Speak, Memory","male","http://www.wikidata.org/entity/Q36591"
"+1694-11-21T00:00:00Z","+1778-05-30T00:00:00Z","Voltaire","Candide	Zadig	Zaïre","male","http://www.wikidata.org/entity/Q9068"
"+1916-05-28T00:00:00Z","+1990-05-10T00:00:00Z","Walker Percy","","male","http://www.wikidata.org/entity/Q176909"
"+1819-05-31T00:00:00Z","+1892-03-26T00:00:00Z","Walt Whitman","Leaves of Grass	O Captain! My Captain!","male","http://www.wikidata.org/entity/Q81438"
"+1554-00-00T00:00:00Z","+1618-10-29T00:00:00Z","Walter Raleigh","","male","http://www.wikidata.org/entity/Q189144"
"+1943-06-26T00:00:00Z","","Warren Farrell","The Myth of Male Power","male","http://www.wikidata.org/entity/Q963920"
"+1893-03-18T00:00:00Z","+1918-11-04T00:00:00Z","Wilfred Owen","","male","http://www.wikidata.org/entity/Q212719"
"+1832-04-15T00:00:00Z","+1908-01-09T00:00:00Z","Wilhelm Busch","","male","http://www.wikidata.org/entity/Q109540"
"+1786-02-24T00:00:00Z","+1859-12-16T00:00:00Z","Wilhelm Grimm","","male","http://www.wikidata.org/entity/Q6714"
"+1757-11-28T00:00:00Z","+1827-08-12T00:00:00Z","William Blake","The Marriage of Heaven and Hell	And did those feet in ancient time	Songs of Innocence and of Experience","male","http://www.wikidata.org/entity/Q41513"
"+1883-09-17T00:00:00Z","+1963-03-04T00:00:00Z","William Carlos Williams","Paterson","male","http://www.wikidata.org/entity/Q178106"
"+1670-01-24T00:00:00Z","+1729-01-19T00:00:00Z","William Congreve","","male","http://www.wikidata.org/entity/Q366805"
"+1928-03-06T00:00:00Z","","William F. Nolan","","male","http://www.wikidata.org/entity/Q2578761"
"+1897-09-25T00:00:00Z","+1962-07-06T00:00:00Z","William Faulkner","The Sound and the Fury	As I Lay Dying	Light in August	Absalom, Absalom!	A Rose for Emily","male","http://www.wikidata.org/entity/Q38392"
"+1948-03-17T00:00:00Z","","William Gibson","Neuromancer","male","http://www.wikidata.org/entity/Q188987"
"+1911-09-19T00:00:00Z","+1993-06-19T00:00:00Z","William Golding","Lord of the Flies","male","http://www.wikidata.org/entity/Q44183"
"+1931-08-12T00:00:00Z","","William Goldman","Dread Pirate Roberts","male","http://www.wikidata.org/entity/Q506885"
"+1811-07-18T00:00:00Z","+1863-12-24T00:00:00Z","William Makepeace Thackeray","Vanity Fair","male","http://www.wikidata.org/entity/Q167768"
"+1914-02-05T00:00:00Z","+1997-08-02T00:00:00Z","William S. Burroughs","Naked Lunch	Nova Express","male","http://www.wikidata.org/entity/Q188176"
"+1908-08-31T00:00:00Z","+1981-05-18T00:00:00Z","William Saroyan","The Time of Your Life	My Name Is Aram	The Human Comedy","male","http://www.wikidata.org/entity/Q207356"
"+1770-04-07T00:00:00Z","+1850-04-23T00:00:00Z","William Wordsworth","The Prelude","male","http://www.wikidata.org/entity/Q45546"
