m5_id,m5_cid,m5_number,m5_length,m5_title,m5_artist,m5_album,m5_year,m5_language,m5_filtering_attr
m5_29,78,n.a.,118373,Chut,Frederica von Stade,Canteloube : Chants d'Auvergne,,French,chutfredericavonstadecanteloubechantsdauvergne
m5_30,79,3,262000,Oilean Draiochta,Melanie O'Reilly,Celtic Spirit: Tales of the Soul,1998,English,oileandraiochtamelanieoreillycelticspirittalesofthesoul
m5_31,7682,2,151000,Explanation,Abstract Tribe Unique,Thynk Taynk -- Ocean Floor,,English,explanationabstracttribeuniquethynktaynkoceanfloor
m5_32,8591,8,73000,VS. X-C alibur,The DJ's Project,Bring It Back,2005,English,vsxcaliburthedjsprojectbringitback
m5_33,83,8,150000,Van mij kan je de pot op,Lowland Trio,Hollands Glorie: Lowland Trio,2002,Ducth,vanmijkanjedepotoplowlandtriohollandsglorielowlandtrio
m5_34,7453,6,,Price of Time,Domain,One Million Lightyears From Home,2001,English,priceoftimedomainonemillionlightyearsfromhome
m5_35,86,3,,According to Me,Mind the Gap,Make,2005,[Multiple languages],accordingtomemindthegapmake
m5_36,89,39,430897,Sunday on My Mind (original mix),Daniel Stefanik,Berlinn Afterhour 3 - From Minimal to Techno - From Electro to House,,English,sundayonmyminddanielstefanikberlinnafterhour3fromminimaltotechnofromelectrotohouse
m5_37,90,10,84000,Eight Pieces for Flute Alone -- Rezitativ,unk.,Mark Sparks flute with Clinton Adams piano,,,eightpiecesforflutealonerezitativunkmarksparksflutewithclintonadamspiano
m5_38,2544,7,311000,Concerto in G: I. Allegro ma non troppo,Antonio Piacentino BRomano,Italian Flute Concertos,1993,English,concertoingiallegromanontroppoantoniopiacentinobromanoitalianfluteconcertos
m5_39,93,2,443440,Endless Winter,Marconi Union,A Lost Connection,2010,English,endlesswintermarconiunionalostconnection
m5_40,94,3,242000,Too Far Gone,The All‐American Rejects,"Same Girl, New Songs",,English,toofargonetheall‐americanrejectssamegirlnewsongs
m5_41,96,unk.,179000,Junior Crehan's / Junior Crejan's (flings),The Mulcahy Family,The Mulcahy Family,2000,English,juniorcrehansjuniorcrejansthemulcahyfamilythemulcahyfamily
m5_42,97,3,402000,We  All Need Some Light,Transatlantic,Live in Europe,2003,English,weallneedsomelighttransatlanticliveineurope
m5_43,3925,4,291680,Родина,"Ольга Арефьева и группа ""Ковчег""",А и Б,2006,Russian,родинаольгаарефьеваигруппаковчегаиб
m5_44,8719,34,30000,Adhan Calling,Giles Perring & Edwards,Middle East Beats,,English,adhancallinggilesperring&edwardsmiddleeastbeats
m5_45,8499,2,138760,Las batallas,Café Tacvba,Un viaje,2005,Spanish,lasbatallascafétacvbaunviaje
m5_46,1246,7,256026,Stark,VLE,Book of Illusions: Chapter I & II,2001,Eng lish,starkvlebookofillusionschapteri&ii
m5_47,109,2,286000,Echo Elephant,Luna Negra,Soundproof Demo,2009,English,echoelephantlunanegrasoundproofdemo
m5_48,110,6,,Stars Are Blind (The Scumfrog's extreme makeover),Paris Hilton,Stars Are Blind,2006,English,starsareblindparishiltonstarsareblind
m5_49,113,13,231706,Patio Smasher,Dirty South,"10q"" Dubplate Sessions",,Englzish,patiosmasherdirtysouth10qdubplatesessions
m5_50,9771,11,210000,Ein neuer Tanz,Jäger 90,"Awake theM achines, Volume 7",2011,English,einneuertanzjäger90awakethemachinesvolume7
m5_51,117,2,342933,Three O'Clock in the Morning,Dexter Gordon,The Classic Blue Note Recordings,2003,English,threeoclockinthemorningdextergordontheclassicbluenoterecordings
m5_52,122,4,397000,Pout-Porri: Inigualável Paixão/Falsa Consideração,Art Popular,Pagode pra Valer,1999,Portuguese,poutporriinigualávelpaixãofalsaconsideraçãoartpopularpagodepravaler
m5_53,6406,2,2 18000,Pride (A Love) Deeper,Barefoot,Barefoot,2006,English,pridedeeperbarefootbarefoot
m5_54,130,3,142000,Malce It Happen,The Get Set,Down Marriot Lane!,2002,English,malceithappenthegetsetdownmarriotlane
m5_55,131,B2,209000,Tuuli,Skädmä,Mustat joutsenet,,Finnish,tuuliskädmämustatjoutsenet
m5_56,132,13,245360,Sylvania,Kelpe,Sea Inside Body,2004,English,sylvaniakelpeseainsidebody
m5_57,134,1,166000,Helb America,Dan Bárta,Horem,,[Multiple languages],helbamericadanbártahorem
m5_58,8649,9,,Из далеких из краев,Песняры,Лявоны,2006,Russian,издалекихизкраевпеснярылявоны
m5_59,7588,8,233613,Rompecabezas,Kapanga,¡Esta!,2004,Spanish,rompecabezaskapanga¡esta
m5_60,8882,3,115240,Was wichtig ist: Da Capo,Udo Jürgens,Mit 66 Jahren: Live 2001,2001,German,waswichtigistdacapoudojürgensmit66jahrenlive2001
m5_61,185,5,151866,'s Wonderful,Sarah Vaughan,Great Ladies and Gents of Jazz,1999,English,swonderfulsarahvaughangreatladiesandgentsofjazz
m5_62,144,4,189906,On the Bank,Rude-Rich-and-the-High-Notes,Soul Stomp,,unk.,onthebankruderichandthehighnotessoulstomp
m5_63,152,9,243960,Don't Dream It's Over,Sixpence None the Richer,The Best of Sixpence None the Richer,2004,English,dontdreamitsoversixpencenonethericherthebestofsixpencenonethericher
m5_64,8867,1,168000,#9,BEAT-CRUSADERS,LOVEPOTION #9,2005,English,#9beatcrusaderslovepotion#9
m5_65,4748,7,146000,Fussin' and Fighting,Bob Marley & The Wailers,The,,English,fussinandfightingbobmarley&thewailersthe
m5_66,158,7,175493,Saturrne,Georges Brassens,J'ai rendez-vous avec vous (intégrale édition 88),1988,French,saturrnegeorgesbrassensjairendezvousavecvous
m5_67,162,E4,261000,"A Wand'ring Minstrel I, From ""The Mikado""",Sir William Gilbert & Sir Arthur Sullivan,Golden Sounds From the Classics,,English,awandringminstrelifromthemikadosirwilliamgilbert&sirarthursullivangoldensoundsfromtheclassics
m5_68,163,11,186000,Held Hostage,The Las Resort,"Oi! The Singles Collection, Volume 2",1996,English,heldhostagethelasresortoithesinglescollectionvolume2
m5_69,164,18,204000,We R Who We R,Keha,Animal + Cannibal,2011,English,werwhowerkehaanimal+cannibal
m5_70,3006,17,310000,Halelujá,Jaromír Nohavica,PražsTká pálená,2006,Czech,halelujájaromírnohavicapražstkápálená
m5_71,3848,7,238933,One More Time (Karneval),Crystal Gayle,Best of Crystal Gayle,1993,English,onemoretimecrystalgaylebestofcrystalgayle
m5_72,3229,3,,Makin' Out With Granny,Falling Mirror Mirror,Zen Boulders,1089,English,makinoutwithgrannyfallingmirrormirrorzenboulders
m5_73,176,6,,Life es corta,Látex,Recuérdame,2005,Spanish,lifeescortalátexrecuérdame
m5_74,187,2,227000,Legacy in Glass,Raygun Ballet,Big California,2013,English,legacyinglassraygunballetbigcalifornia
m5_75,188,51,9000,Harp Glissando (h),Jim Rattigan,The Harp Album,,English,harpglissandojimrattigantheharpalbum
m5_76,2941,1,153000,Main Title (Alice in Wonderland),Sammy Fain,Walt Disney's Alice in Wonderland,2001,English,maintitlesammyfainwaltdisneysaliceinwonderland
m5_77,8147,8,390000,Super Bolid,Jesus Raves,Jigoku,2011,English,superbolidjesusravesjigoku
m5_78,197,10,108000,Alkohol,Christian Hölbling,Helfried kommt!,2003,German,alkoholchristianhölblinghelfriedkommt
m5_79,6608,9,218000,3 Sided Light,Solillaquists of Sound,4 Student Counsol (Running From Precedence),2002,English,3sidedlightsolillaquistsofsound4studentcounsol
m5_80,207,10,314707,Imperial March (Simon Preston),Sir Edward Elgar,Great Organ Works,,English,imperialmarchsiredwardelgargreatorganworks
m5_81,211,4,141666,Get Under It,Robert Pollard,Not in My Airforce,1996,English,getunderitrobertpollardnotinmyairforce
m5_82,214,2,365000,Nada,Robert Rich,Humidity,2000,English,nadarobertrichhumidity
m5_83,220,3,496000,From Your Place on Sunset,Low,Murderer,2003,English,fromyourplaceonsunsetlowmurderer
m5_84,6471,11,436000,Can't Stop the Rain (Mainfield remix),Cascada,The Remix Album,2006,English,cantstoptheraincascadatheremixalbum
m5_85,232,1,174000,Germination (full mix),Adrian James Watkins,Nu Electronica,,English,germinationadrianjameswatkinsnuelectronica
m5_86,235,8,222466,On A Drowsy Sea,Tear Ceremony,An Hourglass Of Opals,1993,English,onadrowsyseatearceremonyanhourglassofopals
m5_87,238,1,205000,Jesus,GoodMorKningBoy,Boomsongs for Velvet,2004,English,jesusgoodmorkningboyboomsongsforvelvet
m5_88,240,10,277000,Letters FroGm Home,Angie Palmer,Tales of Light and Darkness,,English,lettersfrogmhomeangiepalmertalesoflightanddarkness
m5_89,6488,1,196533,Ma che musica maestro,Raffaella Carrà,I grandi successi originali,2000,Italian,machemusicamaestroraffaellacarràigrandisuccessioriginali
m5_90,253,19,250000,Complainte de Pablo Neruda,Jean Ferrat,BBest Of 3C,2009,French,complaintedepablonerudajeanferratbbestof3c
m5_91,1423,12,95000,12,Dead,In the Bondage of Vice,,English,12deadinthebondageofvice
m5_92,3048,,280746,How the First Letter was Written 1/4,Rudyard Kipling,Just So Stories,,English,howthefirstletterwaswritten14rudyardkiplingjustsostories
m5_93,3457,5,195000,Nuit à Kingston,Nuttea,Paris Kingston Parsi,1993,[Multiple languagesB],nuitàkingstonnutteapariskingstonparsi
m5_94,3621,16,18000,Ο πληθυντικός αριθμός - ΙΙΙ. Η μνήμη,Τάνια Τσανακλίδου,Το μαγικό κουτί,1998,Greek,οπληθυντικόςαριθμόςιιιημνήμητάνιατσανακλίδουτομαγικόκουτί
m5_95,270,9,,ミ ス・アンナ,the BOOGIE JACK,the BOOGIE JACK,2005,JJapanese,ミス・アンナtheboogiejacktheboogiejack
m5_96,9046,6,121480,Slow Wave Sleep,Scribe Machine,Replicant,,,slowwavesleepscribemachinereplicant
m5_97,3891,6,371000,Never Trust the Man,n.a.,Shrug,1994,English,nevertrustthemannashrug
m5_98,4058,5,304000,Russlan and Ludmilla: Overture,Михаил Иванович Глинка,The Sheffield / Coustic Set Up and Test Disc,1994,English,russlanandludmillaovertureмихаиливановичглинкаthesheffieldcousticsetupandtestdisc
m5_99,4519,27,206000,Rocker,Alter Ego,"Essential Underground, Volume 9: Stockholm",2004,English,rockeralteregoessentialundergroundvolume9stockholm
m5_100,7685,3,166373,Matthäus Kapitel 3,Szenische Lesung,Die Große Hörbibel,2007,German,matthäuskapitel3szenischelesungdiegroßehörbibel
m5_101,287,6,235000,Anda Comigo Ver os Aviões,Os Azeitonas,Salão América,2012,Portuguese,andacomigoverosaviõesosazeitonassalãoamérica
m5_102,291,6,308000,The Loyal Shall Inherit,Divinity Compromised,A World Torn,2013,English,theloyalshallinheritdivinitycompromisedaworldtorn
m5_103,1260,8,437000,Irish Setter,John Fahey,The Yellow Princess,2006,English,irishsetterjohnfaheytheyellowprincess
m5_104,1732,3,986999,Shyama Bolo,Jai Uttal and Ben Leinbach,Bhakti Bazaar,,,shyamabolojaiuttalandbenleinbachbhaktibazaar
m5_105,299,11,234000,Mystery Babylon Dub,Earl Zero,Marketplace,2011,English,mysterybabylondubearlzeromarketplace
m5_106,9756,11,133546,"They're Coming to Take You Awayy, Ha-Haa!",Napoleon XIV,Rock 'n' Roll - The Collection (disc 6) - Goofy Rock!,,English,theyrecomingtotakeyouawayyhahaanapoleonxivrocknrollthecollectiongoofyrock
m5_107,3313,2,212000,Ball And Chain (LP Version),Tommy James,The Solo Years (1970-81),1991,English,ballandchain
m5_108,306,10,260666,Down to Earth,Curiosity Killed the Cat,"Acid Jazz Classics, Volume 2",1999,English,downtoearthcuriositykilledthecatacidjazzclassicsvolume2
m5_109,9645,12,242000,Butta-Few-Co,Kwest Tha Madd Lad,This Is My First Album,1996,English,buttafewcokwestthamaddladthisismyfirstalbum
m5_110,311,15,222067,"Sucht die Kugel, die auf dem Grab sollt' sein",Dan Brown,Sakrileg (feat. narrator: Wolfgang Pampel),2004,German,suchtdiekugeldieaufdemgrabsolltseindanbrownsakrileg
m5_111,312,3,220000,Dead of the Night,Venom,American Assault,1985,Englis,deadofthenightvenomamericanassault
m5_112,7057,1,167000,Francois Truffaut,Angelika Express,Hosen runter! Demos 2002-2003,2009,German,francoistruffautangelikaexpresshosenrunterdemos20022003
m5_113,318,8,150000,Je tombe en amour encore une fois,Georges Hamel,Ces belles années !,,French,jetombeenamourencoreunefoisgeorgeshamelcesbellesannées
m5_114,323,4,224000,Janitor,Pyrior,Oceans Procellarum,2010,English,janitorpyrioroceansprocellarum
m5_115,324,8,152720,Nothing at All,Puncehrs PLANT,State of Fear,2008,English,nothingatallpuncehrsplantstateoffear
m5_116,9050,59,30000,Solitary Gladiator C,Ron D. Komie & Rick Rhodes,"Olympic Challenge, Volume 2",,English,solitarygladiatorcrondkomie&rickrhodesolympicchallengevolume2
m5_117,333,7,251800,Conefssion,Jack Radics,Always Around,,English,conefssionjackradicsalwaysaround
m5_118,4304,A4,417000,A.U. Tomb,Sirrah,Acme,2005,English,autombsirrahacme
m5_119,5187,9,316380,"One More Time, One More Chance",Smooth Ace,OTHER PEOPLE' SSONGS,2004,Japanese,onemoretimeonemorechancesmoothaceotherpeoplessongs
m5_120,343,2,424133,Medley: Theme from Schindler's list / Via dolorosa,Maurice Sklar,Songs of Zion,,,medleythemefromschindlerslistviadolorosamauricesklarsongsofzion
m5_121,348, 9,291333,Solo for Sheng,Lam-Zi Kun,The Sound of Silk and Bamboo,,,soloforshenglamzikunthesoundofsilkandbamboo
m5_122,4131,15,248506,Where Is the Conscience of the World,J.C. Mark,Adventures in Music 3: Pop/Rock Sampler,1990,English,whereistheconscienceoftheworldjcmarkadventuresinmusic3poprocksampler
m5_123,358,7,217000,Why (Am I Treated So Bad),"Julie Driscoll, Brian Auger & The Trinity",Open,1967,English,whyjuliedriscollbrianauger&thetrinityopen
m5_124,682,9,272826,No Matter What Goes Right,Trout Fishing in America,1995 Kerrville Highlights,1995,English,nomatterwhatgoesrighttroutfishinginamerica1995kerrvillehighlights
m5_125,7839,1,302813,Ready to Go,Republica,100 Essential Tracks: Pop,2010,English,readytogorepublica100essentialtrackspop
m5_126,681,17,301000,Through the Fire and Flames,DragonForce,Sleeveless: A Purevolume Digital Collection,2006,English,throughthefireandflamesdragonforcesleevelessapurevolumedigitalcollection
m5_127,3137,10,403906,Samba de Minhaterra (C. Caymmi),Baden Powell,Baden Powell,,,sambademinhaterrabadenpowellbadenpowell
m5_128,372,13,48000,Skydive Outro,Nuspirit Helsinki,Nuspirit Helsinki,2002,English,skydiveoutronuspirithelsinkinuspirithelsinki
m5_129,8093,4,251000,Hitze,Mark Boombastik & Eduardo Delgado Lopez,Adiós Berlin,2011,German,hitzemarkboombastik&eduardodelgadolopezadiósberlin
m5_130,3857,1,384480,Riddim Supastar,60 Channels,Covert Movements,2004,English,riddimsupastar60channelscovertmovements
m5_131,378,3,323369,"Symphony №1 in C minor, op. 11: III. Menuetto & Trio, Allegro di Molto",Feli xMendelssohn,The Complete Symphonies,2010,English,symphony№1incminorop11iiimenuetto&trioallegrodimoltofelixmendelssohnthecompletesymphonies
m5_132,9385,1,60080,Year's Girl #4,Pizzicato Five,This Year's Girl,2000,English,yearsgirl#4pizzicatofivethisyearsgirl
m5_133,9322,19,58000,"'Fughetta super' Gelobet seist du, Jesu Christ, BWV697",Johann Sebastian Bach,L'oeuvre d'orgue,,,fughettasupergelobetseistdujesuchristbwv697johannsebastianbachloeuvredorgue
m5_134,381,6,123040,Mrs Beane / Aufmarsch,Stage Holding,Titanic! Das Musical in Hamburg,2002,,mrsbeaneaufmarschstageholdingtitanicdasmusicalinhamburg
m5_135,382,13,166000,Jamboree Jones,Spike Jones and His City Slickers,Spike Jones Greatest Hits Box 2,2007,English,jamboreejonesspikejonesandhiscityslickersspikejonesgreatesthitsbox2
m5_136,387,8,234333,Contraband Crowbar,Giants of Science,The History of Warfare,2002,English,contrabandcrowbargiantsofsciencethehistoryofwarfare
m5_137,393,1,251960,Call Me,Eliane Elias,Dreamer,2005,English,callmeelianeeliasdreamer
m5_138,9619,17,117626,We Don't Need You,Blanks 77,Killr Blanks,1996,English,wedontneedyoublanks77killrblanks
m5_139,879,2,261946,Poland,Ganache,"The Lifted Brow, No. 6",2010,English,polandganachetheliftedbrowno6
m5_140,399,15,271855,Ghost Walking,Lamb of God,SPIN's,2012,English,ghostwalkinglambofgodspins
m5_141,402,1,,Lost,klein,the next small thing,2006,English,lostkleinthenextsmallthing
m5_142,5551,14,179733,La Belle Hélène: Act II. No. 9 Entr'acte,Jacques Offenbach,La Belle Hélène (Chœurs et Orchestre du Capitole de Toulouse feat. conductor: Michel Plasson),1958,French,labellehélèneactiino9entractejacquesoffenbachlabellehélène
m5_143,405,10,,Non farò mai (strumentale),Uomini di mare,Lato & Fabri Fibra,2993,Italian,nonfaròmaiuominidimarelato&fabrifibra
m5_144,5785,14,171866,"Sonata in G Minor Op. 1 no. 4 ""Il trillo del diavolo"": II. Allegro",Giuseppe Tartini,Virtuoso Violin,,English,sonataingminorop1no4iltrillodeldiavoloiiallegrogiuseppetartinivirtuosoviolin
m5_145,406,0,231533,Silent Tears And Roses,Herb Alpert,Midnight Sun,1992,English,silenttearsandrosesherbalpertmidnightsun
m5_146,409,2,430000,Orbit,Model 500,Deep Space,2008,English,orbitmodel500deepspace
m5_147,6357,3,251000,Day o. Mine,Toktok vs. Soffy O.,Essentieal Dance 2002,2002,English,dayominetoktokvssoffyoessentiealdance2002
m5_148,416,8,110619,God's Death (Grave Version),Absurd,Life Beyond the Grave: 1992-1994,2010,[Multiple languages],godsdeathabsurdlifebeyondthegrave19921994
m5_149,421,3,292000,It Don't Have To Be Funky (To Be A Groove),The Salsoul Orchesttra,Nice 'n' Naasty,2013,English,itdonthavetobefunkythesalsoulorchesttranicennaasty
m5_150,428,B,,No Deeper Than Dredge Boats in Flood Waters,Cavity,Fuck Diablo,1997,English,nodeeperthandredgeboatsinfloodwaterscavityfuckdiablo
m5_151,9579,1,247000,2 Smooth,Webbie,Savage Life 2,2008,English,2smoothwebbiesavagelife2
m5_152,6382,A2,88000,Thrilling Murder,Night Birds,Nigth ,2010,English,thrillingmurdernightbirdsnigth
m5_153,1981,9,292293,Odcizení,Bratři Orffové,Bingriwingri,2005,Czech,odcizeníbratřiorffovébingriwingri
m5_154,8235,7,310853,Lies,Camel,On the Road 1982,1994,English,liescamelontheroad1982
m5_155,4624,1,29600,"Vesper Op. 37: Reading. ""Glory be to the holy...""",Сергей Васильевич Рахманинов,"Vesper Op. 37 (MDR Rundfunkchor Leipzig, Howard Arman)",2002,English,vesperop37readingglorybetotheholyсергейвасильевичрахманиновvesperop37
m5_156,441,13,181000,Uncloudy Day,The Staple Singers,Artist's Choice: Emmylou Harris,2004,English,uncloudydaythestaplesingersartistschoiceemmylouharris
m5_157,6008,2,221093,Circles,Soul Coughing,107.7 The End: End Sessions,1998,English,circlessoulcoughing1077theendendsessions
m5_158,1194,6,181000,Man vs. vrouw,Hansen Tomas,Stad & land,2008,Dutch,manvsvrouwhansentomasstad&land
m5_159,5870,2,242226,星座の由来,in cremonica mono+,ハル。,2010,Japanese,星座の由来incremonicamono+ハル。
m5_160,447,15,210043,"After You Get What You Want, You Don't Wan tIt",Marilyn Monroe,Marilyn Monroe,1990,English,afteryougetwhatyouwantyoudontwantitmarilynmonroemarilynmonroe
m5_161,448,2,124053,The Night Chicago Died,Yo La Tengo,Yo La Tengo Is Murdering the Classics,2006,English,thenightchicagodiedyolatengoyolatengoismurderingtheclassics
m5_162,450,,211693,L'Escalade obscure,Charles Koechlin,"Les Heures Persanes, Op. 65 (Kathryn Stott)",2003,French,lescaladeobscurecharleskoechlinlesheurespersanesop65
m5_163,452,18,224550,The Party's Over,Anita Kerr,Music Is Her NaXme,,English,thepartysoveranitakerrmusicishernaxme
m5_164,7351,16,110040,Tommy Can You Hear Me?,Maggie Bell,Tommy (London Symphony Orchestra & Chamber Choir),1972,English,tommycanyouhearmemaggiebelltommy
m5_165,9270,5,162000,Where  the Wild Things Are,Chenard Walcker,Middle,2004,English,wherethewildthingsarechenardwalckermiddle
m5_166,455,5,138000,Marlborough Street Blues,Ian & Sylvia,Early Morning Rain,1965,English,marlboroughstreetbluesian&sylviaearlymorningrain
m5_167,458,1,201693,Semblance,Klaus Suonsaari,Portrait in Sound,,English,semblanceklaussuonsaariportraitinsound
m5_168,7847,10,199333,Basin Street Blues,Louis Armstrong,The Quintessence: New York – Chicago 1925-1940,1 994,English,basinstreetblueslouisarmstrongthequintessencenewyork–chicago19251940
m5_169,461,26,144000,"Die Entführung aus dem Serail, KV 384 (Harmoniemusik): Allegro ""Welche Wonne, welche Lust""",Amadeus Amadeus Mozart,"Die Harmoniemusiken, Foleg 1: Die Zauberflöte / Die Entführung aus dem Serail (Consortium Classicum)", 1988,German,dieentführungausdemserailkv384
m5_170,462,3,238000,First Flight,Vincent Diamante,Cloud OST,2005,Eneglish,firstflightvincentdiamantecloudost
m5_171,464,26,43666,Kelling liggur í durum deyð,[unknownn],Alfagurt ljóðar mín tunga,1995,Faroese,kellingliggurídurumdeyðunknownnalfagurtljóðarmíntunga
m5_172,8949,3,214000,Rainy Day (live at Hofstra 1984),APB,Something to Believe In (bonus disc),2006,English,rainyday
m5_173,2811,16,141000,The Jewel in the Crown,The Park Ensemble,The Themes Album,,English,thejewelinthecrowntheparkensemblethethemesalbum
m5_174,8595,4,169026,I Take a Lot of Pride in What I Am,Merle Haggard,Steve Stone Cold Country,1999,English,itakealotofprideinwhatiammerlehaggardstevestonecoldcountry
m5_175,6691,15,,Lecam pa vecam,Raimonds Pauls,Raimonda Paula dziedāšanas svētki,2006,Latvian,lecampavecamraimondspaulsraimondapauladziedāšanassvētki
m5_176,8055,2,243000,Golden Brown,Kaleef,"MTV Raps, Volume 2",,English,goldenbrownkaleefmtvrapsvolume2
m5_177,9371,79,30000,Weather Report: Happy Hour (30 second version),Christian Steinhäuser,Modern Communication,,English,weatherreporthappyhourchristiansteinhäusermoderncommunication
m5_178,5626,12,262000,Cheating Is a Risky Business,Sir Lawrence,"Blues Revue: Blues Music Sampler (Aug - Sep, 2007)",2007,English,cheatingisariskybusinesssirlawrencebluesrevuebluesmusicsampler
m5_179,475,10,113000,Strike Out,Make or Break,Think About It,2005,English,strikeoutmakeorbreakthinkaboutit
m5_180,478,6,151000,The 81,Candy & The Kisses,Gary Crowley Presents Where the Action Is!,2004,English,the81candy&thekissesgarycrowleypresentswheretheactionis
m5_181,2773,5,234000,Au Noir,Xiu,Possession,2013,English,aunoirxiupossession
m5_182,483,15,210000,Jack O' Green,Richard Allen Harvey,Lifecycles,,Englis,jackogreenrichardallenharveylifecycles
m5_183,485,14,205000,Punk Bitch Flash,Self,"Porno, Mint & Grime",2005,English,punkbitchflashselfpornomint&grime
m5_184,1149,7,210320,Hard,Asia,,1994,English,hardasia#
m5_185,1772,25,159000,Woodward's Home Movies,Michael Giacchino,Super 8,2011,English,woodwardshomemoviesmichaelgiacchinosuper8
m5_186,491,3,317133,"Las Cubanas, Quué Lindas Son",Mamborama,Al Directamente Mambo,2006,Spaniish,lascubanasquuélindassonmamboramaaldirectamentemambo
m5_187,9134,11,275466,Ride on Time,Black Box,Greatest Eighties Collection,,,rideontimeblackboxgreatesteightiescollection
m5_188,493,69,31000,Ass Morning,The Gerogerigegege,Tokyo Anal Dynamite,2090,Japanese,assmorningthegerogerigegegetokyoanaldynamite
m5_189,497,10,,Diseases,General Smiley,Dread Meets Greensleeves: A Westside Revolution,2008,English,diseasesgeneralsmileydreadmeetsgreensleevesawestsiderevolution
m5_190,500,6,Room Service,Death Approaches,Panzerchrist,Room Service,2003,English,deathapproachespanzerchristroomservice
