ids,label,rewo_base,cdi_base,rewo_brand,cdi_brand,rewo_capacity,cdi_capacity,rewo_category,cdi_category,rewo_cluster_id,cdi_cluster_id,rewo_color,cdi_color,rewo_finish,cdi_finish,rewo_height,cdi_height,rewo_id,cdi_id,rewo_material,cdi_material,rewo_product_type,cdi_product_type,rewo_shape,cdi_shape,rewo_style,cdi_style,rewo_title,cdi_title
rewo_45812_cdi_5819,0,,,matfer,fisher,'48 l',,,,3172598,11702103,,,,,,,rewo_45812,cdi_5819,'heavy duty stainless steel','stainless steel',,,,,,," "" 111061 french whip / whisk""@en "" ","control valves "" | culinary depot"""
rewo_70941_cdi_2866,0,,,victory,continental refrigerator,'18 ga',,,'section self contained refrigeration stainless steel',12060962,4763809,,,,,,'563.00 ',rewo_70941,cdi_2866,'stainless steel','exterior aluminum','flat top' 'self contained refrigeration','digital thermometer' 'ramps',,'refrigerator','undercounter freezer' 'digital thermometer','line'," "" ufs-1-s1 reach-in undercounter freezer 1 section""@en ""  section | one section""@en","designer line extra-tall ""continental | culinary depot"""
rewo_37171_cdi_1676,0,,,eagl,vulcan,,,,,1631695,2457873,'stainless steel flyer',,,,,,rewo_37171,cdi_1676,,'stainless steel',,,,,,," ""e 24x18rrdedb164-x drainboard detachable""@en "" e detachable | sink accessories""@en","plate rail "" | culinary depot"""
rewo_22329_cdi_1676,0,,,micro matic,vulcan,,,,,1030405,2457873,,,,,,,rewo_22329,cdi_1676,'stainless steel','stainless steel',,,,,,," "" dp-820d-24 drip tray trough, beverage""@en "" micro trough","plate rail "" | culinary depot"""
rewo_65864_cdi_2351,0,,,eagl,vulcan,,,,,10063685,3687419,'stainless steel',,,,,,rewo_65864,cdi_2351,,'stainless steel',,,,,,," ""e 502808 spillage pan""@en "" e pan | ""@en","plate rail "" | culinary depot"""
rewo_54760_cdi_3837,0,,,alluserv,vulcan,,,,,6435305,7044623,,,'stainless steel',,"'36""'",,rewo_54760,cdi_3837,,'stainless steel',,,,,,," "" aest5 serving counter utility buffet""@en "" ","plate rail "" | culinary depot"""
rewo_70119_cdi_3837,0,,,star,vulcan,,,,,11716357,7044623,,,,,,,rewo_70119,cdi_3837,'stainless steel','stainless steel',,,,,'plates 6',," "" 536sba cheesemelter, electric""@en ""  cheesemelter","plate rail "" | culinary depot"""
rewo_35117_cdi_3837,0,,,randell,vulcan,,,,,1548157,7044623,,,,,,,rewo_35117,cdi_3837,'stainless steel','stainless steel',,,,,,," "" ran cp72-ss""@en "" ","plate rail "" | culinary depot"""
rewo_35117_cdi_1186,1,,,randell,randell,,,,,1548157,1548157,,,,,,,rewo_35117,cdi_1186,'stainless steel',,,,,,,'top'," "" ran cp72-ss""@en "" ","cp72-ss counter protector "" | culinary depot"""
rewo_69319_cdi_4475,0,,,bsi llc,bon chef,,,,,11392846,8687959,,,,,,,rewo_69319,cdi_4475,'48 length stainless steel','stainless steel',,,,,,," "" ft-1848 floor trough""@en "" bsi trough |","fondue pot case ""bon | culinary depot"""
rewo_47816_cdi_4475,0,,,bon chef,bon chef,,,,,4081874,8687959,,,,,,,rewo_47816,cdi_4475,'stainless steel','stainless steel',,,,,,," "" 20305st induction chafing dish, parts & accessories""@en "" bon dish accessories | universal wire lid holder""@en","fondue pot case ""bon | culinary depot"""
rewo_33693_cdi_2263,0,'legs with front & side crossrails','legs with boxed crossrails',john boos,advance tabco,,,,,1490944,3513258,,,'welded front apron adjustable stainless steel feet' 'nsf' 'stainless steel',,"'10""'","'92.00 ' '11""'",rewo_33693,cdi_2263,'stainless steel','14' 'stainless steel overall' 'nsf','legs with',,,,'deep compartments' 'fully','compartment' 'deep with 11 high splash' 'legs with welded front to rear adjustable'," "" 2pb18244-2d18 sink, (2) two compartment""@en compartment | sinks with drainboard""@en "" john sink","regaline sink ""advance | culinary depot"""
rewo_24314_cdi_2263,0,'legs with side crossrails','legs with boxed crossrails',advance tabco,advance tabco,'95 l',,,,1111215,3513258,,,'nsf' 'stainless steel',,"'20 front' '8""'","'92.00 ' '11""'",rewo_24314,cdi_2263,,'14' 'stainless steel overall' 'nsf','open frame' 'gauge',,,,'compartment with left hand drainboard' 'deep with','compartment' 'deep with 11 high splash' 'legs with welded front to rear adjustable'," "" 93-3-54-36l sink, (3) three compartment""@en "" advance sink compartment | sinks with drainboard""@en","regaline sink ""advance | culinary depot"""
rewo_24314_cdi_837,1,'legs with side crossrails','legs with boxed crossrails',advance tabco,advance tabco,'95 l','95 l',,,1111215,1111215,,,'nsf' 'stainless steel','nsf',"'20 front' '8""'","'20 front' '220.00 ' '8""'",rewo_24314,cdi_837,,,'open frame' 'gauge','open frame' 'gauge',,,'compartment with left hand drainboard' 'deep with','compartment with left hand drainboard' 'deep with'," "" 93-3-54-36l sink, (3) three compartment""@en "" advance sink compartment | sinks with drainboard""@en","regaline sink ""advance | culinary depot"""
rewo_75408_cdi_837,0,'legs with rear and side crossrails','legs with boxed crossrails',advance tabco,advance tabco,,'95 l',,,13809437,1111215,'gauge',,'galvanized','nsf',"'8""'","'20 front' '220.00 ' '8""'",rewo_75408,cdi_837,'galvanized' 'plastic',,,'open frame' 'gauge',,,'compartments' 'deep with','compartment with left hand drainboard' 'deep with'," "" 4-3-54-2x sink 3 three compartment""@en "" advance compartment | budget sink""@en","regaline sink ""advance | culinary depot"""
rewo_24314_cdi_820,0,'legs with side crossrails','legs with boxed crossrails',advance tabco,advance tabco,'95 l','115 l',,,1111215,1092433,,,'nsf' 'stainless steel','nsf',"'20 front' '8""'","'220.00 ' '8""'",rewo_24314,cdi_820,,,'open frame' 'gauge','open frame' 'gauge',,,'compartment with left hand drainboard' 'deep with','compartment with left right hand drainboards' 'deep with'," "" 93-3-54-36l sink, (3) three compartment""@en "" advance sink compartment | sinks with drainboard""@en","regaline sink ""advance | culinary depot"""
rewo_9603_cdi_820,0,'legs with side crossrails','legs with boxed crossrails',advance tabco,advance tabco,'20 wide' '18 gauge','115 l',,,472031,1092433,,,'stainless steel','nsf',"'8""'","'220.00 ' '8""'",rewo_9603,cdi_820,'nsf',,'open frame','open frame' 'gauge',,,'compartment with left hand drainboard','compartment with left right hand drainboards' 'deep with'," "" 9-81-20-36l sink, (1) one compartment""@en "" advance sink compartment | sinks with drainboard""@en","regaline sink ""advance | culinary depot"""
rewo_23880_cdi_820,1,'legs with side crossrails','legs with boxed crossrails',advance tabco,advance tabco,'20 wide' '115 l','115 l',,,1092433,1092433,,,'nsf' 'stainless steel','nsf',"'8""'","'220.00 ' '8""'",rewo_23880,cdi_820,'12',,'open frame' 'gauge','open frame' 'gauge',,,'compartment with left right hand drainboards' 'deep with','compartment with left right hand drainboards' 'deep with'," "" 93-23-60-24rl sink, (3) three compartment""@en "" advance sink compartment | sinks with drainboard""@en","regaline sink ""advance | culinary depot"""
rewo_8522_cdi_4278,0,,'(1) standard oven (1) cabinet',turbo air,southbend,'26 3',,,,424174,8105743,'standard 6 stainless steel adjustable','back left 2',,'nsf',,'735.00 ',rewo_8522,cdi_4278,'stainless steel','battery','open burners' 'ext at' 'oven thermostat','shelf 6 adjustable',,,'restaurant' 'oven' 'front' 'back riser lift','restaurant' 'burners' 'oven' 'flue riser with shelf stainless steel' 'front'," "" targ-12g4b range, 36"" restaurant, gas""@en gas | ranges""@en "" turbo range restaurant","ultimate restaurant range "" | culinary depot"""
rewo_8522_cdi_311,1,,'(1) standard oven',turbo air,turbo air,'26 3','26 3',,,424174,424174,'standard 6 stainless steel adjustable','standard 6 stainless steel adjustable',,,,'564.00 ',rewo_8522,cdi_311,'stainless steel','stainless steel','open burners' 'ext at' 'oven thermostat','open burners' 'oven thermostat',,,'restaurant' 'oven' 'front' 'back riser lift','restaurant' 'oven with 1 rack stainless steel' 'back riser lift off' 'oven'," "" targ-12g4b range, 36"" restaurant, gas""@en gas | ranges""@en "" turbo range restaurant","radiance restaurant range ""turbo - | culinary depot"""
rewo_36705_cdi_1528,0,,,trauls,continental refrigerator,,'54 - 85 cu. ft.',,,1612384,2065729,'line refrigerator',,,,,'830.00 ',rewo_36705,cdi_1528,'exterior aluminum' 'narrow half height door or doors' 'santoprene ez','exterior aluminum',,'refrigerator' 'contained refrigeration stainless steel' 'half height doors',,,'contained refrigeration stainless steel' 'clean gaskets','half door(s) wide'," ""en aht332nut-hhs refrigerator, reach-in""@en reach-in | three section refrigerators""@en "" en refrigerator","wide ""continental | culinary depot"""
rewo_3330_cdi_2850,0,,,trauls,continental refrigerator,,,,,173605,4692016,'line refrigerator','section self contained refrigeration stainless steel','exterior aluminum','two',,'680.00 ',rewo_3330,cdi_2850,,'exterior aluminum','height door intela','pass thru' 'half height solid doors',,,'self contained refrigeration stainless steel' 'traul microprocessor' 'hp culus',," ""en aht132dut-fhs refrigerator, reach-in""@en "" en refrigerator reach-in | one section refrigerators""@en","designer line refrigerator/freezer ""continental | culinary depot"""
rewo_35862_cdi_5871,0,'one',,victory,continental refrigerator,,,,'two',1578607,11880028,'section self contained refrigeration stainless steel',,'temp electronic temperature',,,'680.00 ',rewo_35862,cdi_5871,,'line refrigerator freezer' 'pass' 'section self','refrigerator freezer' 'reach in' 'half height doors' 'compressors refrigerator','contained refrigeration stainless steel' 'half height solid doors',,,'control indicators top',," "" rfs-1d-s1-ew-hd refrigerator freezer, reach-in""@en ""  freezer","designer line refrigerator/freezer ""continental | culinary depot"""
rewo_23921_cdi_3564,0,,,service ideas,eastern tabletop,,'3263g',,,1093750,6361168,,,,,,,rewo_23921,cdi_3564,'stainless steel','stainless steel',,,,,,," "" secal30ss airpot""@en "" service","grill top ""eastern | culinary depot"""
rewo_45946_cdi_4050,0,,,victory,continental refrigerator,,'5 casters' '38 - 53 cu. ft.',,'two',3232819,7590940,'section self contained refrigeration stainless steel',,,,,'620.00 ',rewo_45946,cdi_4050,'refrigerator' 'exterior aluminum','section self' 'exterior aluminum',,'refrigerator' 'contained refrigeration stainless steel','temperature',,'two' 'temp electronic' 'control indicator','full height sliding' 'glass doors'," "" rsa-2d-s1 refrigerator, reach-in""@en ""  refrigerator reach-in | two section refrigerators""@en","wide ""continental | culinary depot"""
rewo_22189_cdi_4227,0,'legs with front & side crossrails','legs with boxed crossrails',john boos,advance tabco,,,,,1024162,8005354,,,'welded front apron adjustable stainless steel feet' 'nsf' 'stainless steel',,"'10""'","'109.00 ' '11""'",rewo_22189,cdi_4227,'stainless steel','stainless steel overall' 'nsf','legs with',,,,'deep compartments' 'fully','compartment' 'deep with 11 high splash' 'legs with welded front to rear adjustable'," "" 43pbps32244-2d24 sink, supermarket""@en "" john sink","regaline sink ""advance | culinary depot"""
rewo_59618_cdi_4227,1,'legs with boxed crossrails','legs with boxed crossrails',advance tabco,advance tabco,,,'compartment',,8005354,8005354,,,'stainless steel',,"'11""'","'109.00 ' '11""'",rewo_59618,cdi_4227,'stainless steel overall' 'nsf','stainless steel overall' 'nsf',,,,,'deep with 11 high splash' 'legs with welded front to rear adjustable','compartment' 'deep with 11 high splash' 'legs with welded front to rear adjustable'," "" 94-2-36 sink, (2) two compartment""@en compartment | sinks""@en "" advance sink","regaline sink ""advance | culinary depot"""
rewo_3208_cdi_527,0,,,cambro,carlisle,,,,,167165,744759,'plastic',,'nsf','nsf',,,rewo_3208,cdi_527,,'abs plastic',,,,,,," "" mdsm8480 mug, plastic""@en plastic | mugs and covers""@en ""  mug","coldmaster food pan "" | culinary depot"""
rewo_15760_cdi_527,1,,,carlisl,carlisle,,,,,744759,744759,'coldmaster food pan',,'abs plastic white' 'nsf','nsf',,,rewo_15760,cdi_527,,'abs plastic',,,,,'resistant refrigerant gel insulated dishwasher safe',," ""e cm110502 food pan, refrigerant filled""@en "" e pan","coldmaster food pan "" | culinary depot"""
rewo_52059_cdi_7233,0,,,brow,carlisle,,,,,5608009,15378533,,,,,,'16oz',rewo_52059,cdi_7233,'nomex',,'resistant dishwasher safe','resistant dishwasher safe',,,'oven',," ""ne 5432202 oven mitt""@en "" ne","store 'n pour pint backup "" | culinary depot"""
rewo_16234_cdi_1667,0,'two',,trauls,continental refrigerator,,,,'two',767750,2440514,'section self contained refrigeration stainless steel',,,'legs',,'760.00 ',rewo_16234,cdi_1667,'line freezer' 'exterior aluminum' 'narrow half height door or doors' 'santoprene ez','section self' 'exterior aluminum','reach in','pass thru' 'contained refrigeration stainless steel',,,'clean gaskets','full height solid doors'," ""en alt232nut-hhs freezer, reach-in""@en "" en freezer reach-in | two section""@en","designer line wide freezer ""continental | culinary depot"""
rewo_27075_cdi_6254,0,'two','contained refrigeration stainless steel',trauls,continental refrigerator,,,,,1223878,12692778,'line freezer' 'section self contained refrigeration stainless steel',,'nsf',,,'925.00 ',rewo_27075,cdi_6254,'exterior aluminum','exterior aluminum','reach in' 'half height doors' 'controls culus','line refrigerator freezer' 'reach in three',,,'traul microprocessor','full height solid doors' 'digital thermometer dual'," ""en alt226wut-hhs freezer, reach-in""@en "" en freezer reach-in | two section""@en","designer line refrigerator/freezer ""continental | culinary depot"""
rewo_20525_cdi_6254,0,'section self','contained refrigeration stainless steel',trauls,continental refrigerator,,,,,956799,12692778,'spec line refrigerator freezer dual',,,,,'925.00 ',rewo_20525,cdi_6254,'exterior aluminum','exterior aluminum','temp cabinet' 'contained refrigeration stainless steel','line refrigerator freezer' 'reach in three',,,'cabinet','full height solid doors' 'digital thermometer dual'," ""en adt132eut-hhs refrigerator freezer, reach-in""@en "" en freezer","designer line refrigerator/freezer ""continental | culinary depot"""
rewo_27075_cdi_5121,0,'two',,trauls,continental refrigerator,,,,,1223878,10059474,'line freezer' 'section self contained refrigeration stainless steel','freezer low','nsf',,,'620.00 ',rewo_27075,cdi_5121,'exterior aluminum','section self' 'front doors aluminum ends','reach in' 'half height doors' 'controls culus','contained refrigeration stainless steel' 'half height solid doors',,,'traul microprocessor','temp' 'two'," ""en alt226wut-hhs freezer, reach-in""@en "" en freezer reach-in | two section""@en","wide freezer ""continental | culinary depot"""
rewo_27075_cdi_6375,0,'two',,trauls,continental refrigerator,,,,,1223878,12994931,'line freezer' 'section self contained refrigeration stainless steel','section self contained refrigeration stainless steel','nsf',,,'770.00 ',rewo_27075,cdi_6375,'exterior aluminum','exterior aluminum','reach in' 'half height doors' 'controls culus','line refrigerator' 'digital thermometer' 'ramp',,,'traul microprocessor','two' 'doors'," ""en alt226wut-hhs freezer, reach-in""@en "" en freezer reach-in | two section""@en","designer line ""continental | culinary depot"""
rewo_78281_cdi_4737,0,,,randell,continental refrigerator,,,,,14744905,9147545,,'line heated cabinet pass thru' 'narrow half height doors',,,,'340.00 ',rewo_78281,cdi_4737,,'exterior aluminum','pass thru refrigerator' 'height doors' 'digital thermometer','digital thermometer',,'section stainless steel','contained refrigeration stainless steel',," "" 2010pe pass-thru refrigerator 1 section""@en ""  section | one section""@en","designer line heated cabinet ""continental | culinary depot"""
rewo_19150_cdi_5930,0,,,trauls,continental refrigerator,,,'full',,897249,12044214,'line refrigerator' 'section designed for remote refrigeration stainless steel' 'clean gaskets',,'two',,,'660.00 ',rewo_19150,cdi_5930,'exterior aluminum','section self' 'exterior aluminum','height door or doors','refrigerator freezer' 'contained refrigeration stainless steel',,,'reach in' 'ez','two' 'full height solid doors' 'dual'," ""en aht232w-fhs refrigerator, reach-in""@en "" en refrigerator reach-in | two section refrigerators""@en","wide refrigerator/freezer ""continental | culinary depot"""
rewo_37066_cdi_5828,0,,,trauls,continental refrigerator,,'5 casters' '38 - 53 cu. ft.','full',,1626754,11715439,'line refrigerator' 'clean gaskets',,,'two',,'650.00 ',rewo_37066,cdi_5828,'exterior aluminum','section self' 'exterior aluminum','contained refrigeration stainless steel' 'height door or doors' 'controls energy star','freezer' 'contained refrigeration stainless steel','pass' 'section self',,'ez','full height glass doors'," ""en aht132wput-fhs refrigerator, pass-thru""@en pass-thru | one section""@en "" en refrigerator","wide freezer ""continental | culinary depot"""
rewo_75125_cdi_310,0,,,cleveland rang,randell,,'60 l',,,13690517,421590,,,,,,,rewo_75125,cdi_310,'stainless steel','stainless steel',,,,,,," ""e kel-80 steam jacketed kettle""@en "" cleveland kettle | kettles""@en","sbs60 single sided buffet shield "" | culinary depot"""
rewo_32741_cdi_310,0,,,micro matic,randell,,'60 l',,,1453306,421590,,,,,,,rewo_32741,cdi_310,'stainless steel','stainless steel',,,,,,," "" dp-met-h-34 drip tray""@en "" micro","sbs60 single sided buffet shield "" | culinary depot"""
rewo_40765_cdi_310,0,,,randell,randell,,'60 l',,,1774570,421590,,,,,,,rewo_40765,cdi_310,'stainless steel','stainless steel',,,,,,," "" ran cp86-ss""@en "" ","sbs60 single sided buffet shield "" | culinary depot"""
rewo_8482_cdi_310,1,,,randell,randell,'60 l','60 l',,,421590,421590,,,,,,,rewo_8482,cdi_310,'stainless steel','stainless steel','buffet shield',,,,,," "" ran sbs60""@en "" ","sbs60 single sided buffet shield "" | culinary depot"""
rewo_63621_cdi_2848,0,,,get enterprises,carlisle,,,,,9248803,4686320,'white plate' 'rim break resistant dishwasher',,'nsf','nsf',,,rewo_63621,cdi_2848,,,,'resistant dishwasher safe melamine',,,'safe melamine',," "" wp-10-dw plate, plastic""@en plastic | melamine plates""@en "" get plate","round butter dish "" | culinary depot"""
rewo_77052_cdi_2848,0,,,get enterprises,carlisle,'16 oz',,,,14357368,4686320,'round break resistant dishwasher safe melamine',,'nsf','nsf',,,rewo_77052,cdi_2848,,,,'resistant dishwasher safe melamine',,,'deep',," ""G.E.T. Enterprises B-167-RD Rodeo Line Melamine Dinnerware""@en "" G.E.T. Dinnerware |","round butter dish "" | culinary depot"""
rewo_81997_cdi_2848,0,,,get enterprises,carlisle,,,,,16200549,4686320,'plate 10' 'red',,'nsf','nsf',,,rewo_81997,cdi_2848,,,'resistant dishwasher safe melamine','resistant dishwasher safe melamine',,,,," "" ml-63-rsp plate, plastic""@en plastic | melamine plates""@en "" get plate","round butter dish "" | culinary depot"""
rewo_9420_cdi_2178,0,,,trauls,continental refrigerator,,,,,464262,3236595,'line refrigerator',,,,,'350.00 ',rewo_9420,cdi_2178,'exterior aluminum' 'narrow half height doors','section stainless steel' 'exterior aluminum','contained refrigeration stainless steel','pass thru' 'doors','pass' 'section self',,'traul microprocessor',," ""en aht132nput-hhs refrigerator, pass-thru""@en pass-thru | one section""@en "" en refrigerator","designer line heated cabinet ""continental | culinary depot"""
rewo_9420_cdi_4040,0,,,trauls,continental refrigerator,,,,,464262,7564189,'line refrigerator',,,,,'840.00 ',rewo_9420,cdi_4040,'exterior aluminum' 'narrow half height doors','exterior aluminum','contained refrigeration stainless steel','line refrigerator' 'digital thermometer' 'ramps','pass' 'section self',,'traul microprocessor','section self contained refrigeration stainless steel' 'doors'," ""en aht132nput-hhs refrigerator, pass-thru""@en pass-thru | one section""@en "" en refrigerator","designer line ""continental | culinary depot"""
rewo_9420_cdi_6290,0,,,trauls,continental refrigerator,,,,,464262,12820703,'line refrigerator',,,'contained refrigeration stainless steel',,'970.00 ',rewo_9420,cdi_6290,'exterior aluminum' 'narrow half height doors','exterior aluminum','contained refrigeration stainless steel','line refrigerator freezer' 'pass thru' 'half height solid doors','pass' 'section self',,'traul microprocessor',," ""en aht132nput-hhs refrigerator, pass-thru""@en pass-thru | one section""@en "" en refrigerator","designer line refrigerator/freezer ""continental | culinary depot"""
rewo_50305_cdi_664,0,,,all points,randell,,,,,5018987,931484,,,,,,,rewo_50305,cdi_664,'stainless steel','stainless steel',,,,,,," "" 26-4596 filter accessory, fryer""@en "" all accessory","cp24-ss counter protector "" | culinary depot"""
rewo_19953_cdi_664,1,,,randell,randell,,,,,931484,931484,,,,,,,rewo_19953,cdi_664,'stainless steel','stainless steel',,,,,,," "" ran cp24-ss""@en "" ","cp24-ss counter protector "" | culinary depot"""
rewo_58613_cdi_5626,0,,,bon chef,vulcan,,,,,7642841,11268154,,,,,,,rewo_58613,cdi_5626,,,,,,,'stainless steel','deep stainless steel'," "" 61307 creamer, metal""@en metal | melamine dinnerware""@en "" bon creamer","plate rail "" | culinary depot"""
rewo_33155_cdi_3751,0,,,trauls,continental refrigerator,,'5 casters' '38 - 53 cu. ft.',,,1469317,6818992,'line refrigerator',,,,,'620.00 ',rewo_33155,cdi_3751,'exterior aluminum' 'santoprene ez','section self' 'exterior aluminum','contained refrigeration stainless steel' 'half height door or doors' 'controls energy star','refrigerator' 'contained refrigeration stainless steel' 'half height sliding','pass' 'section self',,'clean gaskets','two' 'glass doors' 'sliding half door(s)'," ""en aht132wput-hhs refrigerator, pass-thru""@en "" en refrigerator pass-thru | one section""@en","wide ""continental | culinary depot"""
rewo_19762_cdi_6849,0,,,trauls,continental refrigerator,,,,,923926,14274843,'line freezer' 'section designed for remote refrigeration stainless steel','line freezer','two',,,'405.00 ',rewo_19762,cdi_6849,'exterior aluminum' 'santoprene ez','exterior aluminum','reach in' 'half height door or doors','pass thru' 'contained refrigeration stainless steel' 'half height solid doors' 'legs',,'section self','clean gaskets','half door(s)'," ""en alt232w-hhs freezer, reach-in""@en "" en freezer reach-in | two section""@en","designer line freezer ""continental | culinary depot"""
rewo_19762_cdi_5459,0,,,trauls,continental refrigerator,,'38 - 53 cu. ft.',,,923926,10915001,'line freezer' 'section designed for remote refrigeration stainless steel',,'two','two',,'650.00 ',rewo_19762,cdi_5459,'exterior aluminum' 'santoprene ez','section self' 'exterior aluminum','reach in' 'half height door or doors','reach in' 'contained refrigeration stainless steel' 'half height glass doors',,,'clean gaskets','half door(s) wide'," ""en alt232w-hhs freezer, reach-in""@en "" en freezer reach-in | two section""@en","wide freezer ""continental | culinary depot"""
