Brand_x,Brand_y,Color_x,Color_y,Interface_x,Interface_y,Memory Speed_x,Memory Speed_y,Memory Type_x,Memory Type_y,Memory_x,Memory_y,Model_x,Model_y,Processor_x,Processor_y,Product Type_x,Product Type_y,Storage Capacity_x,Storage Capacity_y,cluster_id
['1333mhz ram'],,['vdimm lifetime'],['Heat Spreader'],,,"['XMP, XMS3 Heatsink', 'DDR3 (PC3-10600)']","['Non-ECC', 'XMS3 Classic', 'DDR3', 'PC3-10666 (1333)', 'UDIMM (Unbuffered)']",,,,,,['classic pc3 10666'],,,['warranty'],['corsair'],,['4gb'],293174
['902mhz'],,['year warranty'],,,,,['gpu 902mhz'],,,,,,,,,['lp bracket'],['geforce'],,['2gb'],293983
['rev'],,,['latches black'],,,,,,,,,,['sata iii'],,,,"['akasa super slim', 'rev']",,['15cm'],305414
,,['White'],,,,,,,,,,,,,,,"['corsair ml series ml120 pro led', 'single pack premium magnetic']",['120mm'],['120mm'],307669
,['corsair'],['Black'],['black'],,,,,,,,,['Carbide 600C'],,,,"['and below', 'side panel water cooler support full', 'support no psu']","['computer chassis', 'mini itx']",,,309255
,,,,,,,,,,,,,,,['24x gbe 2x gbe sfp combo 2x'],,['smart managedswitch'],['28 x rj 45 4 x expansion slots 10 100 1000base t'],['28 port d link dgs 1510'],312733
,['cooler master'],,,,,,,,,,,,['masterliquid pro 120'],,,['radiator mttf'],,['120mm'],,321977
,,,,,,,,,,,,,['92k 83k iops'],,,,"['crucial mx300', '3d nand technology read']",,['2tb'],323944
,,['layer supported'],,"['2 x expansion slot', 'optical fiber 10 gigabit ethernet']",,,,,,,,,,,,,,,['10 port d link gigabit switch'],325811
['ryzen 5'],['amd'],,,,['spire cooler'],['3.40GHz'],,,,,,,,['Amd Ryzen™'],,,['65w cpu'],,,326104
['Crucial'],,,['\xa0'],,,,"['DDR4 SO-DIMM', 'PC4-17000 (2133)', 'UDIMM (Unbuffered)', 'Non-ECC']",['Unbuffered'],['ddr4 sodimm pc4 17000'],,,,,,,,['crucial'],,['8gb'],327895
,['asus'],,,,,,['1151'],['ddr4'],['ddr4'],,,,,['i5 i3 7th gen micro atx'],,,['prime'],,,331405
,,,['Anodised Aluminium Heatspreader'],,,"['XMP 2.0, Anodized Aluminium Heatspreader', 'DDR4 (PC4-24000)']","['UDIMM (Unbuffered)', 'PC4-24000 (3000)', 'DDR4', 'Non-ECC', 'Vengeance LED']",,,,,,,,,,,,"['32gb', '2x16gb']",339358
['ddr4'],,,,,,"['XMP 2.0, Vengeance LPX Heatsink', 'DDR4 (PC4-21300)']",,,,,,,,,,,"['corsair', 'lpx red pc4 21300 2666']",,['16gb'],344094
['i7'],['asus'],,,,,,['1151'],['ddr4 4 x usb3'],['ddr4'],,,,,['i5 i3 6th gen mini itx'],['intel h110 s'],,['h110i plus'],,,346902
,['asus'],,['intel x299'],,['mark 2'],,,['ddr4 3 x pcie 3 0 x16'],,,,,['2066'],,['sata3'],['quad channel'],,,,347182
,,['Black'],,,,,,,,,,['Carbide Air 240'],,,,"['and below', 'side panel water cooler support']",['pc case'],,,350235
,['cooler master'],,,,['window'],,,,,,,,,,,['1 x 200mm'],"['computer chassis', 'microatx 200mm']",,,354624
['i7'],['asus'],,['intel z270'],['usb 3 0 6x'],['mark 1'],,,['ddr4 6x'],,,['1151 ddr4'],,,['i5 i3 7th gen atx'],,"['usb 2 6x', 'way crossfire']",,,,354663
['six'],['amd'],,,,,['3.50GHz'],,['Dual channel DDR3 800/1066/1333/1600MHz'],,,,,,['6300 Black Edition'],,"['unlocked multiplier', 'warranty']",,,,355117
['core technology'],,,,,,['3.5GHz'],,['ddr4 controller'],,,,,,['I7 7800X'],"['intel core i7', 'turbo']","['quad channel', 'warranty']",,,,357712
,,,['\xa0'],,,['DDR4 (PC4-17000)'],"['Server', 'PC4-17000 (2133)', 'RDIMM', 'ECC', 'DDR4']",,,,,,['ddr4'],,,,"['crucial', 'server memory pc4 17000']",['2133mhz ram'],['16gb'],360727
['support sockets'],['cooler master'],,,,,,,,,,,['HYPER 612 Ver. 2'],['hyper 612 v2'],,['intel 2011 3 2011 1366 1156 115x'],,['silent cpu cooler for'],,,363343
,,,,,,,,,,,,,,,,,"['all', 'hydro cooler cpu cooler 2x']",['92mm'],,364445
,,,,,,,,,,,,['Hyper 212X'],,,,,"['hyper 212x tower', 'cpu cooler']",,,375113
,['intel'],,,['3MB'],,"['3.7GHz', 'DDR3-1333/1600', 'No']",,['ddr3 controller'],,['22nm integrated hd'],,,,"['I3 4170', 'Intel HD Graphics 4400']",,['warranty'],,,,375324
['atx'],['asrock'],,,,,,['1151'],,['ddr4'],,,,['fatal1ty'],,,"['z270 chipset', 'nvidia sli crossfirex']",,,,376817
['multiple'],['ekwb'],,,,,,,,,,,,,['amd radeon vega base graphics cards'],['radeon vega waterblock pom acetal nickel plated'],,['vega frontier gpus'],,,379274
,,,['\xa0'],,,"['DDR3 (PC3-12800)', 'XMP, Vengeance Heatsink']","['5v', 'DDR3 SO-DIMM', 'PC3-12800 (1600)', '\xa0', 'Non-ECC', 'Vengeance Performance']",,['ddr3 so dimm pc3 12800 1600 204'],,,,,,,['lifetime warranty'],['corsair'],['1600mhz ram'],['8gb'],384181
,,,['\xa0'],,,"['ddr3l 1600mhz', 'DDR3L']","['DDR3L SO-DIMM', 'Value Select', 'Non-ECC', 'UDIMM (Unbuffered)', 'PC3-12800 (1600)']",,['ddr3l so dimm value'],['SODIMM'],,,,,,['lifetime warranty'],"['corsair', 'select pc3 12800 1600 non']",,['4gb'],387949
['1'],['d link unified wireless'],,,,,,,,,,,,['11n'],,,,['access point'],,,394729
['1600mhz ram'],,,['\xa0'],,,['35v'],"['\xa0', 'PC3-12800 (1600)', 'DDR3L', 'ECC', 'Server']",['vdimm'],,,,,,,,,"['crucial', 'server memory pc3 12800']",,['32gb'],395902
['i7'],['asus'],,,,['usb 3'],,,['ddr4 2 x usb3'],,,,,,['i5 i3 7th gen atx'],['intel z270 s 1151'],,['rog strix'],,,397948
,,,,,,,,,,,,['Semi-Modular'],,,,"['all japanese capacitors', 'fan 7 year warranty']",['psu'],,,398113
,,['White'],,,,,,,,,,,,,,,,['140mm'],['140mm'],399739
['am3'],['asrock'],,,,,,,['ddr3 4 x usb3 10 x usb2 5 x sata3 1 x esata3 2 x pcie x16 2 x pcie x1 2 x pci crossfirex'],"['970 extreme3', 'ddr3 pcie 2 0']",,,,,,['amd socket am3'],,,,,403133
,['asrock'],['way crossfirex'],,['2 x m 2 2 x pci e 3 0 x16'],,,['1151'],,['ddr4'],,,,['fatal1ty'],,,['b250 chipset'],,,,408215
,['intel'],,,['8MB'],,"['DDR4 - 2133 / DDR3L - 1600', 'No', '4.0GHz']",,['ddr4 ddr3l controller'],['1150mhz gpu'],,,,,"['Intel HD 530', 'I7 6700K']",['core i7 6700k s'],['warranty'],,,,409402
,['corsair'],,,,,,,,,,,,['crystal series 570x rgb premium white'],,,['and below'],"['computer case', 'matx mitx tempered glass']",,,414102
['eight'],['intel'],,,,,['3.6GHz'],,['ddr4 controller'],,,,,,['I7 7820X'],['core i7'],"['core technology', 'quad channel', 'warranty']",,,,424364
['displays'],,['year warranty'],,,['mini displayport'],,,,['2460 pcie 2'],,,,,,['amd firepro'],,,,,424897
