Brand_x,Brand_y,Color_x,Color_y,Interface_x,Interface_y,Memory Speed_x,Memory Speed_y,Memory Type_x,Memory Type_y,Memory_x,Memory_y,Model_x,Model_y,Processor_x,Processor_y,Product Type_x,Product Type_y,Storage Capacity_x,Storage Capacity_y,cluster_id
['socket'],['asrock'],,,"['sata 6gb s', 'usb 3 0 2x usb']",,,,"['support 4x', 'ddr4 dimm 2x pcie x16']",,,,,,,,['1x pcie x1 4x'],,,,37887
['turbo'],['asus'],,,['vr ready physx cuda'],,['8192mb 8000mhz'],['1506mhz gpu'],['gddr5'],,,['8gb gddr5'],,,,['geforce gtx 1070 asus turbo'],['processors 1920 sli ready'],,,,38064
['gv'],,,,,['hdmi dvi d dl'],['7000mhz'],,['gddr5'],['gddr5'],,,,,,,,,,['2gb'],40484
,['cooler master silencio'],,['o psu'],,['usb 3 0 card'],,,,,,,,,,,"['microatx case', 'noise cancelling foam', 'lined front door and side panels from cooler master']",,,,41568
['socket'],,,,,,,,,,,,,,,['amd'],,,,,41903
,,['35v'],['Aluminium Heatspreader with DHX Dominator Airflow Platinum LED Fan'],['timings 1'],,,"['Dominator Platinum', 'PC4-30900 (3866)', 'DDR4', 'UDIMM (Unbuffered)', 'Non-ECC']",['vdimm'],['platinum pc4 30900 3866'],,,,,,,,['corsair'],['3866mhz ram'],['16gb'],42071
['trailblazing design of'],['corsair'],"['White', 'White']",,,,,,,,,,,['graphite series 780t'],,,['pc case features generous'],['tower case w o psu'],,,43099
['skylake'],['gigabyte'],['intel lan'],,,,,['1151'],,,,,['kabylake ddr4'],,,,['usb3 0 6x'],['micro atx'],,,43899
['nvidia quadro'],,,['single slot'],,,,,,,,,,,,,,['nvidia quadro p600'],,['2gb'],44281
['p300'],,,,['7200rpm'],,,,,,,,,,,,,['toshiba p300 3 5'],,['1tb'],44625
['corsair'],,,['\xa0'],,,,"['DDR4 SO-DIMM', 'PC4-17000 (2133)', 'UDIMM (Unbuffered)', 'Non-ECC', 'Value Select']",['ddr4 so dimm pc4 17000'],,"['16gb', '2x8gb']",,,['select pc4 17000'],,,,,,"['16gb', '2x8gb']",45630
,['gigabyte'],,,,,,,,['ddr3 pcie 2 0 x16'],,,,['ga 970a'],['amd 970 chipset x4 ddr3 x2'],['ud3p amd 970 sam3 am3'],,,,,45843
['maxtor'],,,['windows mac'],,,,,,,,,,['m3 portable external'],,,,['seagate maxtor'],,['500gb'],46250
,,,,,,,,['ddr3 ddr4 controller integrated iris dx12 graphics 3'],"['6700 s', '1150mhz gpu']",,,,,,['intel core i7'],,,,,46900
,['akasa'],,['intel nuc ready'],,['usb 3 0'],,,,,,,,['newton x'],,,['desk space'],['aluminium fanless'],,,48380
['airflow'],,['year warranty'],,,,['1100 rpm'],,,,,,['pwm 120mm 48 8 cfm'],,,,['gigabyte msi and asrock'],"['cooler master', 'flow rgb']",,['120mm'],48996
,,,,['sata 6gb s'],,,,,,,,,['7200rpm'],,,['5 year warranty'],['ncq'],['6tb'],['6tb'],49027
['socket'],,,,,,,,,,,,,,,['intel xeon e5 2630'],['85w'],,,,49054
['socket'],['intel xeon'],,,,,,,,,,,['2011 3 e5'],,,,"['turbo', '105w']",,,,49676
,['asus'],,,,,['7'],,,,,,['essence'],['essence stx ii 7'],,,['headphone amplifier premium tcxo'],,,,50890
"['quad core technology', 'quad core technology']",,,,['22nm'],,,['1200mhz gpu'],"['ddr3 controller integrated hd 4600 graphics 3', 'ddr3 controller integrated hd 4600 graphics 3', 'ddr3 controller integrated hd 4600 graphics 3']",,,,,,,"['intel core i5 4690k s', 'quad core']",,,['22nm'],,50926
,['gigabyte'],,,,,['kabylake'],['1151'],['ddr4'],['ddr4'],,,,,['8x usb3'],,['1x usb typec'],['u'],,,51278
['datatraveler'],,,['\xa0'],"['standard usb and', 'usb type c']",['USB 3.1'],,"['15 MB/s', '100 MB/s']",,,,,,['3c'],,,,"['kingston datatraveler', 'write']",,['32gb'],52464
['gtx'],['asus'],,,,,['7008mhz'],,"['1050', 'gddr5']",['gddr5 graphics card'],,['4gb'],,,,"['geforce gtx 1050', '768 core 1341mhz']",['processors 768 vr ready physx cuda'],,,,52693
['redux product line reissues'],,,,,,,,,,,,,,,,['some of noctua s'],['redux 1600 pwm 1600rpm quiet case fan'],,,52851
['graphite'],,,,,,,['140mm'],,,,,,"['graphite series 760t v2', '9x']",,,,"['tower windowed case', 'fans']",,,53165
,,['protection'],,['usb connector'],,,,,,,,,,,,,,,['16gb'],53564
['put'],,['secures receipts'],,,,,,,,,,,,,,"['personal data', 'datatraveler locker']",['kingston datatraveler locker'],,['64gb'],53935
['serial'],,,,['audio and video'],['angle secure'],,,,,,,,,,,,['latch stack compatiable'],,['50cm'],54397
['introducing'],,,,,,,,,,,,,,,,['supernova'],"['supernova gs fully modular 80 plus gold', 'psu']",,['650w evga'],54431
['nvidia'],['cores'],,,,,,,,['gddr5'],,,,,,,,['nvidia quadro k4200'],,['4gb'],54488
['gv'],,,['gddr5x vr'],['8gd core clock'],,['10211mhz'],['1898 mhz'],,,,['8gb'],,['2560 core'],,['geforce gtx 1080 xtreme waterforce'],['years warranty'],,,,54615
,['zotac'],['enabled 5'],,,,['8000mhz'],['1607mhz'],['gddr5'],,,['8gb gddr5'],,,,['geforce gtx 1070'],['physx cuda'],,,,55385
,,,,,,,,,,,,,,,,['small files'],['corsair'],,['128gb'],55764
,,,['Anodised Aluminium Heatspreader'],,,['35v'],"['DDR4', 'Vengeance LPX Red', 'Non-ECC', 'UDIMM (Unbuffered)', 'PC4-25600 (3200)']",['vdimm'],,,,,,,,,"['corsair', 'lpx red pc4 25600 3200 non']",['3200mhz ram'],['8gb'],56456
,,,,,['0 x4 nvme 20nm'],,,['s read 800'],,,,,['420k 210k'],['intel 20'],,['intel 750 series'],['intel 750 series'],['800gb'],['800gb'],56726
,['intel'],,,,,,,,,,,,,,['core i7 6900k s'],,,['3 2ghz'],,56992
,['amd ryzen 5'],,,,['stealth cooler'],,,['ddr4 controller 3 year warranty'],,,,,,['threads'],,['quad core with eight'],,,,57290
['sabrepro15'],['15'],['2400mhz'],,['7200rpm'],,,,['ddr4'],['i7'],,['8gb ddr4'],,,,,"['cf2', 'pcie ssd']",['sabre pro'],['128gb'],,57320
['gtx'],['msi'],['enabled 3'],,,,['7010mhz'],,['gddr5'],,,['2gb'],,,,,['stream processors 640'],,,,58486
,,,,"['sata 6gb s', 'sata 6gb s']",,,,,,,,,,,,"['5 year warranty', '5 year warranty']",,,['8tb'],59429
['skylake'],,,,,,,,,['ddr4'],,,,,,,,"['z170 deluxe', 'motherboard']",,,59970
['2x'],,,,,,,,['1500rpm max 61'],,,,,,,,['year warranty'],"['nzxt aer rgb premium fan', 'x2 hue winglet tips pwm']",,['120mm'],61230
['socket'],['msi'],,,"['sata 6gb s', 'usb 3 0 6x']",,,,"['support 4x', 'ddr4 dimm']",,,,,,,,['1x pcie x16 2x pcie x1 4x'],['microatx'],,,61480
['sleek'],['corsair'],,,,['usb 3 0 cable management sound damping'],,,,,,,,['carbide series 100r silent edition mid'],,,['looks like serious business while'],['tower computer chassis'],,,64089
"['elite', 'elite']",['cooler master'],,,,['support 343'],,,,,,,,['elite 130'],,,,['mini itx cube case'],,,66196
,['asus'],,['3amp atx'],"['sata 6gb s', 'sata pcie gigabit lan hd audio 6x', 'usb3 0 6x']",['usb c'],['kabylake'],['1151'],['ddr4'],['ddr4'],,,,,,,,['prime h270 pro'],,,66894
,['gigabyte'],,,['vr ready physx cuda'],,['8008mhz'],"['1594 mhz', '1784 mhz']",['gddr5'],,,,,,,['geforce gtx 1070 g1 gaming'],['processors 1920 sli ready'],['boost'],,,69383
,,,,,,,,"['ddr3 ddr4 controller integrated iris dx12 graphics', 'ddr4']",['1150mhz gpu'],,,,,['binned'],['intel core i7 6700k s 1151 skylake quad core'],['year warranty'],,,,69941
['socket'],['asrock'],,,"['sata 6gb s', 'usb 2 0']",,,,['ddr4 dimm'],,,,,,,,['1x pcie x1 4x'],,,,70222
['gv'],['gigabyte'],,,['vr ready physx cuda'],,['8192mb 10211mhz'],['1898 mhz'],,,,,,,,['geforce gtx 1080 xtreme gaming premium'],['years warranty'],['boost'],,,71516
['nf'],,,,,,,,,,,,,,,,,['fan quiet'],,['120mm'],72518
,,,,"['use in small', 'use in small']",['wd10jplx'],,['7200rpm'],,,,,,,,,,,,['1tb'],72621
['tp link s'],"['tp link', 'archer']",,,,,,,,['ieee 802'],,,,['d9'],,,,,,,72881
,,,,"['sata 6gb s', 'sata 6gb s']",,,,,,,,,['5400rpm'],,,,"['ncq', 'ncq']","['3tb', '3tb']","['3tb', '3tb']",72925
,,,,,,,,,,,,,,,,['laptop thin'],['7200rpm'],,['500gb'],73226
,['gigabyte'],,,,,['8008mhz'],['gpu'],['gddr5'],,,,,,,"['geforce gtx 1060', '1152 core 1594mhz']",['processors 1280 vr ready'],,,,74664
"['flash voyager', 'scratch']",,,,,,,,,,,,,,['scratch resistant hard chrome plated zinc alloy housing is so'],,['resistant hard chrome plated zinc alloy housing is so'],['compact design hard alloy housing'],,['64gb'],74735
"['skylake', 'audio 2x usb 3']",['asus'],,,"['sata 6gb s', 'usb3 0 6x']",['sata iii'],,,,['ddr3'],,,['6th gen ddr3'],['h110m plus'],,,['1x pcie x16 2x pci e x1 4x'],['intel h110 s'],,,75271
,,,,,"['2 5 slim', 'sata iii']",['550mb'],,,,,,,['90000'],,,['warranty'],"['kingston ssdnow', 'iops']",,['120gb'],75367
['tp link s'],,,,,,,,,,,,,,,,,['d7'],,,75561
,['nzxt'],,,,,,,,,,,,,,,['renowned durability'],['black'],,,76790
['perfectly'],['thermaltake'],['gamers'],,,['window led'],,,,,,,,,,['light'],['chassis features'],,,,77050
,['synology'],,,,,,,,,,['10gb ethernet'],,,,,,,,,77175
['thermaltake'],,,,,['high'],,['1500 rpm'],['white led 1500rpm'],,,,,,,,['pc case'],['thermaltake riing'],,['120mm'],77272
['2666mhz ram'],,,['Anodised Aluminium Heatspreader'],,,['35v'],"['UDIMM (Unbuffered)', 'PC4-21300 (2666)', 'DDR4', 'Non-ECC', 'Vengeance LPX Black']",['vdimm'],['black pc4 21300 2666'],,['4x16gb corsair'],,,,,,,,['64gb'],79457
,,,,,,,,,,,,,,,,"['stylish capless design means there s', 'stylish capless design means there s']",['kingston datatraveler se9 g2'],,['32gb'],81693
['tp link s'],['tp link'],,,,['range'],,,,,,,,['tl wa850re'],,,,,,,81789
['skylake'],,,,"['sata pcie gigabit lan hd audio 6x', 'usb3 0 6x']",,,,,,,,['kabylake ddr4 2x pcie x16'],,,['intel b250 s 1151'],['1x pcie x1 6x'],['prime'],,,81967
['850 evo'],,,,,,,,,,,,,,,,,"['samsung 850 evo', 'mgx 3d', '98k iops']",,['500gb'],82722
,['zotac'],['enabled 5'],,,,['8208mhz'],,['gddr5'],,,['8gb gddr5'],,,,['geforce gtx 1070 amp extreme'],,,,,82827
['quad core technology'],['intel'],,,,,,,"['ddr3 ddr4 controller integrated iris dx12 graphics 3', 'ddr3 ddr4 controller integrated iris dx12 graphics 3']",,,['1150mhz gpu'],,,,,,,,,83931
['socket compatibility'],['corsair'],,,,,,,,,,,,,,['intel amd am4'],,,,,84721
,['silverstone'],,,,,,,,,,,,,,,['individually sleeved strands'],,,,85327
['intel'],['fractal design celsius'],,,,,,,,,,,,,,['intel amd cpu s'],,,,,87102
['socket compatibility'],['cooler master'],,,,,,,,,,,,,,,,,,,87227
"['tp link', 'tp link']",['8 port'],,,,['1000 gigabit'],,,,,,,,,,,,['tp link'],,,90522
"['intel', 'intel']",['12 bay'],['year warranty'],,,,,['up'],['ddr4'],,"['8 gb', '4 gb ddr3']",['8gb'],,,"['xeon d 1531 six core', 'quad core 3']",['intel xeon d 1531'],,['synology'],,,91323
,,,,,,,,,,,,,,,,['optional accessories'],"['micro atx', 'mini itx']",,,91590
,,,['Anodised Aluminium Heatspreader'],,,['35v'],"['Vengeance LPX Black', 'PC4-25600 (3200)', 'DDR4', 'UDIMM (Unbuffered)', 'Non-ECC']","['vdimm', 'vdimm']",['black pc4 25600 3200 non'],,['4x8gb corsair'],,,,,,,['3200mhz ram'],['32gb'],92366
['silencio'],,,,,,,,,,,,,,,,['and rear'],['o psu'],,,92731
['quad core technology'],['amd'],,,,,,,"['ddr3 1866 support 95w tdp 3 year warranty', 'ddr3', '1866 support 95w tdp 3 year warranty']",,,,,,,,,,,,94726
['ecm20'],['silverstone'],,,,,,,,,,,,,,,,['sst ecm20'],,,95342
['offering incredible'],,,,,['mini dp'],,,,,,,['3d'],,['nvidia quadro k1200 includes a full height bracket'],,"['four 4k displays the', 'works']",['nvidia quadro k1200 512'],,['4gb'],95960
['like'],,,,,,,,,,,,,,,,"['award winning predecessor', 'home or office', 'indirect intake vents']","['case 2xusb3', 'o psu']",,,96001
['case'],,,,,,,,,,,,['is becoming more essential'],,,,['these days quality fans'],['cooler master'],,['120mm'],96062
,,['enabled 3'],,,,"['954mhz', '1600mhz']",['1800mhz'],['gddr3'],['ddr3'],,,,,,,['cores'],"['msi geforce', '954mhz']",,['2gb'],96578
['h400'],['nzxt'],,,,,,,,,,,,,,,"['nzxt s', 'case features a unique']","['microatx computer chassis w tempered glass', 'fans']",,,97660
"['microsdhc', 'microsdhc']",,,['45mb'],,['uhs i card'],,,,,,,,,,,"['more videos more pictures more games', 'more videos more pictures more games']",['kingston microsdhc'],,['32gb'],98149
['tl'],,,,,,,,,,,,,['tl'],,,,['tp link'],,['8 port'],98188
,['asrock'],,,,,,['1151'],['kabylake ddr4'],['ddr4'],,,,,,,,,,,98374
['airpressure'],,,,,,['2750 rpm'],,,,,,,,,,"['pwm', 'settings silent quiet performance']","['cooler master', 'pressure 5 blade pwm static pressure fan']",,['120mm'],99440
['the'],,,,,['teflops pcie 2 0 x16 dp dvi'],,,,,,,,,['nvidia quadro'],,,['nvidia quadro k620 384 cores'],,['2gb'],99895
['build'],['thermaltake'],,,,['window 2x'],,,,,,,,['core x5'],,,,['microatx mini itx'],,,100492
['corsair'],,,['black'],,,,,,,,,,,,,,['corsair ml series ml120'],,['120mm'],101004
['samsung electronics announces portable'],,,,,"['upto 450mb s', 'usb 3']",,,,,,,,['t3'],,,,['samsung'],,['500gb'],101034
['corsair'],['corsair'],,,,,,,,,,,,,,,,['psu'],,['120mm'],101282
,['tp link'],['conveniently extend'],,,,,,,,,,['tl wa860re is'],['tl wa860re'],,,,['lan encryption'],,,101841
['air'],,,,,,,,,,,,,,,,,['corsair air series af120 quiet'],,['120mm'],103298
['tp link'],['tp link'],,,,,['300 mbps'],,,,,,['tl wr802n'],['tl wr802n'],,,"['wireless n nano travel router', 'usb powered router', 'ap client bridge repeater modes']",,,,103447
['blue'],,,,,,,,,,,,,,,,,"['ssd 2', 'write']",,['500gb'],104025
,,,,,"['polaris pcie 3 0', 'hdmi dvi d']","['rx460wf2oc 2gd core clock', '7000mhz']","['7000mhz', '1212mhz gpu']",['gddr5'],['gddr5'],,,,,,,['stream processors'],,,['2gb'],104137
,,,,['sata 6gb s'],,,['7200rpm'],,,,,,['sata iii'],,,"['surveillance drive', '3 year warranty']","['surveillance hard drive', 'year workload rate']",['1tb'],"['1tb', '180tb']",104173
,,,,,,,,,,,,,,,,"['silverstone sst', 'air penetrator', 'channeling technology']","['silverstone sst', 'uv quiet air penetrator fan']",['140mm'],['140mm'],104235
['gv'],,,,['core clock'],,"['8192mb 10211mhz', '10211mhz']",,,,['n1080aorus 8gd'],['8gb'],,,,"['geforce gtx 1080 rev2', '2560 core']","['years warranty', 'years warranty']",['gddr5x graphics card'],,,104430
['dust'],,,,,,,,,,,,['can be a'],,,,,"['silverstone sst ff122b', 'fan filter']",,['120mm'],104878
,['inno3d geforce'],,,,,['11400mhz'],,,,,,,,,,,,,,104964
,,,,,,,['1050mhz'],['ddr4 controller integrated dx12 graphics 3'],,,,,,['dual core technology'],['intel celeron g3930 s 1151 kaby lake dual core'],,,,,105469
,['intel'],,,,,,,['ddr4'],,,,,,,,,,,,106101
['hard drives offer'],,,,,,,,,,,,,,,,['workload environments'],,,['500gb'],106852
['gv'],,['years warranty'],,,['hdmi dvi d dl'],['7000mhz'],,['gddr5'],['gddr5'],,,['oc'],,,,,,,['2gb'],107415
['dual'],['intel'],,,,,,['950mhz'],['ddr3 ddr4 controller integrated iris dx12 graphics 3'],,,,,,,['dual core'],,,,,107431
,,,,"['sata 6gb s', 'sata 6gb s']",['sata iii'],,,,,,,,"['5400rpm', '5400rpm']",,,,"['ncq', 'ncq']","['4tb', '4tb']","['4tb', '4tb']",107740
['part'],,,,"['sata 6gb s', 'sata 6gb s']",,,['7200rpm'],,,,,,,,,"['range', '2 year warranty', 'range', '2 year warranty']",['seagate'],,['1tb'],108226
['corsair'],,,,,,,,,,,,,,,,['control virtually silent operation and a'],['psu'],,,108669
['seventh generation'],,,,['seagate'],,,['7200rpm'],,,,,,,,,,,,['1tb'],108972
,,['vdimm lifetime'],['Anodised Aluminium Heatspreader'],,,,"['Non-ECC', 'Vengeance RGB Black', 'DDR4', 'PC4-28800 (3600)', 'UDIMM (Unbuffered)']",,['ddr4 vengeance rgb pc4 28800 3600'],,['4x8gb corsair'],,,,,,,['3600mhz ram'],['32gb'],109216
,['ekwb'],,,,,,,,,,,,,['geforce gtx 1080 g1 gtx 1070 g1 and gtx 1060 g1 series graphics cards'],,,"['ek fc1080 gtx', 'g1 waterblock pom acetal nickel plated for']",,,109289
['1600mhz ram'],,,['Heat Spreader'],,,,"['DDR3', 'Vengeance Low Profile Jet Black', 'Non-ECC', 'UDIMM (Unbuffered)', 'PC3-12800 (1600)']",,,,,,,,,['corsair'],['corsair'],,['16gb'],109570
['lite'],['liteon'],,,,,,,,,,,['on 24x'],,,,['other similar'],,,,111135
['corsair'],,,,,,,,,,,,,,,,"['air series led high', 'air delivery']",['corsair air series sp140'],,['140mm'],111379
['socket'],['arctic'],,,,,,['38mm'],,,,,,,['support intel 1150'],['intel amd ryzen'],['warranty'],"['liquid freezer', 'deep radiator']",,,111694
,,,,,,['7200rpm'],['7200rpm'],,,,,['sata 6gb s'],['st5000dm002'],,,['2 year warranty'],,['5tb'],['5tb'],113280
['skylake'],['gigabyte'],,,['sata 6gb s'],,"['usb3', '7x']",['1151'],,['ddr4'],,,"['6th gen ddr4 2x pcie x16 2x pcie x1 2x pci 6x', 'sata express m 2']",,,,,['motherboard'],,,113860
,,,,['sata ports'],,,,,,,,,,,['sata3'],,,['support for'],,113915
,,,,,,,,,['5400rpm'],,,,,,,"['range', '2 year warranty']",,['3tb'],['3tb'],114283
['antec'],,,,,,,,,,,,,,,,"['factor design made exclusively for antec', 'most cutting']",,,,114548
"['microsdhc', 'microsdhc']",,,"['adapter included', '45mb']",,['uhs i card'],,,,,,,,,,,['more videos more pictures more games'],"['kingston microsdhc memory card', 'kingston microsdhc']",,"['16gb', '16gb']",115970
,,,,,,,,,,,,,,,,['white'],['seasonic snow silent edition psu fully modular 80plus'],,,116625
,['45cm'],,,,,,,['45cm'],,,,,,,,,,,,116893
"['join', 'join']",['cooler master'],,,,,,,,,,,,,,,"['stryker case', 'stryker case']",['storm stryker'],,,117679
"['flash', 'plus']",,,['aluminium waterproof'],,['usb 3 0 pendrive'],,,,,,,,,,,['aluminum'],,,['32gb'],117750
['fractal design'],['fractal design define r4'],,,,,,,,,,,,,,,['scandinavian design'],"['pearl mid tower', 'ultra low']",,,117767
['tp link s'],['tp link'],,,,,,,,,,,,,,,,,,,117853
"['led backlit', 'led backlit']",,,,,['5ms 200'],"['2000000', '2000000']",,,,,,"['1920x1080', '1920x1080']",,,,,,,,118887
['part'],,,,['sata 6gb s'],,,,,,,,,,,,['5 year warranty'],['7200rpm'],,['2tb'],119637
,['cooler master'],,,,,,,,,,,,,"['amd fm2 fm2', 'amd fm2 fm2']",,,"['masterliquid', 'amd am4']",,,120254
['provides'],['tp link'],,,['data'],,,,,,,,,,,,,['gigabit passthrough powerline'],,,120822
,,,,,"['uhs i', 'mb s']",,,,,,,,,,,"['speeds', 'sdhc cards']","['kingston sdxc memory card', 'write']",,['64gb'],121890
,,,,,,,,,,,,,,,,['budget'],['psu'],,,121988
