cluster_id,Battery Capacity,Battery Type,Brand,Bus Speed,Cable Length,Cache Memory,Category,Clock Speed,Color,Compliant Standards,Condition,Data Link Protocol,Data Transfer Rate,Generation,Graphics Card,Height,Interface,Length,Material,Memory,Memory Speed,Memory Type,Model,Operating System,Output Voltage,Portable Memory,Power Supply Type,Processor,Processor Core,Processor Socket,Product Type,RAID Level,Reading Speed,Resolution,Rotational Speed,Screen Size,Security,Storage Capacity,UPC,Warranty,Weight,Width,Writing Speed
7843,,,['edimax'],,,,,,,,,,,,,,['3dbi'],,,['7612uan v2 n300'],,,,,,,,,,,['usb adapter'],,,,,,,,,,,,
8031,,,['startech'],,,,['usb'],,,,,,,,,,,,,,,,,,['7'],,,['com'],,,['multi monitor external video adapter converter'],,,,,,,,,,,,
8133,,,,,,,,,,,,,,,['sandisk ultra a1'],,,,,,,,,,,,,,,,,,,,,,,['32gb'],,,,,
8496,,,,,,,['167mhz'],,['\xa0'],['ddr3l pc3 12800'],,,,,,,,,,,"['35v', 'ECC', 'PC3-12800 (1600)', 'LRDIMM', 'DDR3L']",['lrdimm'],,,['1.35 V'],,,,,,['kingston system specific dell memory'],,,,,,,['32gb'],,,,,
8664,,,,,,['5400rpm 64mb'],,,,,,,,,['wd red wd60efrx 3 5 nas hdd sata iii'],,,,,,,,,,,,,,,,['ncq'],,,,,,,['6tb'],,,,,
9395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['0300gb dw 8000'],,,,,
9820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['dlink des'],,,,,,,['24 port'],,,,,
9885,,,['intel'],,,,,,,,,,,,,,,,,,,,,,,,,"['core i3 7300 s', 'thread']",,,,,,,,,,,,,,,
9899,,,['silverstone'],,,,,,['black green'],,,,,,,['120mm'],,,,,,,['ultra fine'],,,,,,,,['silicone surrond'],,,,,,,,,,,,
10013,,,,,,,,,,,,,,,,,,,,['16gb ddr4'],,,,,,,,,,,['i7 6700hq'],,,,,,,['027 fhd'],,,,,
11029,,,['asus'],,,,,,,,,,,,,,['usb 3'],,,,,,,,,,,,,,"['x99 e ws', 'ssi ceb']",,,,,,,,,,,,
11200,,,['msi'],,,,,,,,,,,,,,,,,,['1151'],"['ddr4', 'usb3 1gen2 c']",,,,,,,,,['intel z170 s'],,,,,,,,,,,,
11965,,,,,,,['7480d'],['3 2ghz'],,,,,,,,,,,,,['720mhz'],,,,,,,['amd a4 4020 fm2 richland dual core'],['amd radeon hd'],,,,,,,,,,,,,,
12933,,,,,,['65k 25k iops'],,,,,,,,,,,,,,,,,,,,,,,,,['corsair force series le200'],,,,,,,['120gb'],,,,['500mb'],
12999,,,,,,,,['1607mhz gpu'],,,,,,,['geforce gtx 1070'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
13101,,,,,,,,,,,,,['3200mb'],,,,['0 x4 nvme'],,,,,,['960 evo 3d'],,,,,,,,,,['330k 300k'],,,,,,,,,,
13419,,,['netgear'],,,,,,,,,,,,,,['ac3000'],,['tri band'],,,,['home wifi'],,,,,,,,['system'],,,,,,,,,,,,
13530,,,,,,,,,['android smartphones'],,,,,,,,"['usb otg', 'micro usb 2 0 for']",,,,,,,,,,,,,,,,,,,,,['32gb'],,,,,
13839,,,,,,,,,,,,,,,,,,,,,,['ddr3'],,,,,,,,,,,,,,,,,,,,,
14085,,,,,,,['satae'],['gen1'],,,,,,,,,['micro atx'],,,,,['ddr4'],,,,,,,,,['intel b150 s'],,,,,,,,['1151'],,,,
14087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['usb n10 nano adaptor 150mbps'],,,,,,,,,,,,
14485,,,['zyxel xs1920'],,,,,,['combo upto'],,,,,,,,['10x 10g rj'],,,,,,,,,,,,,['45 2x'],,,,,,,,,,,,,
14705,,,['icy dock full'],,,,,,['Black'],,,,,,,,['4 x SATA III - 6Gb/s'],,,,,,,,,,,,,,,,,,,,,,,,,,
14985,,['wd red wd7500bfcx'],,,,,,,,,,,,,,,['sata 6gb'],,,,,,,,,,,,,,,,,,,,,['750gb'],,,,,
15001,,,,,,,,,['Anodised Aluminium Heatspreader'],,,,,,['corsair ddr4'],,,,,,"['Vengeance LPX Black', 'PC4-19200 (2400)', 'Non-ECC', 'DDR4', 'UDIMM (Unbuffered)']",,,,['1.2 V'],,,,,,,,,,,,,"['32gb', '2x16gb']",,,,,
15101,,,,,,,,,,,,,['802 11ac bt4 1'],,,,['mini itx'],,,,['1151'],,,,,,,,,,['z170i pro gaming'],,,,,,,,,,,,
15128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['seagate st1000nm0033 nearline enterprise'],,,,['7200 rpm'],,,['1tb'],,,,,
15193,,,['cooler master'],,,,,,['black aluminium'],,,,,,,,,,['logo usb3'],,,,"['elite 110', 'elite 110 usb 3 0']",,,,['mini itx cube computer chassis mini itx'],,,,['psu'],,,,,,,,,,,,
15305,,,,,,,,,['\xa0'],,,,,,,,,,,,"['Server', 'PC3-14900 (1866)', 'RDIMM / LRDIMM', 'ECC', 'DDR3']",['ddr3 pc3 14900'],,,['1.5 V'],,,,,,['crucial server memory'],,,,,,,['32gb'],,,,,
15600,,,['intel'],,,,,,,,,,,,,,['bt hdmi usb3 0'],,,['4gb ram'],,,,,,,,['intel core m3'],,,['compute stick'],,,,,,,,,,,,
15694,,,,,,,,,,,,,,,,,['st1000nm0055 enterprise v5 512n 3 5'],,,,,,['7200rpm'],,,,,,,,"['seagate', 'ncq']",,,,,,,['1tb'],,,,,
15766,,,['140mm'],,,,,,,,,,,,,,,,,,,,,,,,,,,,['corsair air series af140 quiet'],,,,,,,,,,,,
16005,,,,,,,,,,,,,,,,,"['micro usb', 'usb 3 0']",,,,,,,,,,,,,,,,,,,,,['64gb'],,,,,
16410,,,['palit'],,,,['graphics card'],,,,,,,,,,,,,['8gb gddr5'],['1607mhz gpu'],,,,,,,['geforce gtx 1070 ti jetstream'],,,,,,,,,,,,,,,
16524,,,,,,,,,['metal casing'],,,,,,,,,,,,,,,,,,,,,,['kingston datatraveler50 usb'],,,,,,,['64gb'],,,,,
17814,,,,,,,,,,,,,,,,,['usb 3'],,,,,['ddr4'],,,,,,,,,,,,,,,,,,,,,
18012,,,,,,,,,['\xa0'],,,,,,['crucial ddr4'],,,,,,"['DDR4', 'Server', 'ECC', 'RDIMM', 'PC4-17000 (2133)']",,,,['1.2 V'],,,,,,,,,,,,,"['32gb', '4x8gb']",,,,,
18108,,,,,,,,['72k'],,,,,,,,['500mb'],,,,,,['s read 490mb s'],,,,,,,,,"['intel dc s4600 series 2', 'ahci 3d']",,,,,,,['960gb'],,,,,
18967,,,,,,,,,,,,,,,['geforce gt'],,,,,,['gpu'],['single slot pcie 2 0 x8'],,,,,,,,,['954mhz'],,,,,,,['2gb evga'],,,,,
19089,,,,,,,,,,,,,,,,['260mb'],,,,,,,,,,,,['s read'],,,"['intel dc s3510 series', '2k iops']",,,,,,,['240gb'],,,,,['68k 10']
19372,,,,,,,,,,,,,,,['wd30purx 3 5'],,,,,,,,['5400rpm'],,,,,,,,"['av surveillance', 'ncq']",,,,,,,['3tb'],,,,,
19966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['computer chassis', 'fan 2x usb 2 0 2x usb', 'matx']",,,,,,,,,,,,
19991,,,['msi'],,,,,['gen1'],,,,,,,,,,,,,['1151'],['ddr4'],,,,,,,,,['intel b150 s'],,,,,,,,,,,,
20073,,,['asus'],,,,['sata3'],,['micro atx'],,,,,,,,,,,,['1151'],['ddr4'],,,,,['h110m plus'],['intel h110 s'],,,,,,,,,,,,,,,
20365,,,['240'],,,,,,,,,,,,,,['5'],,,,,,,,['480'],,,,,,['87k 82k iops'],,,,,,,,,,,,
21018,,,['startech'],,,,,,,,,,,,,,"['usb 3 0', 'sata revision i ii iii']",,,,,,,,,,,['usb'],,,['adapter cable compatible'],,,,,,,,,,,,
21223,,,,,,,['samsung'],,,,,,,,,,,,,,['700mb sec 330k'],,['sm961'],,,,,,,,,,,,,,,['128gb'],,,,,
22756,,,,,,,,,,,,,,,,,,,,,['7200rpm'],,,,['3 5 hdd sata'],,,,,,,,,,,['re enterprise'],,['2tb'],,,,,
23121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['kingston datatraveler workspace pendrive usb 3 0 read 250mb s'],,,,,,,['32gb'],,,,,
23700,,,['amd'],,,,,,,,,,,,,,,,,,['756mhz'],,,,,,,"['kaveri dual core', 'amd radeon r5']",,,,,,,,,,,,,,,
23855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['platinum psu dual gbe'],,,,,,,,,,,,
23866,,['9341 8i sgl'],['avago megaraid sas'],,,,,,,,,,,,,,,,,,,,['sata sas pcie'],,,,,,,,['profile bracket'],,,,,,,,,,,,
23977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['tower performance case'],,,,,,,,,['o psu'],,,
24086,,,,,,,,,,,,,,,,['135mm'],,,,,,,,,,,,,,,"['corsair rm750x', 'white']",,,,,,,,,,,,
24505,,,,,,,,,,,,,,,,,['mini itx'],,,,,['ddr4'],,,,,,,,,['b150i'],,,,,,,,['1151'],,,,
24533,,,,,,,,,,,,,,,,['128mb'],,,,,,,['15000rpm'],,,['seagate st600mx0052 enterprise'],,,,,['turboboost'],,,,,,,['600gb'],,,,,
24540,,,,,,,,,,,,,,,,,['sfx psu 80'],,['bronze'],,,,,,,,,,,,['sg06bb 450'],,,,,,,,,,,,
25561,,,,,,,,,['silent black'],,,,,,,,,,,,,,,,,,,,,,"['suppressor f51', 'mid tower case 2x fans']",,,,,,,,,,,,
25697,,,,,,,,,,,,,,,['wd40purx 3 5'],,,,,,,,['5400rpm'],,,,,,,,"['av surveillance', 'ncq']",,,,,,,['4tb'],,,,,
26365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['icy dock 1 bay'],,,,,,,,,,,,
26584,,,['msi'],,,,,,,,,,,,,,,,,,['1151'],,,,['gen2'],,,,,,,,,,,,,,,,,,
26617,,['8x 10gbase t 2x sfp 2x 10base t sfp'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26865,,,['fractal design'],,,,,,,,,,,,,,['usb 3 0'],,,,,,,,,,,,,,['matx mini itx computer chassis'],,,,,,,,,,,,
28499,,,['intel'],,,,,,,,,,,,,,,,,,['1050mhz gpu'],,,,,,,,['thread 3'],,['54w cpu box'],,,,,,,,,,,,
29001,,,['10gbe'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29549,,,,,,,,,,['black'],,,,,,,,,,,['1500 rpm'],,,,,,,,,,['fractal design'],,,,,,,['140mm'],,,,,
29814,,,,,,,,,,,,,,['7'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29892,,,['intel'],,,,,,,,,,,,,,,,,,,,,,,,,['core i7'],,,,,,,,,,,,,,,
29906,,,,,,,,,,,,['side window 2x'],,,,['120mm'],,,,,,,,,,,,,,,"['nzxt source', 'matte black modular case']",,,,,,,,,,,,
30213,,,,,,,,,,,,,,,['corsair ddr4'],,,,,,,,,,,,,,,,,,,,,,,"['32gb', '4x8gb']",,,,,
30417,,,,,,,['gpu'],,,['single slot pcie 2 0 x16'],,,,,['gigabyte geforce gt 710'],,,,,,['1800mhz'],['ddr3'],,,,,,,,,['954mhz'],,,,,,,['1gb'],,,,,
30701,,,,,,,,,,,,,,,,,['samsung 850 pro'],,,,,,,['3d v nand read 550'],,,,,,,,,,,,,,['2tb'],,,,['520mb'],
30761,,,['microsoft'],,,,['excel'],,,,,,,,,,,,,,,,,,,,,,,,['home and student'],,,,,,,,,,,,
30868,,,,,,['65k 25k iops'],,,,,,,,,,,,,,,,,,,,,,,,,['corsair force le200 2'],,,,,,,['120gb'],,,,['500mb'],
31027,,,,,,,,,,,,,,,,,['sfp ports'],,,,,,,,,,,,,,['tp link'],,,,,,,['24 port'],,,,,
31445,,,['asrock'],,,,,,,,,,,,,,,,,,['1151'],['ddr4'],,,,,,,,,,,,,,,,,,,,,
31472,,,,,,['555mb s read'],,,,,,,,,,,['sata iii'],,,,,,,,,,,,,,['kingston'],,,,,,,['960gb'],,,,,
31559,,,,,,,['dominator'],,['Aluminium Heatspreader with DHX'],,,,,,['corsair ddr4'],,,,,,"['Dominator Platinum', 'PC4-21300 (2666)', 'Non-ECC', 'DDR4', 'UDIMM (Unbuffered)']",['platinum pc4 21300 2666'],,,['1.2 V'],,,,,,,,,,,,,"['16gb', '2x8gb']",,,,,
31939,"['1500 VA', '980 W']",,,,,,,,['Black'],,,,,['459 Joules'],,,,,,,,,,,,,,,,,,,,,,,,,,,['24.09 kg'],,
32107,,,,,,,,,['Anodised Aluminium Heatspreader'],,,,,,['corsair ddr4'],,,,,,"['Vengeance LPX Black', 'PC4-21300 (2666)', 'Non-ECC', 'DDR4', 'UDIMM (Unbuffered)']",,,,['1.2 V'],,,,,,,,,,,,,"['8gb', '1x8gb']",,,,,
32127,,,,,,,,,['\xa0'],,,,,,['corsair ddr4 sodimm'],,,,,,"['Non-ECC', 'Value Select', 'UDIMM (Unbuffered)', 'PC4-17000 (2133)', 'DDR4 SO-DIMM']",,['select pc4 17000'],,['1.2 V'],,,,,,,,,,,,,['4gb'],,,,,
32215,,,['thermaltake'],,,,,,,,,,,,,['200mm'],['window 1x'],,,,,,['core v1 white snow'],,,,['mini itx cube case'],,,,,,,,,,,,,,,,
33138,,,,,,,,['1594mhz gpu'],,,,,,,['geforce gtx 1070 sc acx 3 0 black edition 8gb gddr5'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
33840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['corsair air series'],,,,,,,['120mm'],,,,,
34023,,,,,,,,,,,,,,,,,['sata iii'],,['black round data cable with secure latch'],,,,,,,,,,,,['akasa sata3 100'],,,,,,,['100cm'],,,,,
34136,,,,,,,,,['Heat Spreader'],,,,,,,,,,,,"['Value Select', 'PC3-10600 (1333)', 'Non-ECC', 'DDR3', 'UDIMM (Unbuffered)']",,['select pc3 10600'],,[],,,,,,['corsair'],,,,,,,['2gb'],,,,,
34183,,,,,,['5900rpm 64mb'],,,,,,,,,['seagate ironwolf nas'],,['sata iii'],,,,,,,,,,,,,,,,,,,,,['1tb'],,,,,
34442,,,['asrock'],,,,,,,,,,,,,,,,,,['1151'],['ddr4'],,,,,,,,,,,,,,,,,,,,,
34641,,,['asus'],,,,,,,,,,,,,,,,,,,,,,,,,['plus intel h81'],,,,,,,,,,,,,,,
34956,,,,,,,,,,,,,,,,,,,,['4x8gb kingston valueram'],['1600 mhz'],,['ddr3'],,,,,,,,,,,,,,,['32gb'],,,,,
36138,,,,,,,,,,,,,,,,,,,,,['1151'],['ddr4'],,,,,,,,,['rog'],,,,,,,,,,,,
36722,,,,,,,,,,,,['520'],,,['samsung 850 pro'],,,,,,,,,,,,,,,,['mex 3d'],,,,,,,['256gb'],,,,,
37046,,['nvidia geforce gtx 770 780 780'],['corsair'],,,,,,,,,,,,,,,,,,,,['hydro series hg10'],,,,['n780 gpu'],,,,['hydro cooler bracket'],,,,,,,,,,,,
37368,,,['asus'],,,,,,,,,,,,,,,,,,['1151'],['ddr4'],,,,,,,,,['prime'],,,,,,,,,,,,
37552,,,['tp link'],,,,,,,,,,,,,,,,,,,,,,,,,,,,['starter kit'],,,,,,,,,,,,
37843,,,,,,,,,,,,,,,,,['window fan'],,,,,['dg'],,,,,,,,,['computer chassis e atx'],,,,,,,,,,,,
37887,,,['asrock'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38064,,,['asus'],,,,,,,,,,,,,,,,,['8gb gddr5'],['1506mhz gpu'],,,,,,,['geforce gtx 1070 asus turbo'],,,,,,,,,,,,,,,
38350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['all coolers'],,,,,,,,,,,,
38723,,,,,,,,,,,,,,,,,['aura intel b150 s'],,,,,,,,,,,,,,['b150i pro gaming'],,,,,,,,,,,,
38851,,,['asrock'],,,,,,,,,,,,,,,,,,['1151'],,,,,,,,,,,,,,,,,,,,,,
39139,,,,,,,,['7ghz'],,,,,,,,,,,,,,,,,,,,,,,['athlon x4 860k fm2'],,,,,,,,,,,,
39837,,,,,,,,,['Heat Spreader'],,,,,,,,,,,,"['XMS3', 'PC3-12800 (1600)', 'UDIMM (Unbuffered)', 'Non-ECC', 'DDR3']",['ddr3 xms3 pc3 12800 1600 non ecc'],,,['1.5 V'],,,,,,['corsair'],,,,,,,['8gb'],,,,,
40440,,,['2 port'],,,,,,,,,['10gigabit ethernet'],,,,,,,,,,,,,,,,,,,['intel x710'],,,,,,,,,,,,
40484,,,,,,,,,,,,,,,['gigabyte radeon rx 560 gaming oc'],,['hdmi dvi d dl'],,,,,['gddr5'],,,,,,,,,,,,,,,,['2gb'],,,,,
40762,,,,,,,,,,,,,,,,,,,,['6gb gddr5'],,,,,,,,['geforce gtx 1060 stormx'],,,,,,,,,,,,,,,
41277,,,,,,,,,,,,,,,,,"['uhs i', 'u3 90mb s read']",,,,,,,,,,,,,,"['sandisk microsdhc memory card', 'write adapter included']",,,,,,,['32gb'],,,,,
41313,,,['gigabyte'],,,,,,,,,,,,,,['sata ii'],,,,,['usb3 amd 760g am3 ddr3'],,,,,,,,,['raid pcie'],,,,,,,,,,,,
41414,,,,,,,['sata3 6gbps'],,,,,,,,,,,,,,,['fm2 ddr3'],,,,,,,,,,,,,,,,,,,,,
41568,,,['cooler master silencio'],,,,,,['o psu'],,,,,,,,['usb 3 0 card'],,,,,,,,,,,,,,,,,,,,,,,,,,
41578,,,,,,,['silicone case'],,,,,,,,,,,,,,,,,,,,,,,,['apple ipad pro'],,,,,,['charcoal grey'],['12 9'],,,,,
41903,,,,,,,,,,,,,,,,,,,,,,,,,,,,['amd'],,,,,,,,,,,,,,,
42071,,,,,,,['dominator'],,['Aluminium Heatspreader with DHX Dominator Airflow Platinum LED Fan'],,,,,,,,,,,,"['Dominator Platinum', 'PC4-30900 (3866)', 'DDR4', 'UDIMM (Unbuffered)', 'Non-ECC']",['platinum pc4 30900 3866'],,,['1.35 V'],,,,,,['corsair'],,,,,,,['16gb'],,,,,
42583,,,['corsair'],,,,,,,,,,,,,,['usb3'],,,,,,,,,,,,,,"['micro atx', 'mini itx']",,,,,,,,,,,,
42918,,,,,,,,,,,,,,,['sandisk sdcz71 016g b35 cruzer force usb 2 0 flash drive'],,,,,,,,,,,,,,,,,,,,,,,['16gb'],,,,,
43099,,,['corsair'],,,,['white full'],,,,,,,,,,,,,,,,['graphite series 780t'],,,,,,,,['tower case w o psu'],,,,,,,,,,,,
43658,,,['netgear prosafe'],,,,,['5 ghz'],,,,,,,,,,,,,,,['wac720'],['white'],,,,,,,['wireless access point 300'],,,,,,,,,,,,
43899,,,['gigabyte'],,,,,,,,,,,,,,,,,,['1151'],,,,['gen1'],,,,,,['micro atx'],,,,,,,,,,,,
44281,,,,,,,['pny'],,['single slot'],,,,,,,,,,,,,,,,,,,,,,['nvidia quadro p600'],,,,,,,['2gb'],,,,,
44545,,,,,,,,,,,,,,,,,"['transfer speed', 'upto 450mb s', 'usb 3']",,,,,,,,,,,,,,['samsung'],,,,,,,['1tb'],,,,,
44625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['7200rpm 64mb'],['toshiba p300 3 5'],,,,,,,['1tb'],,,,,
44688,,,,,,,['purple nv surveillance'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['4tb'],,,,,
44875,,,['thermaltake core'],,,,,,,,,,,,,,,,,,,,['side window usb 3 0'],,,,,,,,,,,,,,,,,,,,
45630,,,,,,,['value'],,['\xa0'],,,,,,['corsair ddr4 so dimm'],,,,,,"['DDR4 SO-DIMM', 'PC4-17000 (2133)', 'UDIMM (Unbuffered)', 'Non-ECC', 'Value Select']",,['select pc4 17000'],,['1.2 V'],,,,,,,,,,,,,"['16gb', '2x8gb']",,,,,
45843,,,['gigabyte'],,,,,,,,,,,,,,,,,,,['ddr3 pcie 2 0 x16'],['ga 970a'],,,,,['ud3p amd 970 sam3 am3'],,,,,,,,,,,,,,,
46250,,,,,,,,,['windows mac'],,,,,,,,,,,,,,['m3 portable external'],,,,,,,,['seagate maxtor'],,,,,,,['500gb'],,,,,
46634,,,['silverstone'],,,,,,,,,,,,,,,,,,,,,,,,,,,,"['sst rvz02b', 'bays 2x expansion slots']",,,,,,,,,,,,
46722,,,,,,,,,,,,,,,,['500mb'],,,,,,['s read 260'],,,['72k'],,,,,,"['intel dc s4600 series 2', 'ahci 3d']",,,,,,,['240gb'],,,,,
46738,,,,,,,,,,['black 1200 rpm'],,,,,,,,,,,,,,,,,,,,,['fractal design'],,,,,,,['140mm'],,,,,
46900,,,,,,['8mb'],,['3 4ghz'],,,,,,,,,,,,,,"['6700 s', '1150mhz gpu']",,,,,,['intel core i7'],['34x ratio 65w cpu retail'],,,,,,,,,,,,,,
47084,,,,,,,,['1800 rpm'],,['black 4'],,,,,,,,,,,,,,,,,,,,,['fractal design'],,,,,,,['120mm'],,,,,
48128,,,,,,,,,,,,,,,,,,,,,,,['select ddr2 pc4300'],,,,,,,,['corsair value'],,,,,,,['2gb'],,,,,
48380,,,['akasa'],,,,,,['intel nuc ready'],,,,,,,,['usb 3 0'],,,,,,['newton x'],,,,,,,,['aluminium fanless'],,,,,,,,,,,,
48996,,,,,,,,,,['masterfan pro'],,,,,,,,,,,,,,,['100rpm'],,,,,,"['cooler master', 'flow rgb']",,,,,,,['120mm'],,,,,
49027,,,,,,,,,,,,,,,,,,,,,,,['7200rpm'],,,,,,,,['ncq'],,,,,,,['6tb'],,,,,
49054,,,,,,,,['2 2ghz'],,,,,,,,,,,,,,,,,,,,['intel xeon e5 2630'],,,,,,,,,,,,,,,
49291,,,,,,['intellipower rpm 64mb'],,,,,,,,,,,['sata iii'],,,,,,,,,,,,,,,,,,,,,['2tb'],,,,,
49297,,,['geforce'],,,,,['1227mhz gpu'],['gddr5 graphics'],,,,,,,,,,,,,,,,,,,['384 core'],,,,,,,,,,,,,,,
49676,,,['intel xeon'],,,['25mb'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49689,,,['intel'],,,,['bt'],,,,,,,,,,,,,,,,,,,,,['i3 7100u'],,,,,,,,,,,,,,,
50890,,,['asus'],,,,,,,,,,,,,,,,,,,,['essence stx ii 7'],,,,,,,,,,,,,,,,,,,,
50926,,,,,,,,['3 9ghz'],,,,,,,,,,,,,['1200mhz gpu'],,,,,,,"['intel core i5 4690k s', 'quad core']",,,,,,,,,,,,,,,
51278,,,['gigabyte'],,,,['satae'],,,,,,,,,,,,,,['1151'],['ddr4'],,,,,,,,,['u'],,,,,,,,,,,,
51717,,,,,,,,['7 20'],['\xa0'],,,,,,,,,,,,"['UDIMM (Unbuffered)', 'DDR3 SO-DIMM', 'PC3-8500 (1066)', 'Non-ECC']",['ddr3 value so dimm pc3 8500'],,,['1.5 V'],,,,,,['corsair'],,,,,,,['4gb'],,,,,
51801,,,['intel'],,,['8mb'],,,,,,,,,,,,,,,,"['7700 s', '1150mhz gpu']",,,,,,['core i7'],,,,,,,,,,,,,,,
52218,,,['nzxt kraken x61'],,,,,,,,,,,,,,,,,,,,,['software 280mm radiator'],,,,['intel amd'],,,['variable'],,,,,,,,,,,,
52464,,,,,,,,,['\xa0'],,['DataTraveler microDuo 3C'],,,['No'],,,['USB 3.1'],,,,"['15 MB/s', '100 MB/s']",,['3c'],['\xa0'],,,,,,,"['kingston datatraveler', 'write']",,,,,,,['32gb'],,,,,
52693,,,['asus'],,,,,,,,,,,,,,,,,['4gb'],,['gddr5 graphics card'],,,,,,"['geforce gtx 1050', '768 core 1341mhz']",,,,,,,,,,,,,,,
52835,,,,,['140mm'],,['green led'],,,,,,,,,,,,,,,,,,,,,,,,['corsair air series sp140'],,,,,,['dual pack'],,,,,,
52851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['redux 1600 pwm 1600rpm quiet case fan'],,,,,,,,,,,,
