cluster_id,Battery Capacity,Battery Type,Brand,Cable Length,Cache Memory,Category,Clock Speed,Color,Compliant Standards,Condition,Data Link Protocol,Data Transfer Rate,EAN,Generation,Graphics Card,Height,Input,Interface,Length,Material,Memory,Memory Speed,Memory Type,Model,Operating System,Output Voltage,Portable Memory,Power Supply,Power Supply Type,Processor,Processor Core,Processor Socket,Product Type,Reading Speed,Resolution,Rotational Speed,Screen Size,Security,Storage Capacity,UPC,Warranty,Weight,Width,Writing Speed
13530,,,"['easy', 'easy', 'easy', 'easy']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13877,,,['asus'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['wireless ac pci express adapter'],,,,,,,,,,,
13883,,,['1600mhz ram'],,,,,['vdimm lifetime'],,,,,,,,,,,,,,,,,,,,,,,,,['corsair'],,['9 9'],,,,,,,,,
13984,,,,,,,,,,,,,,,,['16mb'],,,,,,,,['sas interface'],,,,,,,,,"['seek time', '5 year warranty']",,,,,,['146gb'],,,,,
14077,,,,,,,,,,,,,,,,,,['if'],,,,,,,,,,,,,,,"['external hard drive', 'hard drive']",,,,,,,,,,,
14087,,,,,,['quality data streaming'],,,,,,,,,,,,,,,,,,,,,,,,,,,"['usb n10', 'legacy wireless']",,,,,,,,,,,
15193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['mini cube', 'shaped case']",,,,,,,,,,,
15299,,,['gex416gb3200c16dc'],,,,,,,,,,,,,,,,,,,"['3200mhz ram', '35v']",,,,,,,,,,,['warranty'],,,,,['ocuk'],,,,,,
15766,,,['air series'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16183,,,,,,['stream'],,,,,,,,,,,,['physx cuda'],,['enabled 2 years warranty'],,['7200mhz'],['gddr5'],,,,,,,,,,,,,,,,,,,,,
16373,,,['msi'],,,,,,,,,,,,,,,,,,"['8gb gddr5', '16gb 2400mhz']",['7200rpm'],['ddr4 windows'],,,,,,,['intel core i7 7700hq nvidia gtx 1070'],,,"['ge72mvr apache pro 064', 'nvme ssd']",,,,,,['256gb'],,,,,
16410,,,,,,['stream'],,,,,,,,,,,,,,['enabled 2 years warranty'],,['8000mhz'],['gddr5'],,,,,,,,,,['physx cuda'],,,,,,,,,,,
16524,,,['datatraveler'],,,['metal casing'],,,,,,,,,,,,,,,,,,,,,,,,,,,['compact and capless design'],,,,,,['128gb'],,,,,
16916,,,['node'],,,['elegant design'],,,,,,,,,,,,,,,,,,,,,,,,,,,['chassis which focuses on'],,,,,,,,,,,
17607,,,['gv'],,,['stream'],,,,,,,,,,,,,,,,['7000mhz'],['gddr5'],,,,,,,,,,,,,,,,,,['3 years warranty'],,,
17814,,,['socket'],,,,,,,,,,,,,,,,,,,,"['support 4x', 'ddr4 dimm']",,,,,,,,,,,,,,,,,,,,,
18564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['years warranty'],,,,,,,,,,,
18891,,,['yd190xa8aewof'],,,,,,,,,,,,,,,['14nm finfet'],,,,,['ddr4 controller 3 year warranty'],,,,,,,,,,,,,,,,,,,,,
19003,,,,,,,,,,,,,,,,,,,,,,,,,,['65v'],,,,,,,['lifetime warranty'],,,,,['ballistix'],['1600mhz ram'],,,,,
19180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['stylish capless design means there s', 'lifestyle datatraveler se9 g2 now']",,,,,['files'],,,,,,
19372,,,,,,,,,,,"['3 5 inch', '3 5 inch']",,,,,,,"['sata 6gb s', 'sata 6gb s']",,,,,,,,,,,,,,,"['3 year warranty', '3 year warranty']",,,,,,"['3tb', '3tb']",,,,,
19442,,,['hyperx impact'],,,,,,,,,,,,,,,,,,['1x8gb'],['25v'],"['ddr4 8gb', 'ddr4 so dimm pc4 2400']",,,,,,,,,,,,,,,,,,,,,
19608,,,['core'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19966,,,['redline'],,,['was'],,,,,,,,,,,,,,,,,['rl06'],,,,,,,,,,,,,,,,,,,,,
20094,,,['ultimate'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['psu needs comes the seasonic g series psu'],,,,,,,,,,,
20692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['small convenient', 'small convenient']",,,,,,,,,,,
21223,,,,,,,,,,,,,,,,,,,,,,,,"['sm961', 'sm961']",,"['700', '700']",,,,,,,['samsung'],,,,,,['mzvpw128hegl 00000'],,,,,
21362,,,['fully modular 80'],,,,,,,['200'],,,,,,['135 mm'],,,,,,,,,,,,,,,,,"['7 year guarantee and quiet', 'dbb fans']",,,,,,,,,,,
21528,,,['designed'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21953,,,['1600mhz ram'],,,['lifetime warranty'],,,,['kingston'],,,,,,,,,,,,['65v'],['vdimm'],,,,,,,,,,,,,,,,,,,,,
22756,,,['hard drives offer'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['workload environments'],,,,,,,,,,,
23700,,,['dual'],,,,,,,,,,,,,,,,,,,,['ddr3 1866 support 65w tdp 3 year warranty'],,,,,,,,,,,,,,,,,,,,,
23868,,,['2400mhz'],,,['lifetime warranty'],,,,['ocuk'],,,,,,,,,,,,['35v'],['vdimm'],,,['ram'],,,,,,,,,,,,,,,,,,
23929,,,['with'],,,,,['safe place'],,,,,,,,,,,,,,,,,,,,,,,,,['my cloud it s'],,,,,,,,,,,
24417,,,,,,['stream'],,['years warranty'],,,,,,,,,,,,,,['5400mhz'],['gddr5'],,,,,,,,,,,,,,,,,,,,,
24540,,['use with'],['designed'],,,,,,,,,,,,,,,['mini dtx and mini itx'],,,,,,,,,,,,,,,['like the sg05'],,,,,,,,,,,
24947,,,['antec'],,,,,,,,,,,,,['140mm'],,,,,,,,['140 2 speed'],,,,,,,,,,,,,,,,,,,,
25397,,,['corsair'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['hx series hx750', 'platinum certified fully modular', 'power supply']",,,,,,,,['10 year warranty'],,,
25920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['scratch resistant hard chrome plated zinc alloy housing is so'],,,,,,,,,,,,,,
26240,,,,,,['stream'],,,,,,,,,,,,['physx cuda'],,['enabled 2 years warranty'],,"['1084mhz', '6300mhz']",['gddr5'],,,,,,,,,,['processors 1536 shader'],,,,,,,,,,,
26365,,,['icy dock'],,,,,,,,,,,,,,,,,,,,,['mb981u3s 1s'],,,,,,,,,,,,,,,,,,,,
26584,,,,,,['audio 2x'],,,,,,,,,,,,['sata 6gb s'],,,,,,['sata express m 2'],,,,,,,,,,,['6th gen ddr4 2x pcie x16'],,,,,,,,,
26899,,,['11g p4'],,,,,,,,,,,,,,,['vr ready physx cuda'],,['enabled 3 years warranty'],,,,,,,,,,,,,,,,,,,,,,,,
26967,,,,,,,['1850rpm'],,,,,,,,,,,,,,,,,,,,,,,,,,['pwm fan'],,,,,,['120mm'],,,,,
27164,,,['built'],,,,,['computer enthusiasts'],,,,,,,,,,,,,,,,,,,,,,,,,['computer case fan'],,,,,,,,,,,
27354,,,"['msi', 'msi']",,,,,,,,,,,,,,,"['7200rpm', '7200rpm']",,,"['16gb', '16gb']",,,['gs73vr'],,,['gs73vr 6rf'],,,,,"['windows 10', 'windows 10']","['stealth pro 4k 006uk', 'ips level 4k 3840 x 2160 i7 6700hq nvidia gtx 1060', 'stealth pro 4k 006uk', 'ips level 4k 3840 x 2160 i7 6700hq nvidia gtx 1060']",,,,,,,,,,,
28356,,,['quad core technology'],,,,,,,,,,,,,,,['22nm'],,,,,['ddr3 controller integrated hd 4600 graphics 3'],,,,,,,,,,,,,,,,,,,,,
28433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['lan realtek'],,,,,,['support for x series'],['alc1220'],,,,
28466,,,['gv'],,,"['stream', 'physx cuda']",,,,,,,,,,,,,,['enabled'],['n1060xtreme 6gd'],['8316mhz'],['gddr5'],,,,,,,,,,"['processors 1280 vr ready', 'years warranty']",,,,,,,,,,,
28472,,,['3200mhz ram'],,,['lifetime warranty'],,,,['ocuk'],,,,,,,,,,,,['35v'],['vdimm'],,,,,,,,,,,,,,,,,,,,,
28499,,,['bx80677g4560'],,,,,,,,,,,,,,,,,,,,['ddr4 controller integrated dx12 graphics 3'],,,,,,,['dual core technology'],,,,,,,,,,,,,,
28524,,,['nvidia'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['world charger'],,,,,,,,,,,
29038,,,['arc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['mini r2', 'case combines excellent']",,,,,,,,['compact minimalistic and elegant chassis design'],,,
29076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['blade deflection and noise challenges'],,,,,,,,,,,
29346,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['usb silver'],,,,,,,,,,,
29664,,,['socket compatibilty'],,,,,,,,,,,,,,,,,,,,,['lga775'],,,,,,"['intel', 'am2 am3']",,,,,,,,,,,,,,
29892,,,['quad core technology'],,,,,,,,,,,,,,,,,,,,"['ddr4 controller 3 year warranty', 'ddr4']",,,,,,,,,,,,,,,,,,,,,
29906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['affordable capable the nzxt source', 'budget concious system builders who want a', 'strong list']",,,,,['aesthetic'],,,,,,
30213,,,,,,,,,,,,,,,,,,['timings 1 20'],,['lifetime warranty'],,['2666mhz ram'],['vdimm'],,,['25v'],,,,,,,,,,,,,,,,,,
30600,,,['2560x1080'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30613,,,['socket'],,,,,,,,,,,,,,,,,,,,,['2011 3 e5 2690v4'],,,,,,,,,['135w'],,,,,,,,,,,
30701,,,['samsung'],,,,,,,,,,,,,,,['sata iii'],,,,,,,,,,,,,,,['fast speeds'],,,,,,,,,,,
30717,,,['skylake'],,,,,,,,,,,,,,,,,,,"['usb3', '8x']",,['6th gen ddr4'],,,,,,,,,,,,,,,,,,,,
30868,,,['cssd'],,,,,,,,,,,,,,,,,,,,,"['f120gble200b', 'tlc nand read 550mb s', '55k']",,,,,,,,,['corsair force le series'],,,,,,['120gb'],,,,['500mb'],
31297,,,['pci express'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31445,,,,,,,,,,,,,,,,,,,,,,['kabylake'],"['ddr4', 'usb3 0 2x']",,,,,,,,,,,,['1x usb 3 1 typec'],,,,,,,,,
31559,,,['2666mhz ram'],,,"['timings', 'lifetime warranty']",,,,['ocuk'],,,,,,,,['vdimm'],,['lifetime warranty with corsair'],,['20v'],['vdimm'],,,,,,,,,,,,,,,,['2666mhz ram'],,,,,
31658,,,['best'],,,,,,,,,,,,,,,['big 200'],,,,,,['pad with'],,,,,,,,,,,,,,,,,,,,
31718,,,['overclockable d0'],,,,,['triple channel'],,,,,,,,,,['mb l3 cache'],,,,,['ddr3 controller'],,,,,,,,,,"['stepping slbej', 'intel hyperthreading technology', 'warranty']",,,,,,,,,,,
31939,,,['apc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['award winning'],,,,,,,,,,,
31992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['time 1x'],,,,,,,,,,,
32127,,,['corsair'],,,,,,,,,,,,,,,,,,['4gb'],,['ddr4 so dimm pc4 17000'],,,,,,,,,,,,,,,,['1x4gb'],,,,,
32149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['supernova power supplies are well'],,,,,,,,,,,
33138,,,,,,['stream'],,,,,,,,,,,,['vr ready physx cuda'],,['enabled 3 years warranty'],,"['8192mb', '8008mhz']",['gddr5'],,,,,,,,,,['processors 1920 sli ready'],,,,,,['08g p4'],,,,,
33236,,,['amd'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33840,,,['air'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33904,,,['amd eyefinity'],,,['stream'],,['amd crossfirex'],,,,,,,,,,,,,,['6100mhz'],['gddr5'],,,,,,,,,,"['amd mantle', 'vr ready']",,,,,,,,['3 year warranty'],,,
34023,,,['serial'],,,,,,,,,,,,,,,['sata and sata ii'],,,,,,,,,,,,,,,['backwards compatible'],,,,,,,,,,,
34136,,,['1333mhz ram'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,['cas 9'],['corsair'],,,,,,,,,,,
34183,,,,,,,,,,,,,,,,,,['sata 6gb s'],,,,,,,,,,,,,,,['3 year warranty'],,,,['5 inch'],,,,,,,
34341,,,,,,['stream'],,['ati crossfirex'],,,,,,,,,,,,['ati eyefinity'],,"['780mhz', '3600mhz']",['gddr3'],,,,,,,,,,"['ati stream', 'ati avivo hd']",,,,,,,,,,,
34442,,,['skylake'],,,,,,,,,,,,,,,,,,,,['8x usb3 0 5x'],,,,,,,['kabylake ddr4 2133 3600 2x pciex16 2x pciex1'],,,,,,,,,,,,,,
34588,,,['get'],,,,,,,,,,,,,,,['u3 s'],,,,,,,,,,,,,,,['big upgrade'],,,,,,,,,,,
34641,,,['intel'],,,,,,,,,,,,,,,,,,,,['ddr3 x1 pci e x16 x2'],,,,,,,,,,,,,,,,,,,,,
35465,,,['2400mhz'],,,['lifetime warranty'],,,,['kingston'],,,,,,,,,,,,['ram'],,,,,,,,,,,,,,,,,,,,,,
35654,,,['backlit'],,,,,,,,,,,,,,,,,,,,,,,,,,,['2560x1440'],,,,,,,,,,,,,,
35893,,,['1600mhz ram'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,['cas 9'],['corsair'],,,,,,,,,,,
36082,,,['featuring hybrid'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['file server a', 'stylish and quiet home theatre pc']",,,,,,,,,,,
36683,,,['socket compatibility'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36722,,,['samsung'],,,,,,,,,,,,,,,['sata iii'],,,,,,,,,,,,,,,['fast speeds'],,,,,,,,,,,
36740,,,['tp link s'],,,['archer'],,,,,,,,,,,,,,,,,,['c2'],,,,,,,,,,,,,,,,,,,,
37157,,,"['socket compatibility', 'socket']",,,,,,,,,['nc'],,,,,,,,,,,['hs 037'],,,,['compatibility 1150'],,,,,,,,,,,,,,,,,
37349,,,,,,,,,,,,,,,,,,,,,,['800000000'],,,,,,,,,,,"['2560x1440', 'time 1x', '3 year on site warranty']",,,,,,,,,,,
37552,,,['using'],,,['existing'],,,,,,,,,,,,,,,,,,,,,,,,,,,"['home s', 'electrical circuit', 'tp link s', 'starter kit turns', 'any']",,,,,,,,,,,
37557,,,,,,,,,,,,,,,,"['8mb', '8mb']",,,,,,,,"['sata ii interface', 'sata ii interface']",,,,,,,,,"['seek time', '3 year warranty', 'seek time', '3 year warranty']",,,,,,"['320gb', '320gb']",,,,,
37843,,['Full-Tower'],,,,,,"['Gunmetal', 'Gunmetal']",,,,,,,['dg 87'],,,['extra preinstalled fans and a'],,"['Plastic, Steel']",,,,,,,,,,,,,['fan controller'],,,,,,['the evga'],,,,,
37887,,,['socket'],,,,,,,,,,,,,,,"['sata 6gb s', 'usb 3 0 2x usb']",,,,,"['support 4x', 'ddr4 dimm 2x pcie x16']",,,,,,,,,,['1x pcie x1 4x'],,,,,,,,,,,
38064,,,['turbo'],,,['stream'],,,,,,,,,,,,['vr ready physx cuda'],,['enabled 3 years warranty'],,['8192mb 8000mhz'],['gddr5'],,,,,,,,,,['processors 1920 sli ready'],,,,,,,,,,,
38077,,,,,['64mb'],,,,,,,,,,,,,"['sata 6gb s', 'sdvr hybrid sdvr']",,,,,,,,,,,,,,,['best for nvr embedded'],,,,,,['3tb'],,,,,
38254,,,['read'],,['555mb'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38295,,,,,,,,,,,,,,,,,,,,,,['7000mhz'],['gddr5'],,,,,,,,,,['stream processors'],,,,,,,,['3 years warranty'],,,
38561,,,,,,,['3 ghz'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38992,,,['555'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['510mb sec flash mlc controller sandforce sf 2281 buffer 0mb']
39348,,,['skylake'],,,,,,,,,,,,,,,,,,,"['usb3', '7x']",,['6th gen ddr4'],,,,,,,,,,,['usb type c crossfire sli'],,,,,,,,,
39751,,,['any'],,,,,,,,,,,,,,,"['sata can now be easily', 'esata connectivity']",,,,,,,,,,,,,,,,,,,,,,,,,,
39874,,,['aegis'],,,,,,,,,,,,,['120mm'],,,,,,,,,,,,,,,,,['beautiful rounded shield inspired front and supports an impressive'],,,,,,,,,,,
39883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['up to 9'],,,,,,,,,,,,,,,
40475,,,,,,['lifetime warranty'],,,,,,,,,,,,,,,,['1600mhz ram'],['sodimm'],,,['5v'],,,,,,,,,,,,['corsair'],,,,,,
40484,,,['gv'],,,['stream'],,,,,,,,,,,,,,,,['7000mhz'],['gddr5'],,,,,,,,,,,,,,,,,,['3 years warranty'],,,
40585,,,['tp link'],,,,,,,,,,,,,,,"['gigabit rj45', 'with']",,,,,,,,,,,,,,,,,,,,,,,,,,
40788,,,['ideal'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['server'],,,,,,,,,,,
40812,,,['simple'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['stylish', 'feature rich yet', 'affordable neos is']",,,,,,,,,,,
41165,,,,,,,,,,,,['648ubm quickly'],,,,,,"['usb adapter', 'wireless n network']",,,,,,,,,,,,,,,"['micro wireless', 'laptop or desktop computer']",,,,,,,,,,,
