cluster_id,Average Seek Time,Battery Capacity,Battery Type,Brand,Bus Speed,Cable Length,Cache Memory,Category,Clock Speed,Color,Compliant Standards,Condition,Data Link Protocol,Data Transfer Rate,EAN,Generation,Graphics Card,Height,Interface,Length,Material,Memory,Memory Speed,Memory Type,Model,Operating System,Output Voltage,Portable Memory,Power Supply,Power Supply Type,Price,Processor,Processor Core,Processor Socket,Product Type,RAID Level,Reading Speed,Resolution,Rotational Speed,Screen Size,Security,Storage Capacity,UPC,Warranty,Weight,Width,Writing Speed
32107,,['8GB (1 x 8GB)'],,,,,,,,['lifetime warranty'],,,,,,,,,,,,,"['DDR4 (PC4-21300)', 'XMP 2.0, Vengeance LPX Heatsink']",,,,['1.2V'],,,,,,,,,,['2666MHz'],,,,,['2666mhz ram'],,,,,
32127,,['4GB (1 x 4GB)'],,,,,,['lifetime warranty'],,,,,,,,,,,,,,,['DDR4 (PC4-17000)'],['speed'],,,['1.2v'],,,,,,,,,,['2133MHz'],,,,,,,,,,
33463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['desktop rack mountable'],,,,,,,,,,,,
33840,,,,['size'],,,['120mm x 25mm'],,['1650 RPM'],"['Red, White Or Blue']",,,,['1650 rpm'],,,,,,,,,,,,,,,,,,,,,,['30 dBA'],,,,,,,,[],,,
34641,,,,['i7'],,,,,,,,,,,,,,,,,,,,,,,,,,,,['i5 i3 4th gen mini itx'],,,,,,,,,,,,,,,
35654,,,,,,,,,,,,,,,,,,,['usb 88 w'],,['black'],,,,,,,,,,,,,,,,,,,,,['2560 x 1440'],,,,,
36095,,,,,,,,,"['1275 quad core', '40 ghz']",,,,,,,,,,,,,['8 gb ram'],,['ddr3 sdram serial ata 600 raid supported 0'],,,,,,,,,,,['intel xeon'],,,,,,,,,,,,
36683,,,,,,,,,,,,,,,,,,,,,,,,['104 65cfm max 40 dba max 5 year warranty'],['Hydro Series H115i'],,,,,,,,,,,,,,"['2000 rpm', '2000 RPM ± 10%']",,,,,,,,
37368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['i5 i3 7th gen micro atx'],,,,,,,,,,,,,,,
37887,,,,,,,,,,,,,,,,,,,,,,,,['ddr4'],,,,,,,,,,,,,,,,,,,,,,,
40869,,,,,,,,,,,,,,,,,,,['60320 c13 2 x iec'],,,,,,,,,,,,,,,,"['60320 c19', 'jumper']",,,,,,,,,,,,
41568,,,,,,,,,,,,,['gpu'],,,,,,,,,,,,,,,,,,,,,,"['and below', 'support silent no psu']",,,,,,,,,,,,
41903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['amd socket'],,,,['0.25 Sone'],,,['500 to 2000 RPM'],,,,,,['0.36 kg'],,
43099,,,,['xl atx'],,,,,,['White + Black Trim'],,,['gpu'],,,,,,,,,,,,['Graphite 780T'],,,,,,,,,,"['and below', 'side panel water cooler support full']",,,,,,,,,['2 Years'],['11.3kg'],,
43451,,,,,,,,,,,,,,['000 1'],,,,,['hdmi'],,,,,,,,,,,,,,,,,,,,,,,['1920 x 1080'],,,,,
46900,,,,['quad core technology'],,,['8mb l3 cache'],,,,,,,,,,"['eDP/DP/HDMI/DVI', '350 MHz']",,['8MB'],,,,"['DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V', 'No', '3.4GHz']",['ddr4 ddr3l controller'],,,,,,,,"['Intel HD 530', 'I7 6700']",,,['warranty'],,,['[email\xa0protected]'],,,,,,,,,
48996,,,,,,['120mm'],,,,,,,,,,,,,,,,,,['up 1100rpm'],['MFY-F2DN-11NPC-R1'],,['12 VDC'],,,,['R Mode (Red)'],,,,,,,,,,,,,['5 Years'],['162 g'],,
51801,,,,,,,,,,,,,,,,,"['eDP/DP/HDMI/DVI', '350 MHz']",,['8MB'],,,,"['DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V', '3.6GHz', 'No']",['ddr4 ddr3l controller'],,,,,,,,"['I7 7700', 'Intel HD 630']",,,,,,['[email\xa0protected]'],,,,,,,,,
54922,,,,,,,,,,,,,,,,,,,,,,['32 gb'],,['ddr3 sdram maximum ram o c'],,,,,,,,,,,['1 x processor support'],,,,,,,,,,,,
56456,,['8GB (2 x 4GB)'],,['3200mhz ram'],,,,,,['lifetime warranty'],,,,,,,,,,,,,"['XMP 2.0, Vengeance LPX Heatsink', 'DDR4 (PC4-25600)']",,,,['1.35V'],,,,,,,,,,['3200MHz'],,,,,,,,,,
57290,,,,['ryzen 5'],,,,,"['3.4GHz max. 4,0 GHz (Precision Boost) OC: 4,0+ GHz (XFR automated)']",,,,,,,,,,,,,,['3.20GHz'],,,,,,,,,"['1400 4c', 'Amd Ryzen™']",,,,,,,,['14nm'],,,,['3 Years'],,,
58515,,['16GB (2 x 8GB)'],,,,,,,,,,,,,,,,,,,,,"['XMP 2.0, Anodized Aluminium Heatspreader', 'DDR4 (PC4-25600)']",['ddr4'],,,['1.35V'],,,,,,,,,,['3200MHz'],,,,,,,,,,
59044,,,,['cpu cores'],,,,,,,,,,,,,,,['8ghz max turbo'],,,,,,,,,,,,,,,,['cores'],,,,,,,,,,,,
63531,,['16GB (2 x 8GB)'],,,,,,,,,,,,,,,,,,,,,"['1600mhz', 'DDR3 (PC3-12800)', 'XMP, XMS3 Heatsink']",,,,['1.50v'],,,,,,,,['lifetime warranty'],,['1600MHz'],,,,,,,,,,
63947,,,,,,,,,,,,,,,,,,,,,,,,,,['0C - 40C'],,,,,,,,,['year warranty'],,,,,['120mm Thermally Controlled Sleeve Fan'],,,,['5 Years'],,,
64089,,,,['atx'],,,,,,['Black'],,,,,,,,,,,,,,,"['gpu', 'Carbide 100R Silent Edition']",,,,,,,,,,"['and below', 'side panel water cooler support full', 'support silent no psu']",,,,,,,,,['2 Years'],['5.2kg'],,
64570,,,,['2560 x 1440'],,,,,,['black'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65043,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65645,,,,['atx'],,,,,,['way crossfirex'],,,,,,,,,['2 x m 2 2 x pci e 3 0 x16'],,,,,,,,,,,,,,,,['b250 chipset'],,,,,,,,['ddr4'],,,,
66196,,,,['mini itx'],,,,,,['Black'],,,,,,,,,,,,,,,"['gpu', 'Elite 130']",,,,,,,,,,['support no psu'],,,,,,,,,['2 Years'],['3.1kg'],,
66894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['i5 i3 7th gen atx'],,,,,,,,,,,,,,,
67722,,,,['up to'],,,,,,,,,,,,,,,,,,,,['61 cm 24'],,,,,,,,,,,['black'],,,,,,,,,,,,
68452,,,,,,,,,,,,,,,,,,,,,,,,,['network rj'],,,,,,,,,,"['raid supported', '45']",,,,,,,"['1 tb', '500 gb']",,,,,
69938,,['32GB (4 x 8GB)'],,,,,,,,['lifetime warranty'],,,,,,,,,,,,,"['2666mhz', 'Intel XMP 2.0 Memory Profile, Vengeance LPX Heat Spreader', 'DDR4 (PC4-21300)']",,,,['1.2v'],,,,,,,,,,['2666 MHz'],,,,,,,,,,
69949,,,,['atx'],,,,,,,,,,,,,,,['1 x pci e 3 0 x16'],,,,,,,,,,,,,,,,['z170 chipset'],,,,,,,,,,,,
70222,,,,,,,,,,,,,,,,,,,,,,,,['ddr4'],,,,,,,,,,,,,,,,,,,,,,,
70367,,,,['2 x antenna s'],,,,,,['rj 45'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['spill'],,,,,,,['120 v dc lead acid'],,,,,
75210,,,,,,,,,,,,,,,,,,,['usb 4 x dvi d video 1u rack'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
79457,,['64GB (4 x 16GB)'],,['ddr4'],,,,,,['lifetime warranty'],,,,,,,,,,,,,"['2666mhz', 'XMP 2.0, Vengeance LPX Heatsink', 'DDR4 (PC4-21300)']",,,,['1.2V'],,,,,,,,,,['2666MHz'],,,,,,,,,,
82284,,['16GB (2 x 8GB)'],,,,,,,,,,,,,,,,,,,,,"['DDR3 (PC3-12800)', 'XMP, Vengeance Pro Heatsink']",,,,['1.50v'],,,,,,,,,,['1600MHz'],,,,,,,,,,
83931,,,,,,,,,,,,,,,,,['350 MHz'],,['6MB'],,,,"['DDR4 - 2133 / DDR3L - 1600', 'No', '3.5GHz']",['ddr4 ddr3l controller'],,,,,,,,"['I5 6600K', 'Intel HD 350']",,,['warranty'],,,,,,,,,,,,
84721,,,,['280mm'],,,,,,,,,,,,,,,,,,['113cfm max 43 dba max 5'],,,['Hydro Series H110i'],,,,,,,,,,"['radiator mount', 'year warranty']",,,,"['2100 rpm', '2100 RPM ± 10%']",,,,,,,,
84945,,,,,,,,,,,,,,,,,,,,,,,,,,['0C - 50C'],,,,,,,,,['year warranty'],,,,,['135mm Thermally Controlled Rifle Bearing Fan'],,,,['7 Years'],,,
86732,,,,,,,,,,['Black'],,,['gpu'],,,,,,,,,,,,['Graphite 780T'],,,,,,,,,,"['and below', 'side panel water cooler support full']",,,,,,,,,['2 Years'],['11.3kg'],,
87656,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88058,,,,['ryzen 5'],,,,,"['3.7GHz max. 4,0 GHz (Precision Boost) OC: 4,0+ GHz (XFR automated)']",,,,,,,,,,,,,,['3.60GHz'],,,,,,,,,"['4c', 'Amd Ryzen™']",,,,,,,,,,,,['3 Years'],,,
88353,,['4GB (1 x 4GB)'],,['ddr4'],,,,,,,,,,['2v lifetime'],,,,,,,,,"['2400mhz', 'DDR4 (PC4-19200)']",['cl17'],,,['1.20v'],,,,,,,,['warranty'],,['2400 MHz'],,,,,,,,,,
89429,,,,['ssi'],,,,,,,,,,,,,,,,,,"['maximum ram', '2 13 ghz']",,['ddr4 sdram'],['eeb 2 x processor support'],,,,,,,,,,['video'],,,,,,,['1 tb'],,,,,
90867,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91590,,,,['atx'],,,,,,,,,['gpu'],,,,,,,,,,,,,,,,,,,,,,"['and below', 'side panel water cooler support full', 'support modular', 'no psu']",,,,,,,,,,,,
91750,,['4GB (1 x 4GB)'],,['ddr4'],,,,,,,,,,,,,,,,,,,"['2400mhz', 'XMP 2.0, Vengeance LPX Heatsink', 'DDR4 (PC4-19200)']",,,,['1.2V'],,,,,,,,,,['2400MHz'],,,,,,,,,,
92366,,"['32GB (4 x 8GB)', '32GB (4 x 8GB)']",,"['ddr4', 'ddr4']",,,,,,"['lifetime warranty', 'lifetime warranty']",,,,,,,,,,,,,"['3200mhz', '3200mhz', 'DDR4 (PC4-25600)', 'XMP 2.0, Vengeance LPX Heatsink', 'DDR4 (PC4-25600)', 'XMP 2.0, Vengeance LPX Heatsink']",,,,"['1.35V', '1.35V']",,,,,,,,,,"['3000MHz', '3000MHz']",,,,,,,,,,
92731,,,,['atx'],,,,,,,,,,,,,,,,,,,,,['gpu'],,,,,,,,,,"['and below', 'side panel water cooler support full', 'support silent no psu']",,,,,,,,,,,,
93101,,,['sealed lead acid'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['120 v dc'],,,,,
93924,,['4GB (1 x 4GB)'],,['1600mhz ram'],,,,,,,,,,,,,,,,,,,"['XMP', 'DDR3 (PC3-12800)']",,,,['1.5v'],,,,,,,['cas 9'],,,['1600MHz'],,,['5v vdimm xmp lifetime warranty'],,,,,,,
96001,,,,"['motherboard', 'Antec']",,,,,,,,,,,,,,,['external 2 3 5'],,,,,,['NSK3100'],,,,,,,,,,['miniitx drive'],,,,,,,,,,,,
96062,,,,,,,,,['2000 RPM'],['Green'],,,,,,,,,,,,,['2000 rpm'],['green led'],['SickleFlo 120'],,,,,,,,,,['69 7 cfm'],['19 dBA @ 2000 RPM'],,,['2000 rpm'],,,['120mm'],,['2 Years'],,,
97691,,,,,,,,,,,,,,,,,,,['100 1000base t 4 x sfp mini gbic'],,,,,,,,,,,,,,,,,,,,,,,['24 10'],,,,,
98374,,,,['atx'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['crossfirex'],,,,,,,,,,,,
98621,,,,,,,,,,,,,,,,,,['120mm'],,,,,,,['Hydro Series H80i v2'],,,,,,,,,,"['radiator mount', 'year warranty']",,,,['2435 RPM ± 10%'],,,['120mm'],,,,,
101004,,,,,,['120mm'],,,['400-2400RPM'],['Red'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['120mm x 120mm x 25mm'],,,,['5 Years'],,,
101083,,,['sealed lead acid'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['120 v dc'],,,,,
101282,,,,,,,,,,,,,,,,,,['120mm'],,,,,,,['Semi-Modular'],,,,,,,,,,"['all japanese capacitors', 'fan 7 year warranty']",,,,,,,,,['7-Years'],['1.7KG'],,
102183,,,,['intel'],,,,,,,,,,,,,,,,,,,,['tall red led fan'],,,,,,,,,,,,,,,,,,,,,,,['4 direct']
103095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['notebook monitor'],,,,,,,,,,,,
103298,,,,,,,,,['1100 RPM'],"['Red, White Or Blue']",,,,['1100 rpm'],,,,"['120mm', '25mm']",,,,,,,,,,,,,,,,,,['21 dBA'],,,,,,,,[],,,
103518,,,,,,,,,,,,,,,,,,,['4ghz max turbo'],,,,,,,,,,,,,,,,"['cpu cores', 'cores']",,,,,,,,,,,,['2mb']
104753,,,,['sockets supported'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['0.3 Sone'],,,['500 to 2000 RPM'],,,,,,['370 g'],,
106101,,,,['dual'],,,,,,,,,,,,,"['eDP/DP/HDMI/DVI', '350 MHz']",,['3MB'],,,,"['DDR4-1866/2400, DDR3L-1333/1600 @ 1.35V', 'No', '3.9GHz']",['ddr4 ddr3l controller'],,,,,,,,"['Intel HD 630', 'I3 7100']",,,,,,['[email\xa0protected]'],,,,,,,,,
106592,,,,['intel'],,,,,['60 ghz'],,,,,,,,,,,,,['16gb'],,['ddr4 sdram ram'],,,,,,,,['core i7 i7 6700hq 2'],,,,,,,,,,,,,,,
107879,,,,['4000 hour'],,,,['hour'],,,,,,,,,,,,,,,,,['5000'],,,,,,,,,,['economy mode'],,,,,,,,,,,,
108669,,,,['plus'],,,,,,,,,,,,,,,,,,,,,,['0C - 50C'],,,,,,,,,['fully modular corsair link enabled 7 year warranty'],,,,,['135mm Thermally Controlled Fluid Dynamic Bearing Fan'],,,,['7 Years'],,,
109289,,,,['superior'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['2 Years'],,,
109916,,,,['atx'],,,,,,,,,,,,,,,,,,,,['ddr4 3 x pcie 3 0 x16'],,,,,,,,,,,['quad channel'],,,,,,,,,,,,
110798,,,,,,,,,,,,,,,,['530'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['510mb sec 92k']
111467,,,,,,,,,,['black silver'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['2560 x 1440 qhd ips'],,,,,
112777,,,,['sealed lead acid'],,,,['leak'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113348,,,,['atx'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['z270 chipset', 'nvidia sli crossfirex']",,,,,,,,['ddr4'],,,,
113899,,,,,,,,,['13 ghz'],,,,,,,,,,,,,['2 gb ram'],,['ddr3 sdram serial ata'],,,,,,,,['intel atom d2700 dual core 2 core'],,,,,,,,,,['8 tb'],,,,,
114308,,,,['intel'],,,,,['50 ghz'],,,,,,,,,,,,,['4 gb'],,"['ddr4 sdram', 'intel hd graphics 620 ddr4 sdram']",,,,,,,,['core i5 7th gen i5 7200u'],,,['bluetooth front camera'],,,,,,,,,,,,
116893,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117675,,['4GB'],,,,,,,,['lifetime warranty'],,,,,,['PC3-12800 (1600MHz)'],,,,,,,"['1600mhz', 'DDR3']",,,,['1.5V'],,,,,,,,,,,,,,,,,['Limited Lifetime'],,,
117679,,,,['xl atx'],,,,,,,,,,['9 hdd'],,,,,,,,,,,,,,,,,,,,,['and below'],,['gpu support'],,,,,,,,,,
117860,,,,['quad core technology'],,,,,,,,,,,,,['350 MHz'],,['6MB'],,,['22nm integrated'],"['3.2GHz', 'DDR3-1333/1600', 'No']",['ddr3 controller'],,,,,,,,"['I5 4460', 'Intel HD Graphics 4600']",['4600 graphics 3yr warranty'],,,,,,,,,,,,,,
118519,,,,,['8 GT/s DMI3'],,['64 GB'],,,,,,,,,,['350 MHz'],,,,,,['3.6GHz'],['ddr4 controller'],,,,,,,,"['I3 8100', 'Intel HD 630']",,,['warranty'],,,['[email\xa0protected]'],,['37.5mm x 37.5mm'],,,,,,,
120061,,,,['quad core technology'],,,,,,,,,,,,,"['eDP/DP/HDMI/DVI', '350 MHz']",,['6MB'],,,,"['DDR4-1866/2400, DDR3L-1333/1600 @ 1.35V', '3.0GHz', 'No']",['ddr4 ddr3l controller'],,,,,,,,"['Intel HD 630', 'I5 7400']",,,,,,['[email\xa0protected]'],,,,,,,,,
120254,,,,['240'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['amd fm2 fm2', 'amd fm2 fm2']",,,,,,,,['120mm'],,,,,
121336,,['16GB (2 x 8GB)'],,['3000mhz'],,,,,,['lifetime warranty'],,,,,,,,,,,,,"['Intel XMP 2.0 Memory Profile, Vengeance LPX Heat Spreader', 'DDR4 (PC4-24000)']",,,,['1.2v'],,,,,,,,,,['3000 MHz'],,,,,,,,,,
122129,,,,['valve'],,,,['vrla'],,,,,,,,,,,,,,,,,['regulated lead acid'],,,,,,,,,,,,,,,,,,,,,,
122322,,,,,,,,,['31 4'],,,,,['2000 rpm'],,,,['120mm'],,,,,,,['Hydro Series H75'],,,,,,,,['dba max 5 year warranty'],,"['radiator mount', 'pwm fans']",,,,['2000 RPM ± 10%'],,,['120mm'],,,,,
122396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['aluminium alloy'],,,,,,,,,,,,
125224,,,,['write'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129822,,,,['ipad'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130212,,['32GB (4 x 8GB)'],,,,,,,,,,,,,,,,,,,,,"['2400mhz', 'DDR4 (PC4-19200)', 'Intel XMP 2.0 Memory Profile, Vengeance LPX Heat Spreader']",,,,['1.2v'],,,,,,,,,,['2400 MHz'],,,,,,,,,,
131099,,,['sealed lead acid'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['24 v dc'],,,,,
133492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['18 x rj 45 10 100 1000base t desktop'],,,,,
134349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['network 1 x rj 45', 'network patch cable']",,,,,,,,,,,,
135489,,,,,,,,,,,,,,['1500 rpm'],,,,,,,,,,,,,,,,,,,,,['plastic'],,,,,,,['1 x 120 mm'],,,,,
136028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['2 year'],,,,,['24 x network rj 45 ports 10base t 10 100 1000base t 24 x network 2 layer supported'],,,,,,,
136586,,['16GB (4 x 4GB)'],,['2400mhz ram'],,,,,,,,,,,,,,,,,,,"['XMP 2.0, Vengeance LPX Heatsink', 'DDR4 (PC4-19200)']",,,,['1.2V'],,,,,,,,,,['2800MHz'],,,,,,,,,,
141137,,['8GB (1 x 8GB)'],,['ddr3'],,,,,,,,,,,,,,,,,,,"['ddr3l 1600mhz', '50v', 'DDR3 (PC3-12800)']",,,,['1.35v or 1.50v (Dual Voltage)'],,,,,,,,['lifetime warranty'],,['1600MHz'],,,,,,,,,,
141731,,,,['atx'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['and below 7', 'watercooling support']",,,['up to 370mm cpu cooler up to 150mm psu up to 225mm'],,,,,,,,,
143766,,,,['quad core technology'],['8 GT/s DMI3'],,['6mb'],,,,,,,,,,,,,,,,['4.0GHz'],['ddr4 controller'],,,,,,,,['I5 7640X'],,,,,,,,,,,,,,,
143876,,,,,,,,,,,,,,,,,,,,,,,['2400 mhz'],['ddr4 2400 pc4 19200 1 20 v'],,,,,,,,,,,,,,,,,,,,,,,
144052,,,,,['8 GT/s DMI3'],,['64 GB'],,,,,,,,,['12'],['350 MHz'],,,,,,['3.7GHz'],['ddr4 controller'],,,,,,,,"['Intel HD 630', 'I7 7800K']",,,,,,['[email\xa0protected]'],,['37.5mm x 37.5mm'],,,,,,,
145357,,,,,,,,,,['Black'],,,,,,,,,,,,,,,['Graphite 230T'],,,,,,,,,,"['and below', 'side panel water cooler support no psu']",,,,,,,,,['2 Years'],['6.05kg'],,
147316,,['8GB (2 x 4GB)'],,,,,,,,['lifetime warranty'],,,,,,,,,,,,,"['2666mhz', 'XMP 2.0, Vengeance LPX Heatsink', 'DDR4 (PC4-21300)']",,,,['1.2V'],,,,,,,,,,['2666MHz'],,,,,,,,,,
148103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['1 x thunderbolt 1 x firewire'],,,,,
150127,,,,,,,['DIMM'],,,['lifetime warranty'],,,,,,"['3000mhz', 'PC4-24000 (3000MHz)']",,,,,,,"['Vengeance RGB', '32GB (4x8GB)', 'DDR4']",,,,['1.35V'],['288'],,,,,,,,,['3000MHz'],,,,,,,['Limited Lifetime'],,,
150150,,,,['sata powered'],,,,,,,,,,,,,,,['USB connectors (9 Pin)'],,"['Plastic, PCB']",,,,,,"['4', '12V']",,,,,,,,['RGB LED Controller'],,,,,,,,,['5 Years'],['122'],,
150612,,['4GB (1 x 4GB)'],,,,,,,,,,,,,,,,,,,,,"['DDR3 (PC3-12800)', 'XMP, Vengeance LP Heatsink']",,,,['1.50v'],,,,,,,,,,['1600MHz'],,,,,,,,,,
151053,,['16GB (4 x 4GB)'],,,,,,,,,,,,,,,['3400mhz ram speed'],,,,,,"['DDR4 (PC4-27200)', 'Intel XMP 2.0 Memory Profile Dominator DHX Platinum Heatsink Corsair Link Enabled']",,,,['1.35v'],,,,,,,,['lifetime warranty'],,['3400 MHz'],,,,,['4x4gb'],,,,,
