half_id,half_isbn,half_title,half_author,half_binding,half_pubdate,half_pages,half_publisher
half_95,9780547258300,Graceling,Kristin Cashore,Paperback,"Sep. 7th, 2009",471,Graphia Books
half_96,9780553494839,Black Ships Before Troy,Rosemary Sutcliff,,"Dec. 13th, 2005",151,Laurel Leaf Library
half_97,9780440228387,Soldier's Heart,Gary Paulsen,,"Sep. 12th, 2000",128,Laurel Leaf Library
half_98,9780440211709,Living Up the Street,Gary Soto,,"Feb. 1st, 1992",176,Laurel Leaf Library
half_99,9780823421954,Freedom Walkers,Russell Freedom,,"Mar. 1st, 2009",114,Holiday House
half_100,9780140384512,"Roll of Thunder, Hear My Cry",Mildred D. Taylor,,"Feb. 1st, 1997",276,Speak
half_101,9780553272581,Farewell to Manzanar,Jeanne Wakatsuki Houston,,"Mar. 31st, 1983",224,Laurel Leaf Library
half_102,9780618150823,The Hobbit,J. R. R. Tolkien,,"Sep. 25th, 2001",352,Graphia Books
half_103,9780142419670,A Tale Dark & Grimm,Adam Gidwitz,,"Aug. 18th, 2011",256,Puffin Books
half_104,9780618260300,"The Hobbit, Or, There and Back Again",J. R. R. Tolkien,,"Aug. 15th, 2002",320,Houghton Mifflin Harcourt (HMH)
half_105,9780553262506,Wizard of Earthsea,Ursula K. Le Guin,Paperback,"Apr. 1st, 1984",192,Spectra Books
half_106,9780064472883,Bad Boy,Walter Dean Myers,,"May. 7th, 2002",224,Amistad Press
half_107,9780590425995,The Adventures of Ulysses,Bernard Evslin,,"Jan. 1st, 1980",179,Scholastic
half_108,9780545174152,Nothing But the Truth,Avi,,"Jan. 1st, 2010",177,Scholastic Paperbacks
half_109,9780385736008,The Alchemyst,Michael Scott,Paperback,"Jun. 24th, 2008",375,Delacorte Press
half_110,9780316036733,The Mysterious Benedict Society and the Perilous Journey,Trenton Lee Stewart,Paperback,"May. 1st, 2009",440,"Little, Brown Young Readers"
half_111,9780439136365,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,Paperback,"Oct. 1st, 2001",435,Scholastic
half_112,9780440993711,The Wave,Todd Strasser,,"Sep. 15th, 1981",144,Laurel Leaf Library
half_113,9780440219361,Nightjohn,Gary Paulsen,,"Jan. 1st, 1995",112,Laurel Leaf Library
half_114,9780440229124,The Cay,Theodore Taylor,,"Apr. 8th, 2003",144,Laurel Leaf Library
half_115,9780142409329,Blood on the River,Elisa Carbone,,"Nov. 1st, 2007",237,Puffin Books
half_116,9780618593941,Chew on This,Eric Schlosser,,"Apr. 23rd, 2007",318,Houghton Mifflin Harcourt (HMH)
half_117,9781583228692,A Young People's History of the United States,Howard Zinn,,"Jun. 2nd, 2009",464,Seven Stories Press
half_118,9780439829106,"Tomorrow, When the War Began",John Marsden,,"Jun. 1st, 2006",277,Scholastic Paperbacks
half_119,9781250007209,Cinder,Marissa Meyer,,"Jan. 8th, 2013",448,Square Fish
half_120,9780803735002,"The Omnivore's Dilemma, Young Readers Edition",Michael Pollan,,"Oct. 15th, 2009",298,Dial Books
half_121,9780316002936,The Dangerous Days of Daniel X,James Patterson,,"Dec. 31st, 2008",238,"Little, Brown Young Readers"
half_122,9780064462082,Red Scarf Girl,Ji-Li Jiang,,"Sep. 4th, 1998",320,HarperTrophy
half_123,9780142406113,Stormbreaker,Anthony Horowitz,Paperback,"Feb. 16th, 2006",234,Puffin Books
half_124,9780142403709,Al Capone Does My Shirts,Gennifer Choldenko,,"Apr. 20th, 2006",225,Puffin Books
half_125,9781423103851,The Skin I'm In,Sharon G. Flake,,"Aug. 1st, 2007",171,Jump at the Sun
half_126,9781416947950,Specials,Scott Westerfeld,,"Sep. 30th, 2007",372,Simon Pulse
half_127,9780312373542,La Linea,Ann Jaramillo,,"Jul. 22nd, 2008",135,Square Fish
half_128,9780689852237,The House of the Scorpion,Nancy Farmer,,"Apr. 27th, 2004",380,Simon Pulse
half_129,9780439358071,Harry Potter and the Order of the Phoenix,J. K. Rowling,Paperback,"Sep. 1st, 2004",870,Scholastic
half_130,9780439706407,Out from Boneville,Jeff Smith,,"Feb. 1st, 2005",138,Graphix
half_131,9780743265041,The 6 Most Important Decisions You'll Ever Make,Sean Covey,,"Sep. 1st, 2006",324,Fireside Books
half_132,9780545425117,The Hunger Games,Suzanne Collins,,"Feb. 7th, 2012",374,Scholastic Inc.
half_133,9780142405963,Code Talker,Joseph Bruchac,,"Jul. 6th, 2006",231,Puffin Books
half_134,9780440229490,Gathering Blue,Lois Lowry,,"Sep. 10th, 2002",224,Laurel Leaf Library
half_135,9780439139601,Harry Potter and the Goblet of Fire,J. K. Rowling,Paperback,"Sep. 1st, 2002",752,Scholastic Paperbacks
half_136,9780439783606,My Brother Sam Is Dead,James Lincoln Collier,,"Apr. 1st, 2005",216,Scholastic Paperbacks
half_137,9781416903291,Iqbal,Francesco D'Adamo,,"Jul. 5th, 2005",120,Aladdin Paperbacks
half_138,9780698118706,Freedom's Children,Ellen Levine,,"Dec. 1st, 2000",192,Puffin Books
half_139,9780142406274,We Beat the Street,Sampson Davis,,"Apr. 20th, 2006",192,Puffin Books
half_140,9780375866289,The Running Dream,Wendelin Van Draanen,,"Jan. 10th, 2012",352,Ember
half_141,9780545139700,Harry Potter and the Deathly Hallows,J. K. Rowling,Paperback,"Jul. 7th, 2009",759,Arthur A. Levine Books
half_142,9780316015844,Twilight,Stephenie Meyer,Paperback,"Sep. 1st, 2006",498,Megan Tingley Books
half_143,9781416954217,Found,Margaret Peterson Haddix,,"Apr. 21st, 2009",314,Simon & Schuster Children's Publishing
half_144,9780142501894,Bronx Masquerade,Nikki Grimes,,"Dec. 29th, 2003",167,Speak
half_145,9780769615912,Webster's Dictionary,School Specialty Publishing,,"May. 1st, 2000",224,Brighter Child
half_146,9781770461123,Rookie Yearbook One,Tavi Gevinson,,"Sep. 4th, 2012",352,Drawn & Quarterly
half_147,9781620610091,Opal,Jennifer L. Armentrout,,"Dec. 11th, 2012",452,Entangled Select
half_148,9780679813439,The Black Stallion,Walter Farley,Paperback,"Aug. 20th, 1991",224,Random House Children's Books
half_149,9780375826696,Eragon,Christopher Paolini,Paperback,"Apr. 26th, 2005",528,Alfred A. Knopf Books for Young Readers
half_150,9780316045506,The Mysterious Benedict Society and the Prisoner's Dilemma,Trenton Lee Stewart,Paperback,"Oct. 5th, 2010",391,"Little, Brown Books for Young Readers"
half_151,9780142415528,Locomotion,Jacqueline Woodson,,"Jan. 7th, 2010",99,Puffin Books
half_152,9780553494655,Lawn Boy,Gary Paulsen,,"Mar. 24th, 2009",88,Yearling Books
half_153,9780316101691,"Middle School, the Worst Years of My Life",James Patterson,,"Nov. 6th, 2012",336,Little Brown and Company
half_154,9780307929617,The River,Gary Paulsen,,"Mar. 13th, 2012",132,Ember
half_155,9780689865398,Pretties,Scott Westerfeld,,"Nov. 30th, 2005",370,Simon Pulse
half_156,9780316826204,Of Beetles & Angels,Mawi Asgedom,,"Sep. 1st, 2002",176,"Little, Brown Books for Young Readers"
half_157,9780142408421,The Burning Bridge,John Flanagan,,"Jun. 26th, 2007",262,Puffin Books
half_158,9780439785969,Harry Potter and the Half-Blood Prince,J. K. Rowling,Paperback,"Sep. 1st, 2006",652,Scholastic Paperbacks
half_159,9780440227199,Brian's Winter,Gary Paulsen,,"Jan. 31st, 1998",144,Laurel Leaf Library
half_160,9780061448782,Gone,Michael Grant,,"Apr. 28th, 2009",558,Harper Teen
half_161,9780060887322,Pretty Little Liars,Sara Shepard,,"Aug. 21st, 2007",286,Harper Teen
half_162,9780486264721,The Call of the Wild,Jack London,,"Jul. 1st, 1990",64,Dover Publications
half_163,9780545123273,Shiver,Maggie Stiefvater,,"Jun. 1st, 2010",392,Scholastic Paperbacks
half_164,9780061974571,The Power of Six,Pittacus Lore,,"Jul. 24th, 2012",406,HarperCollins
half_165,9780375846311,Inheritance,Christopher Paolini,Paperback,"Oct. 23rd, 2012",880,Alfred A. Knopf Books for Young Readers
half_166,9780316056199,Ship Breaker,Paolo Bacigalupi,,"Oct. 3rd, 2011",352,"Little, Brown Books for Young Readers"
half_167,9780316067959,The Angel Experiment,James Patterson,,"Apr. 1st, 2007",422,"Little, Brown Young Readers"
half_168,9780312623555,Joey Pigza Swallowed the Key,Jack Gantos,,"Jul. 5th, 2011",176,Square Fish
half_169,9780141301204,Rosa Parks,Rosa Parks,,"Jan. 1st, 1999",192,Puffin Books
half_170,9780547237602,The Wednesday Wars,Gary D. Schmidt,,"May. 1st, 2009",264,Houghton Mifflin Harcourt (HMH)
half_171,9780440220657,The Face on the Milk Carton,Caroline B. Cooney,,"Apr. 1st, 1991",208,Laurel Leaf Library
half_172,9780769615905,Webster's English/Spanish Dictionary,School Specialty Publishing,,"Aug. 1st, 2000",222,American Education Publishing
half_173,9780440420057,Milkweed,Jerry Spinelli,,"Sep. 13th, 2005",208,Laurel Leaf Library
half_174,9780142417751,Mockingbird,Kathryn Erskine,,"Feb. 3rd, 2011",235,Puffin Books
half_175,9780786817870,Artemis Fowl,Eoin Colfer,,,416,Disney Press
half_176,9780553274295,Where the Red Fern Grows,Wilson Rawls,,"Mar. 12th, 1997",256,Laurel Leaf Library
half_177,9780689818516,Forged by Fire,Sharon M. Draper,,"Jan. 1st, 1998",160,Simon Pulse
half_178,9780142415436,If I Stay,Gayle Forman,,"Apr. 6th, 2010",272,Speak
half_179,9780373210572,The Lost Prince,Julie Kagawa,,"Oct. 23rd, 2012",400,Harlequin Teen
half_180,9781416914631,Go Ask Alice,Anonymous,,"Dec. 1st, 2005",214,Simon Pulse
half_181,9780792272977,Facing the Lion,Joseph Lemasolai Lekuton,,"Oct. 11th, 2005",127,National Geographic Society
half_182,9780141312422,My Side of the Mountain,Jean Craighead George,,"May. 21st, 2001",192,Puffin Books
half_183,9780553259209,"Heroes, Gods and Monsters of the Greek Myths",Bernard Evslin,,"Sep. 1st, 1984",224,Laurel Leaf Library
half_184,9780679887911,Knots in My Yo-Yo String,Jerry Spinelli,,"Apr. 28th, 1998",160,Alfred A. Knopf
half_185,9781416953487,Copper Sun,Sharon M. Draper,,"Jan. 1st, 2008",314,Simon Pulse
half_186,9780439755207,"Drums, Girls & Dangerous Pie",Jordan Sonnenblick,,"Sep. 1st, 2006",273,Scholastic Paperbacks
half_187,9781423105169,Schooled,Gordon Korman,,"Aug. 26th, 2008",208,Hyperion Books for Children
half_188,9780375836671,I Am the Messenger,Markus Zusak,,"May. 9th, 2006",357,Alfred A. Knopf Books for Young Readers
half_189,9780142418598,The Emperor of Nihon-Ja,John Flanagan,,"Mar. 20th, 2012",438,Puffin Books
half_190,9780142415245,The Siege of Macindaw,John Flanagan,,"May. 18th, 2010",293,Puffin Books
half_191,9780142418574,The King's of Clonmel,John Flanagan,,"Sep. 6th, 2011",400,Puffin Books
half_192,9780142415252,Erak's Ransom,John Flanagan,,"Sep. 6th, 2011",373,Puffin Books
half_193,9780786851720,Sold,Patricia McCormick,,"Apr. 1st, 2008",263,Hyperion Books for Children
half_194,9780590427920,My Brother Sam Is Dead,James Lincoln Collier,,"May. 1st, 1985",224,Scholastic Paperbacks
half_195,9780061726811,Before I Fall,Lauren Oliver,,"Oct. 25th, 2011",470,HarperCollins
half_196,9780763642686,The Odyssey,Gareth Hinds,,"Oct. 12th, 2010",256,Candlewick Press (MA)
half_197,9780765323118,Little Brother,Cory Doctorow,,"Apr. 13th, 2010",416,Tor Books
half_198,9781590789148,Wild Things,Clay Carmichael,,"Oct. 1st, 2012",184,Boyds Mills Press
half_199,9780375834875,Scat,Carl Hiaasen,,"Apr. 27th, 2010",371,Alfred A. Knopf Books for Young Readers
half_200,9780440419464,Holes,Louis Sachar,,"Mar. 31st, 2003",256,Yearling Books
half_201,9780385751896,The Boy in the Striped Pajamas,John Boyne,,"Oct. 28th, 2008",215,David Fickling Books
half_202,9780385737166,Messenger,Lois Lowry,,"Jan. 13th, 2009",169,Bantam Books for Young Readers
half_203,9781423150695,"The Kane Chronicles, The, Book One: Red Pyramid",Rick Riordan,,"Oct. 2nd, 2012",192,Hyperion Books
half_204,9780440238492,Eldest,Christopher Paolini,Paperback,"Aug. 31st, 2008",1056,Laurel Leaf Library
half_205,9780152061548,Life as We Knew It,Susan Beth Pfeffer,,"May. 1st, 2008",360,Graphia Books
half_206,9780316038379,Twilight,Stephenie Meyer,Paperback,"Nov. 1st, 2008",498,"Little, Brown Young Readers"
half_207,9780142414293,The Sorcerer of the North,John Flanagan,,"Jul. 1st, 2009",295,Puffin Books
half_208,9780375826740,Brisingr,Christopher Paolini,Paperback,"Apr. 13th, 2010",800,Alfred A. Knopf Books for Young Readers
half_209,9780545055765,Fallen Angels,Walter Dean Myers,,"May. 1st, 2008",309,Scholastic Paperbacks
half_210,9780375825446,Flipped,Wendelin Van Draanen,,"May. 13th, 2003",224,Ember
half_211,9780375859083,Woods Runner,Gary Paulsen,,"Jan. 11th, 2011",164,Wendy Lamb Books
half_212,9780061555213,Sign of the Moon,Erin Hunter,,"Apr. 3rd, 2012",297,Harper
half_213,9780385732567,Gathering Blue,Lois Lowry,,"Jan. 24th, 2006",215,Delacorte Press Books for Young Readers
half_214,9780826317971,The Circuit,Francisco Jimenez,,"Oct. 1st, 1997",146,University of New Mexico Press
half_215,9780060757359,The Pigman,Paul Zindel,,"Mar. 29th, 2005",192,Harper Teen
half_216,9780312563745,The Revealers,Doug Wilhelm,,"Aug. 30th, 2011",240,Square Fish
half_217,9780375863479,Flipped,Wendelin Van Draanen,,"Aug. 10th, 2010",212,Alfred A. Knopf Books for Young Readers
half_218,9780152062682,Peak,Roland Smith,,"Aug. 1st, 2008",246,Harcourt Paperbacks
half_219,9781416971740,Leviathan,Scott Westerfeld,,"Aug. 10th, 2010",440,Simon Pulse
half_220,9780061146305,The Bad Beginning,Lemony Snicket,Paperback,"May. 8th, 2007",142,HarperTrophy
half_221,9781933718743,Ashfall,Mike Mullin,,"Oct. 16th, 2012",476,Tanglewood Press
half_222,9780440237846,Before We Were Free,Julia Alvarez,,"Apr. 13th, 2004",192,Laurel Leaf Library
half_223,9780375861253,Flush,Carl Hiaasen,,"May. 11th, 2010",263,Yearling Books
half_224,9780064408196,Homeless Bird,Gloria Whelan,,"Aug. 21st, 2001",192,HarperTrophy
half_225,9780689839566,The Misfits,James Howe,,"May. 1st, 2003",266,Atheneum Books for Young Readers
half_226,9780062211101,I Am Number Four: The Lost Files,Pittacus Lore,,"Jul. 24th, 2012",351,HarperCollins
half_227,9781584302674,Yummy,Greg Neri,,"Sep. 1st, 2010",94,Lee & Low Books
half_228,9780060525590,Fire and Ice,Erin Hunter,,"Jun. 1st, 2004",317,Avon Books
half_229,9780142418581,Halt's Peril,John Flanagan,,"Mar. 20th, 2012",386,Puffin Books
half_230,9780312535612,Letters from Rifka,Karen Hesse,,"Jan. 6th, 2009",148,Square Fish
half_231,9781442402331,Rot & Ruin,Jonathan Maberry,,"May. 3rd, 2011",458,Simon & Schuster Children's Publishing
half_232,9780689865190,Crank,Ellen Hopkins,,"Oct. 5th, 2004",537,Simon Pulse
half_233,9780061478789,Howl's Moving Castle,Diana Wynne Jones,,"Apr. 22nd, 2008",429,Eos
half_234,9780142421710,Crossed,Ally Condie,,"Jan. 15th, 2013",400,Speak
half_235,9781442419803,Pretties,Scott Westerfeld,,"May. 3rd, 2011",348,Simon Pulse
half_236,9780385740074,Chinese Cinderella,Adeline Yen Mah,,"Sep. 14th, 2010",205,Delacorte Press Books for Young Readers
half_237,9780440905608,Beowulf,Robert Nye,,"Mar. 15th, 1982",112,Laurel Leaf Library
half_238,9780316067935,Breaking Dawn,Stephenie Meyer,Paperback,"Aug. 3rd, 2010",768,"Little, Brown Books for Young Readers"
half_239,9780439324595,Cut,Patricia McCormick,,"Jan. 31st, 2002",160,Push
half_240,9780312367558,A Wrinkle in Time,Madeleine L'Engle,,"May. 1st, 2007",212,Square Fish
half_241,9780312629113,Whirligig,Paul Fleischman,,"Oct. 12th, 2010",133,Square Fish
half_242,9780141321059,The Call of the Wild,Jack London,Paperback,"Apr. 1st, 2008",133,Puffin Books
half_243,9780440940005,Island of the Blue Dolphins,Scott O'Dell,,"Mar. 31st, 1978",197,Laurel Leaf Library
half_244,9781423123118,Kingdom Keepers,Ridley Pearson,Paperback,"Sep. 1st, 2009",336,Hyperion Books
half_245,9780142421949,The Outcasts,John Flanagan,,"Sep. 4th, 2012",464,Puffin Books
half_246,9788427202122,Los Juegos del Hambre = The Hunger Games,Suzanne Collins,,"Mar. 1st, 2012",396,Molino
half_247,9780375828256,The People of Sparks,Jeanne DuPrau,Paperback,"Apr. 12th, 2005",352,Yearling Books
half_248,9780385737289,The Magician,Michael Scott,Paperback,"Apr. 28th, 2009",464,Delacorte Press
half_249,9780763622596,Feed,M. T. Anderson,,"Mar. 1st, 2004",299,Candlewick Press (MA)
half_250,9780385738781,The Death Cure,James Dashner,Paperback,"Jan. 8th, 2013",336,Delacorte Press Books for Young Readers
half_251,9780689877797,The Recruit,Robert Muchamore,,,342,Simon Pulse
half_252,9780440240730,Eragon,Christopher Paolini,Paperback,"Jun. 30th, 2007",754,Laurel Leaf Library
half_253,9780545284141,The False Prince,Jennifer A. Nielsen,,"Mar. 1st, 2013",352,Scholastic Paperbacks
half_254,9780316024969,New Moon,Stephenie Meyer,Paperback,"May. 31st, 2008",563,"Little, Brown Young Readers"
