Base_x,Base_y,Capacity_x,Capacity_y,Category_x,Category_y,Color_x,Color_y,Finish_x,Finish_y,Height_x,Height_y,Material_x,Material_y,Product Type_x,Product Type_y,Shape_x,Shape_y,Style_x,Style_y,brand_x,brand_y,cluster_id,description_x,description_y,id_org_x,id_org_y,title_x,title_y
"'Space Saver Oven', 'Space Saver Oven'",'(2) standard / space saver ovens',,,,,'restaurant range','ultimate',"'nsf', 'nsf'",'nsf',"'735.00', '735.00'",'735.00 Pound(s)',,,"'lp gas', 'wavy grates', 'wavy grates'",'wavy grates',"'oven', 'oven'",'oven',"'LP', 'NG'",'restaurant',"""Southbend""@en","""Southbend""",24625,"""Ultimate Restaurant Range, LP gas, 48"", (4) non-clog burners, wavy grates, (1) 24"" griddle right, standing pilot, (2) space saver ovens with battery spark ignition, includes (1) rack per oven, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 246,000 BTU, CSA, NSF""@en ","""
Ultimate Restaurant Range, gas, 48"", (4) non-clog burners, wavy grates, (1) 24"" griddle right, standing pilot, (2) space saver ovens with battery spark ignition, includes (1) rack per oven, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 246,000 BTU, CSA, NSF
"" ",9530737,4034916," ""Southbend 4482EE-2GR 48"" 4-Burner Gas Range with Griddle, LP""@en LP ""@en Griddle"," "" Southbend 4482EE-2GR Ultimate Restaurant Range ""Southbend | Culinary Depot"""
"'standard ovens', 'standard ovens', 'Standard Oven', 'Standard Oven'","'standard ovens', '(2) standard ovens'",'60 6',,,,,,"'nsf', 'nsf'",'nsf',"'1075.00', '1075.00'",'1075.00 Pound(s)',"'battery', 'oven', 'battery', 'oven'","'battery', 'oven'","'lp gas', 'standard grates', 'standard grates'",'standard grates','restaurant','restaurant',"'restaurant', 'per', 'per', 'LP', 'NG'",'per',"""Southbend""@en","""Southbend""",26299,"""Ultimate Restaurant Range, NG gas, 60"", (6) non-clog burners, standard grates, (1) 24"" charbroiler right, standing pilot, (2) standard ovens with battery spark ignition, includes (1) rack per oven, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 352,000 BTU, CSA, NSF""@en ","""
Ultimate Restaurant Range, gas, 60"", (6) non-clog burners, standard grates, (1) 24"" charbroiler right, standing pilot, (2) standard ovens with battery spark ignition, includes (1) rack per oven, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 352,000 BTU, CSA, NSF
"" ",9663614,12159123," ""Southbend 4601DD-2CR 60"" 6-Burner Gas Range with Charbroiler, NG""@en NG ""@en Charbroiler"," "" Southbend 4601DD-2CR Ultimate Restaurant Range ""Southbend | Culinary Depot"""
"'convection ovens', 'convection ovens', 'Convection Oven', 'Convection Oven'","'convection ovens', '(2) convection ovens'","'48 griddle', '48 griddle'",'48 griddle',,,"'per oven', 'restaurant range', 'per oven'","'ultimate', 'per oven'","'nsf', 'nsf'",'nsf',"'1075.00', '1075.00'",'1075.00 Pound(s)',"'battery', 'stainless steel', 'battery', 'stainless steel'","'battery', 'stainless steel'","'standard grates', 'shelf 6', 'lp gas', 'standard grates', 'shelf 6'","'standard grates', 'shelf 6'",,,"'NG', 'LP'",'restaurant',"""Southbend""@en","""Southbend""",27966,"""Ultimate Restaurant Range, LP gas, 60"", (2) star/sauté burners, standard grates, (1) 48"" griddle right, thermostatic controls, standing pilot, (2) convection ovens with battery spark ignition, includes (3) racks per oven, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 210,000 BTU, CSA, NSF""@en ","""
Ultimate Restaurant Range, gas, 60"", (2) star/sauté burners, standard grates, (1) 48"" griddle right, thermostatic controls, standing pilot, (2) convection ovens with battery spark ignition, includes (3) racks per oven, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 210,000 BTU, CSA, NSF
"" ",13372625,6504362," ""Southbend 4603AA-4TR 60"" 2-Burner Gas Range with Griddle, LP""@en Griddle LP ""@en"," "" Southbend 4603AA-4TR Ultimate Restaurant Range ""Southbend | Culinary Depot"""
"'Standard Oven', 'Standard Oven'",'(1) standard oven',,,,,'restaurant range','ultimate',"'nsf', 'nsf'",'nsf',"'660.00', '660.00'",'660.00 Pound(s)',"'battery', 'battery'",'battery',"'wavy grates', 'shelf 6 adjustable', 'lp gas', 'wavy grates', 'shelf 6 adjustable'","'wavy grates', 'shelf 6 adjustable'",,,"'oven', 'flue riser with shelf stainless steel', 'front', 'oven', 'flue riser with shelf stainless steel', 'front', 'NG', 'LP'","'restaurant', 'oven', 'flue riser with shelf stainless steel', 'front'","""Southbend""@en","""Southbend""",28483,"""Ultimate Restaurant Range, LP gas, 36"", (2) non-clog burners, wavy grates, (1) 24"" charbroiler right, standing pilot, (1) standard oven with battery spark ignition, includes (1) rack, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 163,000 BTU, CSA, NSF""@en ","""
Ultimate Restaurant Range, gas, 36"", (2) non-clog burners, wavy grates, (1) 24"" charbroiler right, standing pilot, (1) standard oven with battery spark ignition, includes (1) rack, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 163,000 BTU, CSA, NSF
"" ",3135053,8431227," ""Southbend 4362D-2CR 36"" 2-Burner Gas Range with Charbroiler, LP""@en Charbroiler LP ""@en"," "" Southbend 4362D-2CR Ultimate Restaurant Range ""Southbend | Culinary Depot"""
,,"'33 f', '60 1'","'36 f', '42 f', '60 1', '2'",,'fluorescent light',"'glass non peel anti rust coated paint steel exterior', 'cetlus etl sanitation'",'cetlus etl sanitation',"'access compressor', 'White'",,"'50.13', '777.00'",'777.00 Pound(s)','tempered','stainless steel',"'condenser device equipped curved front', 'sliding rear', 'floor air flow grille'",'floor air flow grille rear',,'lamp',"'shelves', 'Curved Glass'","'rear doors', 'shelves shielded top'","""Turbo Air""@en","""Turbo Air""",30673,"""Deli Case, refrigerated, 72 1/2"" W, 21.4 cu.ft., high profile, self contained refrigeration system, self-cleaning condenser device equipped, curved front tempered glass, non-peel anti-rust coated paint steel exterior, sliding rear doors, (2) adjustable cantilevered wire shelves, LED interior lighting, stainless steel floor & air flow grille, specify exterior color, rear access compressor compartment, 33°F-41°F temp range, 1/2 HP, 115V/60/1, 11.0 amps, NEMA 5-15P, cETLus, ETL sanitation
""@en ","""
Deli Case, refrigerated, 72 1/2"" W, high profile, self contained refrigeration system, curved front, sliding rear doors, (2) adjustable cantilevered wire shelves, shielded top fluorescent light lamp, stainless steel floor & air flow grille, rear access compressor compartment, 36°F-42°F temp range, 1/2 HP, 115V/60/1, 11.0 amps, NEMA 5-15P, cETLus, ETL-Sanitation
"" ",15144558,4239913," ""Turbo Air TCDD-72-2-H 72.5"" Full Service Deli Case w/ Curved Glass - (3) Levels, 115v""@en Levels 115v ""@en"," "" Turbo Air TCDD-72-2-H Deli Case ""Turbo - | Culinary Depot"""
,,"'21 3', '16 d'","'21 3', '16 d'",'nsf','nsf',"'heavy duty adjustable cast iron grates', 'valve per burner manual'","'heavy duty adjustable cast iron grates', 'valve per burner manual'",,,,'391.00 Pound(s)','stainless steel','stainless steel',,,,,,,"""Garland""@en","""Garland""",40082,"""Charbroiler, countertop, gas, 35-7/16"", heavy-duty, adjustable cast iron grates, 21-3/16” D broiling grid, (1) variable hi/lo valve per burner, manual controls, crumb tray, reversible cast iron broiler racks in 3” W sections, stainless steel front, sides, back & 3-1/2"" front rail, 4"" adjustable legs, 108,000 BTU (US Range), CSA, NSF
""@en ","""
Charbroiler, countertop, gas, 35-7/16"", heavy-duty, adjustable cast iron grates, 21-3/16” D broiling grid, (1) variable hi/lo valve per burner, manual controls, crumb tray, reversible cast iron broiler racks in 3” W sections, stainless steel front, sides, back & 3-1/2"" front rail, 4"" adjustable legs, 108,000 BTU (US Range), CSA, NSF
"" ",7190843,7885454," ""Garland UTBG36-AR36 35.43"" Countertop Charbroiler w/ Cast Iron Grates - Manual Controls, LP""@en LP ""@en Controls"," "" Garland UTBG36-AR36 Charbroiler ""Garland | Culinary Depot"""
,,,,,,,,"'abs plastic white', 'nsf'","'abs plastic white', 'nsf'",,,,,,,,,'resistant refrigerant gel insulated dishwasher safe','resistant refrigerant gel insulated dishwasher safe',"""Carlisle""@en","""Carlisle""",45695,"""Coldmaster® Food Pan, 1/1 full size, 6"" deep, impact-resistant, refrigerant gel insulated, dishwasher safe, ABS plastic, white, NSF""@en ","""
Coldmaster Food Pan, 1/1 full size, 6"" deep, impact-resistant, refrigerant gel insulated, dishwasher safe, ABS plastic, white, NSF
"" ",7888035,4000217," ""Carlisle CM110002 Coldmaster Full Size Food Pan - 6""D, White""@en 6""D White ""@en"," "" Carlisle CM110002 Coldmaster Food Pan ""Carlisle | Culinary Depot"""
,'legs with boxed crossrails','77 l','77 l',,,,,'nsf','nsf',"'20 front', '214.00'","'20 front', '214.00 Pound(s)', '11""'",'stainless steel overall','stainless steel overall',,'legs with welded front to rear adjustable',,,"'compartment with left hand drainboard', 'deep with 11 high splash', 'legs with welded front to rear adjustable'","'compartment with left hand drainboard', 'deep with'","""Advance Tabco""@en","""Advance Tabco""",46929,"""Regaline Sink, 3-compartment, with left-hand drainboard, 20"" front-to-back x 16"" wide sink compartments, 14"" deep, with 11"" high splash, stainless steel legs with welded front-to-rear & adjustable left-to-right cross rails, 18"" drainboard, 1"" adjustable bullet feet, 14 gauge 304 series stainless steel, overall 27"" F/B x 77"" L/R, NSF""@en ","""
Regaline Sink, 3-compartment, with left-hand drainboard, 20"" front-to-back x 16""W sink compartments, 14"" deep, with 11""H backsplash, stainless steel legs with welded front-to-rear & adjustable left-to-right cross rails, 18"" drainboard, 1"" adjustable bullet feet, 14 gauge 304 series stainless steel, overall 27"" F/B x 77"" L/R, NSF
"" ",7621428,10266492," ""Advance Tabco 94-3-54-18L 77"" 3-Compartment Sink w/ 16""L x 20""W Bowl, 14"" Deep""@en Deep ""@en Bowl"," "" Advance Tabco 94-3-54-18L Regaline Sink ""Advance | Culinary Depot"""
,,'3',,,,,,,,"'62.2', '238.00'",'238.00 Pound(s)',,,"'electric holds 3', 'mechanical timer', 'energy star'","'n hold boilerless', 'convection steamer includes', 'electric', 'mechanical timer', 'energy star'",,,'deep pans vacuum cooking','deep pans vacuum cooking',"""Accutemp""@en","""AccuTemp""",46984,"""Steam'N'Hold™ Convection Steamer, includes stand with casters, electric, holds (3) 12""x 20""x 2-1/2"" deep pans, vacuum cooking, manual mechanical timer controls, NO water or drain connections required, 6kw, 240/60/1ph, 5' cord & NEMA L6-30P, ENERGY STAR®""@en ","""
Steam'N'Hold Boilerless Convection Steamer, includes stand with casters, electric, holds (3) 12""x 20""x 2-1/2"" deep pans, vacuum cooking, manual mechanical timer controls, NO water or drain connections required, 6kw, 240/60/1ph, 5' cord & NEMA L6-30P, ENERGY STAR
"" ",14368833,9239745," ""Accutemp S32401D060SGL Electric Floor Model Steamer w/ (3) Full Size Pan Capacity, 240v/1ph""@en Capacity 240v/1ph ""@en"," "" AccuTemp S32401D060 SGL Steam'N'Hold Boilerless Convection Steamer ""AccuTemp | Culinary Depot"""
,'legs with boxed crossrails','18 gauge','18 gauge',,,,,'nsf','nsf','194.00',"'194.00 Pound(s)', '8""'",,,'open frame','open frame',,,"'compartment with right hand', 'back', 'deep with'","'compartment with right hand', 'back', 'deep with'","""Advance Tabco""@en","""Advance Tabco""",47941,"""Regaline Sink, 2-compartment, with right-hand drainboard, 24"" front-to-back x 24"" wide sink compartments, 12"" deep, with 8"" high splash, stainless steel open frame base, side crossrails, 24"" drainboard, 1"" adjustable bullet feet, 18 gauge 304 series stainless steel, overall 31"" F/B x 80"" L/R, NSF""@en ","""
Regaline Sink, 2-compartment, with right-hand drainboard, 24"" front-to-back x 24""W sink compartments, 12"" deep, with 8""H backsplash, stainless steel open frame base, side crossrails, 24"" drainboard, 1"" adjustable bullet feet, 18 gauge 304 series stainless steel, overall 31"" F/B x 80"" L/R, NSF
"" ",9127374,15044827," ""Advance Tabco 9-42-48-24R 80"" 2-Compartment Sink w/ 24""L x 24""W Bowl, 12"" Deep""@en Bowl Deep ""@en"," "" Advance Tabco 9-42-48-24R Regaline Sink ""Advance | Culinary Depot"""
"'left thermostatic', 'flue riser with shelf', 'left thermostatic', 'flue riser with shelf', 'Convection Oven', 'Convection Oven'","'left thermostatic', 'flue riser with shelf', '(1) convection oven'",,,,,'ultimate',,"'stainless steel', 'nsf', 'stainless steel', 'nsf'","'stainless steel', 'nsf'","'660.00', '660.00'",'660.00 Pound(s)',"'battery', 'battery'",'battery',"'standard grates', 'shelf 6 adjustable', 'lp gas', 'standard grates', 'shelf 6 adjustable'","'standard grates', 'shelf 6 adjustable'","'restaurant', 'restaurant range'",'restaurant',"'oven', 'oven', 'NG', 'LP'",'oven',"""Southbend""@en","""Southbend""",49062,"""Ultimate Restaurant Range, LP gas, 36"", (2) non-clog burners, standard grates, (1) 24"" griddle left, thermostatic controls, standing pilot, (1) convection oven with battery spark ignition, includes (3) racks, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 146,000 BTU, CSA, NSF""@en ","""
Ultimate Restaurant Range, gas, 36"", (2) non-clog burners, standard grates, (1) 24"" griddle left, thermostatic controls, standing pilot, (1) convection oven with battery spark ignition, includes (3) racks, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 146,000 BTU, CSA, NSF
"" ",6809751,6847372," ""Southbend 4361A-2TL 36"" 2-Burner Gas Range with Griddle, LP""@en LP ""@en Griddle"," "" Southbend 4361A-2TL Ultimate Restaurant Range ""Southbend | Culinary Depot"""
"'Space Saver Oven', 'Space Saver Oven'",'(2) standard / space saver ovens',,,,,'restaurant range',,"'nsf', 'nsf'",'nsf',"'735.00', '735.00'",'735.00 Pound(s)',,,"'standard grates', 'lp gas', 'standard grates'",'standard grates',"'oven', 'restaurant range', 'oven'",'oven',"'NG', 'LP'","'ultimate', 'restaurant'","""Southbend""@en","""Southbend""",49872,"""Ultimate Restaurant Range, LP gas, 48"", (2) non-clog burners, standard grates, (1) 36"" charbroiler right, standing pilot, (2) space saver ovens with battery spark ignition, includes (1) rack per oven, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 252,000 BTU, CSA, NSF""@en ","""
Ultimate Restaurant Range, gas, 48"", (2) non-clog burners, standard grates, (1) 36"" charbroiler right, standing pilot, (2) space saver ovens with battery spark ignition, includes (1) rack per oven, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 252,000 BTU, CSA, NSF
"" ",2600333,11524272," ""Southbend 4481EE-3CR 48"" 2-Burner Gas Range with Charbroiler, LP""@en LP ""@en Charbroiler"," "" Southbend 4481EE-3CR Ultimate Restaurant Range ""Southbend | Culinary Depot"""
,,,,'Flatware',,,,,,'1.00',,,,,,,,"'sombrero european dinner fork', 'European Dinner Fork'",,"""Bon Chef""@en","""Bon Chef""",52778,"""Sombrero European Dinner Fork, 8.19"", brush finish, silverplated""@en ","""
Sombrero European Dinner Fork, 8.19"", brush finish, 18/0 silverplated, bonsteel
"" ",16364602,5132360," ""Bon Chef SBS3306S European Dinner Fork, Sombrero, Brush Finish, Silverplated""@en Finish Sombrero Silverplated ""@en Fork"," "" Bon Chef SBS3306S Silverplated Sombrero European Dinner Fork Pack of 12 ""Bon | Culinary Depot"""
"'convection ovens', 'convection ovens', 'Convection Oven', 'Convection Oven'","'convection ovens', '(2) convection ovens'",'60 3',,,,"'per oven', 'per oven'",'per oven',"'nsf', 'nsf'",'nsf',"'1075.00', '1075.00'",'1075.00 Pound(s)',"'battery', 'stainless steel', 'battery', 'stainless steel'","'saut burners', 'battery', 'stainless steel'","'rear', 'shelf 6 adjustable', 'lp gas', 'saut burners', 'shelf 6 adjustable'",'shelf 6 adjustable','restaurant','restaurant',"'restaurant', 'rear', 'NG', 'LP'",'rear',"""Southbend""@en","""Southbend""",53422,"""Ultimate Restaurant Range, NG gas, 60"", (3) star/sauté burners front, (3) non-clog burners rear, (1) 24"" griddle right, standing pilot, (2) convection ovens with battery spark ignition, includes (3) racks per oven, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 310,000 BTU, CSA, NSF""@en ","""
Ultimate Restaurant Range, gas, 60"", (3) star/sauté burners front, (3) non-clog burners rear, (1) 24"" griddle right, standing pilot, (2) convection ovens with battery spark ignition, includes (3) racks per oven, 22-1/2"" flue riser with shelf, stainless steel front, sides, shelf & 6"" adjustable legs, 310,000 BTU, CSA, NSF
"" ",10938508,15650190," ""Southbend 4604AA-2GR 60"" 6-Burner Gas Range with Griddle, NG""@en Griddle NG ""@en"," "" Southbend 4604AA-2GR Ultimate Restaurant Range ""Southbend | Culinary Depot"""
