cluster_id,Product Type_x,Category_x,Brand_x,Storage Capacity_x,Memory Type_x,Interface_x,Memory Speed_x,Color_x,Model_x,Processor_x,Product Type_y,Category_y,Brand_y,Storage Capacity_y,Memory Type_y,Interface_y,Memory Speed_y,Color_y,Model_y,Processor_y
38064,['processors 1920 sli ready'],['stream'],['turbo'],,['gddr5'],['vr ready physx cuda'],['8192mb 8000mhz'],,,,,,['asus'],,,,['1506mhz gpu'],,,['geforce gtx 1070 asus turbo']
40484,,['stream'],['gv'],,['gddr5'],,['7000mhz'],,,,,,,['2gb'],['gddr5'],['hdmi dvi d dl'],,,,
41568,"['microatx case', 'noise cancelling foam', 'lined front door and side panels from cooler master']",,,,,,,,,,,,['cooler master silencio'],,,['usb 3 0 card'],,['o psu'],,
41903,,,['socket'],,,,,,,,,,,,,,,,,['amd']
42071,,['lifetime warranty'],,['3866mhz ram'],['vdimm'],['timings 1'],,['35v'],,,['corsair'],['dominator'],,['16gb'],['platinum pc4 30900 3866'],,"['Dominator Platinum', 'PC4-30900 (3866)', 'DDR4', 'UDIMM (Unbuffered)', 'Non-ECC']",['Aluminium Heatspreader with DHX Dominator Airflow Platinum LED Fan'],,
43099,['pc case features generous'],"['full', 'for']",['trailblazing design of'],,,,,"['White', 'White']",,,['tower case w o psu'],['white full'],['corsair'],,,,,,['graphite series 780t'],
43899,['usb3 0 6x'],,['skylake'],,,,,['intel lan'],['kabylake ddr4'],,['micro atx'],,['gigabyte'],,,,['1151'],,,
44281,,,['nvidia quadro'],,,,,,,,['nvidia quadro p600'],['pny'],,['2gb'],,,,['single slot'],,
44625,,,['p300'],,,['7200rpm'],,,,,['toshiba p300 3 5'],,,['1tb'],,,,,,
45630,,,['corsair'],,['ddr4 so dimm pc4 17000'],,,,,,,['value'],,"['16gb', '2x8gb']",,,"['DDR4 SO-DIMM', 'PC4-17000 (2133)', 'UDIMM (Unbuffered)', 'Non-ECC', 'Value Select']",['\xa0'],['select pc4 17000'],
45843,,,,,,,,,,['amd 970 chipset x4 ddr3 x2'],,,['gigabyte'],,['ddr3 pcie 2 0 x16'],,,,['ga 970a'],['ud3p amd 970 sam3 am3']
46250,,,['maxtor'],,,,,,,,['seagate maxtor'],,,['500gb'],,,,['windows mac'],['m3 portable external'],
46900,,,,,['ddr3 ddr4 controller integrated iris dx12 graphics 3'],,,,,,,,,,"['6700 s', '1150mhz gpu']",,,,,['intel core i7']
48380,['desk space'],,,,,,,,,,['aluminium fanless'],,['akasa'],,,['usb 3 0'],,['intel nuc ready'],['newton x'],
48996,['gigabyte msi and asrock'],,['airflow'],,,,['1100 rpm'],['year warranty'],['pwm 120mm 48 8 cfm'],,"['cooler master', 'flow rgb']",,,['120mm'],,,,,,
49027,['5 year warranty'],,,['6tb'],,['sata 6gb s'],,,,,['ncq'],,,['6tb'],,,,,['7200rpm'],
49054,['85w'],,['socket'],,,,,,,,,,,,,,,,,['intel xeon e5 2630']
49676,"['turbo', '105w']",,['socket'],,,,,,['2011 3 e5'],,,,['intel xeon'],,,,,,,
50890,['headphone amplifier premium tcxo'],,,,,,['7'],,['essence'],,,,['asus'],,,,,,['essence stx ii 7'],
50926,,,"['quad core technology', 'quad core technology']",['22nm'],"['ddr3 controller integrated hd 4600 graphics 3', 'ddr3 controller integrated hd 4600 graphics 3', 'ddr3 controller integrated hd 4600 graphics 3']",['22nm'],,,,,,,,,,,['1200mhz gpu'],,,"['intel core i5 4690k s', 'quad core']"
51278,['1x usb typec'],,,,['ddr4'],,['kabylake'],,,['8x usb3'],['u'],['satae'],['gigabyte'],,['ddr4'],,['1151'],,,
52464,,,['datatraveler'],,,"['standard usb and', 'usb type c']",,,,,"['kingston datatraveler', 'write']",,,['32gb'],,['USB 3.1'],"['15 MB/s', '100 MB/s']",['\xa0'],['3c'],
52693,['processors 768 vr ready physx cuda'],"['stream', 'enabled 3']",['gtx'],,"['1050', 'gddr5']",,['7008mhz'],,,,,,['asus'],,['gddr5 graphics card'],,,,,"['geforce gtx 1050', '768 core 1341mhz']"
52851,['some of noctua s'],['quality quiet'],['redux product line reissues'],,,,,,,,['redux 1600 pwm 1600rpm quiet case fan'],,,,,,,,,
53165,,,['graphite'],,,,,,,,"['tower windowed case', 'fans']",['black full'],,,,,['140mm'],,"['graphite series 760t v2', '9x']",
53564,,,,,,['usb connector'],,['protection'],,,,,,['16gb'],,,,,,
53935,"['personal data', 'datatraveler locker']",,['put'],,,,,['secures receipts'],,,['kingston datatraveler locker'],,,['64gb'],,,,,,
54397,,['ncq streaming'],['serial'],,,['audio and video'],,,,,['latch stack compatiable'],['akasa'],,['50cm'],,['angle secure'],,,,
54431,['supernova'],,['introducing'],,,,,,,,"['supernova gs fully modular 80 plus gold', 'psu']",,,['650w evga'],,,,,,
54488,,,['nvidia'],,,,,,,,['nvidia quadro k4200'],,['cores'],['4gb'],['gddr5'],,,,,
54615,['years warranty'],,['gv'],,,['8gd core clock'],['10211mhz'],,,,,,,,,,['1898 mhz'],['gddr5x vr'],['2560 core'],['geforce gtx 1080 xtreme waterforce']
55385,['physx cuda'],['stream'],,,['gddr5'],,['8000mhz'],['enabled 5'],,,,,['zotac'],,,,['1607mhz'],,,['geforce gtx 1070']
55764,['small files'],,,,,,,,,,['corsair'],,,['128gb'],,,,,,
56456,,['lifetime warranty'],,['3200mhz ram'],['vdimm'],,['35v'],,,,"['corsair', 'lpx red pc4 25600 3200 non']",,,['8gb'],,,"['DDR4', 'Vengeance LPX Red', 'Non-ECC', 'UDIMM (Unbuffered)', 'PC4-25600 (3200)']",['Anodised Aluminium Heatspreader'],,
56726,['intel 750 series'],,,['800gb'],['s read 800'],,,,,['intel 20'],['intel 750 series'],,,['800gb'],,['0 x4 nvme 20nm'],,,['420k 210k'],
56992,,,,['3 2ghz'],,,,,,,,,['intel'],,,,,,,['core i7 6900k s']
57290,['quad core with eight'],,,,['ddr4 controller 3 year warranty'],,,,,['threads'],,,['amd ryzen 5'],,,['stealth cooler'],,,,
57320,"['cf2', 'pcie ssd']",,['sabrepro15'],['128gb'],['ddr4'],['7200rpm'],,['2400mhz'],,,['sabre pro'],,['15'],,['i7'],,,,,
58486,['stream processors 640'],,['gtx'],,['gddr5'],,['7010mhz'],['enabled 3'],,,,,['msi'],,,,,,,
59429,"['5 year warranty', '5 year warranty']",,,,,"['sata 6gb s', 'sata 6gb s']",,,,,,,,['8tb'],,,,,,
59970,,,['skylake'],,,,,,,,"['z170 deluxe', 'motherboard']",['atx'],,,['ddr4'],,,,,
61230,['year warranty'],,['2x'],,['1500rpm max 61'],,,,,,"['nzxt aer rgb premium fan', 'x2 hue winglet tips pwm']",,,['120mm'],,,,,,
61480,['1x pcie x16 2x pcie x1 4x'],,['socket'],,"['support 4x', 'ddr4 dimm']","['sata 6gb s', 'usb 3 0 6x']",,,,,['microatx'],,['msi'],,,,,,,
64089,['looks like serious business while'],,['sleek'],,,,,,,,['tower computer chassis'],,['corsair'],,,['usb 3 0 cable management sound damping'],,,['carbide series 100r silent edition mid'],
66196,,,"['elite', 'elite']",,,,,,,,['mini itx cube case'],,['cooler master'],,,['support 343'],,,['elite 130'],
66894,,,,,['ddr4'],"['sata 6gb s', 'sata pcie gigabit lan hd audio 6x', 'usb3 0 6x']",['kabylake'],,,,['prime h270 pro'],,['asus'],,['ddr4'],['usb c'],['1151'],['3amp atx'],,
69383,['processors 1920 sli ready'],['stream'],,,['gddr5'],['vr ready physx cuda'],['8008mhz'],,,,['boost'],,['gigabyte'],,,,"['1594 mhz', '1784 mhz']",,,['geforce gtx 1070 g1 gaming']
69941,['year warranty'],,,,"['ddr3 ddr4 controller integrated iris dx12 graphics', 'ddr4']",,,,,['binned'],,,,,['1150mhz gpu'],,,,,['intel core i7 6700k s 1151 skylake quad core']
70222,['1x pcie x1 4x'],,['socket'],,['ddr4 dimm'],"['sata 6gb s', 'usb 2 0']",,,,,,,['asrock'],,,,,,,
71516,['years warranty'],,['gv'],,,['vr ready physx cuda'],['8192mb 10211mhz'],,,,['boost'],,['gigabyte'],,,,['1898 mhz'],,,['geforce gtx 1080 xtreme gaming premium']
72518,,,['nf'],,,,,,,,['fan quiet'],,,['120mm'],,,,,,
72621,,"['hard drives', 'hard drives']",,,,"['use in small', 'use in small']",,,,,,,,['1tb'],,['wd10jplx'],['7200rpm'],,,
72881,,,['tp link s'],,,,,,,,,,"['tp link', 'archer']",,['ieee 802'],,,,['d9'],
72925,,,,"['3tb', '3tb']",,"['sata 6gb s', 'sata 6gb s']",,,,,"['ncq', 'ncq']",,,"['3tb', '3tb']",,,,,['5400rpm'],
73226,['laptop thin'],,,,,,,,,,['7200rpm'],,,['500gb'],,,,,,
74664,['processors 1280 vr ready'],"['stream', 'physx cuda']",,,['gddr5'],,['8008mhz'],,,,,,['gigabyte'],,,,['gpu'],,,"['geforce gtx 1060', '1152 core 1594mhz']"
74735,['resistant hard chrome plated zinc alloy housing is so'],,"['flash voyager', 'scratch']",,,,,,,['scratch resistant hard chrome plated zinc alloy housing is so'],['compact design hard alloy housing'],,,['64gb'],,,,,,
75271,['1x pcie x16 2x pci e x1 4x'],,"['skylake', 'audio 2x usb 3']",,,"['sata 6gb s', 'usb3 0 6x']",,,['6th gen ddr3'],,['intel h110 s'],,['asus'],,['ddr3'],['sata iii'],,,['h110m plus'],
75367,['warranty'],,,,,,['550mb'],,,,"['kingston ssdnow', 'iops']",['15000'],,['120gb'],,"['2 5 slim', 'sata iii']",,,['90000'],
75561,,,['tp link s'],,,,,,,,['d7'],,,,,,,,,
76790,['renowned durability'],['tempered glass'],,,,,,,,,['black'],,['nzxt'],,,,,,,
77050,['chassis features'],['mid tower'],['perfectly'],,,,,['gamers'],,,,,['thermaltake'],,,['window led'],,,,['light']
77175,,['data'],,,,,,,,,,,['synology'],,,,,,,
77272,['pc case'],,['thermaltake'],,['white led 1500rpm'],,,,,,['thermaltake riing'],,,['120mm'],,['high'],['1500 rpm'],,,
79457,,['lifetime warranty'],['2666mhz ram'],,['vdimm'],,['35v'],,,,,,,['64gb'],['black pc4 21300 2666'],,"['UDIMM (Unbuffered)', 'PC4-21300 (2666)', 'DDR4', 'Non-ECC', 'Vengeance LPX Black']",['Anodised Aluminium Heatspreader'],,
81693,"['stylish capless design means there s', 'stylish capless design means there s']","['lifestyle datatraveler se9', 'lifestyle datatraveler se9']",,,,,,,,,['kingston datatraveler se9 g2'],,,['32gb'],,,,,,
81789,,,['tp link s'],,,,,,,,,,['tp link'],,,['range'],,,['tl wa850re'],
81967,['1x pcie x1 6x'],,['skylake'],,,"['sata pcie gigabit lan hd audio 6x', 'usb3 0 6x']",,,['kabylake ddr4 2x pcie x16'],,['prime'],,,,,,,,,['intel b250 s 1151']
82722,,,['850 evo'],,,,,,,,"['samsung 850 evo', 'mgx 3d', '98k iops']",,,['500gb'],,,,,,
82827,,"['stream', 'physx cuda']",,,['gddr5'],,['8208mhz'],['enabled 5'],,,,,['zotac'],,,,,,,['geforce gtx 1070 amp extreme']
83931,,,['quad core technology'],,"['ddr3 ddr4 controller integrated iris dx12 graphics 3', 'ddr3 ddr4 controller integrated iris dx12 graphics 3']",,,,,,,,['intel'],,,,,,,
84721,,,['socket compatibility'],,,,,,,,,,['corsair'],,,,,,,['intel amd am4']
85327,['individually sleeved strands'],,,,,,,,,,,,['silverstone'],,,,,,,
87102,,,['intel'],,,,,,,,,,['fractal design celsius'],,,,,,,['intel amd cpu s']
87227,,,['socket compatibility'],,,,,,,,,,['cooler master'],,,,,,,
90522,,,"['tp link', 'tp link']",,,,,,,,['tp link'],,['8 port'],,,['1000 gigabit'],,,,
91323,,"['5', 'year warranty']","['intel', 'intel']",,['ddr4'],,,['year warranty'],,"['xeon d 1531 six core', 'quad core 3']",['synology'],,['12 bay'],,,,['up'],,,['intel xeon d 1531']
91590,['optional accessories'],,,,,,,,,,"['micro atx', 'mini itx']",,,,,,,,,
92366,,"['lifetime warranty', 'lifetime warranty']",,['3200mhz ram'],"['vdimm', 'vdimm']",,['35v'],,,,,,,['32gb'],['black pc4 25600 3200 non'],,"['Vengeance LPX Black', 'PC4-25600 (3200)', 'DDR4', 'UDIMM (Unbuffered)', 'Non-ECC']",['Anodised Aluminium Heatspreader'],,
92731,['and rear'],,['silencio'],,,,,,,,['o psu'],,,,,,,,,
94726,,,['quad core technology'],,"['ddr3 1866 support 95w tdp 3 year warranty', 'ddr3', '1866 support 95w tdp 3 year warranty']",,,,,,,,['amd'],,,,,,,
95342,,,['ecm20'],,,,,,,,['sst ecm20'],,['silverstone'],,,,,,,
95960,"['four 4k displays the', 'works']",,['offering incredible'],,,,,,['3d'],['nvidia quadro k1200 includes a full height bracket'],['nvidia quadro k1200 512'],,,['4gb'],,['mini dp'],,,,
96001,"['award winning predecessor', 'home or office', 'indirect intake vents']",,['like'],,,,,,,,"['case 2xusb3', 'o psu']",,,,,,,,,
96062,['these days quality fans'],,['case'],,,,,,['is becoming more essential'],,['cooler master'],['quiet case'],,['120mm'],,,,,,
96578,['cores'],['cuda'],,,['gddr3'],,"['954mhz', '1600mhz']",['enabled 3'],,,"['msi geforce', '954mhz']",['gpu'],,['2gb'],['ddr3'],,['1800mhz'],,,
97660,"['nzxt s', 'case features a unique']",,['h400'],,,,,,,,"['microatx computer chassis w tempered glass', 'fans']",['black'],['nzxt'],,,,,,,
98149,"['more videos more pictures more games', 'more videos more pictures more games']",,"['microsdhc', 'microsdhc']",,,,,,,,['kingston microsdhc'],,,['32gb'],,['uhs i card'],,['45mb'],,
98188,,,['tl'],,,,,,,,['tp link'],['steel case'],,['8 port'],,,,,['tl'],
98374,,,,,['kabylake ddr4'],,,,,,,,['asrock'],,['ddr4'],,['1151'],,,
99440,"['pwm', 'settings silent quiet performance']",,['airpressure'],,,,['2750 rpm'],,,,"['cooler master', 'pressure 5 blade pwm static pressure fan']",,,['120mm'],,,,,,
99895,,,['the'],,,,,,,['nvidia quadro'],['nvidia quadro k620 384 cores'],['pny'],,['2gb'],,['teflops pcie 2 0 x16 dp dvi'],,,,
100492,,,['build'],,,,,,,,['microatx mini itx'],,['thermaltake'],,,['window 2x'],,,['core x5'],
101004,,,['corsair'],,,,,,,,['corsair ml series ml120'],,,['120mm'],,,,['black'],,
101034,,,['samsung electronics announces portable'],,,,,,,,['samsung'],,,['500gb'],,"['upto 450mb s', 'usb 3']",,,['t3'],
101282,,,['corsair'],,,,,,,,['psu'],,['corsair'],['120mm'],,,,,,
101841,,,,,,,,['conveniently extend'],['tl wa860re is'],,['lan encryption'],['ac passthrough'],['tp link'],,,,,,['tl wa860re'],
103298,,,['air'],,,,,,,,['corsair air series af120 quiet'],,,['120mm'],,,,,,
103447,"['wireless n nano travel router', 'usb powered router', 'ap client bridge repeater modes']",,['tp link'],,,,['300 mbps'],,['tl wr802n'],,,,['tp link'],,,,,,['tl wr802n'],
104025,,,['blue'],,,,,,,,"['ssd 2', 'write']",,,['500gb'],,,,,,
104137,['stream processors'],,,,['gddr5'],,"['rx460wf2oc 2gd core clock', '7000mhz']",,,,,,,['2gb'],['gddr5'],"['polaris pcie 3 0', 'hdmi dvi d']","['7000mhz', '1212mhz gpu']",,,
104173,"['surveillance drive', '3 year warranty']",,,['1tb'],,['sata 6gb s'],,,,,"['surveillance hard drive', 'year workload rate']",['skyhawk'],,"['1tb', '180tb']",,,['7200rpm'],,['sata iii'],
104235,"['silverstone sst', 'air penetrator', 'channeling technology']",,,['140mm'],,,,,,,"['silverstone sst', 'uv quiet air penetrator fan']",,,['140mm'],,,,,,
104430,"['years warranty', 'years warranty']",,['gv'],,,['core clock'],"['8192mb 10211mhz', '10211mhz']",,,,['gddr5x graphics card'],['aorus'],,,,,,,,"['geforce gtx 1080 rev2', '2560 core']"
104878,,['computer system s'],['dust'],,,,,,['can be a'],,"['silverstone sst ff122b', 'fan filter']",,,['120mm'],,,,,,
104964,,['3'],,,,,['11400mhz'],,,,,,['inno3d geforce'],,,,,,,
105469,,,,,['ddr4 controller integrated dx12 graphics 3'],,,,,['dual core technology'],,,,,,,['1050mhz'],,,['intel celeron g3930 s 1151 kaby lake dual core']
106101,,,,,['ddr4'],,,,,,,,['intel'],,,,,,,
106852,['workload environments'],,['hard drives offer'],,,,,,,,,,,['500gb'],,,,,,
107415,,['stream'],['gv'],,['gddr5'],,['7000mhz'],['years warranty'],['oc'],,,,,['2gb'],['gddr5'],['hdmi dvi d dl'],,,,
107431,,,['dual'],,['ddr3 ddr4 controller integrated iris dx12 graphics 3'],,,,,,,,['intel'],,,,['950mhz'],,,['dual core']
107740,,,,"['4tb', '4tb']",,"['sata 6gb s', 'sata 6gb s']",,,,,"['ncq', 'ncq']",,,"['4tb', '4tb']",,['sata iii'],,,"['5400rpm', '5400rpm']",
108226,"['range', '2 year warranty', 'range', '2 year warranty']",,['part'],,,"['sata 6gb s', 'sata 6gb s']",,,,,['seagate'],,,['1tb'],,,['7200rpm'],,,
108669,['control virtually silent operation and a'],,['corsair'],,,,,,,,['psu'],,,,,,,,,
108972,,,['seventh generation'],,,['seagate'],,,,,,,,['1tb'],,,['7200rpm'],,,
109216,,,,['3600mhz ram'],,,,['vdimm lifetime'],,,,,,['32gb'],['ddr4 vengeance rgb pc4 28800 3600'],,"['Non-ECC', 'Vengeance RGB Black', 'DDR4', 'PC4-28800 (3600)', 'UDIMM (Unbuffered)']",['Anodised Aluminium Heatspreader'],,
109289,,,,,,,,,,['geforce gtx 1080 g1 gtx 1070 g1 and gtx 1060 g1 series graphics cards'],"['ek fc1080 gtx', 'g1 waterblock pom acetal nickel plated for']",,['ekwb'],,,,,,,
109570,['corsair'],,['1600mhz ram'],,,,,,,,['corsair'],,,['16gb'],,,"['DDR3', 'Vengeance Low Profile Jet Black', 'Non-ECC', 'UDIMM (Unbuffered)', 'PC3-12800 (1600)']",['Heat Spreader'],,
111135,['other similar'],,['lite'],,,,,,['on 24x'],,,,['liteon'],,,,,,,
111379,"['air series led high', 'air delivery']",,['corsair'],,,,,,,,['corsair air series sp140'],['green led'],,['140mm'],,,,,,
111694,['warranty'],,['socket'],,,,,,,['support intel 1150'],"['liquid freezer', 'deep radiator']",,['arctic'],,,,['38mm'],,,['intel amd ryzen']
113280,['2 year warranty'],,,['5tb'],,,['7200rpm'],,['sata 6gb s'],,,,,['5tb'],,,['7200rpm'],,['st5000dm002'],
113860,,,['skylake'],,,['sata 6gb s'],"['usb3', '7x']",,"['6th gen ddr4 2x pcie x16 2x pcie x1 2x pci 6x', 'sata express m 2']",,['motherboard'],,['gigabyte'],,['ddr4'],,['1151'],,,
113915,,,,['support for'],,['sata ports'],,,,,,,,,,,,,,['sata3']
114283,"['range', '2 year warranty']",,,['3tb'],,,,,,,,,,['3tb'],['5400rpm'],,,,,
114548,"['factor design made exclusively for antec', 'most cutting']",['form'],['antec'],,,,,,,,,,,,,,,,,
115970,['more videos more pictures more games'],,"['microsdhc', 'microsdhc']",,,,,,,,"['kingston microsdhc memory card', 'kingston microsdhc']",,,"['16gb', '16gb']",,['uhs i card'],,"['adapter included', '45mb']",,
116625,['white'],['seasonic power supply other'],,,,,,,,,['seasonic snow silent edition psu fully modular 80plus'],,,,,,,,,
116893,,,,,['45cm'],,,,,,,['akasa'],['45cm'],,,,,,,
117679,"['stryker case', 'stryker case']","['storm', 'storm']","['join', 'join']",,,,,,,,['storm stryker'],,['cooler master'],,,,,,,
117750,['aluminum'],,"['flash', 'plus']",,,,,,,,,,,['32gb'],,['usb 3 0 pendrive'],,['aluminium waterproof'],,
117767,['scandinavian design'],,['fractal design'],,,,,,,,"['pearl mid tower', 'ultra low']",,['fractal design define r4'],,,,,,,
117853,,,['tp link s'],,,,,,,,,,['tp link'],,,,,,,
118887,,,"['led backlit', 'led backlit']",,,,"['2000000', '2000000']",,"['1920x1080', '1920x1080']",,,,,,,['5ms 200'],,,,
