id,hotel_name,address_street,address_locality,phone_number,stars,price_range_in_euro,number_rooms,room_types,hotel_style,rating,count_reviews,user_rating,ta_certificate_of_excellence,ta_travelers_choice,suites,family_rooms,accessible_rooms,non_smoking_rooms,kitchenette,hotel_style_business,hotel_style_luxury,hotel_style_romantic,hotel_style_family,hotel_style_spa,hotel_style_onsen,price_range_lower,price_range_upper,hotel_name-href,all_hotel_details_link-href
11,Aurelius Art Gallery Hotel,"458, Via Aurelia",00165 Rome,,4.0,55 - 172,26.0,"Suites, Non-Smoking, Family, Accessible ","Romantic, Best Value, Business, Luxury","#96 of 1,272 Hotels in Rome",852.0,4.5,True,False,True,True,True,True,False,True,True,True,False,False,False,55.0,172.0,https://www.tripadvisor.com/Hotel_Review-g187791-d255192-Reviews-Aurelius_Art_Gallery_Hotel-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d255192-Reviews-Aurelius_Art_Gallery_Hotel-Rome_Lazio.html#ABOUT_TAB
12,Vatican View,"Via del Mascherino, 34",00193 Rome,00 39 06 6830 8456,3.0,85 - 547,15.0,"Non-Smoking, Suites, Kitchenette ","Romantic, Business","#64 of 1,272 Hotels in Rome",811.0,4.5,True,False,True,False,False,True,True,True,False,True,False,False,False,85.0,547.0,https://www.tripadvisor.com/Hotel_Review-g187791-d1833800-Reviews-Vatican_View-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d1833800-Reviews-Vatican_View-Rome_Lazio.html#ABOUT_TAB
13,Gran Melia Rome,Via del Gianicolo 3,00165 Rome,00 1 929-207-1033,5.0,252 - 3,116.0,"Suites, Non-Smoking, Family, Accessible ","Business, Romantic, Luxury, Family","#101 of 1,272 Hotels in Rome",1636.0,4.5,True,False,True,True,True,True,False,True,True,True,True,False,False,252.0,3.0,https://www.tripadvisor.com/Hotel_Review-g187791-d2163417-Reviews-Gran_Melia_Rome-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d2163417-Reviews-Gran_Melia_Rome-Rome_Lazio.html#ABOUT_TAB
14,Deko Rome,Via Toscana 1,00187 Rome,00 39 06 4202 0032,0.0,145 - 249,6.0,Non-Smoking,"Romantic, Business","#21 of 1,272 Hotels in Rome",969.0,5.0,True,False,False,False,False,True,False,True,False,True,False,False,False,145.0,249.0,https://www.tripadvisor.com/Hotel_Review-g187791-d2091012-Reviews-Deko_Rome-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d2091012-Reviews-Deko_Rome-Rome_Lazio.html#ABOUT_TAB
15,"Hotel Canada, BW Premier Collection","58, Via Vicenza",00185 Rome,,3.0,89 - 197,72.0,nan,"Onsen, Family, Romantic, Business","#81 of 1,272 Hotels in Rome",2326.0,4.5,False,False,False,False,False,False,False,True,False,True,True,False,True,89.0,197.0,https://www.tripadvisor.com/Hotel_Review-g187791-d203130-Reviews-Hotel_Canada_BW_Premier_Collection-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d203130-Reviews-Hotel_Canada_BW_Premier_Collection-Rome_Lazio.html#ABOUT_TAB
16,Adele Emme B&B,Via Tagliamento 55,00198 Rome,00 39 06 9480 5869,0.0,80 - 120,3.0,"Non-Smoking, Family ",nan,"#7 of 3,896 B&Bs / Inns in Rome",475.0,5.0,True,False,False,True,False,True,False,False,False,False,False,False,False,80.0,120.0,https://www.tripadvisor.com/Hotel_Review-g187791-d1549152-Reviews-Adele_Emme_B_B-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d1549152-Reviews-Adele_Emme_B_B-Rome_Lazio.html#ABOUT_TAB
17,iQ Hotel Roma,"Via Firenze, 8",00184 Rome,00 39 06 9480 7545,4.0,108 - 354,88.0,"Non-Smoking, Family ","Luxury, Family, Romantic, Business","#15 of 1,272 Hotels in Rome",4624.0,4.5,True,False,False,True,False,True,False,True,True,True,True,False,False,108.0,354.0,https://www.tripadvisor.com/Hotel_Review-g187791-d1729030-Reviews-IQ_Hotel_Roma-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d1729030-Reviews-IQ_Hotel_Roma-Rome_Lazio.html#ABOUT_TAB
18,Amalfi Hotel,Via Merulana 278,00185 Rome,00 39 06 474 4313,3.0,67 - 258,22.0,Non-Smoking,"Family, Romantic","#72 of 1,272 Hotels in Rome",1066.0,4.5,True,False,False,False,False,True,False,False,False,True,True,False,False,67.0,258.0,https://www.tripadvisor.com/Hotel_Review-g187791-d228988-Reviews-Amalfi_Hotel-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d228988-Reviews-Amalfi_Hotel-Rome_Lazio.html#ABOUT_TAB
19,Crowne Plaza Rome - St. Peter's,Via Aurelia Antica 415,00165 Rome,00 1 877-859-5095,4.0,98 - 197,308.0,"Suites, Non-Smoking, Family, Smoking ","Spa, Business, Luxury, Family, Romantic","#239 of 1,272 Hotels in Rome",3383.0,4.0,True,False,True,True,False,True,False,True,True,True,True,True,False,98.0,197.0,https://www.tripadvisor.com/Hotel_Review-g187791-d229422-Reviews-Crowne_Plaza_Rome_St_Peter_s-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d229422-Reviews-Crowne_Plaza_Rome_St_Peter_s-Rome_Lazio.html#ABOUT_TAB
20,Hotel Villa Pinciana,Via Abruzzi 9/11,00187 Rome,,4.0,110 - 308,25.0,"Suites, Non-Smoking, Family ","Spa, Luxury, Family, Romantic, Business","#108 of 1,272 Hotels in Rome",616.0,4.5,True,False,True,True,False,True,False,True,True,True,True,True,False,110.0,308.0,https://www.tripadvisor.com/Hotel_Review-g187791-d1490240-Reviews-Hotel_Villa_Pinciana-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d1490240-Reviews-Hotel_Villa_Pinciana-Rome_Lazio.html#ABOUT_TAB
21,Blue Hostel,Via Carlo Alberto 13,00185 Rome,00 39 340 925 8503,0.0,80 - 174,6.0,"Non-Smoking, Family ",nan,"#11 of 1,251 Specialty Lodging in Rome",482.0,5.0,True,False,False,True,False,True,False,False,False,False,False,False,False,80.0,174.0,https://www.tripadvisor.com/Hotel_Review-g187791-d1154833-Reviews-Blue_Hostel-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d1154833-Reviews-Blue_Hostel-Rome_Lazio.html#ABOUT_TAB
22,Condotti Hotel,Via Mario de' Fiori 37,00187 Rome,00 39 06 679 4661,3.0,59 - 619,22.0,"Non-Smoking, Suites, Family ","Family, Business, Romantic","#187 of 1,272 Hotels in Rome",1360.0,4.5,True,False,True,True,False,True,False,True,False,True,True,False,False,59.0,619.0,https://www.tripadvisor.com/Hotel_Review-g187791-d203181-Reviews-Condotti_Hotel-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d203181-Reviews-Condotti_Hotel-Rome_Lazio.html#ABOUT_TAB
23,Hotel Residenza San Calisto,Via Dell'Arco di San Calisto 19/20,00153 Rome,00 39 06 9480 8033,3.0,75 - 505,9.0,"Suites, Non-Smoking, Family ","Family, Romantic, Business","#48 of 1,272 Hotels in Rome",928.0,4.5,True,False,True,True,False,True,False,True,False,True,True,False,False,75.0,505.0,https://www.tripadvisor.com/Hotel_Review-g187791-d664220-Reviews-Hotel_Residenza_San_Calisto-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d664220-Reviews-Hotel_Residenza_San_Calisto-Rome_Lazio.html#ABOUT_TAB
24,Villa San Lorenzo Maria Hotel,Via dei Liguri 7,00185 Rome,00 39 06 446 9988,3.0,53 - 390,39.0,"Non-Smoking, Family, Accessible ","Business, Romantic","#212 of 1,272 Hotels in Rome",1195.0,4.5,True,False,False,True,True,True,False,True,False,True,False,False,False,53.0,390.0,https://www.tripadvisor.com/Hotel_Review-g187791-d297048-Reviews-Villa_San_Lorenzo_Maria_Hotel-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d297048-Reviews-Villa_San_Lorenzo_Maria_Hotel-Rome_Lazio.html#ABOUT_TAB
25,Starhotels Michelangelo,Via della Stazione di San Pietro 14,00165 Rome,00 39 06 9480 8182,4.0,95 - 321,179.0,"Suites, Non-Smoking, Family, Accessible ","Luxury, Romantic, Business","#242 of 1,272 Hotels in Rome",1290.0,4.0,True,False,True,True,True,True,False,True,True,True,False,False,False,95.0,321.0,https://www.tripadvisor.com/Hotel_Review-g187791-d203056-Reviews-Starhotels_Michelangelo-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d203056-Reviews-Starhotels_Michelangelo-Rome_Lazio.html#ABOUT_TAB
26,Appia Antica Resort,Via Appia Pignatelli 368,00178 Rome,00 39 06 4544 8035,0.0,136 - 308,3.0,"Non-Smoking, Kitchenette, Family ",nan,"#1 of 1,272 Hotels in Rome",848.0,5.0,True,False,False,True,False,True,True,False,False,False,False,False,False,136.0,308.0,https://www.tripadvisor.com/Hotel_Review-g187791-d4698947-Reviews-Appia_Antica_Resort-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d4698947-Reviews-Appia_Antica_Resort-Rome_Lazio.html#ABOUT_TAB
27,Hotel Artemide,"Via Nazionale, 22",00184 Rome,00 39 06 9480 3021,4.0,153 - 459,91.0,"Suites, Non-Smoking, Family ","Spa, Family, Business, Luxury, Romantic","#3 of 1,272 Hotels in Rome",7478.0,5.0,True,True,True,True,False,True,False,True,True,True,True,True,False,153.0,459.0,https://www.tripadvisor.com/Hotel_Review-g187791-d205044-Reviews-Hotel_Artemide-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d205044-Reviews-Hotel_Artemide-Rome_Lazio.html#ABOUT_TAB
28,Hotel Colosseum,"Via Sforza, n.10",00184 Rome,00 39 06 9480 3998,3.0,75 - 922,46.0,"Non-Smoking, Family ",Romantic,"#133 of 1,272 Hotels in Rome",1181.0,4.5,True,False,False,True,False,True,False,False,False,True,False,False,False,75.0,922.0,https://www.tripadvisor.com/Hotel_Review-g187791-d230612-Reviews-Hotel_Colosseum-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d230612-Reviews-Hotel_Colosseum-Rome_Lazio.html#ABOUT_TAB
29,Hotel Villa San Pio,Via di Santa Melania 19,00153 Rome,,3.0,79 - 298,78.0,"Suites, Non-Smoking, Family ","Family, Business, Romantic","#93 of 1,272 Hotels in Rome",1604.0,4.5,True,False,True,True,False,True,False,True,False,True,True,False,False,79.0,298.0,https://www.tripadvisor.com/Hotel_Review-g187791-d297049-Reviews-Hotel_Villa_San_Pio-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d297049-Reviews-Hotel_Villa_San_Pio-Rome_Lazio.html#ABOUT_TAB
30,Hotel Santa Maria,Vicolo del Piede 2,00153 Rome,00 39 06 589 4626,3.0,114 - 328,19.0,"Suites, Non-Smoking, Family, Accessible ","Family, Business, Romantic","#8 of 1,272 Hotels in Rome",3213.0,5.0,True,False,True,True,True,True,False,True,False,True,True,False,False,114.0,328.0,https://www.tripadvisor.com/Hotel_Review-g187791-d239263-Reviews-Hotel_Santa_Maria-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d239263-Reviews-Hotel_Santa_Maria-Rome_Lazio.html#ABOUT_TAB
31,City Rooms,Viale di Trastevere 209,00153 Rome,,2.0,57 - 116,4.0,"Suites, Non-Smoking, Family ",nan,"#1,727 of 3,898 B&Bs / Inns in Rome",53.0,4.0,False,False,True,True,False,True,False,False,False,False,False,False,False,57.0,116.0,https://www.tripadvisor.com/Hotel_Review-g187791-d2513119-Reviews-City_Rooms-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d2513119-Reviews-City_Rooms-Rome_Lazio.html#ABOUT_TAB
32,B&B Gonzaga,"Via Dei Gonzaga, 146",00000 Rome,,0.0,34 - 71,,Family ,nan,"#1,787 of 3,898 B&Bs / Inns in Rome",18.0,4.5,False,False,False,True,False,False,False,False,False,False,False,False,False,34.0,71.0,https://www.tripadvisor.com/Hotel_Review-g187791-d1554330-Reviews-B_B_Gonzaga-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d1554330-Reviews-B_B_Gonzaga-Rome_Lazio.html#ABOUT_TAB
33,C-Hotels Club House,Via Andrea Alciato 14/16,00167 Rome,,4.0,60 - 136,108.0,"Non-Smoking, Family ","Best Value, Luxury","#675 of 1,272 Hotels in Rome",780.0,3.5,False,False,False,True,False,True,False,False,True,False,False,False,False,60.0,136.0,https://www.tripadvisor.com/Hotel_Review-g187791-d484603-Reviews-C_Hotels_Club_House-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d484603-Reviews-C_Hotels_Club_House-Rome_Lazio.html#ABOUT_TAB
34,Bed and Breakfast Central Palace Colosseum,Via Merulana 48,00185 Rome,,0.0,73 - 88,4.0,"Kitchenette, Non-Smoking",nan,"#3,505 of 3,898 B&Bs / Inns in Rome",39.0,2.5,False,False,False,False,False,True,True,False,False,False,False,False,False,73.0,88.0,https://www.tripadvisor.com/Hotel_Review-g187791-d6486026-Reviews-Bed_and_Breakfast_Central_Palace_Colosseum-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d6486026-Reviews-Bed_and_Breakfast_Central_Palace_Colosseum-Rome_Lazio.html#ABOUT_TAB
35,Malaika,Via Francesco Tamagno 4,00168 Rome,,0.0,45 - 100,2.0,"Suites, Kitchenette, Family ",nan,"#676 of 3,898 B&Bs / Inns in Rome",66.0,5.0,False,False,True,True,False,False,True,False,False,False,False,False,False,45.0,100.0,https://www.tripadvisor.com/Hotel_Review-g187791-d2219397-Reviews-Malaika-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d2219397-Reviews-Malaika-Rome_Lazio.html#ABOUT_TAB
36,Beautifulrooms,Via Girolamo Savonarola 39,00195 Rome,,0.0,,,nan,nan,"#3,041 of 3,898 B&Bs / Inns in Rome",3.0,3.5,False,False,False,False,False,False,False,False,False,False,False,False,False,,,https://www.tripadvisor.com/Hotel_Review-g187791-d7808400-Reviews-Beautifulrooms-Rome_Lazio.html,
37,Sant'Alessandro Residence,Via Grotte di Torre Rigata 17,00131 Rome,,0.0,54 - 116,9.0,nan,nan,"#287 of 1,251 Specialty Lodging in Rome",15.0,4.5,False,False,False,False,False,False,False,False,False,False,False,False,False,54.0,116.0,https://www.tripadvisor.com/Hotel_Review-g187791-d10408208-Reviews-Sant_Alessandro_Residence-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d10408208-Reviews-Sant_Alessandro_Residence-Rome_Lazio.html#ABOUT_TAB
38,Il Romitello,Via Vincenzo Viara de Ricci 24,00168 Rome,00 39 06 9480 7073,3.0,40 - 85,35.0,"Non-Smoking, Family, Accessible ",nan,"#1,061 of 3,898 B&Bs / Inns in Rome",191.0,4.0,False,False,False,True,True,True,False,False,False,False,False,False,False,40.0,85.0,https://www.tripadvisor.com/Hotel_Review-g187791-d669614-Reviews-Il_Romitello-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d669614-Reviews-Il_Romitello-Rome_Lazio.html#ABOUT_TAB
39,3 Coins B&B,Via Dei Crociferi No. 26,00187 Rome,,3.0,65 - 240,6.0,"Kitchenette, Non-Smoking, Family ",nan,"#3,358 of 3,898 B&Bs / Inns in Rome",76.0,3.0,False,False,False,True,False,True,True,False,False,False,False,False,False,65.0,240.0,https://www.tripadvisor.com/Hotel_Review-g187791-d556940-Reviews-3_Coins_B_B-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d556940-Reviews-3_Coins_B_B-Rome_Lazio.html#ABOUT_TAB
40,Hotel Ferraro,Via Cavour 266,00184 Rome,,2.0,63 - 133,10.0,"Non-Smoking, Family ",nan,"#1,371 of 3,898 B&Bs / Inns in Rome",124.0,3.5,False,False,False,True,False,True,False,False,False,False,False,False,False,63.0,133.0,https://www.tripadvisor.com/Hotel_Review-g187791-d617629-Reviews-Hotel_Ferraro-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d617629-Reviews-Hotel_Ferraro-Rome_Lazio.html#ABOUT_TAB
41,B&B Roman Rooms,Via Carlo Alberto no 26,00185 Rome,,0.0,51 - 647,2.0,Non-Smoking,nan,"#1,712 of 3,898 B&Bs / Inns in Rome",38.0,4.0,False,False,False,False,False,True,False,False,False,False,False,False,False,51.0,647.0,https://www.tripadvisor.com/Hotel_Review-g187791-d618141-Reviews-B_B_Roman_Rooms-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d618141-Reviews-B_B_Roman_Rooms-Rome_Lazio.html#ABOUT_TAB
42,Navona Private Rooms,Via della Vetrina 16,00186 Rome,,0.0,,,nan,nan,"#768 of 1,251 Specialty Lodging in Rome",1.0,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,,https://www.tripadvisor.com/Hotel_Review-g187791-d14972082-Reviews-Navona_Private_Rooms-Rome_Lazio.html,
43,The Club Navona,Corso Vittorio Emanuele II 184,00186 Rome,,0.0,98 - 187,6.0,"Suites, Non-Smoking, Family ",nan,"#425 of 3,898 B&Bs / Inns in Rome",80.0,4.5,True,False,True,True,False,True,False,False,False,False,False,False,False,98.0,187.0,https://www.tripadvisor.com/Hotel_Review-g187791-d9813062-Reviews-The_Club_Navona-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d9813062-Reviews-The_Club_Navona-Rome_Lazio.html#ABOUT_TAB
44,Lulu House,Via Leone IV 57,00192 Rome,,0.0,139 - 195,2.0,Family ,nan,"#2,422 of 3,898 B&Bs / Inns in Rome",8.0,4.0,False,False,False,True,False,False,False,False,False,False,False,False,False,139.0,195.0,https://www.tripadvisor.com/Hotel_Review-g187791-d8342534-Reviews-Lulu_House-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d8342534-Reviews-Lulu_House-Rome_Lazio.html#ABOUT_TAB
45,Le Due Marie Bed & Breakfast,via Niccolo III n. 10,00000 Rome,,0.0,,,nan,nan,"#3,259 of 3,898 B&Bs / Inns in Rome",2.0,2.5,False,False,False,False,False,False,False,False,False,False,False,False,False,,,https://www.tripadvisor.com/Hotel_Review-g187791-d1534566-Reviews-Le_Due_Marie_Bed_Breakfast-Rome_Lazio.html,
46,Hotel Viminale,Via Cesare Balbo 31,00184 Rome,,4.0,66 - 192,53.0,Non-Smoking,Luxury,"#839 of 1,272 Hotels in Rome",577.0,3.0,False,False,False,False,False,True,False,False,True,False,False,False,False,66.0,192.0,https://www.tripadvisor.com/Hotel_Review-g187791-d231925-Reviews-Hotel_Viminale-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d231925-Reviews-Hotel_Viminale-Rome_Lazio.html#ABOUT_TAB
47,Guesthouse Valla 18,Via Lorenzo Valla 18,00152 Rome,,0.0,70 - 89,,nan,nan,,7482.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,70.0,89.0,https://www.tripadvisor.com/Hotel_Review-g187791-d12718340-Reviews-Guesthouse_Valla_18-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d12718340-Reviews-Guesthouse_Valla_18-Rome_Lazio.html#ABOUT_TAB
48,Affittacamere Rooms Giardinetti,Via Dei Giardinetti 39 C,00133 Rome,,0.0,,,nan,nan,"#3,451 of 3,898 B&Bs / Inns in Rome",3.0,1.5,False,False,False,False,False,False,False,False,False,False,False,False,False,,,https://www.tripadvisor.com/Hotel_Review-g187791-d2260298-Reviews-Affittacamere_Rooms_Giardinetti-Rome_Lazio.html,
49,Villa Papera,Via Sergio Forti 63,00144 Rome,,0.0,38 - 66,,nan,nan,"#446 of 1,251 Specialty Lodging in Rome",5.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,38.0,66.0,https://www.tripadvisor.com/Hotel_Review-g187791-d9742136-Reviews-Villa_Papera-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d9742136-Reviews-Villa_Papera-Rome_Lazio.html#ABOUT_TAB
50,Hotel Londra & Cargill,Piazza Sallustio 18,00187 Rome,,4.0,112 - 360,105.0,"Suites, Non-Smoking, Family ","Business, Luxury, Romantic","#288 of 1,272 Hotels in Rome",948.0,4.0,True,False,True,True,False,True,False,True,True,True,False,False,False,112.0,360.0,https://www.tripadvisor.com/Hotel_Review-g187791-d232853-Reviews-Hotel_Londra_Cargill-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d232853-Reviews-Hotel_Londra_Cargill-Rome_Lazio.html#ABOUT_TAB
51,Ilia,Via Caio Mario 19,00192 Rome,,0.0,,,nan,nan,,7481.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,https://www.tripadvisor.com/Hotel_Review-g187791-d3478156-Reviews-Ilia-Rome_Lazio.html,
52,Torre Argentina Relais,Via di Torre Argentina 44,00186 Rome,00 39 06 9480 4135,0.0,111 - 309,6.0,"Non-Smoking, Family ",nan,"#241 of 3,898 B&Bs / Inns in Rome",294.0,4.5,True,False,False,True,False,True,False,False,False,False,False,False,False,111.0,309.0,https://www.tripadvisor.com/Hotel_Review-g187791-d5130391-Reviews-Torre_Argentina_Relais-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d5130391-Reviews-Torre_Argentina_Relais-Rome_Lazio.html#ABOUT_TAB
53,Champagne Garden Hotel,Via Vittorio Bachelet 4,00185 Rome,,4.0,70 - 287,20.0,nan,Luxury,"#1,124 of 1,272 Hotels in Rome",153.0,2.5,False,False,False,False,False,False,False,False,True,False,False,False,False,70.0,287.0,https://www.tripadvisor.com/Hotel_Review-g187791-d497488-Reviews-Champagne_Garden_Hotel-Rome_Lazio.html,https://www.tripadvisor.com/Hotel_Review-g187791-d497488-Reviews-Champagne_Garden_Hotel-Rome_Lazio.html#ABOUT_TAB
