ids,label,katom_base,cdi_base,katom_brand,cdi_brand,katom_capacity,cdi_capacity,katom_category,cdi_category,katom_cluster_id,cdi_cluster_id,katom_color,cdi_color,katom_finish,cdi_finish,katom_height,cdi_height,katom_id,cdi_id,katom_material,cdi_material,katom_product_type,cdi_product_type,katom_shape,cdi_shape,katom_style,cdi_style,katom_title,cdi_title
katom_14141_cdi_7196,0,'epoxy coated steel' 'barrel keg' 'frame',,beverage air,fagor,,'12 oz','standard',,5631170,15259596,'refrigerated food rated' 'stainless steel','refrigerated food rated','usa','epoxy coated bottle rails' 'north america','250.00','343.00 ',katom_14141,cdi_7196,'galvanized','black frame' 'stainless steel' 'galvanized','glass door snap in door' 'shelves' 'self contained refrigeration','flat shelves' 'floor doors','top',,'back bar storage cabinet' 'with manual on off' 'made in','back bar cooler' 'top' 'black' 'self contained refrigeration',"36"" (1) section bar refrigerator - swinging glass door, 115v""@en 115v ""@en door","refrigerated food rated back bar cooler "" | culinary depot"""
katom_17897_cdi_2351,0,,,brow,vulcan,,,,,9266530,3687419,,,,,,,katom_17897,cdi_2351,'stainless steel','stainless steel',,,,,,,"hinged vegetable inset cover, fits 7-1/8 qt inset, slotted, stainless steel""@en slotted steel ""@en cover","plate rail "" | culinary depot"""
katom_2825_cdi_1660,0,'frame',,true refrigeratio,continental refrigerator,,,'galvanized',,524853,2403504,,'pass thru','two' '60' 'usa',,'320.00','425.00 ',katom_2825,cdi_1660,,'aluminum' 'stainless steel','floor stainless steel','floor epoxy coated steel' 'shelves' 'evaporator self contained refrigeration',,'stainless steel','back bar cooler' 'shelves','back bar cooler',"60"" (2) Section Bar Refrigerator - Swinging Solid Doors, 115v""@en Doors 115v ""@en","back bar cooler ""continental | culinary depot"""
katom_8727_cdi_6739,0,'usa 115v',,beverage air,continental refrigerator,,'17 - 19 pan',,,1571530,13893464,'refrigerated counter two' 'stainless steel' 'made in','stainless steel' 'rear mounted',,'two','355.00','322.00 ',katom_8727,cdi_6739,'section 60','line mighty' 'section 18','top' 'self contained refrigeration 6 casters',,,,'with brakes' 'eph' 'standard','deep pans with 10 cutting board' 'top' 'self contained refrigeration' 'drawers',"60"" sandwich/salad prep table w/ refrigerated base, 115v""@en base 115v ""@en","designer line mighty top sandwich unit ""continental | culinary depot"""
katom_24218_cdi_2850,0,'digital thermometer',,delfield,continental refrigerator,,,,,15059540,4692016,'stainless steel','section self contained refrigeration stainless steel','60','two','672.00','680.00 ',katom_24218,cdi_2850,'pass' 'wire' 'solid hinged' 'exterior aluminum','exterior aluminum','contained refrigeration' 'built in door locks' 'pressure relief' 'half height door stainless steel' 'legs cul','pass thru' 'half height solid doors','64' 'chrome plated' 'valve',,'shelves',,"29"" single section pass thru freezer, (2) solid doors, 115v""@en doors freezer 115v ""@en","designer line refrigerator/freezer ""continental | culinary depot"""
katom_23588_cdi_7233,0,,,cal-mil,carlisle,,,,,14555524,15378533,,,,,,'16oz',katom_23588,cdi_7233,,,'faux stone' 'resistant dishwasher safe','resistant dishwasher safe',,,,,"22"" square gourmet faux stone serving tray - black""@en black ""@en","store 'n pour pint backup "" | culinary depot"""
katom_924_cdi_3192,0,'high racks' 'hp culus',,trauls,continental refrigerator,,'10 - 23 cu. ft.',,,182977,5501577,'line refrigerator','exterior aluminum',,,'835.00','16 0 cu' '390.00 ',katom_924,cdi_3192,'exterior aluminum','line refrigerator' 'pass',,'half height solid doors' 'legs',,,'section self contained refrigeration stainless steel','section self contained refrigeration stainless steel' 'half door(s)',"68"" two section roll-in refrigerator, (2) solid door, 115v""@en door refrigerator 115v ""@en","designer line ""continental | culinary depot"""
katom_24821_cdi_7393,0,,,carlisl,cambro,,,,,15631062,15743316,'cafeteria' 'raspberry','camtray round' 'pearl gray','nsf','nsf','20 1 4 l' '23.00',,katom_24821,cdi_7393,,'fiberglass dishwasher safe','resistant dishwasher safe' 'fiberglass raspberry',,'break',,,,"rectangular cafeteria tray - 20-1/4x15"" raspberry""@en raspberry ""@en","10"" round pearl gray fiberglass camtray "" | culinary depot"""
katom_14073_cdi_7416,0,,,carlisl,cambro,'18 l',,,,5574127,15748467,'fiberglass amethyst',,'nsf','nsf',,,katom_14073,cdi_7416,'cafeteria','fiberglass dishwasher','resistant dishwasher safe','safe cambro',,,'edge',,"rectangular cafeteria tray - low-edge, 18x14"" amethyst""@en amethyst ""@en low-edge","10"" round red fiberglass camtray "" | culinary depot"""
katom_18338_cdi_5503,0,'barrel kegs' 'frame','high stainless',beverage air,continental refrigerator,,,'standard' 'nsf','38',9653773,10966957,'back bar storage cabinet three' 'stainless steel','back bar' 'black exterior galvanized','usa',,'370.00','220.00 ',katom_18338,cdi_5503,'galvanized',,'shelves','glass doors' 'floor epoxy coated steel' 'shelves condensate evaporator self contained refrigeration','top',,'with manual on off' 'self contained refrigeration','top' 'enamel',"72"" (3) section bar refrigerator - swinging glass doors, 115v""@en 115v ""@en doors","back bar cooler ""continental | culinary depot"""
katom_8835_cdi_7343,0,'frame',,true refrigeratio,continental refrigerator,,,,,1587238,15583315,'back bar cooler' 'stainless steel','back bar cooler pass' 'stainless steel','60' 'usa','stainless steel','335.00','385.00 ',katom_8835,cdi_7343,,'stainless steel top' 'glass doors' 'stainless steel','floor stainless steel','floor epoxy coated steel' 'shelves condensate evaporator self contained refrigeration',,'sliding' 'stainless steel','two' 'shelves' 'top','glass doors',"60"" (2) Section Bar Refrigerator - Swinging Solid Doors, 115v""@en 115v ""@en Doors","back bar cooler ""continental | culinary depot"""
katom_17237_cdi_7077,0,'usa 115v',,beverage air,continental refrigerator,,'8 - 9 pan',,'or 1',8719526,14942636,'made in','stainless steel',,,'442.00','270.00 ',katom_17237,cdi_7077,,'front aluminum','out drawers',,'pull',,'deep pans 2 doors' 'top' 'deep tops will accommodate 6' 'deep pans stainless steel' 'self contained refrigeration 6 casters' 'with brakes' 'eph' 'standard','deep pans with' 'accommodates 1' 'top' 'self contained refrigeration' 'drawers',"72"" sandwich/salad prep table w/ refrigerated base, 115v""@en 115v ""@en base","sandwich unit ""continental | culinary depot"""
katom_19456_cdi_1960,0,,,bon chef,bon chef,,,,,10612206,2957052,,,,,,,katom_19456,cdi_1960,'sandstone',,,,,,,,"wh platter, 16.75 x 2.5"", aluminum/white""@en 2.5"" aluminum/white ""@en platter","18/8 stainless steel aspen bouillon spoon pack of 12 ""bon | culinary depot"""
katom_18838_cdi_2023,0,,,bon chef,bon chef,,,,,10044447,2975596,,,,,,,katom_18838,cdi_2023,,,'ceramic look',,,,,,"blk 11-qt soup tureen w/ flange, aluminum/black""@en aluminum/black ""@en flange","18/8 stainless steel como bouillon spoon pack of 12 ""bon | culinary depot"""
katom_10405_cdi_7136,0,,,carlisl,carlisle,,,,,2091747,15129232,'white','white',,,,,katom_10405,cdi_7136,'plastic',,,,,,,,"condiment dispenser set w/ 1-oz/stroke pump & 2.5"" lid, plastic""@en plastic ""@en lid","white sparta handle "" | culinary depot"""
katom_24594_cdi_6545,0,,,advance tabco,advance tabco,,,,,15404772,13484972,'column stainless steel','only',,,,,katom_24594,cdi_6545,,,,,,,,,"24"" free standing prestige beer drainer w/ 1"" drain, stainless""@en drain stainless ""@en","prestige liquor bottle display unit cover ""advance | culinary depot"""
katom_17880_cdi_42,0,,,bon chef,bon chef,,,,,9252743,52778,,,,,,,katom_17880,cdi_42,,,'ceramic look',,,,,,"blk 4-qt soup crock, aluminum/black""@en aluminum/black ""@en crock","silverplated sombrero european dinner fork pack of 12 ""bon | culinary depot"""
katom_266_cdi_42,1,,,bon chef,bon chef,,,'flatware',,52778,52778,,,,,'1.00',,katom_266,cdi_42,,,,,,,'sombrero european dinner fork' 'european dinner fork',,"european dinner fork, sombrero, brush finish, silverplated""@en finish sombrero silverplated ""@en fork","silverplated sombrero european dinner fork pack of 12 ""bon | culinary depot"""
katom_19345_cdi_1901,0,,,bon chef,bon chef,,,,,10511439,2952809,,,,,,,katom_19345,cdi_1901,,,,,,,,,"blk 7.19-gallon tulip bowl, aluminum/black""@en aluminum/black ""@en bowl","18/8 stainless steel sorento dinner fork pack of 12 ""bon | culinary depot"""
katom_21499_cdi_1954,0,,,bon chef,bon chef,,,,,12485940,2956608,,,,,,,katom_21499,cdi_1954,'sandstone',,,,,,,,"wh large bowl, 15-7/8 x 6.25"", aluminum/white""@en bowl aluminum/white ""@en 6.25""","18/8 stainless steel reflections oyster/cocktail fork pack of 12 ""bon | culinary depot"""
katom_2780_cdi_1991,0,,,bon chef,bon chef,,,,,517336,2969995,,,,,,,katom_2780,cdi_1991,,,,,,,,,"2-qt casserole steamtable dish, stainless handle, 4.75"" deep""@en dish handle deep ""@en","solid handle forever european dinner knife pack of 12 ""bon | culinary depot"""
katom_12202_cdi_6612,0,,,bon chef,bon chef,,,,,3721211,13591824,,,,,,,katom_12202,cdi_6612,'sandstone',,,,,,,,"blk platter, 12.75 x 19-7/8 1"", aluminum/black""@en aluminum/black ""@en 1"" platter","18/0 stainless steel manhattan ice teaspoon pack of 12 ""bon | culinary depot"""
katom_21784_cdi_1918,0,,,bon chef,bon chef,,,,,12778707,2954419,,,,,,,katom_21784,cdi_1918,,,,,,,'fit',,"blk 1.5-size bonstone tile for (3) 9202 & 9203, black""@en black ""@en 9203","18/8 stainless steel britany soup/dessert spoon pack of 12 ""bon | culinary depot"""
katom_18418_cdi_1974,0,,,bon chef,bon chef,,,,,9748303,2967644,,,,,,,katom_18418,cdi_1974,,,'ceramic look',,,,,,"blk platter, 22 x 16.75"", aluminum/black""@en aluminum/black ""@en 16.75"" platter","18/8 stainless steel mimosa dinner fork pack of 12 ""bon | culinary depot"""
katom_19793_cdi_1934,0,,,bon chef,bon chef,,,,,10922667,2955090,,,,,,,katom_19793,cdi_1934,,,,,,,,,"blk ribbed platter, 7 x 18 0.5"", aluminum/black""@en aluminum/black ""@en platter 0.5""","18/8 stainless steel sombrero european dinner fork pack of 12 ""bon | culinary depot"""
katom_20747_cdi_3756,0,,,carlisl,carlisle,'18 l','64 oz',,,11800925,6835841,'fiberglass forest green',,'nsf',,,,katom_20747,cdi_3756,'cafeteria',,'resistant dishwasher safe','half gallon backup' 'resistant dishwasher safe' 'bpa free',,,,,"trapezoid cafeteria tray - 18x14"" forest green""@en green ""@en","store 'n pour half-gallon backup "" | culinary depot"""
katom_14271_cdi_1883,0,,,bon chef,bon chef,,,,,5748137,2951067,,,,,,,katom_14271,cdi_1883,,,'ceramic look',,,,,,"blk 28.5"" shell fish pedestal platter, aluminum/black""@en aluminum/black ""@en platter","13/0 stainless steel liberty european butter knife pack of 12 ""bon | culinary depot"""
katom_17579_cdi_3289,0,,,bon chef,bon chef,,,,,8976521,5614549,'white',,,,,,katom_17579,cdi_3289,,,,,,,,,"petal bowl - white""@en white ""@en","round aluminum contemporary dinner plate case ""bon | culinary depot"""
katom_19402_cdi_1984,0,,,bon chef,bon chef,,,,,10568854,2969526,,,,,,,katom_19402,cdi_1984,,,'ceramic look',,,,,,"wh tile tray w/ cutouts for (2) 5102 & (1) 5086, aluminum/white""@en 5086 aluminum/white ""@en","solid handle empire european dinner knife pack of 12 ""bon | culinary depot"""
katom_350_cdi_1920,0,,,bon chef,bon chef,,,,,70533,2954470,,,,,,,katom_350,cdi_1920,,,,,,,,,"2.5-qt casserole steamtable dish w/ long stainless handle, arches""@en handle arches ""@en","18/8 stainless steel britany demitasse spoon pack of 12 ""bon | culinary depot"""
katom_18004_cdi_1949,0,,,bon chef,bon chef,,,,,9374846,2956089,,,,,,,katom_18004,cdi_1949,,,'ceramic look','dessert fork',,,,,"blk 27"" double size tile tray for 5101, aluminum/black""@en aluminum/black ""@en 5101","18/8 stainless steel gothic salad/dessert fork pack of 12 ""bon | culinary depot"""
katom_13598_cdi_1858,0,,,bon chef,bon chef,,,,,5091174,2941290,,,,,,,katom_13598,cdi_1858,,,'ceramic look',,,,,,"blk pedestal platter, 17 x 12.25"", aluminum/black""@en aluminum/black ""@en 12.25"" platter","18/8 stainless steel shell oyster/cocktail fork pack of 12 ""bon | culinary depot"""
katom_15324_cdi_1913,0,,,bon chef,bon chef,,,,,6857958,2953826,,,,,,,katom_15324,cdi_1913,,,'ceramic look',,,,,,"wh prism pedestal tray, 14.25 x 9-7/8"", aluminum/white""@en 9-7/8"" tray aluminum/white ""@en","solid handle nile european dinner knife pack of 12 ""bon | culinary depot"""
katom_23320_cdi_2062,0,,,bon chef,bon chef,,,,,14302484,3018527,,,,,,,katom_23320,cdi_2062,,,'ceramic look',,,,,,"wh custom cut tile tray for 5501, aluminum/white""@en aluminum/white ""@en 5501","silverplated bolero dinner knife pack of 12 ""bon | culinary depot"""
katom_24540_cdi_3249,0,,,bon chef,bon chef,,,,,15353788,5587082,'white',,,,,,katom_24540,cdi_3249,,,,,,,,'glo',"petal bowl - white""@en white ""@en","round aluminum traditional bread & butter plate case ""bon | culinary depot"""
katom_3556_cdi_3249,0,,,bon chef,bon chef,,,,,659463,5587082,'aluminum with pewter',,,,,,katom_3556,cdi_3249,,,,,,,'glo','glo',"custom cut tile tray for (3) 5086, aluminum/pewter-glo""@en 5086 aluminum/pewter-glo ""@en","round aluminum traditional bread & butter plate case ""bon | culinary depot"""
katom_2973_cdi_559,0,'standard/convection oven','flue riser with shelf' '(1) cabinet',southbend,southbend,,,,,551420,793384,,,'nsf','stainless steel' 'nsf','1075.00','660.00 ',katom_2973,cdi_559,'battery',,'burners rear' 'raised griddle broiler standing pilot 1' 'shelf 6 adjustable','standard grates' 'shelf 6 adjustable',,'restaurant','restaurant' 'burners' 'oven' 'flue riser with shelf stainless steel' 'front' 'ng',,"60"" 5-burner gas range with griddle & broiler, ng""@en broiler ng ""@en","ultimate restaurant range "" | culinary depot"""
katom_2973_cdi_7475,0,'standard/convection oven','(2) standard ovens',southbend,southbend,,,,,551420,15853628,,,'nsf','nsf','1075.00','1075.00 ',katom_2973,cdi_7475,'battery','saut burners' 'oven','burners rear' 'raised griddle broiler standing pilot 1' 'shelf 6 adjustable','burners rear',,'restaurant','restaurant' 'burners' 'oven' 'flue riser with shelf stainless steel' 'front' 'ng','standard ovens with battery' 'per',"60"" 5-burner gas range with griddle & broiler, ng""@en broiler ng ""@en","ultimate restaurant range "" | culinary depot"""
katom_19401_cdi_7475,0,'standard oven','(2) standard ovens',southbend,southbend,'60 3',,'front',,10566531,15853628,,,'nsf','nsf','1075.00','1075.00 ',katom_19401,cdi_7475,'front' 'oven','saut burners' 'oven','lp gas' 'burners rear','burners rear','restaurant range' 'restaurant','restaurant','standard ovens with battery' 'per' 'lp' 'ng','standard ovens with battery' 'per',"60"" 9-burner gas range, lp""@en range lp ""@en","ultimate restaurant range "" | culinary depot"""
katom_2973_cdi_1191,0,'standard/convection oven','(1) standard oven (1) convection oven',southbend,southbend,,,,,551420,1555397,,'ultimate','nsf','nsf','1075.00','1075.00 ',katom_2973,cdi_1191,'battery','battery','burners rear' 'raised griddle broiler standing pilot 1' 'shelf 6 adjustable','standard grates' 'shelf 6 adjustable',,,'restaurant' 'burners' 'oven' 'flue riser with shelf stainless steel' 'front' 'ng','restaurant' 'oven' 'flue riser with shelf stainless steel' 'front',"60"" 5-burner gas range with griddle & broiler, ng""@en broiler ng ""@en","ultimate restaurant range "" | culinary depot"""
katom_1242_cdi_1191,0,'convection ovens' 'convection oven','(1) standard oven (1) convection oven',southbend,southbend,'48 griddle',,,,242233,1555397,'per oven','ultimate','nsf','nsf','1075.00','1075.00 ',katom_1242,cdi_1191,'battery' 'stainless steel','battery','wavy grates' 'shelf 6 adjustable','standard grates' 'shelf 6 adjustable','restaurant',,'ng','restaurant' 'oven' 'flue riser with shelf stainless steel' 'front',"60"" 2-burner gas range with griddle, ng""@en griddle ng ""@en","ultimate restaurant range "" | culinary depot"""
katom_2973_cdi_1287,0,'standard/convection oven','(1) standard oven (1) convection oven',southbend,southbend,,,,,551420,1649572,,,'nsf','nsf','1075.00','1075.00 ',katom_2973,cdi_1287,'battery','battery','burners rear' 'raised griddle broiler standing pilot 1' 'shelf 6 adjustable','left standing pilot 1' 'shelf 6 adjustable',,'restaurant','restaurant' 'burners' 'oven' 'flue riser with shelf stainless steel' 'front' 'ng','oven' 'flue riser with shelf stainless steel' 'front',"60"" 5-burner gas range with griddle & broiler, ng""@en broiler ng ""@en","ultimate restaurant range "" | culinary depot"""
katom_9213_cdi_1287,1,'standard/convection oven','(1) standard oven (1) convection oven',southbend,southbend,'60 6',,,,1649572,1649572,,,'nsf','nsf','1075.00','1075.00 ',katom_9213,cdi_1287,'battery','battery','left standing pilot 1' 'shelf 6 adjustable' 'lp gas' 'saut burners','left standing pilot 1' 'shelf 6 adjustable',,'restaurant','oven' 'flue riser with shelf stainless steel' 'front' 'ng' 'lp','oven' 'flue riser with shelf stainless steel' 'front',"60"" 6-burner gas range with griddle, lp""@en lp ""@en griddle","ultimate restaurant range "" | culinary depot"""
katom_2973_cdi_202,0,'standard/convection oven','(1) standard oven (1) convection oven',southbend,southbend,,,,,551420,259217,,'ultimate','nsf','nsf','1075.00','1075.00 ',katom_2973,cdi_202,'battery','battery','burners rear' 'raised griddle broiler standing pilot 1' 'shelf 6 adjustable','standard grates' 'shelf 6 adjustable',,,'restaurant' 'burners' 'oven' 'flue riser with shelf stainless steel' 'front' 'ng','restaurant' 'oven' 'flue riser with shelf stainless steel' 'front',"60"" 5-burner gas range with griddle & broiler, ng""@en broiler ng ""@en","ultimate restaurant range "" | culinary depot"""
katom_5262_cdi_202,0,'standard oven','(1) standard oven (1) convection oven',southbend,southbend,,,,,963686,259217,,'ultimate','nsf','nsf','660.00','1075.00 ',katom_5262,cdi_202,'battery','battery','lp gas' 'wavy grates' 'shelf 6 adjustable','standard grates' 'shelf 6 adjustable','restaurant',,'oven' 'flue riser with shelf stainless steel' 'front' 'lp' 'ng','restaurant' 'oven' 'flue riser with shelf stainless steel' 'front',"36"" 2-burner gas range with griddle, lp""@en lp ""@en griddle","ultimate restaurant range "" | culinary depot"""
katom_1346_cdi_202,1,'standard/convection oven','(1) standard oven (1) convection oven',southbend,southbend,'60 6',,,,259217,259217,,'ultimate','nsf','nsf','1075.00','1075.00 ',katom_1346,cdi_202,'battery','battery','standard grates' 'shelf 6 adjustable' 'lp gas','standard grates' 'shelf 6 adjustable','restaurant',,'oven' 'flue riser with shelf stainless steel' 'front' 'ng' 'lp','restaurant' 'oven' 'flue riser with shelf stainless steel' 'front',"60"" 6-burner gas range with griddle & broiler, lp""@en broiler lp ""@en","ultimate restaurant range "" | culinary depot"""
katom_2973_cdi_401,1,'standard/convection oven','(1) standard oven (1) convection oven',southbend,southbend,,,,,551420,551420,,'ultimate','nsf','nsf','1075.00','1075.00 ',katom_2973,cdi_401,'battery','battery','burners rear' 'raised griddle broiler standing pilot 1' 'shelf 6 adjustable','burners rear' 'raised griddle broiler standing pilot 1' 'shelf 6 adjustable',,,'restaurant' 'burners' 'oven' 'flue riser with shelf stainless steel' 'front' 'ng','restaurant' 'burners' 'oven' 'flue riser with shelf stainless steel' 'front',"60"" 5-burner gas range with griddle & broiler, ng""@en broiler ng ""@en","ultimate restaurant range "" | culinary depot"""
katom_23200_cdi_401,0,'standard/convection oven','(1) standard oven (1) convection oven',southbend,southbend,,,,,14202196,551420,'restaurant range','ultimate','nsf','nsf','1075.00','1075.00 ',katom_23200,cdi_401,'battery','battery','lp gas' 'standard grates' 'shelf 6 adjustable','burners rear' 'raised griddle broiler standing pilot 1' 'shelf 6 adjustable',,,'oven' 'flue riser with shelf stainless steel' 'front' 'lp' 'ng','restaurant' 'burners' 'oven' 'flue riser with shelf stainless steel' 'front',"60"" 4-burner gas range with griddle, lp""@en lp ""@en griddle","ultimate restaurant range "" | culinary depot"""
katom_4440_cdi_401,0,'standard/convection oven','(1) standard oven (1) convection oven',southbend,southbend,,,,,818030,551420,,'ultimate','nsf','nsf','1075.00','1075.00 ',katom_4440,cdi_401,'battery','battery','lp gas' 'wavy grates' 'shelf 6 adjustable','burners rear' 'raised griddle broiler standing pilot 1' 'shelf 6 adjustable','restaurant range' 'restaurant',,'oven' 'flue riser with shelf stainless steel' 'front' 'lp' 'ng','restaurant' 'burners' 'oven' 'flue riser with shelf stainless steel' 'front',"60"" 8-burner gas range, lp""@en lp ""@en range","ultimate restaurant range "" | culinary depot"""
katom_19401_cdi_4924,0,'standard oven','(2) standard ovens',southbend,southbend,'60 3',,'front','front',10566531,9549522,,'ultimate','nsf','nsf','1075.00','1075.00 ',katom_19401,cdi_4924,'front' 'oven','oven','lp gas' 'burners rear','burners rear','restaurant range' 'restaurant',,'standard ovens with battery' 'per' 'lp' 'ng','restaurant' 'standard ovens with battery' 'per',"60"" 9-burner gas range, lp""@en range lp ""@en","ultimate restaurant range "" | culinary depot"""
katom_10011_cdi_4924,0,'standard ovens' 'standard oven','(2) standard ovens',southbend,southbend,'60 3',,,'front',1789167,9549522,'ultimate','ultimate','nsf','nsf','1075.00','1075.00 ',katom_10011,cdi_4924,'front' 'battery' 'oven','oven','burners rear' 'left wavy grates standing pilot 2' 'lp gas','burners rear','restaurant range',,'per' 'restaurant' 'ng' 'lp','restaurant' 'standard ovens with battery' 'per',"60"" 9-burner gas range, ng""@en range ng ""@en","ultimate restaurant range "" | culinary depot"""
katom_1242_cdi_414,0,'convection ovens' 'convection oven','convection ovens' '(2) convection ovens',southbend,southbend,'48 griddle',,,,242233,568826,'per oven','per oven','nsf','nsf','1075.00','1075.00 ',katom_1242,cdi_414,'battery' 'stainless steel','battery' 'stainless steel','wavy grates' 'shelf 6 adjustable','wavy grates' 'shelf 6 adjustable','restaurant','restaurant','ng',,"60"" 2-burner gas range with griddle, ng""@en griddle ng ""@en","ultimate restaurant range "" | culinary depot"""
katom_25143_cdi_414,0,'convection ovens' 'convection oven','convection ovens' '(2) convection ovens',southbend,southbend,,,,,15908982,568826,'per oven','per oven','nsf','nsf','1075.00','1075.00 ',katom_25143,cdi_414,'battery' 'stainless steel','battery' 'stainless steel','lp gas' 'burners' 'shelf 6 adjustable','wavy grates' 'shelf 6 adjustable','restaurant range','restaurant','lp',,"60"" 4-burner gas range with griddle, lp""@en lp ""@en griddle","ultimate restaurant range "" | culinary depot"""
katom_23149_cdi_414,0,'convection ovens' 'convection oven','convection ovens' '(2) convection ovens',southbend,southbend,'60 6',,,,14148819,568826,'per oven','per oven','nsf','nsf','1075.00','1075.00 ',katom_23149,cdi_414,'battery' 'stainless steel','battery' 'stainless steel','standard grates' 'shelf 6 adjustable' 'lp gas','wavy grates' 'shelf 6 adjustable','restaurant','restaurant','ng' 'lp',,"60"" 6-burner gas range with griddle, ng""@en griddle ng ""@en","ultimate restaurant range "" | culinary depot"""
