ids,label,katom_base,rewo_base,katom_brand,rewo_brand,katom_capacity,rewo_capacity,katom_category,rewo_category,katom_cluster_id,rewo_cluster_id,katom_color,rewo_color,katom_finish,rewo_finish,katom_height,rewo_height,katom_id,rewo_id,katom_material,rewo_material,katom_product_type,rewo_product_type,katom_shape,rewo_shape,katom_style,rewo_style,katom_title,rewo_title
katom_6757_rewo_56463,0,'undershelf','open w/undershelf',john boos,john boos,'30 d',,,,1217496,7012245,'stainless steel adjustable undershelf stainless steel',,'edge front' 'nsf','nsf','139.00',,katom_6757,rewo_56463,,'stainless steel','table' 'flat top','table' 'legs fixed undershelf',,,'flat top','flat top',"96"" 16-ga work table w/ undershelf & 300-series stainless flat top""@en top ""@en"," "" tns17a work table, wood top""@en "" john table"
katom_3014_rewo_73247,0,'undershelf','open w/undershelf',john boos,john boos,,'30 d',,,558418,12966248,'stainless steel adjustable undershelf stainless steel','work','nsf','60' 'nsf','142.00',,katom_3014,rewo_73247,'stainless steel','stainless steel','top','table' 'top',,,'table' 'backsplash','legs fixed undershelf adjustable',"108"" 16-ga work table w/ undershelf & 300-series stainless top, 5"" backsplash""@en backsplash ""@en top"," "" s14094 work table 60 long stainless steel top""@en "" john top | world""@en"
katom_3866_rewo_73247,0,'undershelf','open w/undershelf',john boos,john boos,,'30 d',,,714316,12966248,,'work',,'60' 'nsf','95.00',,katom_3866,rewo_73247,'stainless steel','stainless steel','table' 'top','table' 'top',,,'legs adjustable undershelf' 'backsplash','legs fixed undershelf adjustable',"72"" 16-ga work table w/ undershelf & 300-series stainless top, 5"" backsplash""@en backsplash ""@en top"," "" s14094 work table 60 long stainless steel top""@en "" john top | world""@en"
katom_3014_rewo_11534,1,'undershelf','open w/undershelf',john boos,john boos,,,,,558418,558418,'stainless steel adjustable undershelf stainless steel',,'nsf',,'142.00',,katom_3014,rewo_11534,'stainless steel','stainless steel','top','table' 'top',,,'table' 'backsplash','legs adjustable undershelf',"108"" 16-ga work table w/ undershelf & 300-series stainless top, 5"" backsplash""@en backsplash ""@en top"," "" st6r5-24108ssk work table, 97"" - 108"", stainless steel top""@en top | table world""@en "" john 108"""
katom_3866_rewo_15090,1,'undershelf','open w/undershelf',john boos,john boos,,,,,714316,714316,,,,,'95.00',,katom_3866,rewo_15090,'stainless steel','stainless steel','table' 'top','table' 'top',,,'legs adjustable undershelf' 'backsplash','legs adjustable undershelf',"72"" 16-ga work table w/ undershelf & 300-series stainless top, 5"" backsplash""@en backsplash ""@en top"," "" st6r5-2472gsk work table, 63"" - 72"", stainless steel top""@en 72"" top | table world""@en "" john"
katom_14878_rewo_15090,0,'undershelf','open w/undershelf',john boos,john boos,,,,,6395301,714316,,,,,'16 300' '56.00',,katom_14878,rewo_15090,'stainless steel','stainless steel','top','table' 'top',,,'table' 'legs adjustable undershelf' 'backsplash','legs adjustable undershelf',"36"" 16-ga work table w/ undershelf & 300-series stainless top, 5"" backsplash""@en backsplash ""@en top"," "" st6r5-2472gsk work table, 63"" - 72"", stainless steel top""@en 72"" top | table world""@en "" john"
katom_15959_rewo_15090,0,'undershelf','open w/undershelf',john boos,john boos,,,,,7530550,714316,,,'60',,'82.00',,katom_15959,rewo_15090,'stainless steel','stainless steel','table' 'top','table' 'top',,,'legs adjustable undershelf' 'backsplash','legs adjustable undershelf',"60"" 16-ga work table w/ undershelf & 300-series stainless top, 5"" backsplash""@en backsplash ""@en top"," "" st6r5-2472gsk work table, 63"" - 72"", stainless steel top""@en 72"" top | table world""@en "" john"
katom_3866_rewo_24988,0,'undershelf','open w/undershelf',john boos,john boos,,,,,714316,1138700,,,,'edge front','95.00','16 300',katom_3866,rewo_24988,'stainless steel','stainless steel','table' 'top','table' 'flat top',,,'legs adjustable undershelf' 'backsplash','legs adjustable undershelf',"72"" 16-ga work table w/ undershelf & 300-series stainless top, 5"" backsplash""@en backsplash ""@en top"," "" st6-2436gsk work table, 36"" - 38"", stainless steel top""@en "" john table top | world""@en 38"""
katom_6278_rewo_24988,1,'undershelf','open w/undershelf',john boos,john boos,,,,,1138700,1138700,,,'edge front','edge front','16 300' '52.00','16 300',katom_6278,rewo_24988,'stainless steel','stainless steel','flat top','table' 'flat top',,,'table' 'legs adjustable undershelf' 'flat top','legs adjustable undershelf',"36"" 16-ga work table w/ undershelf & 300-series stainless flat top""@en top ""@en"," "" st6-2436gsk work table, 36"" - 38"", stainless steel top""@en "" john table top | world""@en 38"""
katom_14508_rewo_24988,0,'undershelf','open w/undershelf',john boos,john boos,,,,,6034707,1138700,'bullet feet',,,'edge front','83.00','16 300',katom_14508,rewo_24988,'work' 'stainless steel','stainless steel','table' 'legs adjustable','table' 'flat top',,,'flat top','legs adjustable undershelf',"72"" 18-ga work table w/ undershelf & 430-series stainless flat top""@en top ""@en"," "" st6-2436gsk work table, 36"" - 38"", stainless steel top""@en "" john table top | world""@en 38"""
katom_10891_rewo_24988,0,'open base','open w/undershelf',john boos,john boos,,,,,2546156,1138700,,,'edge front','edge front','39.00','16 300',katom_10891,rewo_24988,'stainless steel','stainless steel','flat top','table' 'flat top',,,'table' 'legs side' 'flat top','legs adjustable undershelf',"30"" 16-ga work table w/ open base & 300-series stainless flat top""@en top ""@en"," "" st6-2436gsk work table, 36"" - 38"", stainless steel top""@en "" john table top | world""@en 38"""
katom_4386_rewo_24988,0,'open base','open w/undershelf',john boos,john boos,,,,,807365,1138700,,,'60' 'edge front','edge front','77.00','16 300',katom_4386,rewo_24988,'stainless steel','stainless steel','flat top','table' 'flat top',,,'table' 'legs side' 'flat top','legs adjustable undershelf',"60"" 16-ga work table w/ open base & 300-series stainless flat top""@en top ""@en"," "" st6-2436gsk work table, 36"" - 38"", stainless steel top""@en "" john table top | world""@en 38"""
katom_3866_rewo_26185,0,'undershelf','open w/undershelf',john boos,john boos,,,,,714316,1186774,,,,'60','95.00',,katom_3866,rewo_26185,'stainless steel','stainless steel','table' 'top','table' 'top',,,'legs adjustable undershelf' 'backsplash','legs adjustable undershelf',"72"" 16-ga work table w/ undershelf & 300-series stainless top, 5"" backsplash""@en backsplash ""@en top"," "" st6r5-3660ssk work table, 54"" - 62"", stainless steel top""@en top | table world""@en 62"" "" john"
katom_4189_rewo_26185,0,'open base','open w/undershelf',john boos,john boos,,,,,773675,1186774,'work',,,'60','117.00',,katom_4189,rewo_26185,'stainless steel','stainless steel','table' 'top','table' 'top',,,'legs side' 'backsplash','legs adjustable undershelf',"108"" 16-ga work table w/ open base & 300-series stainless top, 5"" backsplash""@en top backsplash ""@en"," "" st6r5-3660ssk work table, 54"" - 62"", stainless steel top""@en top | table world""@en 62"" "" john"
katom_3866_rewo_33717,0,'undershelf','open w/undershelf',john boos,john boos,,'30 d',,,714316,1491957,,,,'edge front','95.00',,katom_3866,rewo_33717,'stainless steel','stainless steel','table' 'top','table' 'flat top',,,'legs adjustable undershelf' 'backsplash','legs adjustable undershelf',"72"" 16-ga work table w/ undershelf & 300-series stainless top, 5"" backsplash""@en backsplash ""@en top"," "" st4-30108gsk work table, 97"" - 108"", stainless steel top""@en top | table world""@en 108"" "" john"
katom_14541_rewo_33717,0,'undershelf','open w/undershelf',john boos,john boos,,'30 d',,,6069904,1491957,'bullet feet',,,'edge front','111.00',,katom_14541,rewo_33717,'stainless steel','stainless steel','legs adjustable','table' 'flat top',,,'table' 'flat top','legs adjustable undershelf',"96"" 18-ga work table w/ undershelf & 430-series stainless flat top""@en top ""@en"," "" st4-30108gsk work table, 97"" - 108"", stainless steel top""@en top | table world""@en 108"" "" john"
katom_4142_rewo_33717,0,'undershelf','open w/undershelf',john boos,john boos,,'30 d',,,766860,1491957,,,,'edge front','129.00',,katom_4142,rewo_33717,'stainless steel','stainless steel','table' 'top','table' 'flat top',,,'legs adjustable undershelf' 'backsplash','legs adjustable undershelf',"96"" 16-ga work table w/ undershelf & 300-series stainless top, 5"" backsplash""@en top backsplash ""@en"," "" st4-30108gsk work table, 97"" - 108"", stainless steel top""@en top | table world""@en 108"" "" john"
katom_1567_rewo_33717,0,'open base','open w/undershelf',john boos,john boos,,'30 d',,,295745,1491957,,,'edge front','edge front','89.00',,katom_1567,rewo_33717,'stainless steel','stainless steel','table' 'flat top','table' 'flat top',,,'legs side' 'flat top','legs adjustable undershelf',"72"" 16-ga work table w/ open base & 300-series stainless flat top""@en top ""@en"," "" st4-30108gsk work table, 97"" - 108"", stainless steel top""@en top | table world""@en 108"" "" john"
katom_14944_rewo_33717,0,'open base','open w/undershelf',john boos,john boos,,'30 d',,,6462516,1491957,,,'edge front','edge front','88.00',,katom_14944,rewo_33717,'stainless steel','stainless steel','table' 'flat top','table' 'flat top',,,'legs side' 'flat top','legs adjustable undershelf',"72"" 16-ga work table w/ open base & 300-series stainless flat top""@en top ""@en"," "" st4-30108gsk work table, 97"" - 108"", stainless steel top""@en top | table world""@en 108"" "" john"
katom_590_rewo_33717,0,'open base','open w/undershelf',john boos,john boos,'30 d','30 d',,,123077,1491957,,,'edge front','edge front','94.00',,katom_590,rewo_33717,,'stainless steel','table' 'flat top','table' 'flat top',,,'legs side' 'flat top','legs adjustable undershelf',"84"" 16-ga work table w/ open base & 300-series stainless flat top""@en top ""@en"," "" st4-30108gsk work table, 97"" - 108"", stainless steel top""@en top | table world""@en 108"" "" john"
katom_3866_rewo_16127,0,'undershelf','open w/undershelf',john boos,john boos,,,,,714316,762018,,'work',,,'95.00',,katom_3866,rewo_16127,'stainless steel','stainless steel','table' 'top','top',,,'legs adjustable undershelf' 'backsplash','legs adjustable undershelf',"72"" 16-ga work table w/ undershelf & 300-series stainless top, 5"" backsplash""@en backsplash ""@en top"," "" st6r5-2484gsk work table, 73"" - 84"", stainless steel top""@en "" john table top | world""@en 84"""
katom_3758_rewo_16127,0,'undershelf','open w/undershelf',john boos,john boos,,,,,696250,762018,,'work','edge front',,'155.00',,katom_3758,rewo_16127,'stainless steel','stainless steel','flat top','top',,,'table' 'legs adjustable undershelf' 'flat top','legs adjustable undershelf',"96"" 16-ga work table w/ undershelf & 300-series stainless flat top""@en top ""@en"," "" st6r5-2484gsk work table, 73"" - 84"", stainless steel top""@en "" john table top | world""@en 84"""
katom_4114_rewo_16127,1,'undershelf','open w/undershelf',john boos,john boos,,,,,762018,762018,,'work',,,'112.00',,katom_4114,rewo_16127,'stainless steel','stainless steel','top','top',,,'table 84' 'legs adjustable undershelf' 'backsplash','legs adjustable undershelf',"84"" 16-ga work table w/ undershelf & 300-series stainless top, 5"" backsplash""@en backsplash ""@en top"," "" st6r5-2484gsk work table, 73"" - 84"", stainless steel top""@en "" john table top | world""@en 84"""
katom_12806_rewo_73008,0,'undershelf','open w/undershelf',duk,duk,,,,,4312553,12850316,'stainless steel',,,'without splash','138.00',,katom_12806,rewo_73008,'stainless steel','stainless steel',,,,'table','table' 'top riser' 'undershelf posts' 'backsplash','top' 'undershelf and posts' 'gauge type',"84"" 14-ga work table w/ undershelf & 300-series stainless marine top""@en top ""@en"," ""e 314-2430 work table, 30"" - 35"", stainless steel top""@en top | worktable open base""@en "" e table 35"""
katom_70_rewo_299,1,'undershelf','open w/undershelf',duk,duk,'30 wide','30 wide',,,15498,15498,'stainless steel',,,,'289.00',,katom_70,rewo_299,'table' 'stainless steel' 'top','table' 'stainless steel' 'top','without splash' 'undershelf posts','without splash' 'undershelf and posts',,,'flat top','gauge type',"144"" 14-ga work table w/ undershelf & 300-series stainless flat top""@en top ""@en"," ""e 314s-30144 work table, 133"" - 144"", stainless steel top""@en top | worktable open base""@en 144"" "" e table"
katom_3557_rewo_299,0,'h riser' 'undershelf','open w/undershelf',duk,duk,'30 wide','30 wide',,,659537,15498,'table stainless steel' 'top' 'stainless steel',,,,'76.00',,katom_3557,rewo_299,,'table' 'stainless steel' 'top','undershelf posts','without splash' 'undershelf and posts',,,'top riser' '400' 'backsplash','gauge type',"30"" 16-ga work table w/ undershelf & 400-series stainless top, 5"" backsplash""@en top backsplash ""@en"," ""e 314s-30144 work table, 133"" - 144"", stainless steel top""@en top | worktable open base""@en 144"" "" e table"
katom_20217_rewo_299,0,'undershelf','open w/undershelf',duk,duk,'30 wide','30 wide',,,11327665,15498,'stainless steel',,,,'250.00',,katom_20217,rewo_299,,'table' 'stainless steel' 'top','undershelf posts','without splash' 'undershelf and posts',,,'table stainless steel' 'top riser' 'backsplash','gauge type',"120"" 14-ga work table w/ undershelf & 300-series stainless marine top""@en top ""@en"," ""e 314s-30144 work table, 133"" - 144"", stainless steel top""@en top | worktable open base""@en 144"" "" e table"
katom_23194_rewo_299,0,'undershelf','open w/undershelf',duk,duk,'30 wide','30 wide',,,14199792,15498,,,,,'256.00',,katom_23194,rewo_299,'table' 'stainless steel' 'top' 'posts','table' 'stainless steel' 'top','without splash','without splash' 'undershelf and posts',,,'flat top','gauge type',"132"" 16-ga work table w/ undershelf & 400-series stainless flat top""@en top ""@en"," ""e 314s-30144 work table, 133"" - 144"", stainless steel top""@en top | worktable open base""@en 144"" "" e table"
katom_3698_rewo_32808,0,'undershelf','open w/undershelf',duk,duk,'30 wide',,,,684791,1455540,'table stainless steel top',,,,'256.00',,katom_3698,rewo_32808,'top' 'posts' 'stainless steel','table' 'stainless steel','without splash','undershelf and posts',,,'flat top','top' 'without splash' 'gauge type',"132"" 14-ga work table w/ undershelf & 300-series stainless flat top""@en top ""@en"," ""e 316s-2460 work table, 54"" - 62"", stainless steel top""@en 62"" "" e table top | worktable with undershelf""@en"
katom_7109_rewo_32808,0,'undershelf','open w/undershelf',duk,duk,,,,,1278564,1455540,,,'without splash',,'56.00',,katom_7109,rewo_32808,'table' 'stainless steel','table' 'stainless steel',,'undershelf and posts',,,'top' 'flat top','top' 'without splash' 'gauge type',"30"" 14-ga work table w/ undershelf & 300-series stainless flat top""@en top ""@en"," ""e 316s-2460 work table, 54"" - 62"", stainless steel top""@en 62"" "" e table top | worktable with undershelf""@en"
katom_8276_rewo_32808,0,'undershelf','open w/undershelf',duk,duk,,,,,1490587,1455540,,,,,'218.00',,katom_8276,rewo_32808,'table' 'stainless steel','table' 'stainless steel',,'undershelf and posts',,,'top' 'without splash 144 long with' 'undershelf posts' 'flat top','top' 'without splash' 'gauge type',"144"" 16-ga work table w/ undershelf & 300-series stainless flat top""@en top ""@en"," ""e 316s-2460 work table, 54"" - 62"", stainless steel top""@en 62"" "" e table top | worktable with undershelf""@en"
katom_4556_rewo_32808,0,'undershelf','open w/undershelf',duk,duk,'30 wide',,,,841177,1455540,'stainless steel',,,,'256.00',,katom_4556,rewo_32808,'table' 'stainless steel' 'top','table' 'stainless steel','without splash','undershelf and posts',,,'undershelf posts' 'flat top','top' 'without splash' 'gauge type',"132"" 14-ga work table w/ undershelf & 300-series stainless flat top""@en top ""@en"," ""e 316s-2460 work table, 54"" - 62"", stainless steel top""@en 62"" "" e table top | worktable with undershelf""@en"
katom_3698_rewo_14397,1,'undershelf','open w/undershelf',duk,duk,'30 wide','30 wide',,,684791,684791,'table stainless steel top','work',,,'256.00',,katom_3698,rewo_14397,'top' 'posts' 'stainless steel','top','without splash','without splash' 'undershelf and posts',,'table','flat top','gauge type',"132"" 14-ga work table w/ undershelf & 300-series stainless flat top""@en top ""@en"," ""e 314s-30132 work table, 121"" - 132"", stainless steel top""@en 132"" top | worktable open base""@en "" e table"
katom_7644_rewo_30800,1,'undershelf','open w/undershelf',duk,duk,'30 wide','30 wide',,,1375507,1375507,,,,,'64.00',,katom_7644,rewo_30800,'table' 'stainless steel' 'top' 'posts','table' 'stainless steel' 'top','without splash','without splash' 'undershelf and posts',,,'flat top','gauge type',"30"" 14-ga work table w/ undershelf & 300-series stainless flat top""@en top ""@en"," ""e 314s-3030 work table, 30"" - 35"", stainless steel top""@en "" e table top | worktable open base""@en 35"""
katom_12806_rewo_15352,0,'undershelf','open w/undershelf',duk,duk,,'30 wide',,,4312553,727032,'stainless steel','top',,,'138.00',,katom_12806,rewo_15352,'stainless steel','table' 'stainless steel',,'undershelf and posts',,,'table' 'top riser' 'undershelf posts' 'backsplash','top and riser' 'gauge type',"84"" 14-ga work table w/ undershelf & 300-series stainless marine top""@en top ""@en"," ""e 314s-30108-5r work table, 97"" - 108"", stainless steel top""@en 108"" "" e table top | worktable open base with backsplash""@en"
katom_9832_rewo_15352,0,'undershelf','open w/undershelf',duk,duk,'30 wide','30 wide',,,1755938,727032,'stainless steel' 'top with 1 1 8 h riser','top',,,'74.00',,katom_9832,rewo_15352,'table' 'stainless steel','table' 'stainless steel','undershelf posts','undershelf and posts',,,'top riser' 'backsplash','top and riser' 'gauge type',"36"" 16-ga work table w/ undershelf & 300-series stainless top, 1.125"" backsplash""@en backsplash ""@en top"," ""e 314s-30108-5r work table, 97"" - 108"", stainless steel top""@en 108"" "" e table top | worktable open base with backsplash""@en"
katom_10027_rewo_15352,0,'undershelf','open w/undershelf',duk,duk,'30 wide','30 wide',,,1791730,727032,'top','top',,,'62.00',,katom_10027,rewo_15352,'table' 'stainless steel','table' 'stainless steel','undershelf posts','undershelf and posts',,,'top riser' 'backsplash','top and riser' 'gauge type',"24"" 16-ga work table w/ undershelf & 300-series stainless top, 5"" backsplash""@en top backsplash ""@en"," ""e 314s-30108-5r work table, 97"" - 108"", stainless steel top""@en 108"" "" e table top | worktable open base with backsplash""@en"
katom_6503_rewo_15352,0,'undershelf','open w/undershelf',duk,duk,'30 wide','30 wide',,,1176432,727032,'table stainless steel' 'stainless steel','top',,,'245.00',,katom_6503,rewo_15352,,'table' 'stainless steel',,'undershelf and posts',,,'top riser' 'undershelf posts' 'backsplash','top and riser' 'gauge type',"144"" 14-ga work table w/ undershelf & 300-series stainless marine top""@en top ""@en"," ""e 314s-30108-5r work table, 97"" - 108"", stainless steel top""@en 108"" "" e table top | worktable open base with backsplash""@en"
katom_1495_rewo_15352,0,'h riser' 'undershelf','open w/undershelf',duk,duk,'30 wide','30 wide',,,283602,727032,'top','top',,,'245.00',,katom_1495,rewo_15352,'stainless steel','table' 'stainless steel',,'undershelf and posts',,,'table stainless steel' 'top riser' 'backsplash','top and riser' 'gauge type',"120"" 16-ga work table w/ undershelf & 300-series stainless top, 5"" backsplash""@en backsplash ""@en top"," ""e 314s-30108-5r work table, 97"" - 108"", stainless steel top""@en 108"" "" e table top | worktable open base with backsplash""@en"
katom_3930_rewo_15352,1,'undershelf','open w/undershelf',duk,duk,,'30 wide',,,727032,727032,'stainless steel','top',,,'30 d' '36 h' '224.00',,katom_3930,rewo_15352,,'table' 'stainless steel','undershelf posts','undershelf and posts',,,'table stainless steel' 'top riser 108' 'backsplash','top and riser' 'gauge type',"108"" 14-ga work table w/ undershelf & 300-series stainless top, 5"" backsplash""@en top backsplash ""@en"," ""e 314s-30108-5r work table, 97"" - 108"", stainless steel top""@en 108"" "" e table top | worktable open base with backsplash""@en"
katom_12806_rewo_34636,0,'undershelf','open w/undershelf',duk,duk,,,,,4312553,1528308,'stainless steel',,,'without splash' '400','138.00',,katom_12806,rewo_34636,'stainless steel','stainless steel',,'table' 'undershelf and posts',,,'table' 'top riser' 'undershelf posts' 'backsplash','top' 'gauge type',"84"" 14-ga work table w/ undershelf & 300-series stainless marine top""@en top ""@en"," ""e 416s-2472 work table, 63"" - 72"", stainless steel top""@en 72"" top | worktable with undershelf""@en "" e table"
katom_8496_rewo_34636,1,,'open w/undershelf',duk,duk,,,,,1528308,1528308,'stainless steel',,'without splash','without splash' '400',,,katom_8496,rewo_34636,'table' 'stainless steel','stainless steel','undershelf posts','table' 'undershelf and posts',,,'top' '400','top' 'gauge type',"72"" 16-ga work table w/ undershelf & 400-series stainless flat top""@en top ""@en"," ""e 416s-2472 work table, 63"" - 72"", stainless steel top""@en 72"" top | worktable with undershelf""@en "" e table"
katom_13934_rewo_34636,0,'undershelf','open w/undershelf',duk,duk,,,,,5426152,1528308,,,'without splash','without splash' '400','111.00',,katom_13934,rewo_34636,'stainless steel','stainless steel','undershelf posts','table' 'undershelf and posts',,,'table stainless steel' 'top' 'flat top','top' 'gauge type',"72"" 16-ga work table w/ undershelf & 300-series stainless flat top""@en top ""@en"," ""e 416s-2472 work table, 63"" - 72"", stainless steel top""@en 72"" top | worktable with undershelf""@en "" e table"
katom_12806_rewo_1692,0,'undershelf','open w/undershelf',duk,duk,,'8 riser',,,4312553,88363,'stainless steel',,,'400','138.00',,katom_12806,rewo_1692,'stainless steel','table' 'stainless steel',,'undershelf and posts',,,'table' 'top riser' 'undershelf posts' 'backsplash','top and riser' 'top with 1 1' 'gauge type',"84"" 14-ga work table w/ undershelf & 300-series stainless marine top""@en top ""@en"," ""e 416s-36144-2r work table, 133"" - 144"", stainless steel top""@en "" e table 144"" top | worktable with undershelf""@en"
katom_2765_rewo_1692,0,'undershelf','open w/undershelf',duk,duk,'30 wide','8 riser',,,514284,88363,'top with 1 1 8 h riser' 'stainless steel',,,'400','74.00',,katom_2765,rewo_1692,'table' 'stainless steel','table' 'stainless steel','undershelf posts','undershelf and posts',,,'top riser' 'backsplash','top and riser' 'top with 1 1' 'gauge type',"36"" 14-ga work table w/ undershelf & 300-series stainless top, 1.125"" backsplash""@en backsplash ""@en top"," ""e 416s-36144-2r work table, 133"" - 144"", stainless steel top""@en "" e table 144"" top | worktable with undershelf""@en"
katom_12806_rewo_16489,0,'undershelf','open w/undershelf',duk,duk,,'8 riser',,,4312553,778439,'stainless steel',,,,'138.00',,katom_12806,rewo_16489,'stainless steel','table' 'stainless steel',,,,,'table' 'top riser' 'undershelf posts' 'backsplash','top and riser' 'top with 1 1' 'undershelf and posts' 'gauge type',"84"" 14-ga work table w/ undershelf & 300-series stainless marine top""@en top ""@en"," ""e 314-3648-2r work table, 40"" - 48"", stainless steel top""@en 48"" "" e table top | worktable open base with backsplash""@en"
katom_12806_rewo_16875,0,'undershelf','open w/undershelf',duk,duk,,'8 riser',,,4312553,794591,'stainless steel',,,'400','138.00',,katom_12806,rewo_16875,'stainless steel','table' 'stainless steel',,,,,'table' 'top riser' 'undershelf posts' 'backsplash','top and riser' 'top with 1 1' 'undershelf and posts' 'gauge type',"84"" 14-ga work table w/ undershelf & 300-series stainless marine top""@en top ""@en"," ""e 416-24132-2r work table, 121"" - 132"", stainless steel top""@en 132"" "" e table top | worktable with undershelf""@en"
katom_3557_rewo_13844,1,'h riser' 'undershelf','open w/undershelf',duk,duk,'30 wide','30 wide' '5 riser 30',,,659537,659537,'table stainless steel' 'top' 'stainless steel','top',,'400','76.00',,katom_3557,rewo_13844,,'table','undershelf posts','undershelf and posts',,,'top riser' '400' 'backsplash','top and riser' 'gauge type',"30"" 16-ga work table w/ undershelf & 400-series stainless top, 5"" backsplash""@en top backsplash ""@en"," ""e 416s-3030-5r work table, 30"" - 35"", stainless steel top""@en "" e table 35"" top | worktable with undershelf and backsplash""@en"
katom_20217_rewo_8370,0,'undershelf','open w/undershelf',duk,duk,'30 wide','30 wide',,,11327665,415476,'stainless steel','top',,,'250.00',,katom_20217,rewo_8370,,'stainless steel','undershelf posts','table' 'undershelf and posts',,,'table stainless steel' 'top riser' 'backsplash','top and riser' 'gauge type',"120"" 14-ga work table w/ undershelf & 300-series stainless marine top""@en top ""@en"," ""e 316s-3084-5r work table, 73"" - 84"", stainless steel top""@en "" e table 84"" top | worktable open base with backsplash""@en"
