m4_id,m4_cid,m4_number,m4_length,m4_title,m4_artist,m4_year,m4_language,m4_filtering_attr,m2_id
67,655,1,unknown,001-Why Did They Sell Killarney?,Joseph . Natus,,Eng.,001whydidtheysellkillarneyjosephnatuswhydidtheysellkillarney,m4_67
68,186,4,3m 39sec,004-Toxic Jesus,Skorbut,,Eng.,004toxicjesusskorbutaccessallareas,m4_68
69,1923,1 1,4m 14sec,011-Angel of Harlem,U2,,Eng.,011angelofharlemu219930727gentoftestadioncoxpenhagendenmark,m4_69
70,192,1,3m 48sec,001-Nineteen Ninety Seven,Hypoetical,,Eng.,001nineteenninetysevenhypoeticalpendulum,m4_70
71,195,3,2m 54sec,003-It's All Over,Reckless Kelly,,Eng.,003itsalloverrecklesskellymillican,m4_71
72,200,6,2m 24sec,006-Woman's Work,Tracy Chapman,,Eng.,006womansworktracychapmanliveperformances19882000,m4_72
73,5480,13,3m 15sec,013-Dead Leg (Beautiful Ones - four track demo),Suede,,Eng.,013deadleg,m4_73
74,1348,4,5m 14sec,004-Water Song,Hot Tuna,,Eng.,004watersonghottunafinalvinyl,m4_74
75,216,4,unknown,004-Love & Peace = ,,,Jap.,004love&peace=#bestfriends,m4_75
76,2333,11,4m 5sec,011-Wenn du gehst,wingenfelder:Wingenfelder,,Ger.,011wenndugehstwingenfelderwingenfelderselbstausloser,m4_76
77,218,6,4m 44sec,006-Adeptus Satanicus,Manufacturer's Pride,,Eng.,006adeptussatanicusmanufacturerspridesoundofgodsabsence,m4_77
78,8441,4,5m 41sec,004-Thank You,Miami Saxophone Quartet,,Eng.,004thankyoumiamisaxophonequartettakefourgiantsteps(2002,m4_78
79,8975,11,4m 29sec,011-Blood and Sand,Bell mer Dolls,,Eng.,011bloodandsandbellmerdollsatributetorowlandshoward,m4_79
80,222,6,unknown,006-Where the Girls Are,Billy Crurington,,unknown,006wherethegirlsarebillycruringtonthatsjustme,m4_80
81,3316,13,5m 0sec,013-Heartless,Heart,,Eng.,013heartlessheartthesedreamsheartsgreatesthits,m4_81
82,5919,6,4m 5sec,006-Ilk Nurumsun (Haram),Kibariye,,Tur.,006ilknurumsun,m4_82
83,229,11,1m 56sec,011-Frank's Song,Tom Waits,,Eng.,011frankssongtomwaitstheearlyyearsvoli,m4_83
84,231,9,3m 54sec,009-Ljudet av ett annat hjarta,Gyllne Tider,2090,unknown,009ljudetavettannathjartagyllnetiderinstanthits19791989,m4_84
85,1010,3,2m 10sec,003-Santa Claus Is Coming to Town,The Ventures,,Eng.,003santaclausiscomingtotowntheventurestheventureschristmasalbum,m4_85
86,233,8,9m 18sec,008-Functional,Theloious Mo nk,,Eng.,008functionaltheloiousmonkmanifesto,m4_86
87,236,4,2m 11sec,Chapter 49,John Vornholt,,unknown,chapter49johnvornholtthegenesiswavebook1,m4_87
88,241,45,0m 46sec,045-Shop Radio 1,Eirik Suhrke,,Eng.,045shopradio1eiriksuhrkespelunky,m4_88
89,244,3,3m 39sec,"003-Sonata fur Viola da Gamba und Cembalo Nr. 4 C-dur, BWV 529: III. Allegro",Johann Sebastian Bach,,Ger.,003sonatafurvioladagambaundcembalonr4cdurbwv529iiiallegrojohannsebastianbachdiesonatenfurvioladagambaundcembalo,m4_89
90,4677,3,2m 18sec,003-Why Do Fools Fall in Love,Frankie Lymon & The Teenagers,,Eng.,003whydofoolsfallinlovefrankielymon&theteenagersmastermixprofessionalengineeredfordjsa50s60s70s,m4_90
91,247,13,1m 49sec,013--,  ,,Rus.,013,m4_91
92,249,6,1m 31sec,006-Ocomber,Scythelence,,Eng.,006ocomberscythelenceappaseasonato,m4_92
93,2919,18,0m 40sec,018-El bondi,2 Minutos,,Spa.,018elbondi2minutos20anosnoesnada,m4_93
94,255,2,unknown,002-Vision,Dr. Jeffrey Thompson,,Eng.,002visiondrjeffreythompsoncreativemindsystem,m4_94
95,258,1,unknown,001-Zero Sex,Christian Death,,Eng.,001zerosexchristiandeathzerosex,m4_95
96,3765,10,2m 59sec,010-Oysters,Six Ft Hick,,Eng.,010oysterssixfthickunaustralian,m4_96
97,268,8,5m 12sec,008-Dikhel Khelel,Taraf de de & Kocani Orkestar,,unknown,008dikhelkheleltarafdede&kocaniorkestarbandofgypsies2,m4_97
98,269,2,3m 32sec,002-Assassin,Simon Wilkinson,,unknown,002assassinsimonwilkinsonroyaltyfreemusicforfilm&documentaryvol6darkmatter,m4_98
99,5394,2,4m 16sec,002-Puddle,MK,,Jap.,002puddlemkbluelightning,m4_99
100,278,22,0m 57sec,022-Memoirs Shopping,Jon Rose & Otomo Yoshihide,,Eng.,022memoirsshoppingjonrose&otomoyoshihidetatakiuri,m4_100
101,279,6,3m 48sec,006-Bryce,The Neil CowleKy Trio,,unknown,006brycetheneilcowlekytriotouchandflee,m4_101
102,281,13,2m 33sec,013-When Granddpa Comes,Slender,,Eng.,013whengranddpacomesslenderthesinglesward,m4_102
103,741,3,2m 9sec,003-Ruralia Hungarica - Molto Vivace,Erno Dohnanyi,,Eng.,003ruraliahungaricamoltovivaceernodohnanyikreisler1928victorrecordingsfavouriteshortpieces,m4_103
104,5607,9,4m 7sec,009-I Don't Have You (Trans mix),Bassix,,Eng.,009idonthaveyou,m4_104
105,8214,13,0m 6sec,013-The Circle Dance,Joseph Alddenzee,,Eng.,013thecircledancejosephalddenzeenortheuropeanfolkmusic,m4_105
106,290,12,2m 28sec,012-Margarita Gauthier (feat. Raul Raul,Miguel Calo,,Spa.,012margaritagauthier,m4_106
107,4193,7,4m 6sec,007-Faded,Suzanne de Bussac,,Eng.,007fadedsuzannedebussacthevalleyofbaca,m4_107
108,300,82,0m 29sec,082-Audience (intro),Rick Cassman & Vyv Hope-Scott,,Eng.,082audience,m4_108
109,301,37,1m 2sec,037-Parallel Universe (b),Simon May & Simon Lockyer & John Brant,,Eng.,037paralleluniverse,m4_109
110,253,19,4m 10sec,019-Complainte de Pablo Neruda,Jean Ferrat,,Fre.,019complaintedepablonerudajeanferratbestof3cd,m4_110
111,3154,1,3m 59sec,001-A Day at the People Factory,Doug The Eagle,,Ger.,001adayatthepeoplefactorydougtheeagleadayatthepeoplefactory,m4_111
112,303,1,5m 7sec,001-See You Again,Alfeee,,Jap.,001seeyouagainalfeeedoubt,m4_112
113,305,57,0m 4sec,057-Round the Bend 8 (sting),Christian Marsac,,Eng.,057roundthebend8,m4_113
114,309,2,2m 56sec,002-Survived Yesterday,Hellride,,Eng.,002survivedyesterdayhellrideandthentheearthmoved,m4_114
115,310,6,4m 33sec,006-Start of My Heart,Joan as Police Woman,,Eng.,006startofmyheartjoanaspolicewomantosurvive,m4_115
116,7641,5,4m 5sec,005-Silver Star of Bologna,Penguin Cafe Orchestra,,Eng.,005silverstarofbolognapenguincafeorchestraskarundleni,m4_116
117,7819,7,4m 31sec,007-Solar Girl,Elk City,,Eng.,007solargirlelkcitystatus,m4_117
118,4882,14,1m 6sec,014-Give Me Oil in My Lamp,Donald Baker Family,,Eng.,014givemeoilinmylampdonaldbakerfamilychildrenssongsbiblestudyguideforallages,m4_118
119,316,8,unknown,008-Stella Was  a Diver and She Was Always Down,Interpol,,Eng.,008stellawasadiverandshewasalwaysdowninterpol20010812laroutedurockfestivalsaintmalofrance,m4_119
120,9258,4,3m 6sec,004-brother mustang(LIVE),the god and death stars,,Jap.,004brothermustang,m4_120
121,3144,10,3m 46sec,010-Come Thou Fount,David Crowder Band,,Eng.,010comethoufountdavidcrowderbandpassionourloveisloud,m4_121
122,317,B4,3m 5sec,0B4-Lucille,Brian Protheroe,,Enng.,0b4lucillebrianprotheroeiyou,m4_122
123,319,12,1m 4sec,012MistyMountains2,Bryan E. Miller,,Eng.,012mistymountains2bryanemillerfilmseriesepicandheroic,m4_123
124,321,18,2m 59sec,018-Ojos negros (polca),Gladys Moreno,,Spa.,018ojosnegros,m4_124
125,322,15,2m 8sec,015-Nalada s orientalnimi motivy,Strasliva podivana,,Cze.,015naladasorientalnimimotivystraslivapodivanacarovnebylinky,m4_125
126,4661,2,15m 47sec,002-13. Guds syn pa livet,Watch Tower Bible and Tract Society of Pennsylvania,,Nor.,00213gudssynpalivetwatchtowerbibleandtractsocietyofpennsylvaniahvaerdetbibelenegentliglrer,m4_126
127,328,20,3m 53sec,020-Mama kilio ee,Mwenda Jean Bosco,,Swa.,020mamakilioeemwendajeanboscosongswithguitar,m4_127
128,334,15,4m 5sec,015-Boogie Oogie Oogie,A Taste of Honey,,Eng.,015boogieoogieoogieatasteofhoney70spreservationsocietypresentsdiscofever,m4_128
129,335,7,5m 34sec,007-For Us or Against Us,Dying Fetus,,Eng.,007forusoragainstusdyingfetusdestroytheopposition,m4_129
130,5725,3,2m 45sec,003-Croatian Polka Magic,Polka Quads,,Eng,003croatianpolkamagicpolkaquadsherecomethepolkaheroesvolii,m4_130
131,336,16,0m 51sec,"Prelude, op. 16 no. 4",Alexander Scriabine,,Eng.,preludeop16no4alexanderscriabinescriabineandthescriabinians,m4_131
132,341,6,3m 22sec,006-Inside the Outside,The Amboy Dukes,,Eng.,006insidetheoutsidetheamboydukesmigration,m4_132
133,342,10,4m 58sec,010-World Taste Sweet (Stuck in the Middle),Maxmillion Dunbar,,Eng.,010worldtastesweet,m4_133
134,347,1,4m 49sec,001-The Fallout,Frequency Construct,,Eng.,001thefalloutfrequencyconstructdeviantbehavior,m4_134
135,4613,1,5m 43sec,001Krahenkonigin: I,Nucleus Torn,,Eng.,001krahenkonigininucleustorntravellers,m4_135
136,349,5,6m 11sec,005-The Warmth in Her Torment,Eternal Suffering,,Eng.,005thewarmthinhertormenteternalsufferingremainforeverinmisery,m4_136
137,352,40,1m 0sec,040-Chem 2: No Volume,Joridan & Jopn,,Eng.,040chem2novolumejoridan&jopnaudioosmosis,m4_137
138,353,17,3m 39sec,017-Inventaire,Alex Beaupain,,Fre.,017inventairealexbeaupainleschansonsdamour,m4_138
139,355,9,unknown,009-Paltrow and the Cubs,Guster,,unknown,009paltrowandthecubsguster20031020urbanailusa,m4_139
140,356,4,unknown,003-Two Turns to One,Ziggy Was,,Eng.,003twoturnstooneziggywastwoturnstoone,m4_140
141,362,4,3m 13sec,004-Go My Road,Kings Cross Hot Club,,Eng.,004gomyroadkingscrosshotclubkingscrosshotclub,m4_141
142,3279,5,6m 43sec,005,,,unknown,005#,m4_142
143,365,1,unknown,001-En mi barrio,Yaco,,Spa.,001enmibarrioyacowelcometoparadise,m4_143
144,8535,1,4m 28sec,001-Pagride,Satellites LV,,La.t,001pagridesatelliteslvpagride,m4_144
145,368,10,4m 37sec,010-I'll Never Get Over You,John Hiatt,,Eng.,010illnevergetoveryoujohnhiattmasterseries,m4_145
146,373,12,3m 34sec,012-Bla Bla Bla,Gigi DAgostino,,Eng.,012blablablagigidagostinoasmelhoresdadecada,m4_146
147,4102,6,3m 35sec,Omega-006,Riotgod,,Eng.,omega006riotgodriotgod,m4_147
148,375,A3,4m 16sec,0A3-Pool of Piranhas,Hammers Rule,,Eng.,0a3poolofpiranhashammersruleshownomercy,m4_148
149,376,6,3m 29sec,006-The Tramp on the the,Joan Baez,,Egn.,006thetramponthethejoanbaezdavidsalbum,m4_149
150,2439,6,2m 46sec,006-Entao toma,Egmicida,,Por.,006entaotomaegmicidaemicidio,m4_150
151,3290,12,unknown,012-Farewell( To Setting Flowers),Electric Litany,, Eng.,012farewell,m4_151
152,384,308,0m 29sec,308-Rhythm Trekker,Dezrok,,Eng.,308rhythmtrekkerdezrokpromos4dancebeatz,m4_152
153,8903,8,3m 31sec,008-Rejoice,U2,,Eng.,008rejoiceu219811221lyceumballroomlondonuk,m4_153
154,389,2,4m 43sec,002-Romance Of Falling,Giant Sand,,Eang.,002romanceoffallinggiantsandramp,m4_154
155,8780,1,unknown,001-Moonfloor,Gale Grand Central,,Eng.,001moonfloorgalegrandcentralthe1944samaritanmanual,m4_155
156,7010,5,3m 32sec,005-I'll Be There,Blessid Union of Souls,,Eng.,005illbethereblessidunionofsoulsclosetotheedge,m4_156
157,4892,12,3m 30sec,012-Te Story of Jazz,Yo La Tengo,,Eng.,012testoryofjazzyolatengonewwavehotdogs,m4_157
158,877,12,2m 41sec,012-Winter Pages: Still Life,Ned Rorem,,Eng.,012winterpagesstilllifenedroremwinterpagesbrightmusic,m4_158
159,401,1,unknown,001-Watt Bird,Moonbootica,,Eng.,001wattbirdmoonbooticawattbirdbreakoflight,m4_159
160,1186,8,4m 56sec,008-Papering the Cracks,Tokyo Blade,,Eng.,008paperingthecrackstokyobladeburningdownparadise,m4_160
161,403,3,2m 58sec,003-The Right Bullets,Tom Waits,,Eng.,003therightbulletstomwaitsblackriderouttakes,m4_161
162,2432,1,7m 4sec,The Anthem Medley (club mix),Sonia,,Eng.,theanthemmedley,m4_162
163,1946,6,4m 35sec,006-Spam,Sudden Death,,Eng.,006spamsuddendeathdielaughing,m4_163
164,2644,25,4m 1sec,025-53rd State (live 1986),Contempt,,Eng.,02553rdstate,m4_164
165,6272,1,4m 54sec,001-The Winner Takes It All,ABBA,,Eng.,001thewinnertakesitallabbagreatesthitsofthemillennium80svoli,m4_165
166,415,10,4m 52sec,"-journey o 1,000 Yeasrs",KISS,,Eng.,journeyo1000yeasrskisspsychocircus,m4_166
167,3291,5,5m 59sec,"005-Boom Boom (12"" remix instrumental)",Paul Lekakis,,Eng.,005boomboom,m4_167
168,417,9,3m 28sec,009-Wake Up,Hooverphoonic,,Eng.,009wakeuphooverphoonicnomoresweetmusic,m4_168
169,7671,B5,3m 42sec,0B5-Do the Evolution (Live),Pearl ZJam,,Eng.,0b5dotheevolution,m4_169
170,1191,3,4m 6sec,003-Tape Speeds,Beppu,,Eng.,003tapespeedsbeppuoutput,m4_170
171,419,14,3m 47sec,014-Sugar Sugar,Laurel Aitken,,Eng.,014sugarsugarlaurelaitkenrollingstoneraretraxvolume5insummerthecity,m4_171
172,7303,3,2m 21sec,003-Vukovi Tame,1389,,unknown,003vukovitame1389sjecanjanaproslezime,m4_172
173,1438,14,2m 54sec,014-Labeled,Sworn Eneemy,2004,Eng.,014labeledsworneneemyjagermusicrarities2004,m4_173
174,430,22,4m 11sec,022-Bonnie and Clyde,Brigitte Bardot,,Fre.,022bonnieandclydebrigittebardotlamadrague,m4_174
175,432,2,3m 14sec,002-Ezumdda,Headache,,Eng.,002ezumddaheadachewaridestructorsofthemind,m4_175
176,434,8,2m 48sec,008-Oil and Water,The American Dollar,,Eng.,008oilandwatertheamericandollarliveinbrooklyn,m4_176
177,225,10,1m 38sec,010-Time for Pepper,Black Sun Productions,,Eng.,010timeforpepperblacksunproductionstheimpossibilityofsilence,m4_177
178,4205,3,3m 58sec,003-Brothers of the 4x4,Han k3,,Eng.,003brothersofthe4x4hank3brothersofthe4x4,m4_178
179,1233,15,1m 36sec,015-Sacrificium: Offerte Domino,[religious music],,unknown,015sacrificiumoffertedominoreligiousmusicspiritusleschantsdelame,m4_179
180,248,18,4m 56sec,018-Ho Do You Sleep,The Stone Roses,,Eng.,018hodoyousleepthestonerosestotallystoned,m4_180
181,446,4,10m 55sec,004-Fa Cho Ec Le Spot,Muzik 4 Machines,,Eng.,004fachoeclespotmuzik4machinesmusicformachinesbymachines,m4_181
182,6930,8,3m 56sec,008-The Man You Love,Il Divo,,unknown,008themanyouloveildivoildivo,m4_182
183,459,15,unknown,015-Ze do Caroco,Grupo Revelacao,,Por.,015zedocarocogruporevelacaoaovivonapalmadamao,m4_183
184,460,5,1m 44sec,005-Il peut pleuvoir,Jacques Brel,,Fre.,005ilpeutpleuvoirjacquesbrelcestcommeca,m4_184
185,463,13,unknown,013-Paukstis,Skyle,,Lit.,013paukstisskyle1+1=1,m4_185
186,5210,38,1m 19sec,038-The Church Is One Foundation,Alasdair Trotter,,Eng.,038thechurchisonefoundationalasdairtrottercaledoniacathedralhymnsforthebagpipe,m4_186
187,466,15,unknown,015-Lill,Lauri Nebel,,Est.,015lilllaurinebelluguauk,m4_187
188,8384,7,3m 46sec,007-Deeper Blue,The Wakefields,,Eng.,007deeperbluethewakefieldsfallingdownblue,m4_188
189,469,14,4m 8sec,014-Die Blouberge,Randall Wicomb,,Afr.,014diebloubergerandallwicombuiteindelik,m4_189
190,3052,18,4m 7sec,"018-Love Is in the Air, and Is Floating Away",Dead Red Sea,,Eng.,018loveisintheairandisfloatingawaydeadredseasoundspiritfuryfiresamplerno3,m4_190
191,476,13,2m 20sec,013-One Way,Larry Norman,,Eng.,013onewaylarrynormaninanotherland,m4_191
192,477,25,0m 33sec,025-Like Miles,Frans van Steijn,,Eng.,025likemilesfransvansteijnemotionaltvthemes,m4_192
193,4131,15,4m 8sec,015-Where Is the Conscience of the World,J.C. Mark,unknown,Eng.,015whereistheconscienceoftheworldjcmarkadventuresinmusic3poprocksampler,m4_193
194,484,12,2m 58sec,012-Es stieg ein Engel vom Olymp,Costa Cordalis,,Ger.,012esstiegeinengelvomolympcostacordalisdasgroedeutscheschlagerarchiv,m4_194
195,1316,2,3m 11sec,002-A Tale of Slaughtering,Milking the Goatmachine,,ENG.,002ataleofslaughteringmilkingthegoatmachineback,m4_195
196,9822,6,4m 8sec,006-Sometimes,Soumia,,Fre.,006sometimessoumiastillinlove,m4_196
197,887,4,6m 8sec,004-Lo qQue sangra (La cupula) (version remix),Soda Stereo,,Spa.,004loqquesangra,m4_197
198,505,13,1m 13sec,013-Fight 2,,,Eng.,013fight2#finalfantasyivoriginalsoundversion,m4_198
199,4022,9,4m 24sec,009-Keep Giving Me Love (radio edit),D-Train,,Eng.,009keepgivingmelove,m4_199
200,8130,5,5m 5sec,005-Cuestion de madera,Bacilos,,Spa.,005cuestiondemaderabacilosbacilos,m4_200
201,514,1,5m 14sec,001-Miaad Gaah,Reza Yazdani,,Per.,001miaadgaahrezayazdani2500pm,m4_201
202,4295,3,2m 34sec,003-The Glass Forest,Michael Jones,,Eng.,003theglassforestmichaeljonesseasons,m4_202
203,522,1,3m 56sec,001-Back Of fRingcraft,Johnny Osbourne meets Roots Radics,,Eng.,001backoffringcraftjohnnyosbournemeetsrootsradicsjohnnyosbournemeetstherootsradics19801981vintage,m4_203
204,3132,13,4m 28sec,013-Tecumseh Valley,Steve Earle,,Eng.,013tecumsehvalleysteveearletrainacomin,m4_204
