nova_id,nova_cluster_id,nova_product_type,nova_category,nova_brand,nova_storage_capacity,nova_memory_type,nova_interface,nova_memory_speed,nova_color,nova_model,nova_processor
nova_33,37368,,,,,,,,,,['i5 i3 7th gen micro atx']
nova_34,37887,,,,,['ddr4'],,,,,
nova_35,40869,"['60320 c19', 'jumper']",,,,,['60320 c13 2 x iec'],,,,
nova_36,41568,"['and below', 'support silent no psu']",,,,,,,,,
nova_37,41903,,,,,,,,,,['amd socket']
nova_38,43099,"['and below', 'side panel water cooler support full']",,['xl atx'],,,,,['White + Black Trim'],['Graphite 780T'],
nova_39,43451,,,,['1920 x 1080'],,['hdmi'],,,,
nova_40,46900,['warranty'],,['quad core technology'],,['ddr4 ddr3l controller'],['8MB'],"['DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V', 'No', '3.4GHz']",,,"['Intel HD 530', 'I7 6700']"
nova_41,48996,,,,,['up 1100rpm'],,,,['MFY-F2DN-11NPC-R1'],
nova_42,51801,,,,,['ddr4 ddr3l controller'],['8MB'],"['DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V', '3.6GHz', 'No']",,,"['I7 7700', 'Intel HD 630']"
nova_43,54922,['1 x processor support'],,,,['ddr3 sdram maximum ram o c'],,,,,
nova_44,56456,,,['3200mhz ram'],,,,"['XMP 2.0, Vengeance LPX Heatsink', 'DDR4 (PC4-25600)']",['lifetime warranty'],,
nova_45,57290,,,['ryzen 5'],,,,['3.20GHz'],,,"['1400 4c', 'Amd Ryzen™']"
nova_46,58515,,,,,['ddr4'],,"['XMP 2.0, Anodized Aluminium Heatspreader', 'DDR4 (PC4-25600)']",,,
nova_47,59044,['cores'],,['cpu cores'],,,['8ghz max turbo'],,,,
nova_48,63531,['lifetime warranty'],,,,,,"['1600mhz', 'DDR3 (PC3-12800)', 'XMP, XMS3 Heatsink']",,,
nova_49,63947,['year warranty'],,,,,,,,,
nova_50,64089,"['and below', 'side panel water cooler support full', 'support silent no psu']",,['atx'],,,,,['Black'],"['gpu', 'Carbide 100R Silent Edition']",
nova_51,64570,,,['2560 x 1440'],,,,,['black'],,
nova_52,65043,,,[],,,,,,,
nova_53,65645,['b250 chipset'],,['atx'],,,['2 x m 2 2 x pci e 3 0 x16'],,['way crossfirex'],,
nova_54,66196,['support no psu'],,['mini itx'],,,,,['Black'],"['gpu', 'Elite 130']",
nova_55,66894,,,,,,,,,,['i5 i3 7th gen atx']
nova_56,67722,['black'],,['up to'],,['61 cm 24'],,,,,
nova_57,68452,"['raid supported', '45']",,,"['1 tb', '500 gb']",,,,,['network rj'],
nova_58,69938,,,,,,,"['2666mhz', 'Intel XMP 2.0 Memory Profile, Vengeance LPX Heat Spreader', 'DDR4 (PC4-21300)']",['lifetime warranty'],,
nova_59,69949,['z170 chipset'],,['atx'],,,['1 x pci e 3 0 x16'],,,,
nova_60,70222,,,,,['ddr4'],,,,,
nova_61,70367,,,['2 x antenna s'],,,,,['rj 45'],,
nova_62,73679,['spill'],,,['120 v dc lead acid'],,,,,,
nova_63,75210,,,,,,['usb 4 x dvi d video 1u rack'],,,,
nova_64,79457,,,['ddr4'],,,,"['2666mhz', 'XMP 2.0, Vengeance LPX Heatsink', 'DDR4 (PC4-21300)']",['lifetime warranty'],,
nova_65,82284,,,,,,,"['DDR3 (PC3-12800)', 'XMP, Vengeance Pro Heatsink']",,,
nova_66,83931,['warranty'],,,,['ddr4 ddr3l controller'],['6MB'],"['DDR4 - 2133 / DDR3L - 1600', 'No', '3.5GHz']",,,"['I5 6600K', 'Intel HD 350']"
nova_67,84721,"['radiator mount', 'year warranty']",,['280mm'],,,,,,['Hydro Series H110i'],
nova_68,84945,['year warranty'],,,,,,,,,
nova_69,86732,"['and below', 'side panel water cooler support full']",,,,,,,['Black'],['Graphite 780T'],
nova_70,87656,,,[],,,,,,,
nova_71,88058,,,['ryzen 5'],,,,['3.60GHz'],,,"['4c', 'Amd Ryzen™']"
nova_72,88353,['warranty'],,['ddr4'],,['cl17'],,"['2400mhz', 'DDR4 (PC4-19200)']",,,
nova_73,89429,['video'],,['ssi'],['1 tb'],['ddr4 sdram'],,,,['eeb 2 x processor support'],
nova_74,90867,,,[],,,,,,,
nova_75,91590,"['and below', 'side panel water cooler support full', 'support modular', 'no psu']",,['atx'],,,,,,,
nova_76,91750,,,['ddr4'],,,,"['2400mhz', 'XMP 2.0, Vengeance LPX Heatsink', 'DDR4 (PC4-19200)']",,,
nova_77,92366,,,"['ddr4', 'ddr4']",,,,"['3200mhz', '3200mhz', 'DDR4 (PC4-25600)', 'XMP 2.0, Vengeance LPX Heatsink', 'DDR4 (PC4-25600)', 'XMP 2.0, Vengeance LPX Heatsink']","['lifetime warranty', 'lifetime warranty']",,
nova_78,92731,"['and below', 'side panel water cooler support full', 'support silent no psu']",,['atx'],,,,,,['gpu'],
nova_79,93101,,,,['120 v dc'],,,,,,
nova_80,93924,,,['1600mhz ram'],,,,"['XMP', 'DDR3 (PC3-12800)']",,,
nova_81,96001,['miniitx drive'],,"['motherboard', 'Antec']",,,['external 2 3 5'],,,['NSK3100'],
nova_82,96062,['69 7 cfm'],,,['120mm'],['green led'],,['2000 rpm'],['Green'],['SickleFlo 120'],
nova_83,97691,,,,['24 10'],,['100 1000base t 4 x sfp mini gbic'],,,,
nova_84,98374,['crossfirex'],,['atx'],,,,,,,
nova_85,98621,"['radiator mount', 'year warranty']",,,['120mm'],,,,,['Hydro Series H80i v2'],
nova_86,101004,,,,,,,,['Red'],,
nova_87,101083,,,,['120 v dc'],,,,,,
nova_88,101282,"['all japanese capacitors', 'fan 7 year warranty']",,,,,,,,['Semi-Modular'],
nova_89,102183,,,['intel'],,['tall red led fan'],,,,,
nova_90,103095,['notebook monitor'],,,,,,,,,
nova_91,103298,,,,,,,,"['Red, White Or Blue']",,
nova_92,103518,"['cpu cores', 'cores']",,,,,['4ghz max turbo'],,,,
nova_93,104753,,,['sockets supported'],,,,,,,
nova_94,106101,,,['dual'],,['ddr4 ddr3l controller'],['3MB'],"['DDR4-1866/2400, DDR3L-1333/1600 @ 1.35V', 'No', '3.9GHz']",,,"['Intel HD 630', 'I3 7100']"
nova_95,106592,,,['intel'],,['ddr4 sdram ram'],,,,,['core i7 i7 6700hq 2']
nova_96,107879,['economy mode'],['hour'],['4000 hour'],,,,,,['5000'],
nova_97,108669,['fully modular corsair link enabled 7 year warranty'],,['plus'],,,,,,,
nova_98,109289,,,['superior'],,,,,,,
nova_99,109916,['quad channel'],,['atx'],,['ddr4 3 x pcie 3 0 x16'],,,,,
nova_100,110798,,,,,,,,,,
nova_101,111467,,,,['2560 x 1440 qhd ips'],,,,['black silver'],,
nova_102,112777,,['leak'],['sealed lead acid'],,,,,,,
nova_103,113348,"['z270 chipset', 'nvidia sli crossfirex']",,['atx'],,,,,,,
nova_104,113899,,,,['8 tb'],['ddr3 sdram serial ata'],,,,,['intel atom d2700 dual core 2 core']
nova_105,114308,['bluetooth front camera'],,['intel'],,"['ddr4 sdram', 'intel hd graphics 620 ddr4 sdram']",,,,,['core i5 7th gen i5 7200u']
nova_106,116893,,,[],,,,,,,
nova_107,117675,,,,,,,"['1600mhz', 'DDR3']",['lifetime warranty'],,
nova_108,117679,['and below'],,['xl atx'],,,,,,,
nova_109,117860,,,['quad core technology'],,['ddr3 controller'],['6MB'],"['3.2GHz', 'DDR3-1333/1600', 'No']",,,"['I5 4460', 'Intel HD Graphics 4600']"
nova_110,118519,['warranty'],,,,['ddr4 controller'],,['3.6GHz'],,,"['I3 8100', 'Intel HD 630']"
nova_111,120061,,,['quad core technology'],,['ddr4 ddr3l controller'],['6MB'],"['DDR4-1866/2400, DDR3L-1333/1600 @ 1.35V', '3.0GHz', 'No']",,,"['Intel HD 630', 'I5 7400']"
nova_112,120254,,,['240'],['120mm'],,,,,,
nova_113,121336,,,['3000mhz'],,,,"['Intel XMP 2.0 Memory Profile, Vengeance LPX Heat Spreader', 'DDR4 (PC4-24000)']",['lifetime warranty'],,
nova_114,122129,,['vrla'],['valve'],,,,,,['regulated lead acid'],
nova_115,122322,"['radiator mount', 'pwm fans']",,,['120mm'],,,,,['Hydro Series H75'],
nova_116,122396,['aluminium alloy'],,,,,,,,,
nova_117,125224,,,['write'],,,,,,,
nova_118,129822,,,['ipad'],,,,,,,
nova_119,130212,,,,,,,"['2400mhz', 'DDR4 (PC4-19200)', 'Intel XMP 2.0 Memory Profile, Vengeance LPX Heat Spreader']",,,
nova_120,131099,,,,['24 v dc'],,,,,,
nova_121,133492,,,,['18 x rj 45 10 100 1000base t desktop'],,,,,,
nova_122,134349,"['network 1 x rj 45', 'network patch cable']",,,,,,,,,
nova_123,135489,['plastic'],,,['1 x 120 mm'],,,,,,
nova_124,136028,['2 year'],,,,,,,,,
nova_125,136586,,,['2400mhz ram'],,,,"['XMP 2.0, Vengeance LPX Heatsink', 'DDR4 (PC4-19200)']",,,
nova_126,141137,['lifetime warranty'],,['ddr3'],,,,"['ddr3l 1600mhz', '50v', 'DDR3 (PC3-12800)']",,,
nova_127,141731,"['and below 7', 'watercooling support']",,['atx'],,,,,,,
nova_128,143766,,,['quad core technology'],,['ddr4 controller'],,['4.0GHz'],,,['I5 7640X']
nova_129,143876,,,,,['ddr4 2400 pc4 19200 1 20 v'],,['2400 mhz'],,,
nova_130,144052,,,,,['ddr4 controller'],,['3.7GHz'],,,"['Intel HD 630', 'I7 7800K']"
nova_131,145357,"['and below', 'side panel water cooler support no psu']",,,,,,,['Black'],['Graphite 230T'],
nova_132,147316,,,,,,,"['2666mhz', 'XMP 2.0, Vengeance LPX Heatsink', 'DDR4 (PC4-21300)']",['lifetime warranty'],,
nova_133,148103,,,,['1 x thunderbolt 1 x firewire'],,,,,,
nova_134,150127,,,,,,,"['Vengeance RGB', '32GB (4x8GB)', 'DDR4']",['lifetime warranty'],,
nova_135,150150,['RGB LED Controller'],,['sata powered'],,,['USB connectors (9 Pin)'],,,,
nova_136,150612,,,,,,,"['DDR3 (PC3-12800)', 'XMP, Vengeance LP Heatsink']",,,
nova_137,151053,['lifetime warranty'],,,['4x4gb'],,,"['DDR4 (PC4-27200)', 'Intel XMP 2.0 Memory Profile Dominator DHX Platinum Heatsink Corsair Link Enabled']",,,
nova_138,151079,,,['size'],,,,,['White'],,
nova_139,151336,,,,,['Dual channel DDR3 800/1066/1333/1600MHz/1866MHz'],,"['866mhz', '4.1GHz']",,,"['amd radeontm r7 series graphics quad core technology', 'A10-7890k']"
nova_140,152035,,,['ddr4'],,,,"['3200mhz', 'DDR4 (PC4-27200)', 'XMP 2.0, Anodized Aluminium Heatspreader']",['lifetime warranty'],,
nova_141,152931,,,,,['ddr4 ddr3l controller'],['8MB'],"['No', '4.0GHz', 'DDR4 - 2133 / DDR3L - 1600']",,,"['Intel HD 350', 'I7 6700K']"
nova_142,154118,,,['ddr4'],,,,"['3000mhz', 'XMP 2.0, Vengeance LPX Heatsink', 'DDR4 (PC4-24000)']",['lifetime warranty'],,
nova_143,155041,,,['x poe stack port 5 x expansion slots'],,,,,,,
nova_144,155523,['years'],,,,,,,,,
nova_145,155852,['warranty'],,['quad core technology'],,['ddr4 controller'],,['4.0GHz'],,,"['Intel HD 630', 'I3 8350K']"
nova_146,155861,,,['ryzen a'],,,['series athlon 7th gen matx'],,,,
nova_147,156451,,,['sockets supported'],,,,,,,
nova_148,156518,['vesa mount'],,,,,['m2 brightness 5ms response'],,['time dvi'],,
nova_149,157750,['warranty'],,['quad core technology'],,['ddr4 ddr3l controller'],['6MB'],"['DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V', '3.3GHz', 'No']",,,"['I5 6600', 'Intel HD 530']"
nova_150,157866,,,,,,['port 6 x expansion slots 10'],,['rack mountable'],,
nova_151,158939,,,['desktop'],,,,,,,
nova_152,160388,,,,,['ddr4 ddr3l controller'],['4MB'],['4.2GHz'],,,"['I3 7350K', 'Intel HD 630']"
nova_153,160885,['lifetime'],,['capacity'],,,['USB 3.0 (backward compatible with USB 2.0)'],,['Black/Blue'],,
nova_154,161588,['bronze semi modular 5 year warranty'],,,,,,,,,
nova_155,162120,"['cpu cores', 'cores']",,,,,['8ghz max turbo'],,,,
nova_156,164345,['unlocked multiplier'],,['eight'],,['Dual channel DDR3 800/1066/1333/1600MHz'],['mb l2 cache'],['3.30GHz'],,,['8300']
nova_157,164737,,,['530'],,,,,,,
nova_158,167533,,,['intel'],['8 tb'],['ddr3 sdram raid supported 0'],,,,,
nova_159,169589,['warranty'],,,,['ddr4 ddr3l controller'],['6MB'],"['DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V', '2.7GHz', 'No']",,,"['I5 6400', 'Intel HD 530']"
nova_160,170151,,,['micro atx'],,,,,,,
nova_161,170796,,,['i7'],,['ddr4'],,,,,['i5 i3 7th gen micro atx']
nova_162,172028,,,['marvell'],['8 tb'],['ddr3 sdram serial ata'],['tb'],['ram'],,,
nova_163,172234,,,,['2560 x 1440'],,"['hdmi displayport', 'usb']",,['black silver'],,
nova_164,172894,['rj 45 male'],,['rj'],,,,,,,
nova_165,174468,,,['write'],,,,,['bdxl support'],,
nova_166,176187,,,[],,,,,,,"['Supports dual, single Intel® / AMD processors']"
nova_167,176657,,,['3 hour'],,,['60320 c13 3 x iec'],,,['8 x iec'],
nova_168,178126,,,[],,,,,,,
nova_169,179765,,,['16 9'],,,['000'],,,,
nova_170,180117,,,,['120mm'],,,,,,
nova_171,181888,"['usb 1 x lightning', 'mfi purple']",,,,,,,,,
nova_172,182896,,,"['motherboard', 'BitFenix']",,,,,['White/Silver'],,
nova_173,183361,['rack mountable'],,,['24 x rj 45 4 x expansion slots 10 100 1000base t'],,,,,,
nova_174,186717,['b250 chipset'],,,,,,,,,
nova_175,186803,,,['rev'],,,,,['latches'],,
nova_176,187144,['mpr ii'],,,,,,,,,
nova_177,187351,['year warranty'],,,,,,,,,
nova_178,188351,,,['superior'],,,,,,,
nova_179,189409,['side panel water cooler support full'],,['hptx'],,,,,['Black'],['Obsidian 900D'],
nova_180,191280,"['and below 4', 'watercooling support']",,,,,,,,,
nova_181,191447,['jumper'],,['3 hour'],,,,,,['ac 230 v ac 8 x iec'],
nova_182,191757,"['thermally controlled', 'year warranty']",,,,,,,,['Non-Modular'],
nova_183,193742,['warranty'],,,,['cl17'],,"['2400mhz', 'DDR4 (PC4-19200)']",,,
nova_184,194421,['crossfirex'],,,,,['hdmi rgb'],,,,
nova_185,197725,,,,,,,"['XMP 2.0, Anodized Aluminium Heatspreader', 'DDR4 (PC4-24000)']",['lifetime warranty'],,
nova_186,199068,,,,,['ddr3 sdram serial ata 600 raid supported 0'],,,,,
nova_187,202848,,,['marvell armada'],['12 tb'],['ddr3 sdram serial ata 600 raid supported'],['tb'],['ram'],,,
nova_188,204145,['amd crossfire'],['0x16'],,,['ddr4'],,,,,
nova_189,204227,"['unlocked multiplier', 'unlocked multiplier']",,['six'],,"['Dual channel DDR3 800/1066/1333/1600MHz', 'Dual channel DDR3 800/1066/1333/1600MHz']",,"['4.20GHz', '4.20GHz']",,,"['6350', '6350']"
nova_190,204914,,,['ddr4'],,,,"['XMP 2.0, Vengeance LPX Heatsink', 'DDR4 (PC4-25600)']",['lifetime warranty'],,
nova_191,205989,['and below 7'],,['atx'],,,,,,,
nova_192,207315,,,['ddr4'],,,,"['3600mhz', 'cl18', 'DDR4', '128GB Kit (8 x 16GB)', 'Vengeance RGB']",['lifetime warranty'],,
nova_193,207382,['warranty'],,['dual'],,['ddr4 ddr3l controller'],['6MB'],"['No', '3.7GHz', 'DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V']",,,"['Intel HD 530', 'I3 6100']"
nova_194,207897,,,['pci e'],,,['standard pci e x4 slot'],,,,
nova_195,211475,['unlocked multiplier'],,['quad core technology'],,['Dual channel DDR3 800/1066/1333/1600MHz'],,['3.80GHz'],,,['4300']
nova_196,211568,['warranty'],,,,['ddr4 ddr3l controller'],['4MB'],"['DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V', 'No', '3.8GHz']",,,"['I3 6300', 'Intel HD 530']"
nova_197,213979,['warranty'],,['ddr4'],,,,"['3000mhz', 'DDR4 (PC4-24000)', 'XMP DHX Cooling System']",['enabled lifetime'],,
nova_198,214336,,,['dual'],,['ddr3 sdram serial ata'],,,,,
nova_199,217090,['95w 3 year warranty'],,['eight'],,,,"['0ghz', '3.60GHz']",,,['Amd Ryzen™']
nova_200,219695,,,,['140mm 600 1350rpm 4'],,,,,,
nova_201,220695,,,['capacity'],,,['USB 3.0 (backward compatible with USB 2.0)'],,['Grey'],,
nova_202,220882,['cores'],,['cpu cores'],,,,,,,
nova_203,222076,,,['ddr4'],,['3466mhz'],,"['32GB Kit (4 x 8GB)', 'DDR4', 'Vengeance RGB']",['lifetime warranty'],,
nova_204,222171,,,['capacity'],,,['USB 3.0 (backward compatible with USB 2.0)'],,['Black/Blue'],,
nova_205,222430,,,['sockets 115x'],,,,,,,
nova_206,223363,"['usb 1 x lightning male', 'connector mfi']",,,,,,,,,
nova_207,225000,,,['usb'],,,,,,,
nova_208,225081,,,['learning'],,,,,,,
nova_209,226408,,,['sealed lead acid'],,,,,,,
nova_210,230008,['1 x processor support'],,,,['ddr3 sdram'],,['maximum ram'],,,
nova_211,230345,,,['ddr4'],,,,"['DDR4 (PC4-25600)', 'XMP 2.0, Vengeance LPX Heatsink']",,,
nova_212,231195,['eeb 2 x processor support'],,['ssi'],['1 tb'],['ddr4 sdram'],,,,,
nova_213,231507,,,,,,,"['XMP 2.0, Anodized Aluminium Heatspreader', 'DDR4 (PC4-24000)']",,,
nova_214,232876,,,['size'],,,,,['Red LED'],,
nova_215,234720,,,,['120mm'],,,,['Blue'],,
nova_216,235598,,,['430w'],,,,,['year warranty'],,
nova_217,237635,['microatx atx e atx'],,"['motherboard', 'Corsair']",,,,,,"['support mini itx', '760T']",
nova_218,240301,,,,,,,,,['Non-Modular'],
nova_219,242809,"['ups network management card', 'monitoring and control', 'browser command line']",,,,,['ups via web'],,,,
nova_220,243327,['lifetime warranty'],,"['ddr4', 'Crucial']",,"['cl17', 'Unbuffered']",,"['2400mhz', '20v']",,,
nova_221,244122,,,['8'],,,['100 1000base t'],,['desktop'],,
nova_222,245410,,,['deep sea marina'],,,,,,,
nova_223,245892,['and below 2 x 3 5 3 x 2 5'],,,,,,,,,
nova_224,247425,"['radiator mount', 'pwm fans']",,['240'],,['2700 rpm'],,['73cfm max 37 7'],,['Hydro Series H105'],
nova_225,248610,['and below'],,,,,,,['Black'],['VSK2000-U3'],
nova_226,250304,['customisable'],,,,,,,['RGB (Red/Green/Blue Customisable)'],,
nova_227,252470,['customisable'],,,,,,,['RGB (Red/Green/Blue Customisable)'],,
nova_228,253254,['optical fiber'],,,,,,,,,
nova_229,254250,['year warranty'],,,,,,,,,
nova_230,254479,,,['thin'],,,,,,,
nova_231,255346,['titanium fully modular corsair link'],,['plus'],,,,,,,
nova_232,257081,['warranty'],,,,,,,,,
nova_233,258060,,,,['120mm'],,,,,,
nova_234,259436,['year warranty'],,,,,,,,['Hydro Series H100i v2'],
nova_235,260778,['and below'],,,,,,,,,
nova_236,262434,"['side panel water cooler support full', 'support no psu']",,['corsair'],,,,,['Black'],"['obsidian series 750d', 'Obsidian 750D']",
nova_237,263029,['desktop'],,,['24 x'],,['x rj 45'],,,,
nova_238,263643,"['support mini itx', 'microatx drive']",,"['motherboard', 'BitFenix']",,,,,['Black'],,['bays']
nova_239,264758,,,['angle'],,,"['aspect 1600x900', 'm2 brightness 5ms response', 'black china rohs china energ']",,['year warranty'],['1920 x 1080'],
nova_240,267626,,,,,,,"['DDR4 (PC4-24000)', 'XMP 2.0, Vengeance LPX Heatsink']",['lifetime warranty'],,
nova_241,274071,,,['1920 x 1080'],['16 9'],,,,,,
nova_242,274318,['hdmi 2x'],,,['1920 x 1080'],,,,,,
nova_243,276306,,,,,"['ddr4 sdram', 'ddr4 2400 pc4 19200 1 20 v']",,['2400 mhz'],,,
nova_244,276354,['bronze semi modular 3 year warranty'],,,,,,,,,
nova_245,276872,,,,['24 tb'],['ddr3 sdram serial ata'],,,,,
nova_246,277061,,,['sealed lead acid'],,,,,,,
nova_247,278206,['quad channel'],,,,['ddr4 4 x pcie 3 0 x16'],,,,,
nova_248,278247,"['unlocked multiplier', 'unlocked multiplier', 'unlocked multiplier', 'unlocked multiplier']",,,,"['Dual channel DDR3 800/1066/1333/1600MHz', 'Dual channel DDR3 800/1066/1333/1600MHz']",,"['4.00GHz', '4.00GHz']",,,"['8370', '8370']"
nova_249,279422,,,['ddr4'],,,,"['3000mhz', 'XMP 2.0, Anodized Aluminium Heatspreader', 'DDR4 (PC4-24000)']",['lifetime warranty'],,
nova_250,280495,['lifetime warranty'],,"['ddr4', 'Crucial']",,"['cl17', 'Unbuffered']",,"['2400mhz', '20v']",,,
nova_251,281341,,,,,,['usb parallel'],['203dpi'],,,
nova_252,281602,,,,,['ddr4'],,,,,
nova_253,281798,,,,,"['128 graphics cores', 'Dual channel DDR3 800/1066/1333/1600MHz/1866MHz']",,"['800mhz', '3.8GHz']",,,"['amd radeontm hd', 'A4-7300']"
nova_254,284206,,,,,,,,,,
nova_255,284375,,,,,,,"['Compact Flash (CF I, CF II, Ultra, Extreme, I-Pro, Ultimate, MD) Memory Stick (MS Pro, MS Pro Duo, Magic Gate, Extreme, Ultra) Secure Digital (SDXC, SDHC, SD, Ultra, Extreme, Elite Pro, High Speed, MMC, MMC Mobile) 64GByte for SDXC 32GByte for SDHC Extreme Digital (X card, Type H, Type M) M2 (Memory Stick Micro M2) microSD (microSDHC, High Capacity)']",,,
nova_256,285905,,,['amd radeontm r7'],,['Dual channel DDR3 800/1066/1333/1600MHz/1866MHz'],['384 graphics cores'],"['720mhz', '3.5GHz']",,,['A10-7770K']
nova_257,287312,"['radiator mount', 'year warranty']",,,,['1700 rpm'],,,,['Hydro Series H55'],
nova_258,289731,,,['atx'],,,,,,,
nova_259,290339,,,,,,,,,['Hyper 212 EVO'],
nova_260,291845,,,,['802 11'],,"['100', '1 x wan port 2 x usb 6']",,,,
nova_261,293174,['warranty'],,['1333mhz ram'],,,,"['XMP, XMS3 Heatsink', 'DDR3 (PC3-10600)']",['vdimm lifetime'],,
nova_262,293983,['lp bracket'],,['902mhz'],,,,,['year warranty'],,
nova_263,295227,['resistant scratch resistant aluminium'],,['dust'],,,,,,,
nova_264,295981,,,,['32gb'],,,,,,
nova_265,296762,"['and below', 'side panel water cooler support full', 'support no psu']",,['atx'],,,,,['Military Green'],['Vengeance C70'],
nova_266,298834,"['certified tempered glass', 'side panel water cooler support full', 'support no psu']",,,,,,,['Black'],"['gpu', 'Aurora']",
nova_267,299715,,['back lit'],['keys wired'],,,,,,['usb 2 0'],
nova_268,302610,,,,['32 gb'],['510 lpddr3 chrome'],,,,['1366 x 768'],['intel celeron 3855u dual core 2 core']
nova_269,305414,,,['rev'],,,,,,,
nova_270,306209,,,['rev'],,,,,,,
nova_271,307669,,,,['120mm'],,,,['White'],,
nova_272,309255,"['and below', 'side panel water cooler support full', 'support no psu']",,,,,,,['Black'],['Carbide 600C'],
nova_273,312733,,,,['28 x rj 45 4 x expansion slots 10 100 1000base t'],,,,,,
nova_274,314191,['warranty'],,['ddr4'],,,,['DDR4 (PC4-17000)'],,,
nova_275,316870,,,,,"['ddr4 sdram', 'ddr4 2400 pc4 19200 1 20 v']",,['2400 mhz'],,,
nova_276,317130,,,,,,['USB 3.0 (backward compatible with USB 2.0)'],,['Grey'],,
nova_277,319952,,,,['8 x rj 45 2 x expansion slots 10 100 1000base t'],,,,,,
nova_278,321977,['radiator mttf'],,,['120mm'],,,,,,
nova_279,323944,,,,,,,,,,
nova_280,325811,,,,,,"['2 x expansion slot', 'optical fiber 10 gigabit ethernet']",,['layer supported'],,
nova_281,326104,,,['ryzen 5'],,,,['3.40GHz'],,,['Amd Ryzen™']
nova_282,327895,,,['Crucial'],,['Unbuffered'],,,,,
nova_283,328061,,,,,['ddr3 1866 pc3 14900'],,['1866 mhz'],,,
nova_284,328644,,,['ddr4'],,,,"['3600mhz', 'cl18', 'Vengeance RGB', '16GB Kit (2 x 8GB)', 'DDR4']",['lifetime warranty'],,
nova_285,329234,,,,"['1 x', '32 tb']",['ddr3 sdram serial ata'],,,,,['intel atom d2700 dual core 2 core']
nova_286,331405,,,,,['ddr4'],,,,,['i5 i3 7th gen micro atx']
