oc_id,oc_cluster_id,oc_product_type,oc_category,oc_brand,oc_storage_capacity,oc_memory_type,oc_interface,oc_memory_speed,oc_color,oc_model,oc_processor
oc_69,16373,"['ge72mvr apache pro 064', 'nvme ssd']",,['msi'],['256gb'],['ddr4 windows'],,['7200rpm'],,,['intel core i7 7700hq nvidia gtx 1070']
oc_70,16410,['physx cuda'],['stream'],,,['gddr5'],,['8000mhz'],,,
oc_71,16524,['compact and capless design'],['metal casing'],['datatraveler'],['128gb'],,,,,,
oc_72,16916,['chassis which focuses on'],['elegant design'],['node'],,,,,,,
oc_73,17607,,['stream'],['gv'],,['gddr5'],,['7000mhz'],,,
oc_74,17814,,,['socket'],,"['support 4x', 'ddr4 dimm']",,,,,
oc_75,18564,['years warranty'],,,,,,,,,
oc_76,18891,,,['yd190xa8aewof'],,['ddr4 controller 3 year warranty'],['14nm finfet'],,,,
oc_77,19003,['lifetime warranty'],,,['1600mhz ram'],,,,,,
oc_78,19180,"['stylish capless design means there s', 'lifestyle datatraveler se9 g2 now']",,,,,,,,,
oc_79,19372,"['3 year warranty', '3 year warranty']",,,"['3tb', '3tb']",,"['sata 6gb s', 'sata 6gb s']",,,,
oc_80,19442,,,['hyperx impact'],,"['ddr4 8gb', 'ddr4 so dimm pc4 2400']",,['25v'],,,
oc_81,19608,,,['core'],,,,,,,
oc_82,19966,,['was'],['redline'],,['rl06'],,,,,
oc_83,20094,['psu needs comes the seasonic g series psu'],,['ultimate'],,,,,,,
oc_84,20692,"['small convenient', 'small convenient']",,,,,,,,,
oc_85,21223,['samsung'],,,['mzvpw128hegl 00000'],,,,,"['sm961', 'sm961']",
oc_86,21362,"['7 year guarantee and quiet', 'dbb fans']",,['fully modular 80'],,,,,,,
oc_87,21528,,,['designed'],,,,,,,
oc_88,21953,,['lifetime warranty'],['1600mhz ram'],,['vdimm'],,['65v'],,,
oc_89,22756,['workload environments'],,['hard drives offer'],,,,,,,
oc_90,23700,,,['dual'],,['ddr3 1866 support 65w tdp 3 year warranty'],,,,,
oc_91,23868,,['lifetime warranty'],['2400mhz'],,['vdimm'],,['35v'],,,
oc_92,23929,['my cloud it s'],,['with'],,,,,['safe place'],,
oc_93,24417,,['stream'],,,['gddr5'],,['5400mhz'],['years warranty'],,
oc_94,24540,['like the sg05'],,['designed'],,,['mini dtx and mini itx'],,,,
oc_95,24947,,,['antec'],,,,,,['140 2 speed'],
oc_96,25397,"['hx series hx750', 'platinum certified fully modular', 'power supply']",,['corsair'],,,,,,,
oc_97,25920,,,,,,,,,,['scratch resistant hard chrome plated zinc alloy housing is so']
oc_98,26240,['processors 1536 shader'],['stream'],,,['gddr5'],['physx cuda'],"['1084mhz', '6300mhz']",,,
oc_99,26365,,,['icy dock'],,,,,,['mb981u3s 1s'],
oc_100,26584,,['audio 2x'],,,,['sata 6gb s'],,,['sata express m 2'],
oc_101,26899,,,['11g p4'],,,['vr ready physx cuda'],,,,
oc_102,26967,['pwm fan'],,,['120mm'],,,,,,
oc_103,27164,['computer case fan'],,['built'],,,,,['computer enthusiasts'],,
oc_104,27354,"['stealth pro 4k 006uk', 'ips level 4k 3840 x 2160 i7 6700hq nvidia gtx 1060', 'stealth pro 4k 006uk', 'ips level 4k 3840 x 2160 i7 6700hq nvidia gtx 1060']",,"['msi', 'msi']",,,"['7200rpm', '7200rpm']",,,['gs73vr'],
oc_105,28356,,,['quad core technology'],,['ddr3 controller integrated hd 4600 graphics 3'],['22nm'],,,,
oc_106,28433,['lan realtek'],,,['support for x series'],,,,,,
oc_107,28466,"['processors 1280 vr ready', 'years warranty']","['stream', 'physx cuda']",['gv'],,['gddr5'],,['8316mhz'],,,
oc_108,28472,,['lifetime warranty'],['3200mhz ram'],,['vdimm'],,['35v'],,,
oc_109,28499,,,['bx80677g4560'],,['ddr4 controller integrated dx12 graphics 3'],,,,,['dual core technology']
oc_110,28524,['world charger'],,['nvidia'],,,,,,,
oc_111,29038,"['mini r2', 'case combines excellent']",,['arc'],,,,,,,
oc_112,29076,['blade deflection and noise challenges'],,,,,,,,,
oc_113,29346,,,[],,,,,,,
oc_114,29412,['usb silver'],,,,,,,,,
oc_115,29664,,,['socket compatibilty'],,,,,,['lga775'],"['intel', 'am2 am3']"
oc_116,29892,,,['quad core technology'],,"['ddr4 controller 3 year warranty', 'ddr4']",,,,,
oc_117,29906,"['affordable capable the nzxt source', 'budget concious system builders who want a', 'strong list']",,,,,,,,,
oc_118,30213,,,,,['vdimm'],['timings 1 20'],['2666mhz ram'],,,
oc_119,30600,,,['2560x1080'],,,,,,,
oc_120,30613,['135w'],,['socket'],,,,,,['2011 3 e5 2690v4'],
oc_121,30701,['fast speeds'],,['samsung'],,,['sata iii'],,,,
oc_122,30717,,,['skylake'],,,,"['usb3', '8x']",,['6th gen ddr4'],
oc_123,30868,['corsair force le series'],,['cssd'],['120gb'],,,,,"['f120gble200b', 'tlc nand read 550mb s', '55k']",
oc_124,31297,,,['pci express'],,,,,,,
oc_125,31445,,,,,"['ddr4', 'usb3 0 2x']",,['kabylake'],,,
oc_126,31559,,"['timings', 'lifetime warranty']",['2666mhz ram'],['2666mhz ram'],['vdimm'],['vdimm'],['20v'],,,
oc_127,31658,,,['best'],,,['big 200'],,,['pad with'],
oc_128,31718,"['stepping slbej', 'intel hyperthreading technology', 'warranty']",,['overclockable d0'],,['ddr3 controller'],['mb l3 cache'],,['triple channel'],,
oc_129,31939,['award winning'],,['apc'],,,,,,,
oc_130,31992,['time 1x'],,,,,,,,,
oc_131,32127,,,['corsair'],['1x4gb'],['ddr4 so dimm pc4 17000'],,,,,
oc_132,32149,['supernova power supplies are well'],,,,,,,,,
oc_133,33138,['processors 1920 sli ready'],['stream'],,['08g p4'],['gddr5'],['vr ready physx cuda'],"['8192mb', '8008mhz']",,,
oc_134,33236,,,['amd'],,,,,,,
oc_135,33840,,,['air'],,,,,,,
oc_136,33904,"['amd mantle', 'vr ready']",['stream'],['amd eyefinity'],,['gddr5'],,['6100mhz'],['amd crossfirex'],,
oc_137,34023,['backwards compatible'],,['serial'],,,['sata and sata ii'],,,,
oc_138,34136,['corsair'],,['1333mhz ram'],,,,,,,
oc_139,34183,['3 year warranty'],,,,,['sata 6gb s'],,,,
oc_140,34341,"['ati stream', 'ati avivo hd']",['stream'],,,['gddr3'],,"['780mhz', '3600mhz']",['ati crossfirex'],,
oc_141,34442,,,['skylake'],,['8x usb3 0 5x'],,,,,['kabylake ddr4 2133 3600 2x pciex16 2x pciex1']
oc_142,34588,['big upgrade'],,['get'],,,['u3 s'],,,,
oc_143,34641,,,['intel'],,['ddr3 x1 pci e x16 x2'],,,,,
oc_144,35465,,['lifetime warranty'],['2400mhz'],,,,['ram'],,,
oc_145,35654,,,['backlit'],,,,,,,['2560x1440']
oc_146,35893,['corsair'],,['1600mhz ram'],,,,,,,
oc_147,36082,"['file server a', 'stylish and quiet home theatre pc']",,['featuring hybrid'],,,,,,,
oc_148,36683,,,['socket compatibility'],,,,,,,
oc_149,36722,['fast speeds'],,['samsung'],,,['sata iii'],,,,
oc_150,36740,,['archer'],['tp link s'],,,,,,['c2'],
oc_151,37157,,,"['socket compatibility', 'socket']",,['hs 037'],,,,,
oc_152,37349,"['2560x1440', 'time 1x', '3 year on site warranty']",,,,,,['800000000'],,,
oc_153,37552,"['home s', 'electrical circuit', 'tp link s', 'starter kit turns', 'any']",['existing'],['using'],,,,,,,
oc_154,37557,"['seek time', '3 year warranty', 'seek time', '3 year warranty']",,,"['320gb', '320gb']",,,,,"['sata ii interface', 'sata ii interface']",
oc_155,37843,['fan controller'],,,['the evga'],,['extra preinstalled fans and a'],,"['Gunmetal', 'Gunmetal']",,
oc_156,37887,['1x pcie x1 4x'],,['socket'],,"['support 4x', 'ddr4 dimm 2x pcie x16']","['sata 6gb s', 'usb 3 0 2x usb']",,,,
oc_157,38064,['processors 1920 sli ready'],['stream'],['turbo'],,['gddr5'],['vr ready physx cuda'],['8192mb 8000mhz'],,,
oc_158,38077,['best for nvr embedded'],,,['3tb'],,"['sata 6gb s', 'sdvr hybrid sdvr']",,,,
oc_159,38254,,,['read'],,,,,,,
oc_160,38295,['stream processors'],,,,['gddr5'],,['7000mhz'],,,
oc_161,38561,,,,,,,,,,
oc_162,38992,,,['555'],,,,,,,
oc_163,39348,,,['skylake'],,,,"['usb3', '7x']",,['6th gen ddr4'],
oc_164,39751,,,['any'],,,"['sata can now be easily', 'esata connectivity']",,,,
oc_165,39874,['beautiful rounded shield inspired front and supports an impressive'],,['aegis'],,,,,,,
oc_166,39883,,,,,,,,,,
oc_167,40475,,['lifetime warranty'],,,['sodimm'],,['1600mhz ram'],,,
oc_168,40484,,['stream'],['gv'],,['gddr5'],,['7000mhz'],,,
oc_169,40585,,,['tp link'],,,"['gigabit rj45', 'with']",,,,
oc_170,40788,['server'],,['ideal'],,,,,,,
oc_171,40812,"['stylish', 'feature rich yet', 'affordable neos is']",,['simple'],,,,,,,
oc_172,41165,"['micro wireless', 'laptop or desktop computer']",,,,,"['usb adapter', 'wireless n network']",,,,
oc_173,41440,,,['hp omen'],,['ddr4'],,['7200rpm'],['2400mhz'],,
oc_174,41450,['tempered glass'],['glass panels'],,,,,,,,
oc_175,41462,['processors 768 vr ready physx cuda'],"['stream', 'enabled 2']",,,['gddr5'],,['7010mhz'],,,
oc_176,41568,"['microatx case', 'noise cancelling foam', 'lined front door and side panels from cooler master']",,,,,,,,,
oc_177,41903,,,['socket'],,,,,,,
oc_178,42071,,['lifetime warranty'],,['3866mhz ram'],['vdimm'],['timings 1'],,['35v'],,
oc_179,42187,,,,['support for'],,['sata ports'],,,,
oc_180,42444,,,,,,['all 8 ports supporting'],,,,
oc_181,42449,,,['following'],,,,,,,
oc_182,42663,['powerful sff chassis and silverstone s sugo'],,['sugo represents exquisiteness'],,,,,,,
oc_183,42960,['fetching features'],,,,,,,,,
oc_184,43099,['pc case features generous'],"['full', 'for']",['trailblazing design of'],,,,,"['White', 'White']",,
oc_185,43194,,,,,,,,,,['amd 760g chipset x4 ddr3 x1 pci e x16 x1 pci e x1 x2 pci x6 sata']
oc_186,43689,,,,,,['10gbase t pcie network adapter 10gbase t pcie network adapter'],,,,
oc_187,43899,['usb3 0 6x'],,['skylake'],,,,,['intel lan'],['kabylake ddr4'],
oc_188,43913,['physx cuda'],['stream'],,,['gddr5'],,['8000mhz'],,,
oc_189,43966,,,,,['12v 20cm'],,,,,
oc_190,44075,"['super strong uni body', 'super strong uni body']",['which sports a'],['fortress'],,,['which sports a'],,,,
oc_191,44281,,,['nvidia quadro'],,,,,,,
oc_192,44625,,,['p300'],,,['7200rpm'],,,,
oc_193,44800,,['lifetime warranty'],['2400mhz ram'],,['vdimm'],,['20v'],,,
oc_194,44833,['1x pcie x4 1x pcie x1 2 x pci slots'],,,,,['socket 6x'],,,['6th gen ddr4'],
oc_195,44866,,['stream'],['physx cuda'],,['gddr5'],,['7010mhz'],,,
oc_196,45185,"['feature rich yet', 'affordable neos is']",,['stylish'],,,,,,,
oc_197,45351,"['processors 1792 directx', 'amd mantle dolby truehd gcn']","['stream', 'amd crossfirex ready']","['core', 'amd eyefinity']",,['gddr5'],,"['990mhz', '5800mhz']",,,
oc_198,45630,,,['corsair'],,['ddr4 so dimm pc4 17000'],,,,,
oc_199,45843,,,,,,,,,,['amd 970 chipset x4 ddr3 x2']
oc_200,46065,['is an enterprise'],,['samsung s'],,,,,['operation'],['sm863a'],
oc_201,46250,,,['maxtor'],,,,,,,
oc_202,46253,['fusion block'],,,,,['usb 2 0 7'],,,,
oc_203,46900,,,,,['ddr3 ddr4 controller integrated iris dx12 graphics 3'],,,,,
oc_204,47086,,,['1333mhz'],,['ddr3 max 4gb or 2x ddr2 max 8gb 4x'],['sata 3gb s'],,,,
oc_205,47302,,,['hyperx impact'],,"['ddr4 so dimm pc4', 'ddr4', 'ddr4 so dimm pc4']",,"['25v', '25v']",,,
oc_206,47578,,,['corsair'],,,,,,,
oc_207,48380,['desk space'],,,,,,,,,
oc_208,48418,['easily fit'],,['pc'],,,,,,,
oc_209,48871,"['gpu water block', 'warranty']",,,,,,,,,
oc_210,48996,['gigabyte msi and asrock'],,['airflow'],,,,['1100 rpm'],['year warranty'],['pwm 120mm 48 8 cfm'],
oc_211,49027,['5 year warranty'],,,['6tb'],,['sata 6gb s'],,,,
oc_212,49054,['85w'],,['socket'],,,,,,,
oc_213,49070,,,,['2 port'],,['esata controller card'],,,,
oc_214,49455,['1920x1080'],,,,,,['5000000'],,,
oc_215,49666,,,['tp link'],,,['24 gigabit rj 45 ports 4'],,,,
oc_216,49676,"['turbo', '105w']",,['socket'],,,,,,['2011 3 e5'],
oc_217,49836,,,['hyperx impact'],['8gb'],"['ddr3 so dimm pc3', 'ddr3 so dimm pc3']",,"['25v', '25v']",,,
oc_218,50674,"['clean functional', 'chassis with']",,['aerocool'],,,,,,,
oc_219,50796,['warranty'],,['portable'],,,,,,['usb 3'],
oc_220,50817,['notebook cooler from silverstone'],,['silver'],,,,,,,
oc_221,50890,['headphone amplifier premium tcxo'],,,,,,['7'],,['essence'],
oc_222,50926,,,"['quad core technology', 'quad core technology']",['22nm'],"['ddr3 controller integrated hd 4600 graphics 3', 'ddr3 controller integrated hd 4600 graphics 3', 'ddr3 controller integrated hd 4600 graphics 3']",['22nm'],,,,
oc_223,51043,['processors 1920 sli ready'],['stream'],['geforce'],,['gddr5'],['vr ready physx cuda'],"['8192mb', '8008mhz']",,,
oc_224,51278,['1x usb typec'],,,,['ddr4'],,['kabylake'],,,['8x usb3']
oc_225,51482,,,,,,,['902mhz'],,,
oc_226,51643,['years warranty'],,,,,,,,,
oc_227,51734,['warranty'],,['portable'],,,,,['deep black'],['usb 3'],
oc_228,51740,['green'],,['bitfenix'],,,,,,['extension 60cm'],
oc_229,51747,,,['led backlit'],,,,['2000000'],,['1920x1080'],
oc_230,52063,,,['msi'],['128gb'],['ddr4 windows'],['fhd 1920x1080 i7'],['7200rpm'],['gddr5'],['ge72'],
oc_231,52115,['remote management'],['for'],['150mbps'],,,,,,,
oc_232,52440,,,"['hgst travelstar', 'hgst travelstar']","['1tb', '1tb']",,"['2 5', '5400rpm', '2 5', '5400rpm']",,,,
oc_233,52464,,,['datatraveler'],,,"['standard usb and', 'usb type c']",,,,
oc_234,52573,"['savage solid state drive', 'offers']",,['hyperx'],,,,,,,['quad core']
oc_235,52693,['processors 768 vr ready physx cuda'],"['stream', 'enabled 3']",['gtx'],,"['1050', 'gddr5']",,['7008mhz'],,,
oc_236,52851,['some of noctua s'],['quality quiet'],['redux product line reissues'],,,,,,,
oc_237,52893,,,,,,,"['1920x1080', '10000000']",,,
oc_238,53037,"['white', 'black']",,['bitfenix alchemy internal usb extension 30cm sleeved'],,,,,,,
oc_239,53165,,,['graphite'],,,,,,,
oc_240,53266,['from phanteks'],,,,,,,,,
oc_241,53412,['series made by'],,['multiframe s'],,,,,,,
oc_242,53564,,,,,,['usb connector'],,['protection'],,
oc_243,53935,"['personal data', 'datatraveler locker']",,['put'],,,,,['secures receipts'],,
oc_244,53983,,,,,,,,,,
oc_245,54134,['put otionally a 5 25 blu ray'],['lghting'],['you can'],,,,,,,
oc_246,54228,,,['tl'],,,,,,,
oc_247,54397,,['ncq streaming'],['serial'],,,['audio and video'],,,,
oc_248,54431,['supernova'],,['introducing'],,,,,,,
oc_249,54488,,,['nvidia'],,,,,,,
oc_250,54615,['years warranty'],,['gv'],,,['8gd core clock'],['10211mhz'],,,
oc_251,54775,,,['bitfenix alchemy'],,,['pci e'],,['45cm'],,
oc_252,54827,['physx cuda'],['stream'],['gv'],,['gddr5'],,['8192mb 8000mhz'],,,
oc_253,54922,,,['asrock'],,,,,,,
oc_254,55385,['physx cuda'],['stream'],,,['gddr5'],,['8000mhz'],['enabled 5'],,
oc_255,55659,['noise level'],,['mini kaze'],,,,,,,
oc_256,55764,['small files'],,,,,,,,,
oc_257,55897,"['datatraveler se9 usb', 'stylish and durable metal']",,,,,,,['everywhere'],,
oc_258,56456,,['lifetime warranty'],,['3200mhz ram'],['vdimm'],,['35v'],,,
oc_259,56511,"['3 year warranty', '5 year warranty']",,,"['1tb', '1tb']",,,['7200rpm'],,['sata 6gb s'],
oc_260,56726,['intel 750 series'],,,['800gb'],['s read 800'],,,,,['intel 20']
oc_261,56992,,,,['3 2ghz'],,,,,,
oc_262,57202,,,['socket'],,['turbo'],,,,['2011 3'],
oc_263,57290,['quad core with eight'],,,,['ddr4 controller 3 year warranty'],,,,,['threads']
oc_264,57320,"['cf2', 'pcie ssd']",,['sabrepro15'],['128gb'],['ddr4'],['7200rpm'],,['2400mhz'],,
oc_265,58486,['stream processors 640'],,['gtx'],,['gddr5'],,['7010mhz'],['enabled 3'],,
oc_266,58622,"['item can also', 'monarch module']",,['this'],,['ddr sdram'],,,,,['brand of computer']
oc_267,58790,"['processors 1536 shader', 'sli ready']","['stream', 'physx cuda']",['core'],,['gddr5'],,"['1006mhz', '6008mhz']",,['2012mhz'],
oc_268,59212,,,['led backlit'],,,,['10000000'],,['1920x1080'],
oc_269,59429,"['5 year warranty', '5 year warranty']",,,,,"['sata 6gb s', 'sata 6gb s']",,,,
oc_270,59500,"['from noctua blue', 'to extend cable routes']",,,,,,,,,
oc_271,59943,,,,['14nm'],,,,,,['intel celeron dual core']
oc_272,59970,,,['skylake'],,,,,,,
oc_273,60023,,,,,,,,,,
oc_274,60192,,,['sugo'],,,['mini dtx and mini itx'],,,,['was']
oc_275,60375,['amd mantle dolby truehd gcn'],['stream'],,,['gddr5'],,,['amd crossfirex ready'],,
oc_276,60627,['fastest combined data'],,,,,,,,,
oc_277,60751,['home network'],,,,,,,,,
oc_278,60788,['reader'],,['lian'],,,,,,,
oc_279,60818,['esata x2'],,['intel'],,['ddr3 x4 pci e x16 x1 pci e x4 x1 pci e x1 x4 sata 6'],,,,,
oc_280,61230,['year warranty'],,['2x'],,['1500rpm max 61'],,,,,
oc_281,61425,"['hard drives offer', 'workload environments']",,,,,,,,,
oc_282,61477,['optical drives'],,['slot'],,,,,,,
oc_283,61480,['1x pcie x16 2x pcie x1 4x'],,['socket'],,"['support 4x', 'ddr4 dimm']","['sata 6gb s', 'usb 3 0 6x']",,,,
oc_284,62088,,,,,,,,,,['dual core technology']
oc_285,62683,['offers unrivalled'],['orange'],['be quiet'],,,,,,['dark base pro 900'],
oc_286,62699,"['silent fans', 'cooling configuration']",,,,,,,,,
oc_287,62888,['red drives'],,,,,,,,,
oc_288,63795,"['and mini itx systems alpenf', 'and mini itx systems alpenf']",,['epic'],,,,,,,
oc_289,64089,['looks like serious business while'],,['sleek'],,,,,,,
oc_290,64418,,,['stylish'],,,,,,,
oc_291,64570,['time 1x'],,['led backlit'],,,,,['year warranty'],['2560x1440'],
oc_292,64641,,,,['2133mhz ram'],['speed cl14'],['timings 1 2v'],,['vdimm lifetime'],,
oc_293,65058,,['stream'],['core'],,['gddr5'],['physx cuda'],['7010mhz'],,,
oc_294,65463,"['7 enterprise hard drive', 'offers', 'product design']",['industry'],['cheetah'],,,,['000rpm'],,['10k'],
oc_295,65645,,,['skylake'],,,,,,['kabylake ddr4 2x pcie x16'],
oc_296,65668,,,['tl'],,,,,,,
oc_297,65777,,,['following'],,,,,,,
oc_298,66064,"['samsung', 'iops 3yr']",,['mz'],,,,,,['960 evo m 2'],
oc_299,66107,,"['lifetime warranty', 'lifetime warranty']",['2666mhz ram'],['2666mhz ram'],"['vdimm', 'vdimm']","['cas 13', 'cas 13']","['35v', '35v']",,,
oc_300,66196,,,"['elite', 'elite']",,,,,,,
oc_301,66722,['pc case'],,['when'],,,,,,,
oc_302,66727,['platform ryzen threadripper'],,['tailored custom'],,,['secufirm2 for tr4 sp3'],,['4u compliant'],['tr4 sp3'],
oc_303,66832,"['shine iii works', 'fetching features']",,['the'],,,,,,,['shine ii']
oc_304,66894,,,,,['ddr4'],"['sata 6gb s', 'sata pcie gigabit lan hd audio 6x', 'usb3 0 6x']",['kabylake'],,,
oc_305,67161,['years warranty'],,['gv'],,,,['8192mb 10010mhz'],,,
oc_306,67790,,,,,,['usb 2 0'],,['lan 7'],,
oc_307,68126,['fan controller'],['blackout'],['carbide series 330r'],,,['three'],,,,
oc_308,68516,,,,,,,"['usb3', '8x']",,,
oc_309,68590,,,,,,,['35v'],,,
oc_310,68712,"['stylish', 'feature rich yet', 'affordable neos is']",,['simple'],,,,,,,
oc_311,68783,['v7 cf1'],,['aorus'],,,,['7200rpm'],,,['nvidia gtx 1070']
oc_312,69383,['processors 1920 sli ready'],['stream'],,,['gddr5'],['vr ready physx cuda'],['8008mhz'],,,
oc_313,69828,,['lifetime warranty'],,,['vdimm'],['cas 13'],"['2666mhz ram', '35v']",,,
oc_314,69938,,,,['2666mhz ram'],['vdimm'],,,,,
oc_315,69941,['year warranty'],,,,"['ddr3 ddr4 controller integrated iris dx12 graphics', 'ddr4']",,,,,['binned']
oc_316,69949,['1x pcie x16'],,['skylake'],,,['usb 3 0'],,,['6th gen ddr4'],
oc_317,70172,['processors 2816 sli ready'],['stream'],['core'],,['gddr5'],['vr ready physx cuda'],['7096mhz'],,,
oc_318,70207,,['lifetime warranty'],['f4'],,['vdimm'],['timings'],"['3600mhz ram', '35v']",,,
oc_319,70222,['1x pcie x1 4x'],,['socket'],,['ddr4 dimm'],"['sata 6gb s', 'usb 2 0']",,,,
oc_320,70455,"['write', 'iops']",,,,,,,,,
oc_321,70466,['noise level'],,['socket'],,,,,,,['amd athlon 754 939']
oc_322,70684,,,,,"['speed', 'vdimm']",,['25v'],,,
