scan_id,scan_cluster_id,scan_product_type,scan_category,scan_brand,scan_storage_capacity,scan_memory_type,scan_interface,scan_memory_speed,scan_color,scan_model,scan_processor
scan_182,54615,,,,,,,['1898 mhz'],['gddr5x vr'],['2560 core'],['geforce gtx 1080 xtreme waterforce']
scan_183,55349,,,['corsair'],,,,,,,
scan_184,55385,,,['zotac'],,,,['1607mhz'],,,['geforce gtx 1070']
scan_185,55764,['corsair'],,,['128gb'],,,,,,
scan_186,56108,['corsair'],,,['8gb'],,,"['Vengeance Low Profile Cerulean Blue', 'PC3-12800 (1600)', 'Non-ECC', 'DDR3', 'UDIMM (Unbuffered)']",['Heat Spreader'],,
scan_187,56456,"['corsair', 'lpx red pc4 25600 3200 non']",,,['8gb'],,,"['DDR4', 'Vengeance LPX Red', 'Non-ECC', 'UDIMM (Unbuffered)', 'PC4-25600 (3200)']",['Anodised Aluminium Heatspreader'],,
scan_188,56616,,,['asus'],,,,,,,['geforce gtx 1060 turbo']
scan_189,56666,,,,['4tb'],,,,,,
scan_190,56726,['intel 750 series'],,,['800gb'],,['0 x4 nvme 20nm'],,,['420k 210k'],
scan_191,56992,,,['intel'],,,,,,,['core i7 6900k s']
scan_192,57092,,"['iiyama', 'b1']",,['19 5'],,,,,['b2083hsd'],
scan_193,57276,['kingston datatraveler workspace pendrive usb 3 0'],,,['64gb'],,,,,,
scan_194,57290,,,['amd ryzen 5'],,,['stealth cooler'],,,,
scan_195,57320,['sabre pro'],,['15'],,['i7'],,,,,
scan_196,58486,,,['msi'],,,,,,,
scan_197,58515,,,,"['16gb', '2x8gb']",,,"['Non-ECC', 'Vengeance LED', 'DDR4', 'PC4-25600 (3200)', 'UDIMM (Unbuffered)']",['Anodised Aluminium Heatspreader'],,
scan_198,58818,['rog maximus viii gene'],,['asus'],,,,,,,
scan_199,59044,['series a6'],,['amd'],,,,['1029mhz'],,,['dual core']
scan_200,59429,,,,['8tb'],,,,,,
scan_201,59917,['o psu'],,['corsair'],,,,,,['carbide series'],
scan_202,59970,"['z170 deluxe', 'motherboard']",['atx'],,,['ddr4'],,,,,
scan_203,61230,"['nzxt aer rgb premium fan', 'x2 hue winglet tips pwm']",,,['120mm'],,,,,,
scan_204,61242,"['geforce', '954mhz cores']",,,['1gb'],['gddr5 gpu'],,['5012mhz'],,,
scan_205,61480,['microatx'],,['msi'],,,,,,,
scan_206,61800,"['geforce', '954mhz cores']",,,['2gb'],['ddr3 gpu'],,,,,
scan_207,62049,['sdhc card'],,,['16gb'],,,,,,
scan_208,63267,"['attach', 'write', 'compact and lightweight']",,,['8gb'],,,,,,
scan_209,63531,,,,"['16gb', '2x8gb']",,,"['DDR3', 'XMS3', 'Non-ECC', 'UDIMM (Unbuffered)', 'PC3-12800 (1600)']",['Heat Spreader'],,
scan_210,63947,['psu'],,['corsair'],,,['8a 12v'],,,,
scan_211,64089,['tower computer chassis'],,['corsair'],,,['usb 3 0 cable management sound damping'],,,['carbide series 100r silent edition mid'],
scan_212,65099,,,,['4gb'],"['select ddr2', 'pc2']",,"['Value Select', 'PC2-6400 (800)', 'UDIMM (Unbuffered)', 'Non-ECC', 'DDR2']",['\xa0'],,
scan_213,65102,,,['tp link'],,,['10/100 LAN'],,,['tl ps310u'],
scan_214,65623,['corsair'],,,['8gb'],['ddr3 so dimm pc3 8500'],,"['Apple/MacPro', 'Non-ECC', 'DDR3 SO-DIMM', 'UDIMM (Unbuffered)', 'PC3-8500 (1066)']",['\xa0'],,
scan_215,65999,"['dual band wireless', 'usb']",,['asus'],,,,,,,
scan_216,66196,['mini itx cube case'],,['cooler master'],,,['support 343'],,,['elite 130'],
scan_217,66894,['prime h270 pro'],,['asus'],,['ddr4'],['usb c'],['1151'],['3amp atx'],,
scan_218,68793,,,['fractal design define xl'],,,,,,,
scan_219,69383,['boost'],,['gigabyte'],,,,"['1594 mhz', '1784 mhz']",,,['geforce gtx 1070 g1 gaming']
scan_220,69927,['print server with'],,['tp link'],,,['usb 2 0 port'],,,,
scan_221,69941,,,,,['1150mhz gpu'],,,,,['intel core i7 6700k s 1151 skylake quad core']
scan_222,70222,,,['asrock'],,,,,,,
scan_223,70253,,,['msi geforce'],,,,,,,['384 core']
scan_224,71018,"['intel 540s', 'iops ret']",,,['480gb'],,,['78k'],,,
scan_225,71516,['boost'],,['gigabyte'],,,,['1898 mhz'],,,['geforce gtx 1080 xtreme gaming premium']
scan_226,71735,['hynix'],,,['120gb'],,,,,['tlc read 560mb s'],
scan_227,72518,['fan quiet'],,,['120mm'],,,,,,
scan_228,72621,,,,['1tb'],,['wd10jplx'],['7200rpm'],,,
scan_229,72881,,,"['tp link', 'archer']",,['ieee 802'],,,,['d9'],
scan_230,72925,"['ncq', 'ncq']",,,"['3tb', '3tb']",,,,,['5400rpm'],
scan_231,73226,['7200rpm'],,,['500gb'],,,,,,
scan_232,73367,,,['intel xeon'],,,,,,,
scan_233,74664,,,['gigabyte'],,,,['gpu'],,,"['geforce gtx 1060', '1152 core 1594mhz']"
scan_234,74735,['compact design hard alloy housing'],,,['64gb'],,,,,,
scan_235,75271,['intel h110 s'],,['asus'],,['ddr3'],['sata iii'],,,['h110m plus'],
scan_236,75367,"['kingston ssdnow', 'iops']",['15000'],,['120gb'],,"['2 5 slim', 'sata iii']",,,['90000'],
scan_237,75561,['d7'],,,,,,,,,
scan_238,75787,['lpx red pc4 25600 3200 non'],,,"['16gb', '4x4gb']",,,,,,
scan_239,76790,['black'],,['nzxt'],,,,,,,
scan_240,77050,,,['thermaltake'],,,['window led'],,,,['light']
scan_241,77175,,,['synology'],,,,,,,
scan_242,77272,['thermaltake riing'],,,['120mm'],,['high'],['1500 rpm'],,,
scan_243,77876,['sli krait'],,['msi'],,['ddr3 pcie 2 0 x16'],['3'],,,,
scan_244,78097,,,['cooler master silencio'],,,,,,['550'],
scan_245,79145,"['intel dc', 'iops']",,,['2tb'],,['0 x4 nvme 20nm'],,,['430k read 28k write'],
scan_246,79433,['corsair'],,,['8gb'],,,"['5v', 'DDR3', 'UDIMM (Unbuffered)', 'Non-ECC', 'Vengeance Low Profile Cerulean Blue', 'PC3-12800 (1600)']",['Heat Spreader'],,
scan_247,79457,,,,['64gb'],['black pc4 21300 2666'],,"['UDIMM (Unbuffered)', 'PC4-21300 (2666)', 'DDR4', 'Non-ECC', 'Vengeance LPX Black']",['Anodised Aluminium Heatspreader'],,
scan_248,79613,['microatx miniitx mid tower computer chassis'],,['thermaltake'],,,,,,['suppressor f31'],
scan_249,80275,['samsung evo microsdhc memory card'],,,['32gb'],,['uhs i'],,,,
scan_250,80361,,,,['6tb'],,"['seagate', 'enterprise 24x7', 'sata iii']",,,['7200rpm'],
scan_251,80447,"['intel dc p3700 aic hhhl pcie 3 0 x4', 'iops']",,,['800gb'],,['nvme 20nm'],,,"['1900mb s', '460k read 90k write']",
scan_252,81016,,,,,,['usb 3 0'],,,,
scan_253,81517,,['backup'],,['4tb'],['stdr4000900'],,,,,['plus portable external']
scan_254,81693,['kingston datatraveler se9 g2'],,,['32gb'],,,,,,
scan_255,81789,,,['tp link'],,,['range'],,,['tl wa850re'],
scan_256,81967,['prime'],,,,,,,,,['intel b250 s 1151']
scan_257,82094,['sdhc memory card'],,,['64gb'],,,,,,
scan_258,82284,,,,"['16gb', '2x8gb']",,,"['Vengeance Pro Series Red', 'Non-ECC', 'DDR3', 'UDIMM (Unbuffered)', 'PC3-12800 (1600)']",['Heat Sink Heat Spreader'],,
scan_259,82431,,,['antec'],,,,,,,
scan_260,82722,"['samsung 850 evo', 'mgx 3d', '98k iops']",,,['500gb'],,,,,,
scan_261,82827,,,['zotac'],,,,,,,['geforce gtx 1070 amp extreme']
scan_262,83201,,,,"['16gb', '4x4gb']",,,,,,
scan_263,83931,,,['intel'],,,,,,,
scan_264,84721,,,['corsair'],,,,,,,['intel amd am4']
scan_265,85327,,,['silverstone'],,,,,,,
scan_266,86527,['matx mini itx computer chassis'],,,,,['usb 3 0'],,,,
scan_267,86547,['mini pc kit'],,"['gigabyte', 'bxbt']",,,"['bt 2 5', 'sata ii']",,['vesa'],['1900 barebone'],['intel celeron quad core']
scan_268,87102,,,['fractal design celsius'],,,,,,,['intel amd cpu s']
scan_269,87227,,,['cooler master'],,,,,,,
scan_270,89880,['solutions tranquillo rev'],,,,,,,,,
scan_271,90509,['hard drive'],,,['6tb'],,"['seagate', 'sata iii']",,,['7200rpm'],
scan_272,90522,['tp link'],,['8 port'],,,['1000 gigabit'],,,,
scan_273,90718,,,,['8gb'],,,"['UDIMM (Unbuffered)', 'PC3-8500 (1066)', 'DDR3 SO-DIMM', 'Non-ECC']",['\xa0'],,
scan_274,90794,"['intel dc s4600 series 2', 'ahci 3d']",,,['9tb'],['s read 480'],,,,,
scan_275,90831,['hard alloy housing'],,,['32gb'],,,,,,
scan_276,90979,['icy dock'],,,,,"['1 x USB 3.0', 'SATA III - 6Gb/s']",,['Silver/ White'],,
scan_277,91095,,,,,['ddr so dimm pc3200 400 200'],,"['UDIMM (Unbuffered)', 'Non-ECC', 'DDR SO-DIMM', 'Value Select', 'PC3200 (400)']",['\xa0'],,
scan_278,91245,['hyper kit u'],,['asus'],,,['sff8639 for'],,,,
scan_279,91323,['synology'],,['12 bay'],,,,['up'],,,['intel xeon d 1531']
scan_280,91590,"['micro atx', 'mini itx']",,,,,,,,,
scan_281,91750,,,,"['4gb', '1x4gb']",,,"['DDR4', 'UDIMM (Unbuffered)', 'Vengeance LPX Black', 'Non-ECC', 'PC4-19200 (2400)']",['Heat Spreader'],,
scan_282,92366,,,,['32gb'],['black pc4 25600 3200 non'],,"['Vengeance LPX Black', 'PC4-25600 (3200)', 'DDR4', 'UDIMM (Unbuffered)', 'Non-ECC']",['Anodised Aluminium Heatspreader'],,
scan_283,92457,"['kingston microsdxc memory card', 'write adapter included']",,,['64gb'],,"['uhs i', 'mb s']",,,,
scan_284,92731,['o psu'],,,,,,,,,
scan_285,94726,,,['amd'],,,,,,,
scan_286,95027,,,,,,,,,['sata sas pcie'],
scan_287,95299,,,['48'],,,"['switch 10 100', '2x sfp 2x sfp']",,,,
scan_288,95342,['sst ecm20'],,['silverstone'],,,,,,,
scan_289,95960,['nvidia quadro k1200 512'],,,['4gb'],,['mini dp'],,,,
scan_290,96001,"['case 2xusb3', 'o psu']",,,,,,,,,
scan_291,96062,['cooler master'],['quiet case'],,['120mm'],,,,,,
scan_292,96232,['ga'],,['gigabyte'],,,['sata iii'],,,,
scan_293,96578,"['msi geforce', '954mhz']",['gpu'],,['2gb'],['ddr3'],,['1800mhz'],,,
scan_294,97660,"['microatx computer chassis w tempered glass', 'fans']",['black'],['nzxt'],,,,,,,
scan_295,98149,['kingston microsdhc'],,,['32gb'],,['uhs i card'],,['45mb'],,
scan_296,98188,['tp link'],['steel case'],,['8 port'],,,,,['tl'],
scan_297,98374,,,['asrock'],,['ddr4'],,['1151'],,,
scan_298,99440,"['cooler master', 'pressure 5 blade pwm static pressure fan']",,,['120mm'],,,,,,
scan_299,99895,['nvidia quadro k620 384 cores'],['pny'],,['2gb'],,['teflops pcie 2 0 x16 dp dvi'],,,,
scan_300,100492,['microatx mini itx'],,['thermaltake'],,,['window 2x'],,,['core x5'],
scan_301,101004,['corsair ml series ml120'],,,['120mm'],,,,['black'],,
scan_302,101034,['samsung'],,,['500gb'],,"['upto 450mb s', 'usb 3']",,,['t3'],
scan_303,101282,['psu'],,['corsair'],['120mm'],,,,,,
scan_304,101374,"['lexar', 'write']",,,['16gb'],,"['uhs ii', 'u3 upto']",,,,
scan_305,101841,['lan encryption'],['ac passthrough'],['tp link'],,,,,,['tl wa860re'],
scan_306,102183,['cpu cooler'],['leds'],['cooler master'],,,,,,['hyper 212'],
scan_307,102714,['corsair'],,,['2gb'],['ddr3 xms3 pc3 10666'],,"['DDR3', 'UDIMM (Unbuffered)', 'XMS3', 'Non-ECC', 'PC3-10666 (1333)']",['Heat Spreader'],,
scan_308,102924,,,,,,,,,,"['amd a6', 'richland 4ghz dual core amd radeon hd', '8470d 65w cpu retail']"
