cdi_id,cdi_cluster_id,cdi_style,cdi_product_type,cdi_material,cdi_color,cdi_finish,cdi_height,cdi_capacity,cdi_base,cdi_shape,cdi_category,cdi_brand,cdi_blocking_key
cdi_14,20000,"'compartment with right hand', 'back', 'deep with'",'legs with welded front to rear adjustable',"'14', 'stainless steel overall'",'regaline sink 2','nsf',"'229.00 Pound(s)', '11""'",'11 h','legs with boxed crossrails',,,,"'compartment with right hand', 'back', 'deep with'_'legs with welded front to rear adjustable'_'14', 'stainless steel overall'_'regaline sink 2'_'nsf'_'229.00 Pound(s)', '11""'_'11 h'_'legs with boxed crossrails'___"
cdi_15,20281,"'restaurant', 'oven', 'flue riser with shelf stainless steel', 'front'","'standard grates', 'shelf 6 adjustable'",'battery','ultimate','nsf','735.00 Pound(s)',,"'(1) standard oven, (1) cabinet'",,,,"'restaurant', 'oven', 'flue riser with shelf stainless steel', 'front'_'standard grates', 'shelf 6 adjustable'_'battery'_'ultimate'_'nsf'_'735.00 Pound(s)'__'(1) standard oven, (1) cabinet'___"
cdi_16,20779,'restaurant',"'standard grates', 'shelf'",,'ultimate','nsf','1075.00 Pound(s)','2 cabinets','(2) cabinets',,,,"'restaurant'_'standard grates', 'shelf'__'ultimate'_'nsf'_'1075.00 Pound(s)'_'2 cabinets'_'(2) cabinets'___"
cdi_17,24625,'restaurant','wavy grates',,'ultimate','nsf','735.00 Pound(s)',,'(2) standard / space saver ovens','oven',,,'restaurant'_'wavy grates'__'ultimate'_'nsf'_'735.00 Pound(s)'__'(2) standard / space saver ovens'_'oven'__
cdi_18,25790,'drawers','drawers full','stainless steel',,'width pull','835.00 Pound(s)',,,,,,'drawers'_'drawers full'_'stainless steel'__'width pull'_'835.00 Pound(s)'_____
cdi_19,26107,"'back right 2 star saut burners', 'oven'",'shelf 6 adjustable',"'left standing pilot 1', 'battery'",,"'stainless steel', 'nsf'",'735.00 Pound(s)',,"'flue riser with shelf', '(1) convection oven, (1) cabinet'",'restaurant','front',,"'back right 2 star saut burners', 'oven'_'shelf 6 adjustable'_'left standing pilot 1', 'battery'__'stainless steel', 'nsf'_'735.00 Pound(s)'__'flue riser with shelf', '(1) convection oven, (1) cabinet'_'restaurant'_'front'_"
cdi_20,26299,'per','standard grates',"'battery', 'oven'",,'nsf','1075.00 Pound(s)',,"'standard ovens', '(2) standard ovens'",'restaurant',,,"'per'_'standard grates'_'battery', 'oven'__'nsf'_'1075.00 Pound(s)'__'standard ovens', '(2) standard ovens'_'restaurant'__"
cdi_21,27966,'restaurant',"'standard grates', 'shelf 6'","'battery', 'stainless steel'","'ultimate', 'per oven'",'nsf','1075.00 Pound(s)','48 griddle',"'convection ovens', '(2) convection ovens'",,,,"'restaurant'_'standard grates', 'shelf 6'_'battery', 'stainless steel'_'ultimate', 'per oven'_'nsf'_'1075.00 Pound(s)'_'48 griddle'_'convection ovens', '(2) convection ovens'___"
cdi_22,28483,"'restaurant', 'oven', 'flue riser with shelf stainless steel', 'front'","'wavy grates', 'shelf 6 adjustable'",'battery','ultimate','nsf','660.00 Pound(s)',,'(1) standard oven',,,,"'restaurant', 'oven', 'flue riser with shelf stainless steel', 'front'_'wavy grates', 'shelf 6 adjustable'_'battery'_'ultimate'_'nsf'_'660.00 Pound(s)'__'(1) standard oven'___"
cdi_23,30029,'insulated heat shield',"'braid coated with orange', 'sleeve heat shield limited'",'stainless steel',,,'4.13 Pound(s)',,,,,,"'insulated heat shield'_'braid coated with orange', 'sleeve heat shield limited'_'stainless steel'___'4.13 Pound(s)'_____"
cdi_24,30189,,'heavy duty',,,'nsf','660.00 Pound(s)',,'(1) cabinet',,,,_'heavy duty'___'nsf'_'660.00 Pound(s)'__'(1) cabinet'___
cdi_25,30673,"'rear doors', 'shelves shielded top'",'floor air flow grille rear','stainless steel','cetlus etl sanitation',,'777.00 Pound(s)',"'36 f', '42 f', '60 1', '2'",,'lamp','fluorescent light',,"'rear doors', 'shelves shielded top'_'floor air flow grille rear'_'stainless steel'_'cetlus etl sanitation'__'777.00 Pound(s)'_'36 f', '42 f', '60 1', '2'__'lamp'_'fluorescent light'_"
cdi_26,32683,"'with wavy grates', 'oven'","'burners', 'shelf 6 adjustable'",'battery',,"'stainless steel', 'nsf'",'735.00 Pound(s)',,"'flue riser with shelf', '(1) convection oven, (1) cabinet'",'restaurant',,,"'with wavy grates', 'oven'_'burners', 'shelf 6 adjustable'_'battery'__'stainless steel', 'nsf'_'735.00 Pound(s)'__'flue riser with shelf', '(1) convection oven, (1) cabinet'_'restaurant'__"
cdi_27,32780,"'standard ovens snap action', 'thermostat'","'open burners', 'removable shelf'","'oven', 'stainless steel'",,'nsf','860.00 Pound(s)',,"'left manual', '(2) standard / space saver ovens'",'valve panel includes',,'s series restaurant',"'standard ovens snap action', 'thermostat'_'open burners', 'removable shelf'_'oven', 'stainless steel'__'nsf'_'860.00 Pound(s)'__'left manual', '(2) standard / space saver ovens'_'valve panel includes'__'s series restaurant'"
cdi_28,34701,,,,,,,'30 l',,,,,______'30 l'____
cdi_29,35029,'fda',,"'band belts', 'pan', 'stationary'",,,'980.00 Pound(s)',,'dia',,'conveyor dual',,"'fda'__'band belts', 'pan', 'stationary'___'980.00 Pound(s)'__'dia'__'conveyor dual'_"
cdi_30,40082,,,'stainless steel',"'heavy duty adjustable cast iron grates', 'valve per burner manual'",,'391.00 Pound(s)',"'21 3', '16 d'",,,'nsf',,"__'stainless steel'_'heavy duty adjustable cast iron grates', 'valve per burner manual'__'391.00 Pound(s)'_'21 3', '16 d'___'nsf'_"
cdi_31,40590,"'cuisine series heavy duty', 'open burners'",'plate thermostatic control','left','stainless steel',,'392.00 Pound(s)',,'countertop',,,,"'cuisine series heavy duty', 'open burners'_'plate thermostatic control'_'left'_'stainless steel'__'392.00 Pound(s)'__'countertop'___"
cdi_32,43910,"'pan opening', 'refrigeration system', 'cetlus', 'drawers'","'deluxe sandwich salad unit', 'top', 'drawers with'","'stainless steel', 'stainless steel'",'self contained rear mounted','two','255.00 Pound(s)','10 - 12 pan',,,,,"'pan opening', 'refrigeration system', 'cetlus', 'drawers'_'deluxe sandwich salad unit', 'top', 'drawers with'_'stainless steel', 'stainless steel'_'self contained rear mounted'_'two'_'255.00 Pound(s)'_'10 - 12 pan'____"
cdi_33,45695,'resistant refrigerant gel insulated dishwasher safe',,,,"'abs plastic white', 'nsf'",,,,,,,"'resistant refrigerant gel insulated dishwasher safe'____'abs plastic white', 'nsf'______"
cdi_34,46704,"'restaurant', 'oven', 'flue riser with shelf stainless steel', 'front'","'burners rear', 'shelf 6 adjustable'","'saut burners', 'battery'",'ultimate','nsf','1075.00 Pound(s)',,"'(1) standard oven, (1) cabinet'",,,,"'restaurant', 'oven', 'flue riser with shelf stainless steel', 'front'_'burners rear', 'shelf 6 adjustable'_'saut burners', 'battery'_'ultimate'_'nsf'_'1075.00 Pound(s)'__'(1) standard oven, (1) cabinet'___"
cdi_35,46929,"'compartment with left hand drainboard', 'deep with'",'legs with welded front to rear adjustable','stainless steel overall',,'nsf',"'20 front', '214.00 Pound(s)', '11""'",'77 l','legs with boxed crossrails',,,,"'compartment with left hand drainboard', 'deep with'_'legs with welded front to rear adjustable'_'stainless steel overall'__'nsf'_'20 front', '214.00 Pound(s)', '11""'_'77 l'_'legs with boxed crossrails'___"
cdi_36,46984,'deep pans vacuum cooking',"'n hold boilerless', 'convection steamer includes', 'electric', 'mechanical timer', 'energy star'",,,,'238.00 Pound(s)',,,,,,"'deep pans vacuum cooking'_'n hold boilerless', 'convection steamer includes', 'electric', 'mechanical timer', 'energy star'____'238.00 Pound(s)'_____"
cdi_37,47582,"'rear', 'oven', 'flue riser with shelf stainless steel', 'front'","'standard grates', 'shelf 6 adjustable'",'battery',,'nsf','735.00 Pound(s)',,"'(1) standard oven, (1) cabinet'",'restaurant',,,"'rear', 'oven', 'flue riser with shelf stainless steel', 'front'_'standard grates', 'shelf 6 adjustable'_'battery'__'nsf'_'735.00 Pound(s)'__'(1) standard oven, (1) cabinet'_'restaurant'__"
cdi_38,47941,"'compartment with right hand', 'back', 'deep with'",'open frame',,,'nsf',"'194.00 Pound(s)', '8""'",'18 gauge','legs with boxed crossrails',,,,"'compartment with right hand', 'back', 'deep with'_'open frame'___'nsf'_'194.00 Pound(s)', '8""'_'18 gauge'_'legs with boxed crossrails'___"
cdi_39,47959,"'restaurant', 'oven', 'flue riser with shelf stainless steel', 'front'","'standard grates', 'shelf 6 adjustable'",'battery','ultimate','nsf','735.00 Pound(s)',,"'(1) standard oven, (1) cabinet'",,,,"'restaurant', 'oven', 'flue riser with shelf stainless steel', 'front'_'standard grates', 'shelf 6 adjustable'_'battery'_'ultimate'_'nsf'_'735.00 Pound(s)'__'(1) standard oven, (1) cabinet'___"
cdi_40,49062,'oven',"'standard grates', 'shelf 6 adjustable'",'battery',,"'stainless steel', 'nsf'",'660.00 Pound(s)',,"'left thermostatic', 'flue riser with shelf', '(1) convection oven'",'restaurant',,,"'oven'_'standard grates', 'shelf 6 adjustable'_'battery'__'stainless steel', 'nsf'_'660.00 Pound(s)'__'left thermostatic', 'flue riser with shelf', '(1) convection oven'_'restaurant'__"
cdi_41,49872,"'ultimate', 'restaurant'",'standard grates',,,'nsf','735.00 Pound(s)',,'(2) standard / space saver ovens','oven',,,"'ultimate', 'restaurant'_'standard grates'___'nsf'_'735.00 Pound(s)'__'(2) standard / space saver ovens'_'oven'__"
cdi_42,52778,,,,,,,,,,,'sombrero european dinner fork',__________'sombrero european dinner fork'
cdi_43,53422,'rear','shelf 6 adjustable',"'saut burners', 'battery', 'stainless steel'",'per oven','nsf','1075.00 Pound(s)',,"'convection ovens', '(2) convection ovens'",'restaurant',,,"'rear'_'shelf 6 adjustable'_'saut burners', 'battery', 'stainless steel'_'per oven'_'nsf'_'1075.00 Pound(s)'__'convection ovens', '(2) convection ovens'_'restaurant'__"
cdi_44,54324,"'restaurant', 'oven', 'oven', 'flue riser with shelf stainless steel', 'front'","'wavy grates', 'shelf 6 adjustable'","'battery', 'battery'",'ultimate','nsf','1075.00 Pound(s)',,"'left thermostatic', '(1) standard oven, (1) convection oven'",,,,"'restaurant', 'oven', 'oven', 'flue riser with shelf stainless steel', 'front'_'wavy grates', 'shelf 6 adjustable'_'battery', 'battery'_'ultimate'_'nsf'_'1075.00 Pound(s)'__'left thermostatic', '(1) standard oven, (1) convection oven'___"
cdi_45,54412,"'ultimate', 'restaurant', 'rear'",'standard grates',,,'nsf','735.00 Pound(s)',,'(2) standard / space saver ovens','oven',,,"'ultimate', 'restaurant', 'rear'_'standard grates'___'nsf'_'735.00 Pound(s)'__'(2) standard / space saver ovens'_'oven'__"
cdi_46,54641,"'food pan', 'resistant refrigerant gel insulated dishwasher safe'",,,,"'abs plastic black', 'nsf'",,,,,,,"'food pan', 'resistant refrigerant gel insulated dishwasher safe'____'abs plastic black', 'nsf'______"
cdi_47,55547,"'dormont safety', 'insulated heat shield'","'braid coated with orange', 'sleeve heat shield'",'stainless steel',,'dia','3.50 Pound(s)',,,,,,"'dormont safety', 'insulated heat shield'_'braid coated with orange', 'sleeve heat shield'_'stainless steel'__'dia'_'3.50 Pound(s)'_____"
cdi_48,56934,"'ultimate', 'oven'","'wavy grates', 'shelf 6 adjustable'","'battery', 'stainless steel'",,'nsf','735.00 Pound(s)',,"'flue riser with heavy duty shelf', '(1) convection oven, (1) cabinet'",,'restaurant',,"'ultimate', 'oven'_'wavy grates', 'shelf 6 adjustable'_'battery', 'stainless steel'__'nsf'_'735.00 Pound(s)'__'flue riser with heavy duty shelf', '(1) convection oven, (1) cabinet'__'restaurant'_"
cdi_49,57391,"'restaurant', 'oven'","'wavy grates', 'shelf 6 adjustable'","'battery', 'stainless steel'",'ultimate','nsf','735.00 Pound(s)',,"'flue riser with heavy duty shelf', '(1) convection oven, (1) cabinet'",,,,"'restaurant', 'oven'_'wavy grates', 'shelf 6 adjustable'_'battery', 'stainless steel'_'ultimate'_'nsf'_'735.00 Pound(s)'__'flue riser with heavy duty shelf', '(1) convection oven, (1) cabinet'___"
cdi_50,57966,"'open burners', 'front'",,'stainless steel','cuisine series heavy duty',,'404.00 Pound(s)','12 even','(1) cabinet',,'left cabinet',,"'open burners', 'front'__'stainless steel'_'cuisine series heavy duty'__'404.00 Pound(s)'_'12 even'_'(1) cabinet'__'left cabinet'_"
cdi_51,58317,,"'standard grates', 'shelf 6 adjustable'",,,"'stainless steel', 'nsf'",'1075.00 Pound(s)','48 griddle',"'flue riser with shelf', '(2) cabinets'",'restaurant',,,"_'standard grates', 'shelf 6 adjustable'___'stainless steel', 'nsf'_'1075.00 Pound(s)'_'48 griddle'_'flue riser with shelf', '(2) cabinets'_'restaurant'__"
cdi_52,59440,"'restaurant', 'oven'",'standard grates',,'ultimate','nsf','735.00 Pound(s)',,'(2) standard / space saver ovens',,,,"'restaurant', 'oven'_'standard grates'__'ultimate'_'nsf'_'735.00 Pound(s)'__'(2) standard / space saver ovens'___"
cdi_53,59769,'oven',"'standard grates', 'shelf 6 adjustable'",'battery',,"'stainless steel', 'nsf'",'735.00 Pound(s)',,"'flue riser with shelf', '(1) convection oven, (1) cabinet'",'restaurant',,,"'oven'_'standard grates', 'shelf 6 adjustable'_'battery'__'stainless steel', 'nsf'_'735.00 Pound(s)'__'flue riser with shelf', '(1) convection oven, (1) cabinet'_'restaurant'__"
cdi_54,59893,"'pan capacity', 'gauge', 'top', 'with refrigerated', 'doors'","'table three', 'pan rail'",,"'pizza', 'stainless steel'",'hfc','927.00 Pound(s)',,,,,'refrigerated',"'pan capacity', 'gauge', 'top', 'with refrigerated', 'doors'_'table three', 'pan rail'__'pizza', 'stainless steel'_'hfc'_'927.00 Pound(s)'_____'refrigerated'"
cdi_55,62458,"'oven', 'oven', 'flue riser with shelf stainless steel', 'front'","'rear', 'shelf 6 adjustable'","'pyromax burners', 'battery', 'battery'",,'nsf','1075.00 Pound(s)',,"'(1) convection oven, (1) cabinet'",'restaurant','front',,"'oven', 'oven', 'flue riser with shelf stainless steel', 'front'_'rear', 'shelf 6 adjustable'_'pyromax burners', 'battery', 'battery'__'nsf'_'1075.00 Pound(s)'__'(1) convection oven, (1) cabinet'_'restaurant'_'front'_"
cdi_56,66887,'restaurant','standard grates standing pilot','stainless steel','ultimate','nsf','735.00 Pound(s)',,"'flue riser with heavy duty shelf', '(2) standard / space saver ovens'",,,,"'restaurant'_'standard grates standing pilot'_'stainless steel'_'ultimate'_'nsf'_'735.00 Pound(s)'__'flue riser with heavy duty shelf', '(2) standard / space saver ovens'___"
cdi_57,67392,'oven',"'standard grates', 'shelf 6 adjustable'",'battery',,"'stainless steel', 'legs', 'nsf'",'735.00 Pound(s)',,"'flue riser with shelf', '(1) convection oven, (1) cabinet'",'restaurant',,,"'oven'_'standard grates', 'shelf 6 adjustable'_'battery'__'stainless steel', 'legs', 'nsf'_'735.00 Pound(s)'__'flue riser with shelf', '(1) convection oven, (1) cabinet'_'restaurant'__"
cdi_58,68036,"'refrigerated base self contained refrigeration', 'drawers'",'legs available','stainless steel',,'only when ordered','774.00 Pound(s)','60 1 ph','27 drawers',,,,"'refrigerated base self contained refrigeration', 'drawers'_'legs available'_'stainless steel'__'only when ordered'_'774.00 Pound(s)'_'60 1 ph'_'27 drawers'___"
cdi_59,69016,'deep pans each compartment',"'convection steamer includes', 'electric', 'mechanical timer'",,'two steam',,'426.00 Pound(s)','each 240',,,'n hold boilerless',,"'deep pans each compartment'_'convection steamer includes', 'electric', 'mechanical timer'__'two steam'__'426.00 Pound(s)'_'each 240'___'n hold boilerless'_"
cdi_60,69194,"'refrigerator', 'top with', 'r404a refrigeration system', 'doors'",,"'stainless steel', 'breathing rear'",,'stainless steel','223.00 Pound(s)','12 pan','locking front',,,,"'refrigerator', 'top with', 'r404a refrigeration system', 'doors'__'stainless steel', 'breathing rear'__'stainless steel'_'223.00 Pound(s)'_'12 pan'_'locking front'___"
cdi_61,69270,"'dia', 'insulated heat shield'","'hose', 'braid coated with orange', 'sleeve heat shield limited'",'stainless steel',,,'4.85 Pound(s)',,,,,'dormont safety',"'dia', 'insulated heat shield'_'hose', 'braid coated with orange', 'sleeve heat shield limited'_'stainless steel'___'4.85 Pound(s)'_____'dormont safety'"
cdi_62,69867,,'standard grates',,,'nsf','735.00 Pound(s)',,'(2) standard / space saver ovens',"'restaurant', 'oven'",,,"_'standard grates'___'nsf'_'735.00 Pound(s)'__'(2) standard / space saver ovens'_'restaurant', 'oven'__"
cdi_63,70295,"'phoenix freezer base', 'deep', 'drawers'",'dial thermometers stainless steel','top',,,"'pans face', '475.00 Pound(s)'",,,,,,"'phoenix freezer base', 'deep', 'drawers'_'dial thermometers stainless steel'_'top'___'pans face', '475.00 Pound(s)'_____"
cdi_64,70433,"'handles', 'legs available', 'drawers'",'fire freezer','stainless steel',,'only when','383.00 Pound(s)','60 1 ph',,,,,"'handles', 'legs available', 'drawers'_'fire freezer'_'stainless steel'__'only when'_'383.00 Pound(s)'_'60 1 ph'____"
cdi_65,70476,'oven','standard grates',,,'nsf','735.00 Pound(s)',,'(2) standard / space saver ovens','restaurant',,,'oven'_'standard grates'___'nsf'_'735.00 Pound(s)'__'(2) standard / space saver ovens'_'restaurant'__
cdi_66,73805,,"'standard grates', 'shelf 6 adjustable'",'restaurant',,"'stainless steel', 'nsf'",'660.00 Pound(s)',,"'flue riser with shelf', '(1) cabinet'",,,,"_'standard grates', 'shelf 6 adjustable'_'restaurant'__'stainless steel', 'nsf'_'660.00 Pound(s)'__'flue riser with shelf', '(1) cabinet'___"
cdi_67,75528,"'restaurant', 'burners', 'standard ovens with battery', 'per'",'burners rear','oven','ultimate','nsf','1320.00 Pound(s)',,'(2) standard ovens',,,,"'restaurant', 'burners', 'standard ovens with battery', 'per'_'burners rear'_'oven'_'ultimate'_'nsf'_'1320.00 Pound(s)'__'(2) standard ovens'___"
cdi_68,76069,"'restaurant', 'oven', 'flue riser with shelf stainless steel', 'front'","'standard grates', 'shelf 6 adjustable'",'battery','ultimate','nsf','1075.00 Pound(s)',,"'(1) standard oven, (1) cabinet'",,,,"'restaurant', 'oven', 'flue riser with shelf stainless steel', 'front'_'standard grates', 'shelf 6 adjustable'_'battery'_'ultimate'_'nsf'_'1075.00 Pound(s)'__'(1) standard oven, (1) cabinet'___"
cdi_69,76283,,,'lid fits keepers style',,,,,,,,,__'lid fits keepers style'________
cdi_70,79324,"'burners', 'rear', 'oven', 'flue riser with shelf stainless steel', 'front'","'standard grates', 'shelf 6 adjustable'",'battery',,'nsf','1075.00 Pound(s)',,"'(1) standard oven, (1) cabinet'",'restaurant',,,"'burners', 'rear', 'oven', 'flue riser with shelf stainless steel', 'front'_'standard grates', 'shelf 6 adjustable'_'battery'__'nsf'_'1075.00 Pound(s)'__'(1) standard oven, (1) cabinet'_'restaurant'__"
cdi_71,80033,"'restaurant', 'rear', 'oven'","'standard grates', 'shelf 6 adjustable'",'battery','ultimate',"'stainless steel', 'legs', 'nsf'",'735.00 Pound(s)',,"'flue riser with shelf', '(1) convection oven, (1) cabinet'",,,,"'restaurant', 'rear', 'oven'_'standard grates', 'shelf 6 adjustable'_'battery'_'ultimate'_'stainless steel', 'legs', 'nsf'_'735.00 Pound(s)'__'flue riser with shelf', '(1) convection oven, (1) cabinet'___"
cdi_72,83255,'deep pans each compartment digital',"'not voided', 'star includes'",,,,"'12 x 20', '512.00 Pound(s)'",,,,,,"'deep pans each compartment digital'_'not voided', 'star includes'____'12 x 20', '512.00 Pound(s)'_____"
cdi_73,86141,"'restaurant', 'oven', 'oven', 'flue riser with shelf stainless steel', 'front'","'standard grates', 'shelf 6 adjustable'","'battery', 'battery'",'ultimate','nsf','1075.00 Pound(s)',,"'(1) standard oven, (1) convection oven'",,,,"'restaurant', 'oven', 'oven', 'flue riser with shelf stainless steel', 'front'_'standard grates', 'shelf 6 adjustable'_'battery', 'battery'_'ultimate'_'nsf'_'1075.00 Pound(s)'__'(1) standard oven, (1) convection oven'___"
cdi_74,86513,"'ultimate', 'restaurant'","'burners', 'shelf 6'","'battery', 'stainless steel'",'per oven','nsf','1075.00 Pound(s)',,"'convection ovens', '(2) convection ovens'",,,,"'ultimate', 'restaurant'_'burners', 'shelf 6'_'battery', 'stainless steel'_'per oven'_'nsf'_'1075.00 Pound(s)'__'convection ovens', '(2) convection ovens'___"
cdi_75,89505,'oven',"'open burners', 'removable shelf'",'stainless steel',,'nsf','860.00 Pound(s)',,"'left thermostatic', '(1) standard oven, (1) cabinet'",'valve panel includes',,'s series restaurant',"'oven'_'open burners', 'removable shelf'_'stainless steel'__'nsf'_'860.00 Pound(s)'__'left thermostatic', '(1) standard oven, (1) cabinet'_'valve panel includes'__'s series restaurant'"
cdi_76,94089,,,,'blue','nsf',,,,,,,___'blue'_'nsf'______
cdi_77,94549,"'hot top', 'rear', 'oven'","'heavy duty', 'open burners', '2 racks'","'manual', 'stainless steel front'",,,'570.00 Pound(s)',,'(1) standard oven',,'nsf',,"'hot top', 'rear', 'oven'_'heavy duty', 'open burners', '2 racks'_'manual', 'stainless steel front'___'570.00 Pound(s)'__'(1) standard oven'__'nsf'_"
cdi_78,94807,"'oven', 'includes 1 rack'","'heavy duty', 'lining 6', 'sanitiation'",'oven',,,'650.00 Pound(s)',,'(1) standard oven',,,,"'oven', 'includes 1 rack'_'heavy duty', 'lining 6', 'sanitiation'_'oven'___'650.00 Pound(s)'__'(1) standard oven'___"
cdi_79,97302,"'deep depth with', 'floor model'",'independent doors','stainless steel','convection oven','solid state 200 500 f cook hold pulse fan 2 sp fan','505.00 Pound(s)',,'legs',,'27 legs adjustable',,"'deep depth with', 'floor model'_'independent doors'_'stainless steel'_'convection oven'_'solid state 200 500 f cook hold pulse fan 2 sp fan'_'505.00 Pound(s)'__'legs'__'27 legs adjustable'_"
cdi_80,97930,'compartment with left hand drainboard',"'open frame', 'gauge'",,'regaline sink 2',,"'195.00 Pound(s)', '8""'",,'legs with boxed crossrails',,,,"'compartment with left hand drainboard'_'open frame', 'gauge'__'regaline sink 2'__'195.00 Pound(s)', '8""'__'legs with boxed crossrails'___"
cdi_81,101661,"'rear doors', 'shelf shielded top'",'floor air flow grille rear','stainless steel','cetlus etl sanitation',,'843.00 Pound(s)',"'36 f', '42 f', '2hp 115v', '60 1', '1'",,'lamp','fluorescent light','deli case refrigerated',"'rear doors', 'shelf shielded top'_'floor air flow grille rear'_'stainless steel'_'cetlus etl sanitation'__'843.00 Pound(s)'_'36 f', '42 f', '2hp 115v', '60 1', '1'__'lamp'_'fluorescent light'_'deli case refrigerated'"
