ids,wor_author,half_author,wor_binding,half_binding,wor_id,half_id,wor_isbn,half_isbn,wor_pages,half_pages,wor_pubdate,half_pubdate,wor_publisher,half_publisher,wor_title,half_title,label
wor_34369_half_2387,D J Machale,D. J. MacHale,Paperback,,wor_34369,half_2387,9781416965190,9781416965190,341,341,(21 Dec 2010),"Dec. 21st, 2010",Simon & Schuster ,Aladdin Paperbacks,The Light,The Light,1
wor_32438_half_1202,Christopher Pike,Christopher Pike,Paperback,Paperback,wor_32438,half_1202,9781416983088,9781416983088,512,594,(1 Aug 2009),"Aug. 4th, 2009",Simon & Schuster ,Simon Pulse,"Thirst No. 1: Human Urges, Fatal Consequences","Human Urges, Fatal Consequences",1
wor_39798_half_1593,Adrian Fogelin,Adrian Fogelin,Paperback,,wor_39798,half_1593,9781561453887,9781561453887,235,235,(1 Oct 2006),"Oct. 1st, 2006",Peachtree Publishing Company ,Peachtree s,The Big Nothing,The Big Nothing,1
wor_40158_half_1653,Carol McCloud,Carol McCloud,Paperback,,wor_40158,half_1653,9780996099967,9781933916798,32,328,(1 May 2017),"Feb. 1st, 2011",Bucket Fillosophy ,Ferne Press,As-tu Rempli Un Seau Aujourd'hui?: Le Bonheur Quotidien Explique Aux Enfants,My Bucketfilling Journal,0
wor_30431_half_515,Ridley Pearson,Ridley Pearson,Paperback,Paperback,wor_30431,half_515,9781423138563,9781423138563,545,545,(31 Mar 2015),"Mar. 1st, 2011",Disney Book Publishing Inc. ,Hyperion Books,Kingdom Keepers III Disney in Shadow,Disney in Shadow,1
wor_35542_half_958,Frank Beddor,Frank Beddor,Paperback,Paperback,wor_35542,half_958,9780142409411,9780142409411,358,358,(21 Aug 2007),"Aug. 21st, 2007",Speak ,Speak,The Looking Glass Wars,The Looking Glass Wars,1
wor_33855_half_1127,Peggy Kern,Peggy Kern,Hardback,,wor_33855,half_1127,9780606000451,9780545395496,140,140,(1 Jul 2009),"Aug. 1st, 2012",Turtleback Books ,Scholastic Inc.,No Way Out,No Way Out,0
wor_31015_half_378,Hill Harper,Hill Harper,Paperback,,wor_31015,half_378,9781592402496,9781592402496,192,176,(19 Apr 2007),"May. 1st, 2007",Penguin Putnam Inc ,Gotham Books,Letters to a Young Brother: MANifest Your Destiny: MANifest Your Destiny,Letters to a Young Brother,1
wor_3888_half_434,Gary Paulsen,Gary Paulsen,Paperback,,wor_3888,half_434,9780307929600,9780307929600,115,115,(13 Mar 2012),"Mar. 13th, 2012",Random House USA Inc ,Ember,Brian's Return,Brian's Return,1
wor_38648_half_1404,Obert Skye,Obert Skye,Paperback,,wor_38648,half_1404,9781606416808,9781606416808,312,312,(4 Jun 2010),"Jun. 1st, 2010",Shadow Mountain ,Shadow Mountain,Pillage,Pillage,1
wor_11600_half_1848,Jean Craighead George,Jean Craighead George,Paperback,,wor_11600,half_1848,9780064405737,9780064405737,240,240,(18 Jan 1996),"Jan. 18th, 1996",HarperCollins Publishers Inc ,HarperTrophy,Julie,Julie,1
wor_32347_half_497,Fred Gipson,Fred Gipson,,,wor_32347,half_497,9780061960765,9780064403825,3,192,(5 Jan 2010),"Jun. 9th, 1995",Caedmon ,HarperTrophy,Old Yeller,Old Yeller,0
wor_32395_half_1472,Kristin Levine,Kristin Levine,,,wor_32395,half_1472,9780307710567,9780142416488,-1,272,(26 Jan 2010),"Sep. 16th, 2010",Listening Library ,Puffin Books,The Best Bad Luck I Ever Had,The Best Bad Luck I Ever Had,0
wor_41652_half_1899,Christophe Gallaz,Christophe Gallaz,Paperback,,wor_41652,half_1899,9780898123852,9780898123852,32,32,(2 Feb 2011),"Feb. 2nd, 2011",Creative Paperbacks ,Creative,Rose Blanche,Rose Blanche,1
wor_45983_half_2635,Lucy Knisley,Lucy Knisley,Paperback,,wor_45983,half_2635,9781596436237,9781596436237,192,192,(26 Apr 2013),"Apr. 2nd, 2013",Roaring Brook Press ,First Second,Relish: My Life in the Kitchen,Relish,1
wor_33571_half_673,Elise Broach,Elise Broach,Hardback,,wor_33571,half_673,9780805077629,9780312371326,278,258,(2 May 2006),"Aug. 21st, 2007",St. Martins Press-3PL ,Square Fish,Desert Crossing,Shakespeare's Secret,0
wor_35680_half_1106,Hiroko Yod,Hiroko Yoda,Paperback,,wor_35680,half_1106,9784805312193,9784805312148,208,191,(1 Jul 2012),"Jul. 10th, 2012",Tuttle Publishing ,Tuttle Publishing,Yokai Attack! The Japanese Monster Survival Guide,Yurei Attack!,0
wor_44500_half_760,Mark Twain,Mark Twain,Hardback,,wor_44500,half_760,9781371685560,9780143039563,312,231,(27 Aug 2016),"Feb. 1st, 2006",Wentworth Press ,Penguin Books,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,0
wor_38943_half_1441,Meg Rosoff,Meg Rosoff,Paperback,,wor_38943,half_1441,9780449819609,9780553376050,194,194,(22 Oct 2013),"Apr. 11th, 2006",Ember ,Wendy Lamb Books,How I Live Now,How I Live Now,0
wor_41882_half_2284,Carolyn Meyer,Carolyn Meyer,Paperback,Paperback,wor_41882,half_2284,9780152164560,9780152164560,227,227,(1 Apr 2001),"Apr. 1st, 2001",Gulliver Books ,Gulliver Books,"Mary, Bloody Mary","Mary, Bloody Mary",1
wor_45913_half_2607,Chi Chung,Frances Schoonmaker Bolin,Paperback,Paperback,wor_45913,half_2607,9781402754739,9781402754739,48,48,(1 Apr 2008),"Mar. 1st, 2008",Sterling Juvenile ,Sterling,Poetry for Young People: Emily Dickinson,Emily Dickinson,1
wor_8669_half_1054,Herge,Herge,Paperback,Paperback,wor_8669,half_1054,9780316358569,9780316358569,62,62,(30 Jul 1984),"Jul. 30th, 1984","Little, Brown & Company ","Little, Brown Books for Young Readers",The Adventures of Tintin: The Blue Lotus,The Adventures of Tintin,1
wor_17557_half_947,"Lynda Madaras, Area Madaras, Simon Sullivan",Lynda Madaras,Paperback,,wor_17557,half_947,9781557047656,9781557047649,256,259,(30 Jun 2007),"Jun. 1st, 2007",HarperCollins Publishers Inc ,Newmarket Press,What's Happening to My Body? Book for Boys: Revised Edition,The What's Happening to My Body Book for Girls,0
wor_32503_half_520,X Francisco Stork,Francisco X. Stork,Hardback,,wor_32503,half_520,9783841421227,9780545056908,363,312,(7 Oct 2011),"Feb. 1st, 2011",FISCHER FJB ,Scholastic Paperbacks,Marcelo in the Real World,Marcelo in the Real World,0
wor_41309_half_1845,Doug DuBosque,Doug DuBosque,Paperback,,wor_41309,half_1845,9780939217144,9780939217144,-1,64,(16 Jun 1998),"Sep. 30th, 2000","Peel Productions,U.S. ",Peel Productions,Learn to Draw 3-D,Draw 3-D,1
wor_46969_half_2797,Kelly Link,Kelly Link,Paperback,,wor_46969,half_2797,9781847677846,9780142416723,416,404,(1 Jul 2010),"Jun. 10th, 2010",Canongate Books Ltd ,Speak,Pretty Monsters,Pretty Monsters,0
wor_29119_half_1438,Rosemary Sutcliff,Rosemary Sutcliff,Paperback,,wor_29119,half_1438,9780192789983,9780312644291,624,210,(3 Jun 2010),"Nov. 9th, 2010",Oxford University Press ,Square Fish,The Eagle of the Ninth Chronicles,The Eagle of the Ninth,0
wor_44701_half_1485,Eoin Colfer,Eoin Colfer,Paperback,,wor_44701,half_1485,9780141350264,9780786814930,112,309,(14 Feb 2005),"May. 31st, 2004",Penguin Books Ltd ,Hyperion Books for Children,The Eternity Code: The Graphic Novel,The Eternity Code,0
wor_44858_half_2418,M H Herlong,M. H. Herlong,Hardback,,wor_44858,half_2418,9780606145039,9780142416709,283,283,(13 May 2010),"May. 13th, 2010",Turtleback Books ,Puffin Books,The Great Wide Sea,The Great Wide Sea,0
wor_40140_half_1691,Gloria Skurzynski,Gloria Skurzynski,Paperback,Paperback,wor_40140,half_1691,9781426300950,9781426300950,157,157,(9 Oct 2007),"Oct. 9th, 2007",National Geographic Society ,National Geographic Society,Mysteries in Our National Parks: The Hunted: A Mystery in Glacier National Park,The Hunted,1
wor_31055_half_1004,Simone Elkeles,Simone Elkeles,Paperback,,wor_31055,half_1004,9780738718682,9780738718682,302,302,(8 Sep 2010),"Sep. 8th, 2010",North Star Editions ,Flux,Return to Paradise,Return to Paradise,1
wor_35161_half_905,Emily P. Freeman,Emily P. Freeman,Paperback,,wor_35161,half_905,9780800719838,9780800719838,176,176,(1 Sep 2012),"Sep. 1st, 2012",Baker Publishing Group ,Fleming H. Revell Company,Graceful Letting Go of Your Try-Hard Life,Graceful,1
wor_43111_half_2099,Ekaterina Sedi,Ekaterina Sedia,Paperback,,wor_43111,half_2099,9780762444304,9780762444304,384,440,(4 Sep 2012),"Sep. 4th, 2012",Running Press Book Publishers ,Running Press Kids,"Willful Impropriety: 13 Tales of Society, Scandal, and Romance",Willful Impropriety,1
wor_28883_half_68,Ruta Sepetys,Ruta Sepetys,Paperback,,wor_28883,half_68,9780670920853,9780142420591,352,352,(9 Jun 2011),"Apr. 3rd, 2012",Penguin Books Ltd ,Speak,Between Shades Of Gray,Between Shades of Gray,0
wor_48327_half_3007,Nahoko Uehashi,Nahoko Uehashi,Paperback,Paperback,wor_48327,half_3007,9780545005432,9780545005432,-1,248,(1 Jul 2009),"Apr. 1st, 2009",Scholastic US ,Scholastic Inc.,Guardian of the Spirit,Guardian of the Spirit,1
wor_33435_half_654,Harry Mazer,Harry Mazer,Paperback,,wor_33435,half_654,9780689841606,9780689841606,128,112,(1 Jan 2003),"Nov. 1st, 2002",Aladdin Paperbacks ,Simon & Schuster Books for Young Readers,A Boy at War,A Boy at War,1
wor_33964_half_1706,Isuna Hasekur,Isuna Hasekura,Paperback,,wor_33964,half_1706,9780759531086,9780759531086,256,249,(28 Jun 2011),"Jun. 28th, 2011","Little, Brown & Company ",Yen Press,"Spice and Wolf, Vol. 4","Spice & Wolf, Volume 4",1
wor_43799_half_2226,Ellen Wittlinger,Ellen Wittlinger,Paperback,,wor_43799,half_2226,9780689849602,9781442406216,186,294,(1 Apr 2002),"Jan. 4th, 2011",Simon & Schuster ,Simon & Schuster,Gracie's Girl,Parrotfish,0
wor_38173_half_1941,Claire LaZebnik,Claire LaZebnik,Paperback,,wor_38173,half_1941,9780061921278,9780061921278,336,288,(19 Mar 2013),"Feb. 26th, 2013",HarperCollins Publishers Inc ,Harper Teen,The Trouble with Flirting,The Trouble with Flirting,1
wor_9179_half_12,Collins,Suzanne Collins,Paperback,,wor_9179,half_12,9780743442244,9781594135859,-1,497,(19 Oct 2001),"Apr. 20th, 2012",Simon & Schuster ,Large Print Press,"Road to Perdition, the",Catching Fire,0
wor_31649_half_2512,Lisi Harrison,Lisi Harrison,Paperback,,wor_31649,half_2512,9780316701310,9780316701310,197,197,(1 Oct 2004),"Oct. 6th, 2004","Little, Brown & Company ",Poppy Books,Best Friends for Never,Best Friends for Never,1
wor_42491_half_2018,Padma Venkatraman,Padma Venkatraman,Hardback,,wor_42491,half_2018,9780399247460,9780142414903,247,254,(1 Jun 2008),"Feb. 4th, 2010","Putnam Publishing Group,U.S. ",Speak,Climbing the Stairs,Climbing the Stairs,0
wor_30896_half_306,Louise Fitzhugh,Louise Fitzhugh,Hardback,,wor_30896,half_306,9780385327831,9780440416791,320,320,(1 Apr 2002),"May. 8th, 2001",Bantam Doubleday Dell Publishing Group Inc ,Yearling Books,Harriet the Spy,Harriet the Spy,0
wor_30974_half_314,Wendy Mass,Wendy Mass,Paperback,,wor_30974,half_314,9780316002578,9780316002578,322,322,(1 Sep 2009),"Sep. 1st, 2009","Little, Brown & Company ","Little, Brown Young Readers",Every Soul A Star,Every Soul a Star,1
wor_37973_half_2543,Steve Sheinkin,Steve Sheinkin,Paperback,,wor_37973,half_2543,9781580233477,9781596435193,144,244,(21 Feb 2008),"Jul. 7th, 2009",Jewish Lights Publishing ,Flash Point,Rabbi Harvey Rides Again: A Graphic Novel of Jewish Folktales Let Loose in the Wild West,Two Miserable Presidents,0
wor_32360_half_499,Kagami Yoshimizu,Kagami Yoshimizu,Paperback,,wor_32360,half_499,9781604961157,9781604961133,150,151,(11 May 2010),"Nov. 30th, 2009",Bandai Entertainment ,Bandai Entertainment,Lucky Star Manga: v. 5,"Lucky Star, Volume 2",0
wor_29027_half_700,Alex Flinn,Alex Flinn,Paperback,,wor_29027,half_700,9780064472579,9780064472579,304,304,(1 Dec 2002),"Oct. 15th, 2002",HarperCollins Publishers Inc ,Harper Teen,Breathing Underwater,Breathing Underwater,1
wor_34287_half_2887,Karen Cushman,Karen Cushman,Paperback,,wor_34287,half_2887,9780440418221,9780440418221,-1,176,(1 Mar 2002),"Mar. 12th, 2002",Yearling Books ,Yearling Books,Matilda Bone,Matilda Bone,1
wor_9340_half_539,Robert C. O'Brien,Robert C. O'Brien,Paperback,,wor_9340,half_539,9780020446507,9781416939214,256,249,(30 Apr 1987),"Jul. 10th, 2007",Prentice Hall (a Pearson Education company) ,Simon Pulse,Z for Zachariah,Z for Zachariah,0
wor_35624_half_968,Tyler Whitesides,Tyler Whitesides,Paperback,,wor_35624,half_968,9781609070656,9781609070656,307,307,(29 Jun 2012),"Jun. 29th, 2012",Shadow Mountain ,Shadow Mountain,"Janitors, Book 01","Janitors, Book 1",1
wor_34165_half_755,Geoff Herbach,Geoff Herbach,Hardback,,wor_34165,half_755,9780062453112,9781402256301,336,311,(19 Feb 2018),"Jun. 1st, 2011",HarperCollins Publishers Inc ,Sourcebooks Fire,Hooper,Stupid Fast,0
wor_39889_half_312,National Geographic,National Geographic,Paperback,,wor_39889,half_312,9781426220166,9781426304460,-1,143,(18 Oct 2018),"Jun. 9th, 2009",National Geographic Society ,National Geographic Society,National Geographic Almanac 2019 UK Edition,National Geographic Student Atlas of the World,0
wor_31602_half_399,Sheri Van Dijk,Sheri Van Dijk,Paperback,,wor_31602,half_399,9781572248830,9781572248830,152,160,(1 Mar 2011),"Mar. 1st, 2011",New Harbinger Publications ,Instant Help Books,Dont Let Your Emotions Run Your Life for Teens:,Don't Let Your Emotions Run Your Life for Teens,1
wor_39021_half_2019,Jessica Day George,Jessica Day George,Paperback,,wor_39021,half_2019,9781681190242,9781599903286,368,328,(24 Aug 2016),"Jan. 20th, 2009",Bloomsbury Publishing Plc ,Bloomsbury Publishing PLC,Silver in the Blood,"Sun and Moon, Ice and Snow",0
wor_40831_half_1756,Sid Fleischman,Sid Fleischman,Paperback,,wor_40831,half_1756,9780061450969,9780440415862,184,144,(29 Apr 2008),"Apr. 30th, 2000",HarperCollins Publishers Inc ,Yearling Books,Bandit's Moon,Bandit's Moon,0
wor_3879_half_537,Gary Paulsen,Gary Paulsen,Paperback,,wor_3879,half_537,9780440414711,9780440414711,144,144,(1 Jul 2004),"Jun. 8th, 1999",Random House Children's Publishers UK ,Yearling Books,My Life in Dog Years,My Life in Dog Years,1
wor_33068_half_600,L. Frank Baum,L. Frank Baum,Paperback,,wor_33068,half_600,9780199540648,9780451530295,336,240,(8 May 2008),"Oct. 3rd, 2006",Oxford University Press ,Signet Classics,The Wonderful Wizard of Oz,The Wonderful Wizard of Oz,0
wor_13610_half_1005,"Jack Canfield, Kent Healy",Jack Canfield,Paperback,,wor_13610,half_1005,9780757307270,9780757307270,272,250,(15 Apr 2008),"Apr. 15th, 2008",Health Communications ,Health Communications,The Success Principles for Teens: How to Get From Where You Are to Where You Want to Be,The Success Principles for Teens,1
wor_45604_half_2546,Elizabeth George,Elizabeth George,Paperback,,wor_45604,half_2546,9780736917698,9780736907897,160,220,(1 Aug 2008),"Jan. 1st, 2003","Harvest House Publishers,U.S. ",Harvest House s,Following God with All Your Heart Growth and Study Guide: Believing and Living God's Plan for You,A Young Woman After God's Own Heart,0
wor_1452_half_1,"Lois Lowry, P Craig Russell",Lois Lowry,Hardback,,wor_1452,half_1,9780544157880,9780440237686,192,192,(29 May 2019),"Sep. 10th, 2002",Houghton Mifflin ,Laurel Leaf Library,The Giver,The Giver,0
wor_33520_half_980,Suzanne Weyn,Suzanne Weyn,Hardback,,wor_33520,half_980,9780545172783,9780545172790,183,183,(1 Oct 2010),"Feb. 1st, 2012",Scholastic Press ,Scholastic Paperbacks,Empty,Empty,0
wor_32825_half_1448,Lisa M. Schab,Lisa M. Schab,Paperback,,wor_32825,half_1448,9781572246119,9781572246119,160,173,(1 Jul 2008),"May. 1st, 2008",New Harbinger Publications ,Instant Help Books,Beyond The Blues: A Workbook to Help Teens Overcome Depression,Beyond the Blues,1
wor_39799_half_2566,Adrian Fogelin,Adrian Fogelin,Paperback,,wor_39799,half_2566,9781561452811,9781561452811,152,140,(1 Jul 2002),"Jul. 1st, 2002",Peachtree Publishing Company ,Peachtree Jr,Crossing Jordan,Crossing Jordan,1
wor_33275_half_628,Danica McKellar,Danica McKellar,Paperback,,wor_33275,half_628,9780452295407,9780452295407,352,331,(30 Jun 2009),"Jun. 1st, 2009",Penguin Putnam Inc ,Plume Books,Kiss My Math: Showing Pre-Algebra Who's Boss: Showing Pre-Algebra Who's Boss,Kiss My Math,1
wor_33382_half_923,Herge,Herge,Paperback,Paperback,wor_33382,half_923,9781405266987,9780316358521,80,62,(1 May 2013),"Nov. 30th, 1979",Egmont UK Ltd ,"Little, Brown Books for Young Readers",Tintin in America,Tintin in America,0
wor_30378_half_1768,Diana Wynne Jones,Diana Wynne Jones,Paperback,,wor_30378,half_1768,9780006755302,9780061478772,288,383,(2 Oct 2000),"Apr. 22nd, 2008",HarperCollins Publishers ,Eos,Castle in the Air,Castle in the Air,0
wor_6493_half_573,Gary Paulsen,Gary Paulsen,Paperback,Paperback,wor_6493,half_573,9780440411338,9780440411338,192,192,(1 Nov 1995),"Nov. 1st, 1995",Yearling Books ,Yearling Books,Mr. Tucket,Mr. Tucket,1
wor_37816_half_1284,Carol Plum-Ucci,Carol Plum-Ucci,Hardback,,wor_37816,half_1284,9780606150224,9780152063863,259,259,(1 Nov 2008),"Nov. 1st, 2008",Turtleback Books ,Harcourt Paperbacks,The Body of Christopher Creed,The Body of Christopher Creed,0
wor_10269_half_636,James Patterson,James Patterson,Paperback,,wor_10269,half_636,9780446606189,9780316038355,480,400,(26 Jan 2008),"Oct. 25th, 2011","Little, Brown & Company ",Little Brown and Company,Cat and Mouse,Witch & Wizard,0
wor_29304_half_969,Todd Strasser,Todd Strasser,Paperback,,wor_29304,half_969,9781442433588,9781416959427,238,238,(6 Mar 2012),"Jul. 1st, 2008",Simon & Schuster Books for Young Readers ,Simon Pulse,Boot Camp,Boot Camp,0
wor_33007_half_785,Graham Salisbury,Graham Salisbury,Paperback,,wor_33007,half_785,9780385386562,9780440229568,229,229,(9 Sep 2014),"Feb. 1st, 2007",Ember ,Laurel Leaf Library,Eyes of the Emperor,Eyes of the Emperor,0
wor_33494_half_662,M L Forman,M. L. Forman,Paperback,,wor_33494,half_662,9781609089115,9781609089115,384,384,(24 Jan 2012),"Jan. 24th, 2012",Shadow Mountain ,Shadow Mountain,The Horn of Moran,"Adventurer's Wanted, Book 2",1
wor_32606_half_539,Robert C O'Brien,Robert C. O'Brien,Paperback,,wor_32606,half_539,9781416939214,9781416939214,249,249,(22 Dec 2007),"Jul. 10th, 2007",Simon & Schuster ,Simon Pulse,Z for Zachariah,Z for Zachariah,1
wor_7239_half_2253,John Marsden,John Marsden,Paperback,,wor_7239,half_2253,9780440219514,9780440219514,160,160,(31 Mar 1999),"Apr. 1st, 1996",Bantam Doubleday Dell Publishing Group Inc ,Laurel Leaf Library,Letters From The Inside,Letters from the Inside,1
wor_42713_half_2179,Hannah Moskowitz,Hannah Moskowitz,Hardback,,wor_42713,half_2179,9781442465329,9781442449466,246,288,(1 Jan 2013),"Jan. 1st, 2013",Simon Pulse ,Simon Pulse,Teeth,Teeth,0
wor_42387_half_2006,Barbara A. Lewis,Barbara A. Lewis,Paperback,,wor_42387,half_2006,9781575420295,9781575420295,277,276,(1 Nov 1997),"Nov. 15th, 2005","Free Spirit Publishing Inc.,U.S. ",Free Spirit Publishing,What Do You Stand for? Kid's Guide to Building Character,What Do You Stand For?: For Teens,1
wor_38393_half_2078,Susane Colasanti,Susane Colasanti,Paperback,,wor_38393,half_2078,9780142421147,9780142421147,241,241,(1 May 2012),"May. 1st, 2012",Speak ,Speak,So Much Closer,So Much Closer,1
wor_20654_half_199,Carl Hiaasen,Carl Hiaasen,Hardback,,wor_20654,half_199,9780375870514,9780375834875,281,371,(23 Sep 2014),"Apr. 27th, 2010",Alfred A. Knopf Books for Young Readers ,Alfred A. Knopf Books for Young Readers,Skink No Surrender,Scat,0
wor_31057_half_1530,Simone Elkeles,Simone Elkeles,Paperback,,wor_31057,half_1530,9780738709611,9780738709611,240,234,(8 Oct 2006),"Oct. 8th, 2006",North Star Editions ,Llewellyn Publications,How to Ruin a Summer Vacation,How to Ruin a Summer Vacation,1
wor_32704_half_557,Kendare Blake,Kendare Blake,Paperback,,wor_32704,half_557,9780765328670,9780765328670,316,316,(3 Jul 2012),"Jul. 3rd, 2012",St Martin's Press ,Tor Books,Anna Dressed in Blood,Anna Dressed in Blood,1
wor_45206_half_2487,Samantha Moss,Samantha Moss,Paperback,,wor_45206,half_2487,9780981973371,9780981973371,104,104,(1 Aug 2012),"Mar. 1st, 2010",Orange Avenue Publishing ,Zest Books,Where's My Stuff? The Ultimate Teen Organizing Guide,Where's My Stuff?,1
wor_43405_half_2155,Nina Berry,Nina Berry,,,wor_43405,half_2155,9781522606932,9780758276919,-1,310,(17 May 2016),"Aug. 1st, 2012",Audible Studios on Brilliance ,Kensington Publishing Corporation,Otherkin,Otherkin,0
wor_35371_half_930,Cheryl Rainfield,Cheryl Rainfield,Hardback,,wor_35371,half_930,9781934813324,9781934813577,248,248,(1 Mar 2010),"May. 27th, 2011",West Side Books ,Westside Books,Scars,Scars,0
wor_36578_half_2186,Gail Giles,Gail Giles,Paperback,,wor_36578,half_2186,9780689860478,9780689866241,144,126,(4 May 2004),"Aug. 24th, 2004",Simon & Schuster Ltd ,Simon Pulse,Dead Girls Don't Write Letters,Dead Girls Don't Write Letters,0
wor_32143_half_458,Gina Damico,Gina Damico,Paperback,,wor_32143,half_458,9780547624570,9780547624570,332,352,(25 Sep 2012),"Sep. 25th, 2012",Houghton Mifflin ,Graphia Books,Scorch,Scorch,1
wor_37187_half_1223,Laura Resau,Laura Resau,Paperback,,wor_37187,half_1223,9780375859632,9780375859632,352,352,(13 Mar 2012),"Mar. 13th, 2012",Ember ,Ember,The Queen of Water,The Queen of Water,1
wor_37620_half_1265,Joyce Moyer Hostetter,Joyce Moyer Hostetter,Hardback,,wor_37620,half_1265,9781590783894,9781590788356,200,197,(1 Mar 2006),"Aug. 1st, 2010",Boyds Mills Press ,Calkins Creek Books,Blue,Blue,0
wor_39522_half_1554,Ashley Rhodes-Courter,Ashley Rhodes-Courter,Hardback,,wor_39522,half_1554,9781606867532,9781416948070,304,304,(5 May 2009),"May. 5th, 2009",Perfection Learning ,Simon Pulse,Three Little Words,Three Little Words,0
wor_44211_half_2293,Marianne Curley,Marianne Curley,Paperback,,wor_44211,half_2293,9780747575399,9781582349138,336,336,(7 Feb 2005),"May. 31st, 2005",Bloomsbury Publishing PLC ,Bloomsbury Publishing PLC,The Named,The Named,0
wor_36741_half_1145,Heather Anastasiu,Heather Anastasiu,Paperback,,wor_36741,half_1145,9781250002990,9781250002990,320,320,(26 Sep 2012),"Aug. 7th, 2012",St Martin's Press ,St. Martin's Griffin,Glitch,Glitch,1
wor_47700_half_2903,Annette Curtis Klause,Annette Curtis Klause,Paperback,,wor_47700,half_2903,9780385734219,9780385734219,288,288,(14 Aug 2007),"Aug. 14th, 2007",Ember ,Ember,Blood and Chocolate,Blood and Chocolate,1
wor_32666_half_1095,Darren Shan,Darren Shan,Paperback,Paperback,wor_32666,half_1095,9780007159215,9780316602112,208,224,(4 Oct 2004),"May. 11th, 2005",HarperCollins Publishers ,"Little, Brown Books for Young Readers",Sons of Destiny,Hunters of the Dusk,0
wor_31246_half_348,Joan Bauer,Joan Bauer,Paperback,,wor_31246,half_348,9780142420171,9780142420171,272,272,(5 Jan 2012),"Jan. 5th, 2012",Penguin Putnam Inc ,Puffin Books,Close to Famous,Close to Famous,1
wor_31303_half_2053,Ellen Schreiber,Ellen Schreiber,Hardback,Paperback,wor_31303,half_2053,9780060093341,9780061778940,197,562,(1 Oct 2003),"Apr. 21st, 2009",HarperCollins Publishers Inc ,Katherine Tegen Books,Vampire kisses,Vampire Kisses,0
wor_32048_half_581,Lauren Kate,Lauren Oliver,Hardback,,wor_32048,half_581,9780385739160,9780061978074,420,400,(1 Jun 2011),"Jan. 22nd, 2013",Bantam Doubleday Dell Publishing Group Inc ,HarperCollins,Passion,Pandemonium,0
wor_41238_half_2254,Perry R Moore,Stephanie Perry Moore,Paperback,,wor_41238,half_2254,9781270462491,9781616518844,106,304,(1 Oct 2011),"Jun. 1st, 2012","Gale Ecco, U.S. Supreme Court Records ","Saddleback Educational Publishing, Inc.","Milk Transport, Inc V. U S U.S. Supreme Court Transcript of Record with Supporting Pleadings",Always Upbeat/All That,0
