ids,ban_author,bx_author,ban_binding,bx_binding,ban_id,bx_id,ban_isbn,bx_isbn,ban_pages,bx_pages,ban_pubdate,bx_pubdate,ban_publisher,bx_publisher,ban_title,bx_title,label
ban_40_bx_24440,Madeleine L'Engle,Madeleine L'Engle,,,ban_40,bx_24440,9780312367541,9780440800545,256,-1,5/1/07,1988,Square Fish,Dell Publishing,A Wrinkle in Time,A Wrinkle in Time,0
ban_12294_bx_263517,Peter van der Linden# Peter Van Der Linden# P. Van Der Linden,Peter van der Linden,,,ban_12294,bx_263517,9780131774292,9780131774292,384,-1,,1994,Prentice Hall,Prentice Hall PTR,Expert C Programming / Edition 1,Expert C Programming,1
ban_573_bx_13035,Carson McCullers,CARSON MCCULLERS,,,ban_573,bx_13035,9780618526413,9780553269635,368,-1,4/21/04,1983,Houghton Mifflin Harcourt,Bantam,The Heart Is a Lonely Hunter,The Heart Is a Lonely Hunter,0
ban_580_bx_250947,Darren Shan,Darren Shan,,,ban_580,bx_250947,9780316606844,9780316605960,256,-1,10/1/02,2004,"Little, Brown Books for Young Readers","Little, Brown",The Vampire's Assistant,Cirque Du Freak #7: Hunters of the Dusk : Book 7 in the Saga of Darren Shan,0
ban_14730_bx_193993,Rama Velpuri,Rama Velpuri,paperback,,ban_14730,bx_193993,9780078825804,9780078825804,784,-1,"February 1, 1999",1999, Computing Mcgraw-Hill ,McGraw-Hill,Oracle 8 Troubleshooting,Oracle 8 Troubleshooting,1
ban_7575_bx_110833,Adobe Creative Team,Adobe Creative Team,,,ban_7575,bx_110833,9780321822437,9780201658958,416,-1,,1999,Adobe Press,Adobe Press,Adobe After Effects CS6 Classroom in a Book / Edition 1,Adobe 5.5 Classroom in a Book,0
ban_1879_bx_19587,Joseph Bruchac,Joseph Bruchac,,,ban_1879,bx_19587,9780152064556,9780152022341,199,-1,10/1/08,2000,Houghton Mifflin Harcourt,Silver Whistle Books,Sacajawea,Sacajawea,0
ban_12697_bx_143345,Adobe Creative Team,Adobe Creative Team,,,ban_12697,bx_143345,9780321832689,9780321193759,432,-1,,2003,Adobe Press,Adobe Press,Adobe Creative Suite 6 Production Premium Classroom in a Book,Adobe Photoshop CS Classroom in a Book,0
ban_7724_bx_63661,James Dale Davidson# Lord William Rees-Mogg# Lord William Rees-Mogg Lord William,James Dale Davidson,,,ban_7724,bx_63661,9780684832722,9780684832722,448,-1,,1999,Touchstone,Free Press,The Sovereign Individual: Mastering the Transition to the Information Age,The SOVEREIGN INDIVIDUAL: MASTERING THE TRANSITION TO THE INFORMATION AGE,1
ban_14694_bx_194485,Sid Adelman,Sid Adelman,paperback,,ban_14694,bx_194485,9780201616354,9780201616354,448,-1,"September 24, 2000",2000, Addison-Wesley Professional,Addison-Wesley Pub Co,Data Warehouse Project Management,Data Warehouse Project Management,1
ban_2322_bx_208056,Russell Banks,Russell Banks,,,ban_2322,bx_208056,9780060927240,9780436202490,400,-1,3/28/96,1995,HarperCollins Publishers,Secker  Warburg,"Rule of the Bone: Novel, a",Rule of the Bone,0
ban_17_bx_79314,J. K. Rowling,J. K. Rowling,,,ban_17,bx_79314,9780439785969,9780439425223,672,-1,7/25/06,2002,"Scholastic, Inc.",Scholastic,Harry Potter and the Half-Blood Prince,Harry Potter and the Chamber of Secrets Postcard Book,0
ban_6676_bx_36976,Simon Singh,Simon Singh,,,ban_6676,bx_36976,9780385495325,9780385495325,432,-1,,2000,Knopf Doubleday Publishing Group,Anchor Books/Doubleday,The Code Book: The Science of Secrecy from Ancient Egypt to Quantum Cryptography,The Code Book: The Science of Secrecy from Ancient Egypt to Quantum Cryptography,1
ban_310_bx_38846,Mortimer J. Adler,Mortimer Adler,,,ban_310,bx_38846,9780671212094,9781567310108,426,-1,8/28/72,1997,Touchstone,MJF Books,How to Read a Book,How to Read a Book,0
ban_1637_bx_3314,Terry Brooks,Terry Brooks,,,ban_1637,bx_3314,9780345396532,9780345396532,448,-1,1/28/97,1997,Random House Publishing Group,Del Rey Books,First King of Shannara,First King of Shannara,1
ban_609_bx_44297,Jack Canfield,Jack Canfield,,,ban_609,bx_44297,9781623610463,9780757301001,336,-1,8/28/12,2003,"Backlist, LLC - a unit of Chicken Soup of the Soul Publishing LLC",Health Communications,"Chicken Soup for the Teenage Soul: Stories of Life, Love and Learning",Chicken Soup for the NASCAR Soul,0
ban_4905_bx_233925,G. Gordon Liddy,G. Gordon Liddy,,,ban_4905,bx_233925,9780312924126,9780312880149,506,-1,07/28/1991,1980,St. Martin's Press,St. Martin's Press,Will: The Autobiography of G. Gordon Liddy,Will: The autobiography of G. Gordon Liddy,0
ban_10351_bx_149827,Wallace Wang# Forward,Wallace  Wang,,,ban_10351,bx_149827,9780764503702,9780764503702,504,-1,,1998,Wiley,For Dummies,Visual Basic6 For Dummies,Visual Basic 6 for Dummies,1
ban_15983_bx_194504,Steven Feuerstein,Steven Feuerstein,paperback,,ban_15983,bx_194504,9780596514105,9781565921429,294,-1,"November 1, 2007",1995, O'Reilly Media,O'Reilly,Oracle PL/SQL Best Practices,Oracle PL/SQL Programming,0
ban_2823_bx_88261,Angela Johnson,Angela Johnson,,,ban_2823,bx_88261,9780689822902,9780689822902,144,-1,8/1/00,2000,Simon Pulse,Simon Pulse,Heaven,HEAVEN,1
ban_3241_bx_256608,Tepilit Ole Saitoti,Tepilit Ole Saitoti,,,ban_3241,bx_256608,9780520063259,9780520063259,170,-1,10/14/1988,1988,University of California Press,University of California Press,The Worlds of a Maasai Warrior: An Autobiography / Edition 1,The Worlds of a Maasai Warrior: An Autobiography,1
ban_2270_bx_215638,Lois Duncan,Lois Duncan,,,ban_2270,bx_215638,9780316099042,9780316195515,320,-1,4/19/11,1981,"Little, Brown Books for Young Readers",Little Brown  Co,Stranger with My Face,Stranger With My Face,0
ban_599_bx_7281,Timothy Zahn,Timothy Zahn,,,ban_599,bx_7281,9780553560718,9780553560718,448,-1,2/28/93,1998,Random House Publishing Group,Bantam,Star Wars Thrawn Trilogy #2: Dark Force Rising,Dark Force Rising,1
ban_16518_bx_210462,Allen G. Taylor,Allen G. Taylor,paperback,,ban_16518,bx_210462,9781118607961,9780764540752,480,-1,"September 3, 2013",2003, For Dummies,For Dummies,SQL For Dummies,SQL for Dummies,0
ban_12694_bx_182015,Ashley Friedlein,Ashley Friedlein,,,ban_12694,bx_182015,9781558606784,9781558606784,324,-1,,2000,Elsevier Science,Morgan Kaufmann,Web Project Management: Delivering Successful Commercial Web Sites / Edition 1,Web Project Management: Delivering Successful Commercial Web Sites,1
ban_5764_bx_178832,"Nina Simone, Stephen Cleary",Nina Simone,,,ban_5764,bx_178832,9780679410683,9780306805257,192,-1,02/25/1992,1993,Knopf Doubleday Publishing Group,Da Capo Press,I Put a Spell on You: The Autobiography of Nina Simone,I Put a Spell on You: The Autobiography of Nina Simone,0
ban_2944_bx_60140,Joseph Bonanno,Joseph Bonanno,,,ban_2944,bx_60140,9780312979232,9780312979232,416,-1,01/20/2003,2003,St. Martin's Press,St. Martin's Paperbacks,Man of Honor,A Man of Honor : The Autobiography of Joseph Bonanno,1
ban_7452_bx_108019,Matt Bishop,Matt Bishop,,,ban_7452,bx_108019,9780201440997,9780201440997,1084,-1,,2002,Addison-Wesley,Addison-Wesley Pub Co,Computer Security: Art and Science / Edition 1,Computer Security: Art and Science,1
ban_1429_bx_18271,Greg Keyes,Greg Keyes,,,ban_1429,bx_18271,9780345446107,9780345446107,304,-1,7/31/01,2001,Random House Publishing Group,Del Rey Books,Star Wars The New Jedi Order #8: Edge of Victory II: Rebirth,Edge of Victory II: Rebirth,1
ban_915_bx_13089,Robert Jordan,Robert Jordan,,,ban_915,bx_13089,9780812550290,9780812550290,704,-1,12/15/99,1999,Tom Doherty Associates,Tor Fantasy,The Path of Daggers,The Path of Daggers,1
ban_5702_bx_201122,Jean Rhys,Jean Rhys,,,ban_5702,bx_201122,9780060136024,9780060136024,-1,-1,05/01/1980,1979,HarperCollins Publishers,Harper  Row,Smile Please: An Unfinished Autobiography,Smile please: An unfinished autobiography,1
ban_1128_bx_102776,Caroline B. Cooney,Caroline B. Cooney,,,ban_1128,bx_102776,9780385742412,9780440227724,208,-1,5/22/12,2002,Random House Children's Books,Laurel-Leaf Books,What Janie Found,What Janie Found,0
ban_36_bx_62919,Richard Wright,Richard Wright,,,ban_36,bx_62919,9780061130243,9780060809874,448,-1,3/27/07,1989,HarperCollins Publishers,HarperCollins Publishers,Black Boy,Black Boy,0
ban_1314_bx_250946,Darren Shan,Darren Shan,,,ban_1314,bx_250946,9780316603959,9780316603959,224,-1,4/1/04,2004,"Little, Brown Books for Young Readers","Little, Brown",Trials of Death,Cirque Du Freak #5: Trials of Death : Book 5 in the Saga of Darren Shan,1
ban_3464_bx_29615,"Nancy Oestreich Lurie, Mountain",Nancy Oestreich Lurie,,Paperback,ban_3464,bx_29615,9780472061099,9780472061099,176,-1,06/01/1961,1961,University of Michigan Press,UMP,"Mountain Wolf Woman, Sister of Crashing Thunder: The Autobiography of a Winnebago Indian / Edition 1","Mountain Wolf Woman, Sister of Crashing Thunder : The Autobiography of a Winnebago Indian",1
ban_1441_bx_113552,Mark Mathabane,Mark Mathabane,,,ban_1441,bx_113552,9780684848280,9780684848280,368,-1,10/7/98,1998,Free Press,Free Press,Kaffir Boy: The True Story of a Black Youth's Coming of Age in Apartheid South Africa,Kaffir Boy: The True Story Of A Black Youths Coming Of Age In Apartheid South Africa,1
ban_2391_bx_3489,Octavia E. Butler,Octavia E. Butler,,,ban_2391,bx_3489,9780446675789,9780446610384,464,-1,1/28/00,2001,Warner Books (NY),Aspect,Parable of the Talents,Parable of the Talents,0
ban_3780_bx_8730,Frederick Douglass,Frederick Douglass,,Paperback,ban_3780,bx_8730,2940012945143,9780451526731,-1,-1,06/10/2011,1997,Charles River Editors,Signet Book,"The Autobiographies of Frederick Douglass: Narrative of the Life of Frederick Douglass an American Slave, My Bondage and My Freedom, and The Life and Times of Frederick Douglass",Narrative of the Life of Frederick Douglass: An American Slave,0
ban_3196_bx_78350,Saint Augustine,Saint Augustine,,,ban_3196,bx_78350,2940000739426,9780192833723,-1,-1,09/01/2009,1998,BR Samizdat Express,Oxford University Press,The Confessions of St. Augustine,Confessions,0
ban_2473_bx_53378,Peter Schweighofer,PETER SCHWEIGHOFER,,Paperback,ban_2473,bx_53378,9780553578829,9780553578829,432,-1,11/30/99,1999,Random House Publishing Group,Spectra,Star Wars Tales from the New Republic,Tales from the New Republic,1
ban_2010_bx_33322,Tom Clancy,Tom Clancy,,,ban_2010,bx_33322,9780425190913,9780399136153,400,-1,6/24/03,1991,Penguin Publishing Group,Putnam Publishing Group,Tom Clancy's Op-Center #10: Sea of Fire,The Sum of All Fears,0
ban_116_bx_162139,Lewis Carroll,Lewis Carroll,,,ban_116,bx_162139,9781593080150,9781582343631,320,-1,1/1/04,2003,Barnes & Noble,Bloomsbury USA,Alice's Adventures in Wonderland and Through the Looking Glass,Alice's Adventures in Wonderland and Through the Looking Glass,0
ban_61_bx_93268,Orson Scott Card,Orson Scott Card,,,ban_61,bx_93268,9780812550702,9780312932084,352,-1,7/15/94,1985,Tom Doherty Associates,Tor Books,Ender's Game,Ender's Game,0
ban_476_bx_3283,Tim LaHaye,Tim LaHaye,,,ban_476,bx_3283,9781414334912,9780842329217,496,-1,3/16/11,1997,Tyndale House Publishers,Tyndale House Publishers,Tribulation Force: The Continuing Drama of Those Left Behind,Tribulation Force: The Continuing Drama of Those Left Behind,0
ban_2873_bx_38920,"Johnny Cash, Patrick Carr",Johnny Cash,,,ban_2873,bx_38920,9780060727536,9780060727536,320,-1,10/07/2003,2003,HarperCollins Publishers,Harper SanFrancisco,Cash: The Autobiography,Cash : The Autobiography,1
ban_5295_bx_188619,Noël Coward,Noel Coward,,,ban_5295,bx_188619,9780413773937,9780413773937,368,-1,09/01/2004,2004,Bloomsbury Academic,Consortium,"Future Indefinite: The Autobiography of Noel Coward, Vol. 2","Future Indefinite : The Autobiography of NoÃ«l Coward, Vol. 2",1
ban_13916_bx_156739,Paul Raines,Paul Raines,,,ban_13916,bx_156739,9781565924987,9781565924987,96,-1,,1998,"O'Reilly Media, Incorporated",O'Reilly,Tcl/Tk Pocket Reference,Tcl/Tk Pocket Reference,1
ban_2246_bx_46812,Tom Clancy,Tom Clancy,,,ban_2246,bx_46812,9780425151877,9782266078016,512,-1,6/28/96,1998,Penguin Publishing Group,Pocket,Tom Clancy's Op-Center #3: Games of State,"Op Center, tome 1",0
ban_353_bx_106150,Walter Farley,Walter Farley,,Paperback,ban_353,bx_106150,9780679813439,9780679813484,224,-1,8/28/91,1991,Random House Children's Books,Random House Children's Books,The Black Stallion,The Young Black Stallion,0
ban_1380_bx_24843,Isaac Asimov,Isaac Asimov,,,ban_1380,bx_24843,9780553293395,9780553293395,288,-1,11/28/91,1991,Random House Publishing Group,Bantam,The Naked Sun,The Naked Sun,1
ban_7060_bx_17380,Jon Katz,Jon Katz,,,ban_7060,bx_17380,9780767906999,9780767906999,256,-1,,2001,Crown Publishing Group,Broadway Books,Geeks: How Two Lost Boys Rode the Internet out of Idaho,Geeks: How Two Lost Boys Rode the Internet Out of Idaho,1
ban_8407_bx_178045,James Tisdall,James Tisdall,,,ban_8407,bx_178045,9780596000806,9780596000806,386,-1,,2001,"O'Reilly Media, Incorporated",O'Reilly,Beginning Perl for Bioinformatics,Beginning Perl for Bioinformatics,1
ban_1178_bx_12242,Susan Hill,Susan Hill,,,ban_1178,bx_12242,9780307745316,9781567921892,176,-1,1/3/12,2002,Knopf Doubleday Publishing Group,David R. Godine Publisher,The Woman in Black: A Ghost Story,The Woman in Black: A Ghost Story,0
ban_15182_bx_194041,C. J. Date,C. J. Date,paperback,,ban_15182,bx_194041,9780201309782,9780201309782,528,-1,"June 15, 1998",1998, Addison-Wesley Professional,Addison-Wesley Professional,Foundation for Object / Relational Databases: The Third Manifesto,Foundation for Object / Relational Databases: The Third Manifesto,1
ban_6593_bx_214268,Tracy Kidder,Tracy Kidder,,,ban_6593,bx_214268,9780316491976,9780316491976,320,-1,,2000,"Little, Brown and Company",Back Bay Books,The Soul of A New Machine,The Soul Of A New Machine,1
ban_577_bx_28228,C. S. Lewis,C. S. Lewis,,,ban_577,bx_28228,9780064471077,9780060234867,288,-1,3/28/02,1994,HarperCollins Publishers,HarperCollins,The Voyage of the Dawn Treader,The Voyage of the Dawn Treader,0
ban_7552_bx_192272,Randal L. Schwartz# brian d foy# Tom Phoenix,Randal L. Schwartz,,,ban_7552,bx_192272,9781449303587,9781565920422,388,-1,,1993,"O'Reilly Media, Incorporated",O'Reilly,Learning Perl,Learning Perl,0
ban_5321_bx_186977,"Lynne Reid Banks, Terry Riley",LYNNE REID BANKS,,,ban_5321,bx_186977,9780440419242,9780440419242,126,-1,11/11/2003,2003,Random House Children's Books,Yearling,"I, Houdini","I, Houdini",1
ban_6801_bx_54535,Adobe Creative Team,Adobe Creative Team,,,ban_6801,bx_54535,9780321822482,9781568303659,480,-1,,1997,Adobe Press,Adobe Press,Adobe Illustrator CS6 Classroom in a Book,Adobe Acrobat Version 3.0: Classroom in a Book,0
ban_2460_bx_86514,Brian Jacques,Brian Jacques,,,ban_2460,bx_86514,9780441008728,9780441008728,368,-1,8/28/01,2001,Penguin Publishing Group,Ace Books,Lord Brocktree,Lord Brocktree,1
ban_1693_bx_13423,Cynthia Voigt,Cynthia Voigt,,,ban_1693,bx_13423,9781416903390,9780689804465,336,-1,6/28/05,1995,Simon Pulse,Simon Pulse,"Izzy, Willy-Nilly","Izzy, Willy-Nilly",0
ban_318_bx_215507,Clive Barker,Clive Barker,,,ban_318,bx_215507,9780061684265,9781578150458,288,-1,11/11/08,1996,HarperCollins Publishers,Media Books Audio Publishing,Thief of Always,The Thief of Always,0
ban_752_bx_29444,Eleanor H. Ayer,Eleanor H. Ayer,,,ban_752,bx_29444,9780689832369,9780689832369,256,-1,3/28/00,2000,Aladdin,Aladdin,Parallel Journeys,Parallel Journeys,1
ban_2601_bx_141219,Gary Soto,GARY SOTO,,,ban_2601,bx_141219,9780440210245,9780440210245,160,-1,8/28/91,1991,Random House Children's Books,Laure Leaf,A Summer Life,A Summer Life,1
ban_3247_bx_96055,Richard Lourie,Richard Lourie,,,ban_3247,bx_96055,9780306809972,9780306809972,272,-1,09/01/2000,2000,Da Capo Press,Da Capo Press,The Autobiography of Joseph Stalin: A Novel,The Autobiography of Joseph Stalin: A Novel,1
ban_5180_bx_40910,Xie Bingying,Xie Bingying,,,ban_5180,bx_40910,9780425188507,9780425188507,304,-1,02/18/2003,2003,Penguin Publishing Group,Berkley Publishing Group,A Woman Soldier's Own Story: The Autobiography of Xie Bingying,A Woman Soldier's Own Story: The Autobiography of Xie Bingying,1
ban_2523_bx_49699,Carolyn Meyer,Carolyn Meyer,,,ban_2523,bx_49699,9780152956028,9780152956028,208,-1,10/28/92,1992,Houghton Mifflin Harcourt,Gulliver Books Paperbacks,Where the Broken Heart Still Beats: The Story of Cynthia Ann Parker,Where the Broken Heart Still Beats: The Story of Cynthia Ann Parker,1
ban_240_bx_70862,Susanna Kaysen,Susanna Kaysen,,,ban_240,bx_70862,9780679746041,9780613377171,192,-1,4/28/94,1994,Knopf Doubleday Publishing Group,Sagebrush Bound,"Girl, Interrupted","Girl, Interrupted",0
ban_86_bx_94456,Robert Louis Stevenson,Robert Louis Stevenson,,,ban_86,bx_94456,9781593082475,9780684171609,304,-1,3/1/05,1981,Barnes & Noble,Atheneum,Treasure Island,Treasure Island,0
ban_14854_bx_121045,Roy Ageloff,Roy Ageloff,paperback,,ban_14854,bx_121045,9781878748775,9781565270435,864,-1,March 1993,1994, Course Technology ,Course Technology,"Microcomputer Applications for Business: DOS, WordPerfect 5.1, Lotus 1-2-3 Release 2.2, dBASE III Plus",dBASE IV Version 1.5/2.0 for Business,0
ban_5953_bx_1769,Frost,Dale Cooper,,,ban_5953,bx_1769,9780671744007,9780671744007,192,-1,05/01/1991,1991,Pocket Books,Pocket,Autobiography of FBI Special Agent Dale Cooper,AUTOBIOGRAPHY OF FBI SPECIAL AGENT DALE COOPER,1
ban_16821_bx_193629,Elizabeth Suto,Elizabeth Suto,paperback,,ban_16821,bx_193629,9780131243224,9780131243224,176,-1,November 1994,1994, Prentice Hall ,Prentice Hall,Informix On-Line Performance Tuning,Informix On-Line Performance Tuning,1
ban_609_bx_179613,Jack Canfield,Jack Canfield,,,ban_609,bx_179613,9781623610463,9781558747111,336,-1,8/28/12,1999,"Backlist, LLC - a unit of Chicken Soup of the Soul Publishing LLC",Health Communications,"Chicken Soup for the Teenage Soul: Stories of Life, Love and Learning","Chicken Soup for the Cat and Dog Lover's Soul : Celebrating Pets as Family with Stories About Cats, Dogs and Other Critters",0
ban_6840_bx_38196,Andy Rathbone,Andy Rathbone,,,ban_6840,bx_38196,9781118037768,9781568840482,-1,-1,,1994,"Wiley, John & Sons, Incorporated",John Wiley  Sons Inc,"Windows 7 For Dummies, Mini Edition",More Windows for Dummies,0
ban_861_bx_5616,Alex Flinn,Alex Flinn,,,ban_861,bx_5616,9780064472579,9780064472579,304,-1,5/28/11,2002,HarperCollins Publishers,HarperTempest,Breathing Underwater,Breathing Underwater,1
ban_1740_bx_216760,Wendy Mass,Wendy Mass,,,ban_1740,bx_216760,9780316058285,9780316537285,208,-1,9/6/06,2004,"Little, Brown Books for Young Readers","Little, Brown",Leap Day,Leap Day,0
ban_949_bx_11235,Isabel Allende,Isabel Allende,,,ban_949,bx_11235,9780060535032,9780060509187,432,-1,4/27/04,2002,HarperCollins Publishers,HarperCollins,City of the Beasts,City of the Beasts,0
ban_12833_bx_261549,Dan Gookin,Dan  Gookin,,,ban_12833,bx_261549,9780764539824,9780764539824,432,-1,,2003,Wiley,John Wiley  Sons,Word 2003 For Dummies,Word 2003 for Dummies,1
ban_3329_bx_158554,Charlotte Bronte,Charlotte Bronte,,,ban_3329,bx_158554,9780393975420,9780393975420,552,-1,12/28/2000,2000,"Norton, W. W.  Company, Inc.",W.W. Norton  Company,Jane Eyre / Edition 3,"Jane Eyre, Third Edition",1
ban_1766_bx_160668,Helen Keller,Helen Keller,,,ban_1766,bx_160668,9781512092974,9780590339841,78,-1,5/8/15,1985,CreateSpace Publishing,Scholastic Paperbacks (Mm),The Story of My Life,Story of My Life,0
ban_2613_bx_36186,Jay McGraw,Jay McGraw,,,ban_2613,bx_36186,9780743224703,9780743215466,176,-1,8/28/01,2000,Touchstone,Fireside,Life Strategies for Teens Workbook,Life Strategies for Teens,0
ban_2246_bx_8905,Tom Clancy,Tom Clancy,,Paperback,ban_2246,bx_8905,9780425151877,9780425151877,512,-1,6/28/96,1996,Penguin Publishing Group,Berkley Publishing Group,Tom Clancy's Op-Center #3: Games of State,Tom Clancy's Op-Center: Games of State,1
