ids,ban_author,half_author,ban_binding,half_binding,ban_id,half_id,ban_isbn,half_isbn,ban_pages,half_pages,ban_pubdate,half_pubdate,ban_publisher,half_publisher,ban_title,half_title,label
ban_2305_half_2347,Jack Canfield,Jack Canfield,,,ban_2305,half_2347,9781935096030,9781935096252,380,396,8/26/08,"Nov. 1st, 2008",Chicken Soup for the Soul,Chicken Soup for the Soul,Chicken Soup for the Soul: Teens Talk Tough Times: Stories about the Hardest Parts of Being a Teenager,Chicken Soup for the Soul: Teens Talk High School,0
ban_62_half_80,John Green,John Green,,,ban_62,half_80,9780142418475,9780142418475,352,310,4/5/11,"Apr. 5th, 2011",Penguin Young Readers Group,Speak,"Will Grayson, Will Grayson","Will Grayson, Will Grayson",1
ban_2476_half_2978,L. Divine,L. Divine,,,ban_2476,half_2978,9780758231178,9780758231178,256,270,2/1/11,"Feb. 1st, 2011",Kensington,Dafina Books,The Meltdown,The Meltdown,1
ban_16199_half_741,,,paperback,,ban_16199,half_741,9783540437383,9781603201698,788,112,"July 10, 2002","Oct. 9th, 2012", Springer,Time Home Entertainment,Advanced Information Systems Engineering,Entertainment Weekly the Twilight Journey,0
ban_996_half_769,Katherine Paterson,Katherine Paterson,,,ban_996,half_769,9780064403689,9780064403689,272,272,3/28/90,"Feb. 2nd, 1990",HarperCollins Publishers,HarperTrophy,Jacob Have I Loved,Jacob Have I Loved,1
ban_2060_half_2468,Philip Pullman,Philip Pullman,,Paperback,ban_2060,half_2468,9780375847226,9780375847226,944,933,4/10/07,"Apr. 10th, 2007",Random House Children's Books,Alfred A. Knopf Books for Young Readers,"His Dark Materials: The Golden Compass, The Subtle Knife, The Amber Spyglass",Philip Pullman: His Dark Materials,1
ban_1868_half_802,Ying Chang Compestine,Ying Chang Compestine,,,ban_1868,half_802,9780312581497,9780312581497,272,248,9/29/09,"Sep. 29th, 2009",Square Fish,Square Fish,Revolution Is Not a Dinner Party,Revolution Is Not a Dinner Party,1
ban_346_half_2641,Wendy Higgins,Wendy Mass,,,ban_346,half_2641,9780062265975,9780316058506,400,251,4/29/14,"Nov. 1st, 2008",HarperCollins Publishers,"Little, Brown Young Readers",Sweet Reckoning,Heaven Looks a Lot Like the Mall,0
ban_866_half_1295,Alexander Gordon Smith,Alexander Gordon Smith,,,ban_866,half_1295,9781250003393,9781250003393,304,304,9/18/12,"Sep. 18th, 2012",Square Fish,Square Fish,Fugitives: Escape from Furnace 4,Fugitives,1
ban_664_half_749,Philip Pullman,Philip Pullman,,Paperback,ban_664,half_749,9780440418320,9780440418320,432,416,5/22/01,"May. 22nd, 2001",Random House Children's Books,Yearling Books,The Golden Compass,The Golden Compass,1
ban_2293_half_1582,Katherine Applegate,Katherine Applegate,,,ban_2293,half_1582,9781416961345,9781416961338,544,721,6/30/08,"May. 6th, 2008",Simon Pulse,Simon Pulse,"Tan Lines: Sand, Surf, and Secrets; Rays, Romance, and Rivalry; Beaches, Boys, and Betrayal",Beach Blondes,0
ban_1934_half_2072,Caragh M. O'Brien,Caragh M. O'Brien,,,ban_1934,half_2072,9781250034281,9781250010315,336,400,9/3/13,"Sep. 4th, 2012",Square Fish,Square Fish,Promised,Prized,0
ban_269_half_208,Christopher Paolini,Christopher Paolini,,Paperback,ban_269,half_208,9780375826740,9780375826740,800,800,4/13/10,"Apr. 13th, 2010",Random House Children's Books,Alfred A. Knopf Books for Young Readers,Brisingr,Brisingr,1
ban_776_half_713,P. C. Cast,P. C. Cast,,Paperback,ban_776,half_713,9780312609382,9780312609382,336,319,10/26/10,"May. 10th, 2011",St. Martin's Press,St. Martin's Griffin,Tempted,Tempted,1
ban_246_half_560,Michael Grant,Michael Grant,,,ban_246,half_560,9780061449147,9780061449147,528,492,4/8/14,"Apr. 3rd, 2012",HarperCollins Publishers,Katherine Tegen Books,Plague,Plague,1
ban_2421_half_1589,Cecily von Ziegesar,Cecily Von Ziegesar,,Paperback,ban_2421,half_1589,9780316735186,9780316910330,224,208,5/5/04,"Apr. 1st, 2002","Little, Brown Books for Young Readers",Poppy Books,I Like It Like That,Gossip Girl,0
ban_1120_half_1698,Ursula K. Le Guin,Ursula K. Le Guin,,,ban_1120,half_1698,9780689845369,9780689845369,192,192,9/1/01,"Sep. 1st, 2001",Saga Press,Simon Pulse,The Tombs of Atuan,The Tombs of Atuan,1
ban_1063_half_809,Sarah Dessen,Sarah Dessen,,,ban_1063,half_809,9780142401774,9780142401774,304,281,5/11/04,"May. 11th, 2004",Penguin Young Readers Group,Speak,Someone Like You,Someone Like You,1
ban_1623_half_1130,Darren Shan,Darren Shan,,Paperback,ban_1623,half_1130,9780316078627,9780316016650,288,263,9/5/11,"Sep. 1st, 2006","Little, Brown Books for Young Readers","Little, Brown Books for Young Readers",Birth of a Killer,The Lake of Souls,0
ban_1458_half_1839,Perry Moore,Perry Moore,,,ban_1458,half_1839,9781423101963,9781423101963,432,428,5/5/09,"May. 1st, 2009",Disney-Hyperion,Hyperion Books,Hero,Hero,1
ban_35_half_411,J. K. Rowling,J. K. Rowling,,Paperback,ban_35,half_411,9780439139601,9783551354013,752,334,9/28/02,"Jul. 1st, 2005","Scholastic, Inc.",Carlsen Verlag GmbH,Harry Potter and the Goblet of Fire,Harry Potter Und der Stein der Weisen,0
ban_1681_half_261,Hermann Hesse,Karen Hesse,,,ban_1681,half_261,9780060931919,9780439272001,176,176,9/28/09,"Feb. 1st, 2003",HarperCollins Publishers,Scholastic Paperbacks,Demian,Witness,0
ban_1272_half_2540,Anne McCaffrey,Anne McCaffrey,,,ban_1272,half_2540,9781481425803,9781416964889,256,192,2/24/15,,Saga Press,Simon Pulse,Dragonsong,Dragonsong,0
ban_1774_half_2211,Louis Sachar,Louis Sachar,,,ban_1774,half_2211,9780385736633,9780385736633,352,352,10/11/11,"Oct. 11th, 2011",Random House Children's Books,Ember,The Cardturner,The Cardturner,1
ban_14346_half_280,Michael Ingrassia,Michael Scott,,Paperback,ban_14346,half_280,9780080927992,9780385735322,416,403,,"Apr. 26th, 2011",Elsevier Science,Ember,Maya for Games: Modeling and Texturing Techniques with Maya and Mudbox,The Necromancer,0
ban_1882_half_2823,Darren Shan,Darren Shan,,Paperback,ban_1882,half_2823,9780316003827,9780316048910,240,200,9/1/09,"Jul. 13th, 2011","Little, Brown Books for Young Readers","Little, Brown Books for Young Readers",Death's Shadow,Hell's Heroes,0
ban_490_half_559,Julie Kagawa,Julie Kagawa,,,ban_490,half_559,9780373210367,9780373210138,400,359,10/25/11,"Aug. 1st, 2010",Harlequin,Harlequin,The Iron Knight,The Iron Daughter,0
ban_1298_half_372,Isabel Allende,Isabel Allende,,,ban_1298,half_372,9780060510329,9780060510329,416,401,8/28/03,"Sep. 16th, 2003",HarperCollins Publishers,Rayo,La ciudad de las bestias,La Ciudad de las Bestias = The City of the Beasts,1
ban_1206_half_2627,Darren Shan,Darren Shan,,Paperback,ban_1206,half_2627,9780316003780,9780316003780,224,217,10/1/08,"Oct. 1st, 2008","Little, Brown Books for Young Readers","Little, Brown Young Readers",Blood Beast,Blood Beast,1
ban_1712_half_798,Tamora Pierce,Tamora Pierce,,Paperback,ban_1712,half_798,9780375828799,9780689878558,448,274,9/28/04,"Jan. 6th, 2005",Random House Children's Books,Simon Pulse,Trickster's Choice,Alanna,0
ban_1445_half_493,Sara Shepard,Sara Shepard,,,ban_1445,half_493,9780061566196,9780061566196,288,259,4/26/11,"Apr. 26th, 2011",HarperCollins Publishers,Harper Teen,Wanted,Wanted,1
ban_7771_half_916,Michael Miller,Michael Northrop,,,ban_7771,half_916,9780132797016,9780545210133,208,240,,"Dec. 1st, 2012",Pearson Education,Scholastic Paperbacks,YouTube 4 You,Trapped,0
ban_728_half_585,L. J. Smith,L. J. Smith,,,ban_728,half_585,9780061140983,9780061140976,520,492,12/26/07,"Jan. 1st, 2007",HarperCollins Publishers,Harper Teen,The Vampire Diaries #3-4: The Fury and Dark Reunion,The Awakening and the Struggle,0
ban_341_half_232,Ellen Hopkins,Ellen Hopkins,,,ban_341,half_232,9781442471818,9780689865190,537,537,8/6/13,"Oct. 5th, 2004",Margaret K. McElderry Books,Simon Pulse,Crank,Crank,0
ban_85_half_48,Neal Shusterman,Neal Shusterman,,,ban_85,half_48,9781416912057,9781416912057,352,335,6/2/09,"Jun. 2nd, 2009",Simon & Schuster Books For Young Readers,Simon & Schuster Books for Young Readers,Unwind,Unwind,1
ban_15133_half_1572,David Mercer,David Lubar,paperback,,ban_15133,half_1572,9781576102237,9780765357717,300,207,"February 24, 1999","Aug. 1st, 2008", Coriolis Group Books,Starscape Books,MOUS Access 97 Exam Cram,The Curse of the Campfire Weenies,0
ban_1130_half_2641,Wendy Mass,Wendy Mass,,,ban_1130,half_2641,9780316058506,9780316058506,256,251,11/1/08,"Nov. 1st, 2008","Little, Brown Books for Young Readers","Little, Brown Young Readers",Heaven Looks a Lot Like the Mall,Heaven Looks a Lot Like the Mall,1
ban_892_half_1141,Stephenie Meyer,Stephenie Meyer,,Paperback,ban_892,half_1141,9780316228527,9780316228527,224,224,9/25/12,"Sep. 25th, 2012","Little, Brown Books for Young Readers","Little, Brown Books for Young Readers",The Short Second Life of Bree Tanner: An Eclipse Novella,The Short Second Life of Bree Tanner,1
ban_2288_half_172,School Specialty Publishing,School Specialty Publishing,,,ban_2288,half_172,9780769680682,9780769615905,96,222,10/1/06,"Aug. 1st, 2000","Carson-Dellosa Publishing Company, Incorporated",American Education Publishing,"Spectrum Science Test Practice, Grade 8",Webster's English/Spanish Dictionary,0
ban_1588_half_2627,Darren Shan,Darren Shan,,Paperback,ban_1588,half_2627,9780316602112,9780316003780,224,217,5/11/05,"Oct. 1st, 2008","Little, Brown Books for Young Readers","Little, Brown Young Readers",Hunters of the Dusk,Blood Beast,0
ban_954_half_791,David Levithan,David Levithan,,,ban_954,half_791,9780375836572,9780375836572,224,210,5/9/06,"May. 9th, 2006",Random House Children's Books,Alfred A. Knopf Books for Young Readers,The Realm of Possibility,The Realm of Possibility,1
ban_1295_half_476,Sara Shepard,Sara Shepard,,,ban_1295,half_476,9780061566103,9780061566103,336,310,6/2/09,"Jun. 2nd, 2009",HarperCollins Publishers,Harper Teen,Wicked,Wicked,1
ban_12805_half_1400,Richard H. Berube,Richard Peck,,,ban_12805,half_1400,9780130487841,9780142417294,400,166,,"Oct. 14th, 2010",Prentice Hall,Puffin Books,Computer Simulated Experiments for Electronic Devices Using Electronics Workbench Multisim / Edition 3,A Season of Gifts,0
ban_10632_half_1840,David Alan Grier,David Gardner,,,ban_10632,half_1840,9781119940401,9780743229968,378,256,,"Jul. 16th, 2002",Wiley,Fireside Books,Crowdsourcing For Dummies,The Motley Fool Investment Guide for Teens,0
ban_1474_half_1819,Julie Anne Peters,Julie Anne Peters,,,ban_1474,half_1819,9780316734899,9780316734899,208,208,4/23/03,"May. 7th, 2003","Little, Brown Books for Young Readers","Little, Brown Books for Young Readers","Define ""Normal""","Define ""Normal""",1
ban_1565_half_1533,Anonymous,Anonymous,,,ban_1565,half_1533,9781442451858,9781442451858,288,267,5/1/12,"May. 1st, 2012",Simon Pulse,Simon Pulse,Lucy in the Sky,Lucy in the Sky,1
ban_1003_half_381,Gary Paulsen,Gary Paulsen,,,ban_1003,half_381,9780440407126,9780440407126,160,160,11/12/02,"Nov. 12th, 2002",Random House Children's Books,Laurel Leaf Library,Guts: The True Stories behind Hatchet and the Brian Books,Guts,1
ban_923_half_1305,Kelley Armstrong,Kelley Armstrong,,Paperback,ban_923,half_1305,9780061450563,9780061450563,416,391,4/12/11,"Apr. 12th, 2011",HarperCollins Publishers,HarperCollins,The Reckoning,The Reckoning,1
ban_1097_half_783,Walter Dean Myers,Walter Dean Myers,,,ban_1097,half_783,9780545055758,9780545055758,400,375,5/1/08,"May. 1st, 2008","Scholastic, Inc.",Scholastic Paperbacks,The Glory Field,The Glory Field,1
ban_2177_half_2076,Mercedes Lackey,Mercedes Lackey,,,ban_2177,half_2076,9780765317636,9780765317636,304,304,4/2/13,"Apr. 2nd, 2013",Tom Doherty Associates,Tor Books,Sacrifices,Shadow Grail #3,1
ban_585_half_1309,Neal Shusterman,Neal Shusterman,,,ban_585,half_1309,9781416997498,9780689872389,336,377,11/10/09,"Nov. 1st, 2007",Simon & Schuster Books For Young Readers,Simon Pulse,Everlost,Everlost,0
ban_77_half_94,J. K. Rowling,J. K. Rowling,,Paperback,ban_77,half_94,9780439064873,9780439064873,352,341,8/28/00,"Sep. 1st, 2000","Scholastic, Inc.",Scholastic,Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets,1
ban_290_half_339,Scott Westerfeld,Scott Westerfeld,,,ban_290,half_339,9781442419780,9781442419797,416,350,5/3/11,"May. 3rd, 2011",Simon Pulse,Simon Pulse,Extras,Specials,0
ban_2668_half_1335,Orson Scott Card,Orson Scott Card,,,ban_2668,half_1335,9781442493124,9780765347985,1216,212,9/3/13,"Sep. 1st, 2004",Simon Pulse,Tor Books,Pathfinder & Ruins,First Meetings,0
ban_1818_half_2273,Shannon Hale,Shannon Hale,,,ban_1818,half_2273,9781582349060,9781599903736,336,144,9/19/06,"Jan. 5th, 2010",Bloomsbury USA,Bloomsbury Publishing PLC,Enna Burning,Calamity Jack,0
ban_2378_half_1215,Lisi Harrison,Lisi Harrison,,,ban_2378,half_1215,9780316222327,9780316701297,304,224,5/13/14,"May. 5th, 2004","Little, Brown Books for Young Readers",Poppy Books,Pretenders,The Clique,0
ban_2142_half_1130,Darren Shan,Darren Shan,,Paperback,ban_2142,half_1130,9780316016650,9780316016650,272,263,9/6/06,"Sep. 1st, 2006","Little, Brown Books for Young Readers","Little, Brown Books for Young Readers",The Lake of Souls,The Lake of Souls,1
ban_41_half_24,John Green,John Green,,,ban_41,half_24,9780142414934,9780142414934,336,305,9/22/09,"Sep. 22nd, 2009",Penguin Young Readers Group,Speak,Paper Towns,Paper Towns,1
ban_35_half_135,J. K. Rowling,J. K. Rowling,,Paperback,ban_35,half_135,9780439139601,9780439139601,752,752,9/28/02,"Sep. 1st, 2002","Scholastic, Inc.",Scholastic Paperbacks,Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire,1
ban_2157_half_1110,Anna Carey,Anna Carey,,,ban_2157,half_1110,9780062048554,9780062048516,358,322,4/2/13,"Jul. 3rd, 2012",HarperCollins Publishers,HarperCollins,Once,Eve,0
ban_960_half_2391,T. A. Barron,T. A. Barron,,Paperback,ban_960,half_2391,9780142418895,9780441006687,352,284,5/12/11,"Oct. 31st, 1999",Penguin Young Readers Group,Ace Books,The Lost Years,The Lost Years of Merlin,0
ban_1781_half_1658,Colleen Swaim,Colleen Swaim,,,ban_1781,half_1658,9780764820298,9780764820298,144,132,7/1/11,"Jul. 1st, 2011",Liguori Publications,Liguori Publications,Ablaze: Stories of Daring Teen Saints,Ablaze,1
ban_16586_half_1315,,,paperback,,ban_16586,half_1315,9780769505060,9781603209397,703,384,March 2000,"Oct. 9th, 2012", Ieee ,People,"16th International Conference on Data Engineering: 29 February-3 March 2000 San Diego, California",People Celebrity Puzzler,0
ban_1181_half_554,Darren Shan,Darren Shan,,Paperback,ban_1181,half_554,9780316605106,9780316605106,272,272,6/1/02,"Jun. 1st, 2002","Little, Brown Books for Young Readers","Little, Brown Books for Young Readers",A Living Nightmare,A Living Nightmare,1
ban_1708_half_2557,Anthony Horowitz,Anthony Horowitz,,Paperback,ban_1708,half_2557,9780439680066,9780439680066,400,400,4/1/11,"Apr. 1st, 2011","Scholastic, Inc.",Scholastic Paperbacks,Necropolis,The Gatekeepers #4,1
ban_811_half_541,Walter Dean Myers,Walter Dean Myers,,,ban_811,half_541,9780307976116,9780440938842,224,192,2/14/12,"Mar. 15th, 1983",Random House Children's Books,Laurel Leaf Library,Hoops,Hoops,0
ban_129_half_1566,Pittacus Lore,Pittacus Lore,,,ban_129,half_1566,9780061969577,9780062116550,496,440,8/23/11,"Aug. 23rd, 2011",HarperCollins Publishers,Harper,I Am Number Four,I Am Number Four,0
ban_1303_half_1826,Gary Soto,Gary Soto,,,ban_1303,half_1826,9780152052201,9780152052201,168,161,4/1/05,"Apr. 1st, 2005",Houghton Mifflin Harcourt,Harcourt Paperbacks,The Afterlife,The Afterlife,1
ban_1141_half_2168,Irene Hunt,Irene Hunt,,,ban_1141,half_2168,9780425099698,9780425099698,224,223,6/28/15,"Sep. 15th, 1986",Penguin Publishing Group,Berkley Publishing Group,No Promises in the Wind,No Promises in the Wind,1
ban_746_half_629,Sara Shepard,Sara Shepard,,Paperback,ban_746,half_629,9780061869716,9780061869716,336,307,12/6/11,"Dec. 6th, 2011",HarperCollins Publishers,Harper Teen,The Lying Game,The Lying Game,1
ban_8473_half_1568,Matt Bailey,Jacqui Bailey,,,ban_8473,half_1568,9780470633748,9780764129926,600,112,,"Aug. 1st, 2004",Wiley,Barron's Educational Series,Internet Marketing: An Hour a Day,"Sex, Puberty, and All That Stuff",0
ban_2485_half_605,Madeleine L'Engle,Madeleine L'Engle,,,ban_2485,half_605,9781250003430,9780312368548,800,245,10/16/12,"May. 1st, 2007",Square Fish,Square Fish,A Wrinkle in Time Trilogy,A Wind in the Door,0
ban_1034_half_644,Gordon Korman,Gordon Korman,,Paperback,ban_1034,half_644,9780786815937,9780786815937,272,262,9/1/04,"Aug. 9th, 2004",Disney-Hyperion,Hyperion Books for Children,Son of the Mob,Son of the Mob,1
ban_398_half_501,Stephenie Meyer,Stephenie Meyer,,,ban_398,half_501,9780316024969,9780316226134,608,768,5/31/08,"Sep. 25th, 2012","Little, Brown Books for Young Readers","Little, Brown Books for Young Readers",New Moon,Breaking Dawn,0
ban_611_half_782,Sara Shepard,Sara Shepard,,,ban_611,half_782,9780060887322,9780062125927,304,480,8/21/07,"Jan. 2nd, 2013",HarperCollins Publishers,Harper Teen,Pretty Little Liars,Pretty Little Liars,0
ban_958_half_356,Sharon M. Draper,Sharon M. Draper,,,ban_958,half_356,9780689842092,9780689842092,336,336,5/1/01,"May. 1st, 2001",Simon Pulse,Simon Pulse,Romiette and Julio,Romiette and Julio,1
ban_11374_half_40,Christopher Froehlich,Christopher Paul Curtis,,,ban_11374,half_40,9781615641062,9780440228004,416,224,,"Dec. 12th, 2000",DK,Laurel Leaf Library,The Complete Idiot's Guide to Android App Development,The Watsons Go to Birmingham - 1963,0
ban_575_half_1450,Rachel Hawkins,Rachel Hawkins,,,ban_575,half_1450,9781423128441,9781423128441,384,359,2/7/12,"Feb. 7th, 2012",Disney-Hyperion,Hyperion Books,Demonglass,Demonglass,1
ban_623_half_1589,Cecily von Ziegesar,Cecily Von Ziegesar,,Paperback,ban_623,half_1589,9780316910330,9780316910330,224,208,4/1/02,"Apr. 1st, 2002","Little, Brown Books for Young Readers",Poppy Books,Gossip Girl,Gossip Girl,1
ban_17_half_158,J. K. Rowling,J. K. Rowling,,Paperback,ban_17,half_158,9780439785969,9780439785969,672,652,7/25/06,"Sep. 1st, 2006","Scholastic, Inc.",Scholastic Paperbacks,Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince,1
ban_2249_half_38,Madeleine L'Engle,Madeleine L'Engle,,,ban_2249,half_38,9780312547981,9781250003430,336,800,2/14/12,"Oct. 16th, 2012",Square Fish,Square Fish,A House Like a Lotus,A Wrinkle in Time Trilogy,0
ban_2663_half_978,Nagaru Tanigawa,Nagaru Tanigawa,,,ban_2663,half_978,9780316038799,9780316038997,208,224,10/7/09,"Nov. 20th, 2012","Little, Brown Books for Young Readers","Little, Brown Books for Young Readers",The Sigh of Haruhi Suzumiya,The Indignation of Haruhi Suzumiya,0
ban_11785_half_1470,Chris Bucher,Chris Crutcher,,,ban_11785,half_1470,9780470421932,9780060094904,304,304,,"Apr. 1st, 2003",Wiley,HarperTempest,Black and White Digital Photography Photo Workshop,The Crazy Horse Electric Game,0
ban_2729_half_2007,Susan Cooper,Susan Cooper,,,ban_2729,half_2007,9781416949671,9781416949671,192,165,5/8/07,"May. 8th, 2007",Margaret K. McElderry Books,Simon Pulse,The Grey King,The Grey King,1
ban_554_half_849,Louis Sachar,Louis Sachar,,,ban_554,half_849,9780385733151,9780385733151,288,257,1/8/08,"Jan. 8th, 2008",Random House Children's Books,Delacorte Press Books for Young Readers,Small Steps,Small Steps,1
ban_1739_half_402,Sara Shepard,Sara Shepard,,,ban_1739,half_402,9780061869730,9780060887414,336,335,7/31/12,"Dec. 1st, 2008",HarperCollins Publishers,Harper Teen,Never Have I Ever,Unbelievable,0
ban_2663_half_2552,Nagaru Tanigawa,Nagaru Tanigawa,,,ban_2663,half_2552,9780316038799,9780316038843,208,229,10/7/09,"Jun. 7th, 2011","Little, Brown Books for Young Readers","Little, Brown Books for Young Readers",The Sigh of Haruhi Suzumiya,The Rampage of Haruhi Suzumiya,0
ban_753_half_2347,Jack Canfield,Jack Canfield,,,ban_753,half_2347,9781935096269,9781935096252,380,396,11/4/08,"Nov. 1st, 2008",Chicken Soup for the Soul,Chicken Soup for the Soul,"Chicken Soup for the Soul: Teens Talk Middle School: 101 Stories of Life, Love, and Learning for Younger Teens",Chicken Soup for the Soul: Teens Talk High School,0
ban_2560_half_2329,Nancy Holder,Nancy Holder,,,ban_2560,half_2329,9781416971177,9781416971191,672,291,12/23/08,"Sep. 1st, 2008",Simon Pulse,Simon Pulse,Legacy & Spellbound (Wicked Series,Wicked,0
ban_10344_half_1580,Paul Lomax,Paul Langan,,,ban_10344,half_1580,9781565923584,9780545391146,652,133,,"Jan. 1st, 2012","O'Reilly Media, Incorporated",Scholastic Paperbacks,VB and VBA in a Nutshell: The Language,The Fallen,0
ban_1542_half_2721,Suzanne Collins,Suzanne Supplee,,,ban_1542,half_2721,9780545791878,9780142414279,448,276,9/30/14,"May. 14th, 2009","Scholastic, Inc.",Speak,The Hunger Games: Foil Edition,Artichoke's Heart,0
ban_8244_half_1226,Matthew MacDonald,Matthew Quick,,,ban_8244,half_1226,9781430242512,9780316043533,922,355,,"May. 3rd, 2011",Apress,"Little, Brown Books for Young Readers",Beginning ASP.NET 4.5 in C#,Sorta Like a Rock Star,0
ban_1162_half_987,Coe Booth,Coe Booth,,,ban_1162,half_987,9780439838801,9780439838801,320,310,9/1/07,"Sep. 1st, 2007","Scholastic, Inc.",Push,Tyrell,Tyrell,1
ban_2437_half_2187,Jack Canfield,Jack Canfield,,,ban_2437,half_2187,9781623610913,9781935096269,400,403,10/2/12,"Nov. 1st, 2008","Backlist, LLC - a unit of Chicken Soup of the Soul Publishing LLC",Chicken Soup for the Soul,"Chicken Soup for the Teenage Soul III: More Stories of Life, Love and Learning",Middle School,0
ban_1647_half_2050,Lauren DeStefano,Lauren DeStefano,,,ban_1647,half_2050,9781442409101,9781442409088,400,368,12/31/13,"Feb. 12th, 2013",Simon & Schuster Books For Young Readers,Simon & Schuster Books for Young Readers,Sever,Fever,0
ban_1207_half_1234,Lisa McMann,Lisa McMann,,,ban_1207,half_1234,9781416974475,9781416974475,224,210,12/23/08,"Dec. 23rd, 2008",Simon Pulse,Simon Pulse,Wake,Wake,1
