ids,label,wor_author,half_author,wor_binding,half_binding,wor_id,half_id,wor_isbn,half_isbn,wor_pages,half_pages,wor_pubdate,half_pubdate,wor_publisher,half_publisher,wor_title,half_title
wor_5643_half_576,0,James Kahn,James Patterson,Paperback,,wor_5643,half_576,9781607466680,9780316038324,336,291,(2 Jan 2012),"Feb. 7th, 2012","FastPencil, Incorporated ",Little Brown and Company,"World Enough, Time: Book 1",Angel [With Poster]
wor_27935_half_576,0,James Patterson,James Patterson,Paperback,,wor_27935,half_576,9780099550020,9780316038324,496,291,(24 Nov 2011),"Feb. 7th, 2012",Cornerstone ,Little Brown and Company,Tick Tock: . A pacey New York crime thriller,Angel [With Poster]
wor_8679_half_1015,0,,,Hardback,,wor_8679,half_1015,9780376026132,9781603209380,46,128,(15 Jun 1995),"Oct. 2nd, 2012","Sunset Books,U.S. ",People,Starbuck's Passion for Coffee,People Celebrity Puzzler
wor_41540_half_147,0,Jennifer Li Shotz,Jennifer L. Armentrout,,,wor_41540,half_147,9781494567170,9781620610091,-1,452,(29 Feb 2016),"Dec. 11th, 2012","Tantor Media, Inc ",Entangled Select,Max: Best Friend. Hero. Marine,Opal
wor_29747_half_147,1,Jennifer L. Armentrout,Jennifer L. Armentrout,Paperback,,wor_29747,half_147,9781620610091,9781620610091,452,452,(27 Dec 2012),"Dec. 11th, 2012","Entangled Publishing, LLC ",Entangled Select,Opal,Opal
wor_47878_half_2810,0,Deborah Wiles,Deborah Ellis,Hardback,,wor_47878,half_2810,9781613833032,9780888996459,-1,111,(30 Apr 2013),"Mar. 1st, 2006",Perfection Learning ,Groundwood Books,Countdown,Three Wishes
wor_32215_half_1451,0,Richard Nelson Bolles,Richard Lewis,,,wor_32215,half_1451,9781511311564,9781416953722,-1,225,(15 Aug 2017),"Apr. 1st, 2008",Brilliance Audio ,Simon Pulse,What Color is Your Parachute? 2018: A Practical Manual for Job-Hunters and Career-Changers,The Killing Sea
wor_27427_half_2182,0,,,Paperback,,wor_27427,half_2182,9788896212073,9781465402585,-1,192,,"Feb. 1st, 2013",Aereostella ,DK Publishing (Dorling Kindersley),"Bruford, B: Bill Bruford. Autobiografia alla batteria. Yes,",Danger!
wor_29386_half_1997,0,J B (John Buxton) 1803-1870 Marsden,John Marsden,Paperback,,wor_29386,half_1997,9781374123854,9780439783231,-1,299,(29 Aug 2016),"Aug. 1st, 2008",Wentworth Press ,Scholastic,Memoirs of the Life and Labours of the REV. Hugh Stowell,While I Live
wor_28738_half_1557,0,Elizabeth George Speare,Elizabeth Scott,Hardback,,wor_28738,half_1557,9780812428582,9781416960607,-1,170,(1 Sep 1997),"Sep. 8th, 2009",Perfection Learning ,Simon Pulse,The Bronze Bow,Living Dead Girl
wor_9994_half_1557,0,Elizabeth Peters,Elizabeth Scott,Paperback,,wor_9994,half_1557,9780445402294,9781416960607,240,170,(30 Apr 1986),"Sep. 8th, 2009","Little, Brown & Company ",Simon Pulse,The Murders of Richard III,Living Dead Girl
wor_9145_half_2629,0,Jennifer James,Jennifer Austin Leigh,Paperback,,wor_9145,half_2629,9780937858660,9780981625829,134,251,(31 Dec 1999),,"Newmarket Press,U.S. ",Ignite Reality,Success Is the Quality of Your Journey,"""Girls, You Just Don't Get It!"""
wor_6146_half_109,0,Melissa Scott,Michael Scott,Paperback,Paperback,wor_6146,half_109,9780671567996,9780385736008,320,375,(3 Feb 1997),"Jun. 24th, 2008",Simon & Schuster ,Delacorte Press,The Garden,The Alchemyst
wor_19975_half_1551,0,Christopher Moore,John Christopher,Paperback,Paperback,wor_19975,half_1551,9781841494524,9780689856693,512,224,(2 Aug 2007),"Apr. 1st, 2003","Little, Brown Book Group ",Simon Pulse,Lamb: A Novel,The Pool of Fire
wor_16465_half_1714,0,Elizabeth Adler,Elizabeth Atkinson,Paperback,,wor_16465,half_1714,9780440201113,9780761385004,544,234,(31 Mar 1999),"Jan. 1st, 2012",Bantam Doubleday Dell Publishing Group Inc ,Carolrhoda Books,Peach,"I, Emma Freke"
wor_42255_half_1495,0,Elizabeth Missing Sewell,Elizabeth Laird,Paperback,,wor_42255,half_1495,9780461136616,9780140368550,266,288,(13 Aug 2019),"Apr. 1st, 1994",Hardpress Publishing ,Puffin Books,"The Earl's Daughter, by the Author of 'Amy Herbert', Ed. by W. Sewell",Kiss the Dust
wor_23365_half_1142,0,David J. Goodman,David Levithan,Hardback,,wor_23365,half_1142,9780306457722,9780375854514,312,256,(30 Nov 1997),"Sep. 11th, 2012",Springer Science+Business Media ,Ember,Mobile Multimedia Communications,"Every You, Every Me"
wor_32772_half_1142,1,David Levithan,David Levithan,Paperback,,wor_32772,half_1142,9780375854514,9780375854514,256,256,(21 Sep 2012),"Sep. 11th, 2012",Random House USA Inc ,Ember,"Every You, Every Me","Every You, Every Me"
wor_25229_half_636,0,James Miln,James Patterson,Hardback,,wor_25229,half_636,9781298652270,9780316038355,310,400,(11 Aug 2015),"Oct. 25th, 2011",Andesite Press ,Little Brown and Company,Excavations at Carnac A Record of Archaeological Researches in the Bossenno and the Mont Saint Michel,Witch & Wizard
wor_10269_half_636,0,James Patterson,James Patterson,Paperback,,wor_10269,half_636,9780446606189,9780316038355,480,400,(26 Jan 2008),"Oct. 25th, 2011","Little, Brown & Company ",Little Brown and Company,Cat and Mouse,Witch & Wizard
wor_2693_half_120,0,Michael Chabon,Michael Pollan,Paperback,,wor_2693,half_120,9781841154930,9780803735002,656,298,(2 Jul 2001),"Oct. 15th, 2009",HarperCollins Publishers ,Dial Books,The Amazing Adventures of Kavalier and Clay,"The Omnivore's Dilemma, Young Readers Edition"
wor_2699_half_120,0,Michael Chabon,Michael Pollan,Paperback,,wor_2699,half_120,9780007150410,9780803735002,320,298,(20 Jan 2011),"Oct. 15th, 2009",HarperCollins Publishers ,Dial Books,Manhood for Amateurs,"The Omnivore's Dilemma, Young Readers Edition"
wor_34395_half_1386,0,Heather Dixon,Heather Anastasiu,Paperback,,wor_34395,half_1386,9780471973829,9781250003003,264,336,(19 Sep 2006),"Feb. 19th, 2013",Turner Publishing Company ,St. Martin's Griffin,Not Your Mama's Knitting: The Cool and Creative Way to Pick Up Sticks,Override
wor_36739_half_1386,1,Heather Anastasiu,Heather Anastasiu,Paperback,,wor_36739,half_1386,9781250003003,9781250003003,320,336,(12 Feb 2013),"Feb. 19th, 2013",St. Martin's Griffin ,St. Martin's Griffin,Override,Override
wor_34215_half_505,0,Jeff Hirsch,Jeff Smith,,Paperback,wor_34215,half_505,9781504724074,9780439706353,-1,118,(5 Jul 2016),"Aug. 1st, 2007",Blackstone Audiobooks ,Graphix,Black River Falls Lib/E,Old Man's Cave
wor_41354_half_2852,0,Jennifer Echols,Jennifer Knight,Paperback,,wor_41354,half_2852,9781442474482,9780762441181,-1,496,(1 Feb 2015),"Aug. 14th, 2012",Simon & Schuster ,Running Press Kids,Perfect Couple,Blood Crave
wor_41354_half_2352,0,Jennifer Echols,Jennifer Estep,Paperback,,wor_41354,half_2352,9781442474482,9780758266927,-1,373,(1 Feb 2015),"Aug. 1st, 2011",Simon & Schuster ,Kensington Publishing Corporation,Perfect Couple,Touch of Frost
wor_30668_half_2352,0,Jennifer Estep,Jennifer Estep,Paperback,,wor_30668,half_2352,9780758266941,9780758266927,368,373,(1 Dec 2011),"Aug. 1st, 2011",Kensington Publishing ,Kensington Publishing Corporation,Kiss Of Frost,Touch of Frost
wor_30937_half_922,0,Robert Lipsyte,Robert Muchamore,Hardback,,wor_30937,half_922,9780060557041,9780689877810,288,293,(1 Apr 2010),"Jun. 30th, 2006",HarperCollins Publishers Inc ,Simon Pulse,Center Field,Maximum Security
wor_30939_half_922,0,Robert Lipsyte,Robert Muchamore,Paperback,,wor_30939,half_922,9780813593197,9780689877810,300,293,(30 Apr 2018),"Jun. 30th, 2006",Rutgers University Press ,Simon Pulse,SportsWorld: An American Dreamland,Maximum Security
wor_4233_half_2284,0,Carolyn Keene,Carolyn Meyer,Paperback,Paperback,wor_4233,half_2284,9781416978459,9780152164560,160,227,(6 Apr 2010),"Apr. 1st, 2001",Simon & Schuster ,Gulliver Books,Seeing Green: Book Three in the Eco Mystery Trilogy,"Mary, Bloody Mary"
wor_41882_half_2284,1,Carolyn Meyer,Carolyn Meyer,Paperback,Paperback,wor_41882,half_2284,9780152164560,9780152164560,227,227,(1 Apr 2001),"Apr. 1st, 2001",Gulliver Books ,Gulliver Books,"Mary, Bloody Mary","Mary, Bloody Mary"
wor_9179_half_12,0,Collins,Suzanne Collins,Paperback,,wor_9179,half_12,9780743442244,9781594135859,-1,497,(19 Oct 2001),"Apr. 20th, 2012",Simon & Schuster ,Large Print Press,"Road to Perdition, the",Catching Fire
wor_28195_half_12,0,Suzanne Collins,Suzanne Collins,Paperback,,wor_28195,half_12,9781407132105,9781594135859,448,497,(1 Dec 2011),"Apr. 20th, 2012",Scholastic ,Large Print Press,Mockingjay,Catching Fire
wor_22097_half_2523,0,William Johnson,Angela Johnson,Hardback,,wor_22097,half_2523,9781385119549,9781442403420,68,138,(22 Apr 2018),"Jan. 5th, 2010","Gale Ecco, Print Editions ",Simon & Schuster Children's Publishing,"Reasons for Adopting an Union Between Ireland and Great Britain. by the Author of the Letter to Jos. Spencer, Esq",Heaven
wor_27071_half_2584,0,Doris Anderson,M. T. Anderson,Paperback,Paperback,wor_27071,half_2584,9781447401513,9780152053949,22,188,(15 Apr 2011),"Apr. 30th, 2006",Read Books ,Harcourt Paperbacks,"Simplified Systems of Sewing Styling - Lesson Three, Cutting",Whales on Stilts
wor_6259_half_401,0,L. M. Montgomery,Sy Montgomery,Paperback,Paperback,wor_6259,half_401,9780553213171,9780547248929,244,80,(1 Nov 1983),"Oct. 1st, 2009",Bantam Doubleday Dell Publishing Group Inc ,Houghton Mifflin Harcourt (HMH),Anne Green Gables 3: Anne Of The Island,The Quest for the Tree Kangaroo
wor_31618_half_401,1,Sy Montgomery,Sy Montgomery,Paperback,Paperback,wor_31618,half_401,9780547248929,9780547248929,80,80,(30 Oct 2006),"Oct. 1st, 2009","Cengage Learning, Inc ",Houghton Mifflin Harcourt (HMH),Quest for the Tree Kangaroo,The Quest for the Tree Kangaroo
wor_42399_half_2006,0,Barbara Lewis,Barbara A. Lewis,Paperback,,wor_42399,half_2006,9781911047605,9781575420295,196,276,(23 Jul 2018),"Nov. 15th, 2005",Adam Rei Books ,Free Spirit Publishing,A YEAR IN PARADISE,What Do You Stand For?: For Teens
wor_33942_half_2006,0,C. S. Lewis,Barbara A. Lewis,Paperback,,wor_33942,half_2006,9780007157167,9781575420295,288,276,(5 Dec 2005),"Nov. 15th, 2005",HarperCollins Publishers ,Free Spirit Publishing,Perelandra,What Do You Stand For?: For Teens
wor_42387_half_2006,1,Barbara A. Lewis,Barbara A. Lewis,Paperback,,wor_42387,half_2006,9781575420295,9781575420295,277,276,(1 Nov 1997),"Nov. 15th, 2005","Free Spirit Publishing Inc.,U.S. ",Free Spirit Publishing,What Do You Stand for? Kid's Guide to Building Character,What Do You Stand For?: For Teens
wor_44557_half_1611,0,Angie Smith,L. J. Smith,Hardback,,wor_44557,half_1611,9781433680458,9781416974512,32,662,(1 Oct 2013),"Nov. 18th, 2008",Broadman & Holman Publishers ,Simon Pulse,Audrey Bunny,Night World #02
wor_31356_half_2789,0,Jerome Peterson,Shelley Peterson,Paperback,,wor_31356,half_2789,9781608607976,9781552638422,-1,312,(21 Feb 2010),"Jun. 30th, 2007","Strategic Book Publishing & Rights Agency, LLC ",Key Porter Books,The Haunting of Andrew Sharpai,Sundancer
wor_41640_half_2789,0,Shelley Peterson,Shelley Peterson,Paperback,,wor_41640,half_2789,9781770860841,9781552638422,309,312,(15 Nov 2006),"Jun. 30th, 2007",Cormorant Books ,Key Porter Books,Sundancer,Sundancer
wor_41644_half_2789,1,Shelley Peterson,Shelley Peterson,Paperback,,wor_41644,half_2789,9781552638422,9781552638422,312,312,(1 Jun 2007),"Jun. 30th, 2007",Key Porter Books ,Key Porter Books,Sundancer,Sundancer
wor_28225_half_80,0,John Patrick Green,John Green,Hardback,,wor_28225,half_80,9781626728318,9780142418475,80,310,(1 Oct 2019),"Apr. 5th, 2011",Roaring Brook Press ,Speak,Kitten Construction Company: A Bridge Too Fur,"Will Grayson, Will Grayson"
wor_40815_half_86,0,Sid Fleischman,Paul Fleischman,Hardback,,wor_40815,half_86,9780780712102,9780440228356,193,144,(1 Apr 1988),"Nov. 30th, 1999",Perfection Learning ,Laurel Leaf Library,By the Great Horn Spoon!,Whirligig
wor_28782_half_86,0,Paul Fleischman,Paul Fleischman,Paperback,,wor_28782,half_86,9780312629113,9780440228356,133,144,(27 Oct 2010),"Nov. 30th, 1999",Palgrave USA ,Laurel Leaf Library,Whirligig,Whirligig
wor_7586_half_86,1,Paul Fleischman,Paul Fleischman,Paperback,,wor_7586,half_86,9780440228356,9780440228356,133,144,(1 Jan 2000),"Nov. 30th, 1999",Bantam Doubleday Dell Publishing Group Inc ,Laurel Leaf Library,Whirligig,Whirligig
wor_33328_half_1292,0,Jennifer Donnelly,Jennifer Shannon,Hardback,,wor_33328,half_1292,9781471405143,9781608821877,496,124,(27 Oct 2015),"Jun. 1st, 2012",Hot Key Books ,Instant Help Books,These Shallow Graves,The Shyness & Social Anxiety Workbook for Teens
wor_37874_half_1292,1,Jennifer Shannon,Jennifer Shannon,Paperback,,wor_37874,half_1292,9781608821877,9781608821877,144,124,(1 Jan 2003),"Jun. 1st, 2012",New Harbinger Publications ,Instant Help Books,The Shyness and Social Anxiety Workbook for Teens: CBT and ACT skills to Help You Build Social Confidence,The Shyness & Social Anxiety Workbook for Teens
wor_39796_half_1534,0,Christopher Maynard,John Christopher,Paperback,Paperback,wor_39796,half_1534,9781405314824,9780689856662,32,224,(1 Jun 2006),"Apr. 1st, 2003",Dorling Kindersley Ltd ,Simon Pulse,Mighty Machine: Aeroplane,The City of Gold and Lead
wor_881_half_1925,0,Carolyn Chute,Carolyn Meyer,Hardback,,wor_881,half_1925,9780802119452,9780152058517,691,242,(3 Jan 2013),"Jan. 1st, 2007",Grove Press / Atlantic Monthly Press ,Harcourt Paperbacks,Treat Us Like Dogs and We Will Become Wolves,White Lilacs
wor_41886_half_1925,1,Carolyn Meyer,Carolyn Meyer,Paperback,,wor_41886,half_1925,9780152058517,9780152058517,242,242,(1 Jan 2007),"Jan. 1st, 2007",Houghton Mifflin ,Harcourt Paperbacks,White Lilacs,White Lilacs
wor_38221_half_1321,0,Rachel Hawkins,Rachel Caine,Paperback,,wor_38221,half_1321,9781407189093,9780451237934,304,400,(3 May 2018),"Oct. 2nd, 2012",Scholastic ,New American Library,Royals,Black Dawn
wor_8474_half_231,0,Jonathan Kellerman,Jonathan Maberry,Paperback,,wor_8474,half_231,9780345460691,9781442402331,496,458,(29 Apr 2003),"May. 3rd, 2011",Random House USA Inc ,Simon & Schuster Children's Publishing,Time Bomb: An Alex Delaware Novel,Rot & Ruin
wor_36415_half_231,0,Jonathan Auxier,Jonathan Maberry,Paperback,,wor_36415,half_231,9781407120645,9781442402331,464,458,(2 Jan 2012),"May. 3rd, 2011",Scholastic ,Simon & Schuster Children's Publishing,Peter Nimble and His Fantastic Eyes,Rot & Ruin
wor_43772_half_2546,0,Elizabeth Jensen,Elizabeth George,Paperback,,wor_43772,half_2546,9781484029046,9780736907897,60,220,(1 Apr 2013),"Jan. 1st, 2003",Createspace ,Harvest House s,"Stories of Magic and Hope: Cloud Road, the Lonely Dragon, and the Two Princesses",A Young Woman After God's Own Heart
wor_45604_half_2546,0,Elizabeth George,Elizabeth George,Paperback,,wor_45604,half_2546,9780736917698,9780736907897,160,220,(1 Aug 2008),"Jan. 1st, 2003","Harvest House Publishers,U.S. ",Harvest House s,Following God with All Your Heart Growth and Study Guide: Believing and Living God's Plan for You,A Young Woman After God's Own Heart
wor_30788_half_278,0,Dan Green,John Green,Paperback,,wor_30788,half_278,9780753471975,9780142412145,192,352,(6 Jan 2015),"Oct. 2nd, 2008",Kingfisher ,Speak,Basher Science: The Complete Periodic Table: All the Elements with Style,Let It Snow
wor_12968_half_2063,0,Michael Dorris,Michael Buchanan,Paperback,,wor_12968,half_2063,9780312421854,9781585365432,384,216,(9 Apr 2003),"Apr. 16th, 2010",St Martin's Press ,Sleeping Bear Press,A Yellow Raft in Blue Water,The Fat Boy Chronicles
wor_42815_half_2063,1,Diane Lang,Michael Buchanan,Paperback,,wor_42815,half_2063,9781585365432,9781585365432,216,216,(16 Apr 2010),"Apr. 16th, 2010","Cengage Learning, Inc ",Sleeping Bear Press,The Fat Boy Chronicles,The Fat Boy Chronicles
wor_1462_half_971,0,Lois Lowry,Lois Lenski,Paperback,,wor_1462,half_971,9780307976086,9780064461627,178,320,(14 Feb 2012),"Feb. 18th, 1995",Ember ,HarperTrophy,The Silent Boy,Indian Captive
wor_11701_half_971,1,Lois Lenski,Lois Lenski,Paperback,,wor_11701,half_971,9780064461627,9780064461627,320,320,(8 Nov 1994),"Feb. 18th, 1995",HarperCollins Publishers ,HarperTrophy,Indian Captive,Indian Captive
wor_6863_half_1555,0,Susan Hill,Susan Cooper,Paperback,Paperback,wor_6863,half_1555,9780140034912,9781416949954,208,244,(25 Oct 1973),"Sep. 30th, 2007",Penguin Books Ltd ,Aladdin Paperbacks,I'm the King of the Castle,The Dark Is Rising
wor_30518_half_1555,0,Susan Cooper,Susan Cooper,Paperback,Paperback,wor_30518,half_1555,9780241377130,9781416949954,224,244,(14 Nov 2019),"Sep. 30th, 2007",Penguin Books Ltd ,Aladdin Paperbacks,"Over Sea, Under Stone: The Dark is Rising sequence",The Dark Is Rising
wor_30525_half_1555,0,Susan Cooper,Susan Cooper,Paperback,Paperback,wor_30525,half_1555,9781849412704,9781416949954,400,244,(30 Sep 2010),"Sep. 30th, 2007",Random House Children's Publishers UK ,Aladdin Paperbacks,The Dark Is Rising: Modern Classic,The Dark Is Rising
wor_10781_half_1555,0,Susan Cooper,Susan Cooper,Paperback,Paperback,wor_10781,half_1555,9780689829833,9781416949954,232,244,(1 Sep 1999),"Sep. 30th, 2007",Simon & Schuster ,Aladdin Paperbacks,The Dark is Rising,The Dark Is Rising
wor_2933_half_1558,0,Annie Proulx,Annie Fox,Paperback,,wor_2933,half_1558,9780882662220,9781575423029,32,92,(11 Jan 1983),"Aug. 15th, 2008",Storey Books ,Free Spirit Publishing,Making the Best Apple Cider: Storey's Country Wisdom Bulletin A.47,Be Confident in Who You Are
wor_73_half_1368,0,John McEnroe,John Boyne,Paperback,,wor_73,half_1368,9781409147978,9788498382549,288,219,(12 Jun 2018),"Dec. 1st, 2009",Orion Publishing Co ,Salamandra,But Seriously: An Autobiography,El Nino Con el Pijama de Rayas = The Boy in the Striped Pajamas
wor_9808_half_560,0,Michael Malone,Michael Grant,Paperback,,wor_9808,half_560,9781402201479,9780061449147,304,492,(1 Oct 2003),"Apr. 3rd, 2012","Sourcebooks, Inc ",Katherine Tegen Books,The Last Noel,Plague
wor_36413_half_1854,0,Jonathan Auxier,Jonathan Stroud,Hardback,Paperback,wor_36413,half_1854,9781432860349,9780786836543,-1,562,(10 Jan 2019),"Dec. 27th, 2005",Thorndike Press Large Print ,Miramax Books,The Night Gardener,The Golem's Eye
wor_37738_half_1854,1,Jonathan Stroud,Jonathan Stroud,Paperback,Paperback,wor_37738,half_1854,9780786836543,9780786836543,562,562,(31 Jan 2006),"Dec. 27th, 2005",Hyperion ,Miramax Books,The Bartimaeus Trilogy: Golems Eye Bk. 2: The Golem's Eye,The Golem's Eye
wor_27864_half_1817,0,Richard Henry Dan,Richard Peck,Paperback,,wor_27864,half_1817,9780342828142,9780142412046,490,148,(13 Oct 2018),"Oct. 16th, 2008",Franklin Classics ,Puffin Books,"The Seaman's Friend: Containing a Treatise on Practical Seamanship, with Plates; A Dictionary of Sea Terms; Customs and Usages of the Merchant Service; Laws Relating to the Practical Duties of Master and Mariners",On the Wings of Heroes
wor_36166_half_1641,0,Cynthia Clark,Cynthia Voigt,Hardback,,wor_36166,half_1641,9781480840171,9781416903390,262,336,(30 Jan 2017),"May. 17th, 2005",Archway Publishing ,Simon Pulse,Stories in Your Hands: Discover Your Authentic Destiny Using Palmistry Tarot,"Izzy, Willy-Nilly"
wor_32283_half_1023,0,David Abend,David Almond,Paperback,,wor_32283,half_1023,9783656942368,9780440229087,24,182,(22 Apr 2015),"Sep. 11th, 2001",Grin Publishing ,Laurel Leaf Library,Kraulschwimmen. Wir bewegen uns angstfrei und eigenstandig durch das Wasser,Skellig
wor_7792_half_1023,1,David Almond,David Almond,Paperback,,wor_7792,half_1023,9780440229087,9780440229087,182,182,(11 Sep 2001),"Sep. 11th, 2001",Laurel Leaf Library ,Laurel Leaf Library,Skellig,Skellig
wor_31945_half_1550,0,Christopher Hodapp,Christopher Pike,Paperback,Paperback,wor_31945,half_1550,9781118412084,9781442413177,384,478,(11 Jan 2013),"Oct. 5th, 2010",John Wiley & Sons Inc ,Simon Pulse,Freemasons For Dummies,The Eternal Dawn
wor_12998_half_943,0,Charles Pogue,Charles Portis,Paperback,,wor_12998,half_943,9781572971301,9781468301250,262,240,(31 Dec 1996),"Oct. 30th, 2012","Boulevard Books,U.S. ",Overlook Press,Dragonheart,True Grit
wor_38962_half_943,0,Charles Dickens,Charles Portis,Paperback,,wor_38962,half_943,9780198448884,9781468301250,104,240,(9 Jan 2014),"Oct. 30th, 2012",Oxford University Press ,Overlook Press,Oxford Reading Tree TreeTops Classics: Level 17 More Pack A: Oliver Twist,True Grit
wor_35471_half_943,0,Charles Portis,Charles Portis,Paperback,,wor_35471,half_943,9781468313154,9781468301250,238,240,(17 May 2016),"Oct. 30th, 2012",Amulet Books ,Overlook Press,True Grit,True Grit
wor_35476_half_943,1,Charles Portis,Charles Portis,Paperback,,wor_35476,half_943,9781468301250,9781468301250,268,240,(21 Nov 2012),"Oct. 30th, 2012",Overlook Press ,Overlook Press,True Grit,True Grit
wor_28929_half_1764,0,John Flanagan,John Feinstein,Paperback,Paperback,wor_28929,half_1764,9780440869832,9780553494600,464,251,(1 Sep 2011),"Jun. 27th, 2006",Random House Children's Publishers UK ,Yearling Books,Halt's Peril,Last Shot
wor_40874_half_1764,0,John Feinstein,John Feinstein,Paperback,Paperback,wor_40874,half_1764,9780525435532,9780553494600,304,251,(14 Aug 2019),"Jun. 27th, 2006",Random House USA Inc ,Yearling Books,Quarterback: Inside the Most Important Position in Professional Sports,Last Shot
wor_40864_half_1764,1,John Feinstein,John Feinstein,Paperback,Paperback,wor_40864,half_1764,9780553494600,9780553494600,251,251,(27 Jun 2006),"Jun. 27th, 2006",Random House USA Inc ,Yearling Books,Last Shot: Mystery at the Final Four,Last Shot
wor_19717_half_2243,0,Val D Johnson,Angela Johnson,Paperback,,wor_19717,half_2243,9780595218899,9780689873867,120,118,(1 Mar 2002),"Jan. 4th, 2011",iUniverse ,Simon & Schuster Children's Publishing,Diane Deception,"Sweet, Hereafter"
wor_859_half_1810,0,Tamora Pierce,Tamora Pierce,Paperback,Paperback,wor_859,half_1810,9780008304225,9781442427655,256,260,(5 Sep 2019),"Apr. 19th, 2011",HarperCollins Publishers ,Atheneum Books,Page,The Woman Who Rides Like a Man
wor_34538_half_1810,1,Tamora Pierce,Tamora Pierce,Paperback,Paperback,wor_34538,half_1810,9781442427655,9781442427655,260,260,(19 Apr 2011),"Apr. 19th, 2011",Simon & Schuster ,Atheneum Books,The Woman Who Rides Like a Man,The Woman Who Rides Like a Man
wor_29216_half_482,0,Ursula K. Le Guin,Ursula K. Le Guin,Paperback,,wor_29216,half_482,9781857989519,9780547722023,192,264,(9 Aug 2001),"Sep. 11th, 2012",Orion Publishing Co ,Graphia Books,The Lathe Of Heaven,A Wizard of Earthsea
wor_35605_half_2796,0,Jane Medin,Jane Yolen,Paperback,,wor_35605,half_2796,9780152051457,9780152051266,24,303,(1 Aug 2004),"May. 1st, 2004",Houghton Mifflin ,Harcourt Brace and Company,Tomas Rivera,Dragon's Blood
wor_28251_half_188,0,Markus Zusak,Markus Zusak,Hardback,,wor_28251,half_188,9780857525956,9780375836671,592,357,(11 Oct 2018),"May. 9th, 2006",Transworld Publishers Ltd ,Alfred A. Knopf Books for Young Readers,Bridge of Clay: From bestselling author of The Book Thief,I Am the Messenger
wor_28265_half_188,1,Markus Zusak,Markus Zusak,Paperback,,wor_28265,half_188,9780375836671,9780375836671,368,357,(1 Nov 2006),"May. 9th, 2006",Alfred A. Knopf ,Alfred A. Knopf Books for Young Readers,I Am The Messenger,I Am the Messenger
wor_20731_half_1072,0,Jennifer Weiner,Jennifer Donnelly,Paperback,,wor_20731,half_1072,9780743470100,9780152053109,417,396,(28 Jun 2005),"Sep. 1st, 2004",Simon & Schuster ,Harcourt Paperbacks,Little Earthquakes,A Northern Light
wor_33318_half_1072,0,Jennifer Donnelly,Jennifer Donnelly,Paperback,,wor_33318,half_1072,9780747570639,9780152053109,400,396,(3 May 2004),"Sep. 1st, 2004",Bloomsbury Publishing PLC ,Harcourt Paperbacks,A Gathering Light,A Northern Light
