ids,bx_author,wor_author,bx_binding,wor_binding,bx_id,wor_id,bx_isbn,wor_isbn,bx_pages,wor_pages,bx_pubdate,wor_pubdate,bx_publisher,wor_publisher,bx_title,wor_title,label
bx_79210_wor_2225,Agatha Christie,Agatha Christie,,Paperback,bx_79210,wor_2225,9780061003820,9780008129606,-1,304,1992,(24 Sep 2015),Harper Mass Market Paperbacks (Mm),HarperCollins Publishers ,Third Girl,Third Girl,0
bx_226418_wor_31848,GRAHAM MCNAMEE,Graham McNamee,,Paperback,bx_226418,wor_31848,9780440227625,9780440227625,-1,128,2000,(11 Jul 2000),Laurel Leaf,Laurel Leaf Library ,Hate You,Hate You,1
bx_18643_wor_9251,Miriam Grace Monfredo,Miriam Grace Monfredo,,Paperback,bx_18643,wor_9251,9780425164105,9780425164105,-1,352,1998,(1 Aug 1998),Berkley Publishing Group,Penguin Putnam Inc ,Crime Through Time II,Crime through Time: II,1
bx_14037_wor_7550,Robert Hellenga,Robert Hellenga,,Paperback,bx_14037,wor_7550,9780385314695,9780385314695,-1,369,1995,(30 Jun 1995),Delta,Random House USA Inc ,The Sixteen Pleasures: A Novel,Sixteen Pleasures,1
bx_57735_wor_17518,T. Coraghessan Boyle,T C Boyle,,Paperback,bx_57735,wor_17518,9780140167184,9780140167184,-1,496,1994,(7 Dec 2001),Penguin Books,Penguin Putnam Inc ,The Road to Wellville,Boyle T. Coraghessan : Road to Wellville Untitled Stories,1
bx_22554_wor_10804,Jude Deveraux,Jude Devereaux,,Paperback,bx_22554,wor_10804,9780380759118,9780380759118,-1,352,1980,(16 May 2000),Avon,HarperCollins Publishers Inc ,The Black Lyon,Black Lyon,1
bx_11522_wor_6557,Margaret George,Margaret George,,Paperback,bx_11522,wor_6557,9780142002797,9780142002797,-1,672,2003,(27 May 2003),Penguin Books,Penguin Putnam Inc ,"Mary, Called Magdalene","Mary, Called Magdalene",1
bx_92685_wor_3831,Dale Carnegie,Dale Carnegie,,Paperback,bx_92685,wor_3831,9780671724009,9780749305772,-1,288,1990,(29 Mar 1990),Pocket,Ebury Publishing ,The Quick and Easy Way to Effective Speaking,The Quick And Easy Way To Effective Speaking,0
bx_187557_wor_4967,Hermann Hesse,Hermann Hesse,,Paperback,bx_187557,wor_4967,9780553262469,9781420947946,-1,90,1981,(1 Jan 2013),Bantam Books,Digireads.com ,Demian,Demian,0
bx_28725_wor_12969,Philip Roth,Philip Roth,,Paperback,bx_28725,wor_12969,9780679748274,9780679748274,-1,334,1993,(31 Dec 1993),Vintage Books USA,Alfred A. Knopf ,My Life As a Man,My Life as a Man,1
bx_90874_wor_17013,Oscar Wilde,Oscar Wilde,,Paperback,bx_90874,wor_17013,9780451523648,9780486264783,-1,64,1985,(1 Jul 1990),Signet Book,Dover Publications Inc. ,Importance of Being Earnest,The Importance of Being Earnest,0
bx_72817_wor_19680,Jostein Gaarder,"Jostein Gaarder, Paulette Moller",,Paperback,bx_72817,wor_19680,9780374266424,9780374530716,-1,518,1994,(20 Mar 2007),Farrar Straus Giroux,"Farrar, Straus & Giroux Inc ",Sophie's World: A Novel About the History of Philosophy,Sophie's World: A Novel about the History of Philosophy,0
bx_11385_wor_6498,John D. Fitzgerald,John D. Fitzgerald,,Paperback,bx_11385,wor_6498,9780440430711,9780440430711,-1,175,1972,(15 Jul 1972),Yearling,Random House Children's Publishers UK ,Great Brain,The Great Brain,1
bx_48501_wor_46544,Arnold Lobel,Arnold Lobel,,Hardback,bx_48501,wor_46544,9780688843090,9780688803094,-1,40,1981,(1 Apr 1981),Greenwillow,Greenwillow Books ,On Market Street,On Market Street,0
bx_35132_wor_2218,Agatha Christie,Agatha Christie,,Hardback,bx_35132,wor_2218,9780671499495,9780008328924,-1,240,1983,(31 Oct 2019),Pocket,HarperCollins Publishers ,AND THEN THERE WERE NONE E,And Then There Were None,0
bx_88482_wor_10409,Bill James,Wilton Barnhardt,,Paperback,bx_88482,wor_10409,9780330326841,9780312119249,-1,816,1994,(1 Mar 1995),Macmillan Pub Ltd,Picador USA ,Gospel,Gospel,0
bx_239363_wor_15606,Daphne Dumaurier,Daphne Du Maurier,,Hardback,bx_239363,wor_15606,9780812416503,9781844088799,-1,448,1977,(3 May 2012),Perfection Learning Prebound,"Little, Brown Book Group ",Rebecca,Rebecca,0
bx_222776_wor_28500,Laurie Halse Anderson,Laurie Halse Anderson,,Hardback,bx_222776,wor_28500,9780689838583,9780756910570,-1,251,2000,(1 Mar 2002),Simon  Schuster Children's Publishing,Perfection Learning ,Fever 1793,"Fever, 1793",0
bx_5080_wor_18634,Antoine de Saint-Exupéry,"Antoine de Saint-Exupery, Ros Schwartz",,Paperback,bx_5080,wor_18634,9782070408504,9781509811304,-1,128,1999,(8 Oct 2015),Gallimard,Pan Macmillan ,Le Petit Prince,The Little Prince,0
bx_21734_wor_10497,Peggy Parish,Peggy Parish,,Paperback,bx_21734,wor_10497,9780064441551,9780064441551,-1,64,1992,(8 Aug 2005),HarperTrophy,HarperCollins Publishers Inc ,Amelia Bedelia,Amelia Bedelia,1
bx_1198_wor_4530,Ellyn Satter,Ellyn Satter,,Paperback,bx_1198,wor_4530,9780915950836,9780915950836,-1,396,1987,(1 Jan 1987),Bull Publishing Company,Bull Publishing Company ,How to Get Your Kid to Eat but Not Too Much,How to Get Your Kid to Eat: But Not Too Much,1
bx_97491_wor_4982,Michelle Reid,Linda Lael Miller,,Paperback,bx_97491,wor_4982,9780373121069,9781451611274,-1,400,2000,(1 Jul 2010),Harlequin,Simon & Schuster ,Tycoon'S Bride,Daniel's Bride,0
bx_210820_wor_30151,William Shakespeare,Gareth Hinds,,Hardback,bx_210820,wor_30151,9780451519191,9780763659486,-1,128,1982,(10 Sep 2013),Signet Book,Candlewick Press (MA) ,Romeo and Juliet,Romeo Juliet,0
bx_130219_wor_7619,Anne Tyler,Anne Tyler,,Paperback,bx_130219,wor_7619,9780394509587,9780449911723,-1,352,1980,(27 Aug 1996),Random House Inc,Vintage ,Morgan's Passing,Morgan's Passing,0
bx_7020_wor_10416,Deborah Crombie,Deborah Crombie,Paperback,Hardback,bx_7020,wor_10416,9780553579246,9780553109436,-1,-1,2001,(6 Apr 1999),Bantam Books,Bantam Books ,Kissed a Sad Goodbye,Kissed a Sad Goodbye,0
bx_17234_wor_8745,Whitney Otto,Whitney Otto,,Paperback,bx_17234,wor_8745,9780345388964,9780345388964,-1,179,1994,(1 Jan 2001),Ballantine Books,Random House USA Inc ,How to Make an American Quilt,How to Make an American Quilt,1
bx_14506_wor_7735,Barbara Rowley,Barbara Rowley,,Paperback,bx_14506,wor_7735,9780786884520,9780786884520,-1,256,2000,(19 Jan 2000),Hyperion,Hyperion Books ,"Baby Days : Activities, Ideas, and Games for Enjoying Daily Life with a Child Under Three","Baby Days: Activities, Ideas, and Games for Enjoying Daily Life with a Child Under Three",1
bx_21912_wor_7046,Paul Auster,Paul Auster,,Paperback,bx_21912,wor_7046,9782742701728,9780140231908,-1,304,1993,(14 Oct 2000),Actes Sud,Penguin Putnam Inc ,Mr Vertigo,Mr Vertigo,0
bx_26355_wor_12150,Mary Daheim,Mary Daheim,Paperback,Paperback,bx_26355,wor_12150,9780380774913,9780380774913,-1,-1,1995,(31 Jul 1997),Avon,HarperCollins Publishers Inc ,Major Vices,Major Vices,1
bx_117355_wor_5488,Garrison Keillor,"Garrison Keillor, Ray Magliozzi",,,bx_117355,wor_5488,9780140129182,9781565113145,-1,4,1986,(15 Nov 1986),Penguin Books,HighBridge Audio ,Lake Wobegon Days,Lake Wobegon Days,0
bx_87819_wor_12644,Lee Wade,Lee Wade,,Hardback,bx_87819,wor_12644,9780689822803,9780689846847,-1,14,1998,(15 Nov 2001),Little Simon,Simon & Schuster Ltd ,The Cheerios Play Book,The Cheerios Halloween Play Book,0
bx_65588_wor_31308,Laura Gordon,Ellen Schreiber,,Paperback,bx_65588,wor_31308,9780373223169,9780061986543,-1,224,1995,(23 Dec 2013),Harlequin,Katherine Tegen Books ,Full Moon Rising,Full Moon Kisses,0
bx_27903_wor_12642,Alvin Schwartz,"Alvin Schwartz, Victoria Chess",,Hardback,bx_27903,wor_12642,9780060217976,9780060217976,-1,64,1991,(19 Sep 1991),HarperCollins Publishers,HarperCollins ,Ghosts! Ghostly Tales from Folklore,Ghosts! Ghostly Tales from Folklore,1
bx_83178_wor_48317,David Patneaude,David Patneaude,,Hardback,bx_83178,wor_48317,9780807575321,9780807575314,-1,220,1995,(1 May 1993),Albert Whitman  Company,Albert Whitman & Company ,Someone Was Watching,Someone Was Watching,0
bx_34141_wor_1214,Erma Bombeck,Erma Bombeck,,Hardback,bx_34141,wor_1214,9780883659595,9780883659595,-1,624,1996,(1 Oct 1996),BBS Publishing Corporation,BBS Publishing Corporation ,Four of a Kind: A Suburban Field Guide : A Treasury of Works by America's Best-Loved Humorist,Four of a Kind: A Suburban Field Guide,1
bx_37224_wor_9984,Michael Lewis,Michael Lewis,,Hardback,bx_37224,wor_9984,9780140296464,9780393048131,-1,272,2001,(9 Feb 2000),Penguin Books,WW Norton & Co ,The New New Thing: A Silicon Valley Story,The New New Thing: A Silicon Valley Story,0
bx_218845_wor_27354,George J. Thompson,George J. Thompson,,Paperback,bx_218845,wor_27354,9780688122638,9780062107701,-1,224,1993,(16 Dec 2013),Harpercollins,HarperCollins Publishers Inc ,Verbal Judo: The Gentle Art of Persuasion,Verbal Judo: The Gentle Art of Persuasion,0
bx_31783_wor_2349,Emily Bronte,Emily Bronte,,Hardback,bx_31783,wor_2349,9781561380350,9781840227949,-1,320,1991,(7 Sep 2019),Courage Books,Wordsworth Editions Ltd ,Wuthering Heights,Wuthering Heights,0
bx_171161_wor_45211,Charlotte Bronte,Charlotte Bronte,,Paperback,bx_171161,wor_45211,9781570424922,9780141441146,-1,624,1998,(29 Jun 2006),Time Warner Audio Major,Penguin Books Ltd ,Jane Eyre,Jane Eyre,0
bx_25590_wor_11854,Johanna Lindsey,Johanna Lindsey,Paperback,Paperback,bx_25590,wor_11854,9780380750863,9780380750863,-1,400,1988,(16 Feb 2000),Avon,HarperCollins Publishers Inc ,Tender Rebel,Tender Rebel,1
bx_40868_wor_28134,Wole Soyinka,Wole Soyink,,Paperback,bx_40868,wor_28134,9780195119213,9780195119213,-1,178,1997,(30 Nov 1997),Oxford University Press,Oxford University Press Inc ,The Open Sore of a Continent: A Personal Narrative of the Nigerian Crisis,The Open Sore of a Continent: A Personal Narrative of the Nigerian Crisis,1
bx_104600_wor_12108,Gabriel Garcia Marquez,Gabriel Garcia Marquez,,Paperback,bx_104600,wor_12108,9789580427407,9780140245592,-1,198,1996,(25 Aug 1994),Aims Intl Books,Penguin Books Australia ,Del Amor Y Otros Demonios,Del Amor y Otros Demonios,0
bx_147631_wor_42109,Ruud Van Der Rol,Ruud van der Rol,,Hardback,bx_147631,wor_42109,9780140369267,9780670849321,-1,128,1995,(27 Jan 1994),Puffin Books,Penguin Books Ltd ,Anne Frank: Beyond the Diary : A Photographic Remembrance,Anne Frank: Beyond the Diary - A Photographic Remembrance,0
bx_97679_wor_12262,William Diehl,William Diehl,,Paperback,bx_97679,wor_12262,9780749336653,9780345388773,-1,393,1996,(2 Apr 1994),Mandarin,Random House USA Inc ,Primal Fear,Primal Fear,0
bx_18910_wor_7544,Michel Faber,Michel Faber,,Hardback,bx_18910,wor_7544,9780156028776,9780151006922,-1,848,2003,(16 Sep 2002),Harvest Books,Houghton Mifflin ,The Crimson Petal and the White,The Crimson Petal and the White,0
bx_45568_wor_13149,Elizabeth George,Elizabeth George,,Paperback,bx_45568,wor_13149,9780553074079,9780553295603,-1,10,1991,(1 Feb 1992),Bantam Dell Pub Group,Bantam Doubleday Dell Publishing Group Inc ,A Suitable Vengeance,A Suitable Vengeance,0
bx_46904_wor_13768,Robynn Clairday,"Robynn Clairday, Matt Clairday",Paperback,Paperback,bx_46904,wor_13768,9780757001024,9780757001024,-1,192,2001,(12 Mar 2003),Square One Publishers,Square One Publishers ,Postcards from World War II: Sights Sentiments from the Last Century,Postcards from World War II: Sights and Sentiments from the Second World War,1
bx_222342_wor_17589,Stephen McCauley,Stephen McCauley,,Paperback,bx_222342,wor_17589,9780671708184,9780671787387,-1,304,1992,(19 May 2003),Simon  Schuster,Simon & Schuster ,The Easy Way Out,The Easy Way out,0
bx_27216_wor_12415,Nancy Holder,"Nancy Holder, Jeff Mariotte",,Paperback,bx_27216,wor_12415,9780743418959,9780743418959,-1,304,2001,(1 Oct 2001),Simon Spotlight Entertainment,Simon & Schuster ,"Long Way Home: The Unseen Trilogy, Book 3",Buffy the Vampire Slayer/Angel Unseen: Long Way Home Bk. 3,1
bx_26955_wor_5772,Alan Durband,"William Shakespeare, Rex Gibson, Elspeth Bain, Nic Amy, Vicki Wienand, Richard Andrews",,Paperback,bx_26955,wor_5772,9780748703272,9781107615380,-1,264,1995,(22 Jan 2015),Trans-Atlantic Publications,Cambridge University Press ,King Lear,King Lear,0
bx_2225_wor_21366,Barbara Taylor Bradford,Barbara Taylor Bradford,,Paperback,bx_2225,wor_21366,9780061092084,9780586217399,-1,416,1996,(25 Oct 1995),HarperTorch,HarperCollins Publishers ,Dangerous to Know,Dangerous to Know,0
bx_10962_wor_6346,Vincent Bugliosi,"Vincent Bugliosi, Curt Gentry",,Hardback,bx_10962,wor_6346,9780393087000,9780393087000,-1,736,1994,(5 Jun 1995),W. W. Norton  Company,WW Norton & Co ,Helter Skelter: The True Story of the Manson Murders,Helter Skelter: The True Story of the Manson Murders,1
bx_13757_wor_7442,Christina Dodd,Christina Dodd,,Paperback,bx_13757,wor_7442,9780380790906,9780380790906,-1,400,1998,(1 Jan 2000),Avon,HarperCollins Publishers Inc ,Well Favored Gentleman,Well Favored Gentleman,1
bx_267373_wor_18937,Alice Sebold,Alice Sebold,,Paperback,bx_267373,wor_18937,9781586638665,9781594130236,-1,532,2003,(20 May 2004),Barnes  Noble Books-Imports,Large Print Press ,The Lovely Bones,The Lovely Bones,0
bx_230697_wor_7398,Lavyrle Spencer,Danielle Steel,,Paperback,bx_230697,wor_7398,9781558009387,9780440214113,-1,432,1993,(2 Nov 1993),Audio Literature,Random House USA Inc ,Family Blessings,Mixed Blessings,0
bx_26988_wor_12364,Michael R. Eades,Michael R. Eades,,Paperback,bx_26988,wor_12364,9780553574753,9780553574753,-1,429,1998,(1 Jul 1998),Bantam Books,Bantam Doubleday Dell Publishing Group Inc ,"Protein Power: The High-Protein/Low Carbohydrate Way to Lose Weight, Feel Fit, and Boost Your Health-in Just Weeks!",Protein Power,1
bx_16855_wor_8605,Rebecca Woolis,,,Paperback,bx_16855,wor_8605,9780874776959,9780874776959,-1,224,1992,(18 Sep 1992),Jeremy P. Tarcher,"Tarcher/Putnam,US ","When Someone You Love Has a Mental Illness: A Handbook for Family, Friends, and Caregivers","When Someone You Love Has a Mental Illness: A Handbook for Family, Friends and Caregivers",1
bx_14648_wor_7784,Paul Auster,Paul Auster,,Paperback,bx_14648,wor_7784,9780140097054,9780140097054,-1,208,1988,(7 Dec 2001),Penguin Books,Penguin Putnam Inc ,In the Country of Last Things,In the Country of Last Things,1
bx_225231_wor_15495,Lewis Carroll,"Lewis Carroll, Sir John Tenniel, Michael Irwin, Dr. Keith Carabine",,Paperback,bx_225231,wor_15495,9781582341743,9781853260025,-1,288,2001,(5 May 1992),Bloomsbury Publishing (NY),Wordsworth Editions Ltd ,Alice's Adventure in Wonderland,Alice's Adventures in Wonderland,0
bx_23707_wor_6018,Arthur C. Clarke,"Arthur C. Clarke, Stephen Baxter",,Hardback,bx_23707,wor_6018,9780812576405,9780312871994,-1,316,2001,(16 Mar 2000),Tor Books,St Martin's Press ,The Light of Other Days,The Light of Other Days,0
bx_52889_wor_20841,Karen Robards,Karen Robards,,Paperback,bx_52889,wor_20841,9780743453479,9781451631890,-1,480,2003,(1 Jan 2011),Pocket Star,Simon & Schuster ,Whispers at Midnight,Whispers at Midnight,0
bx_94586_wor_14148,Maeve Binchy,Maeve Binchy,,Paperback,bx_94586,wor_14148,9780670809387,9780099498650,-1,752,1986,(3 Aug 2006),Penguin USA,Cornerstone ,Echoes,Echoes,0
bx_223509_wor_9823,Jane Austen,Jane Austen,,Paperback,bx_223509,wor_9823,9780140057744,9780140620221,-1,304,1980,(24 Feb 1994),Penguin Books,Penguin Books Ltd ,Pride and prejudice,Pride and Prejudice,0
bx_19316_wor_9524,Jeanette Winterson,Jeanette Winterson,,Paperback,bx_19316,wor_9524,9780802135162,9780802135162,-1,176,1997,(20 Aug 1997),Grove Press,Avalon Travel Publishing ,Oranges Are Not the Only Fruit,Oranges are Not the Only Fruit,1
bx_64003_wor_8016,L.M. MONTGOMERY,L. M. Montgomery,,Hardback,bx_64003,wor_8016,9780679854678,9780517189689,-1,256,1994,(1 Sep 1999),Random House Books for Young Readers,Random House USA Inc ,Anne of Green Gables,Anne of Green Gables,0
bx_27666_wor_12554,Dan Millman,Dan Millman,,Paperback,bx_27666,wor_12554,9780915811403,9780915811403,-1,228,1992,(1 Jul 1992),H.J. Kramer,H J Kramer ,No Ordinary Moments: A Peaceful Warrior's Guide to Daily Life,No Ordinary Moments: Peaceful Warrior's Approach to Daily Life,1
bx_7228_wor_5561,Rita Mae Brown,Rita Mae Brown,,Paperback,bx_7228,wor_5561,9780553572247,9780553763539,-1,356,1997,(1 May 1997),Bantam Books,Random House USA Inc ,Riding Shotgun,Riding Shotgun,0
bx_18897_wor_30072,Jean Craighead George,Jean Craighead George,,Hardback,bx_18897,wor_30072,9780590981811,9780525462699,-1,640,1988,(23 Oct 2000),Scholastic,Penguin Putnam Inc ,My Side of the Mountain,My Side of the Mountain Trilogy,0
bx_21816_wor_10530,Jean Giono,Jean Giono,,Paperback,bx_21816,wor_10530,9782070368723,9782070368723,-1,320,2000,(18 Feb 2000),Gallimard,Gallimard ,Le chant du monde,Le chant du monde,1
bx_41690_wor_3143,Jack London,Jack London,,Hardback,bx_41690,wor_3143,9780590430036,9781788882316,-1,112,1987,(15 Sep 2018),Scholastic,Arcturus Publishing Ltd ,Call of the Wild,The Call of the Wild,0
bx_228110_wor_13805,Matt Novak,Michael Crichton,,Paperback,bx_228110,wor_13805,9780060245023,9780007241002,-1,528,1996,(6 Aug 2007),HarperCollins Publishers,HarperCollins Publishers ,Newt,Next,0
bx_54965_wor_47862,David Hagberg,Deborah Wiles,,Paperback,bx_54965,wor_47862,9780312932121,9780545106061,-1,377,1990,(30 Apr 2013),St Martins Pr,Scholastic Paperbacks ,Countdown,Countdown,0
bx_106632_wor_41881,Carolyn Meyer,Carolyn Meyer,,Paperback,bx_106632,wor_41881,9780152045562,9780152045562,-1,214,2002,(1 Sep 2002),Gulliver Books Paperbacks,Harcourt Education ,"Beware, Princess Elizabeth: A Young Royals Book","Beware, Princess Elizabeth",1
