ids,label,bx_author,half_author,bx_binding,half_binding,bx_id,half_id,bx_isbn,half_isbn,bx_pages,half_pages,bx_pubdate,half_pubdate,bx_publisher,half_publisher,bx_title,half_title
bx_126612_half_2712,0,Richard Aleas,Richard Chase,,,bx_126612,half_2712,9781594141119,9780618346929,-1,216,2004,"Aug. 25th, 2003",Five Star (ME),Houghton Mifflin Harcourt (HMH),Little Girl Lost,The Jack Tales
bx_209096_half_2712,0,Richard Scarry,Richard Chase,,,bx_209096,half_2712,9780307116161,9780618346929,-1,216,1994,"Aug. 25th, 2003",Golden Books,Houghton Mifflin Harcourt (HMH),Richard Scarry's Things to Know,The Jack Tales
bx_159879_half_2076,0,Mercedes Lackey,Mercedes Lackey,,,bx_159879,half_2076,9780671578343,9780765317636,-1,304,1999,"Apr. 2nd, 2013",Baen,Tor Books,The Chrome Borne,Shadow Grail #3
bx_200004_half_2141,0,William Shakespeare,William Shakespeare,Paperback,,bx_200004,half_2141,9780174435822,9780810993259,-1,208,1998,"Apr. 1st, 2007",Arden Shakespeare,ABRAMS,Twelfth Night,Romeo and Juliet
bx_257811_half_2141,0,William Shakespeare,William Shakespeare,,,bx_257811,half_2141,9780435190095,9780810993259,-1,208,0,"Apr. 1st, 2007",Heinemann,ABRAMS,Romeo and Juliet,Romeo and Juliet
bx_34117_half_2141,0,William Shakespeare,William Shakespeare,,,bx_34117,half_2141,9780883016428,9780810993259,-1,208,1980,"Apr. 1st, 2007",Amer Guidance Service,ABRAMS,Romeo and Juliet,Romeo and Juliet
bx_81716_half_1230,0,Todd Strasser,Todd Strasser,,,bx_81716,half_1230,9780590250924,9780689848933,-1,208,1994,"Apr. 1st, 2002",Scholastic,Simon Pulse,Richie Rich,Give a Boy a Gun
bx_50412_half_1230,0,Todd Strasser,Todd Strasser,,,bx_50412,half_1230,9780689820748,9780689848933,-1,208,1998,"Apr. 1st, 2002",Simon Pulse,Simon Pulse,How I Created My Perfect Prom Date,Give a Boy a Gun
bx_37264_half_1230,1,Todd Strasser,Todd Strasser,,,bx_37264,half_1230,9780689848933,9780689848933,-1,208,2002,"Apr. 1st, 2002",Simon Pulse,Simon Pulse,Give a Boy a Gun,Give a Boy a Gun
bx_17265_half_994,0,Lois Duncan,Lois Duncan,,,bx_17265,half_994,9780385323314,9780440918059,-1,192,1997,"Sep. 30th, 1990",Delacorte Press,Laurel Leaf Library,Gallows Hill,Down a Dark Hall
bx_38833_half_994,1,Lois Duncan,Lois Duncan,,,bx_38833,half_994,9780440918059,9780440918059,-1,192,1997,"Sep. 30th, 1990",Laure Leaf,Laurel Leaf Library,Down a Dark Hall,Down a Dark Hall
bx_14361_half_1114,0,Julia Alvarez,Julia Alvarez,,,bx_14361,half_1114,9780452274426,9780375815454,-1,192,1995,"Apr. 13th, 2004",Plume Books,Laurel Leaf Library,In the Time of the Butterflies,Antes de Ser Libres
bx_13111_half_386,0,Ursula K. Le Guin,Ursula K. Le Guin,,,bx_13111,half_386,9780140306323,9780547773742,-1,320,1974,"Sep. 11th, 2012",Puffin Books,Graphia Books,The tombs of Atuan,A Wizard of Earthsea
bx_83319_half_386,0,Ursula K. Le Guin,Ursula K. Le Guin,,,bx_83319,half_386,9780590543361,9780547773742,-1,320,1996,"Sep. 11th, 2012",Scholastic Paperbacks (Mm),Graphia Books,Wonderful Alexander and the Catwings,A Wizard of Earthsea
bx_17431_half_2419,0,Jane Yolen,Jane Yolen,,,bx_17431,half_2419,9780060287368,9780394751887,-1,512,2002,"Aug. 12th, 1988",HarperCollins Publishers,Pantheon Books,Hippolyta and the Curse of the Amazons,Favorite Folktales from Around the World
bx_245039_half_513,0,Peg Kehret,Peg Kehret,,,bx_245039,half_513,9780671009625,9780689852732,-1,148,1998,"Aug. 24th, 2004",Aladdin,Aladdin Paperbacks,The BLIZZARD DISASTER,Escaping the Giant Wave
bx_171555_half_560,0,Michael Grant,Michael Grant,,,bx_171555,half_560,9780684193090,9780061449147,-1,492,1993,"Apr. 3rd, 2012",Scribner,Katherine Tegen Books,SOCIAL HISTORY OF GREECE AND ROME,Plague
bx_124948_half_1832,0,Gary Paulsen,Gary Paulsen,,,bx_124948,half_1832,9780440706946,9780152058395,-1,108,1991,"Nov. 1st, 2006",Yearling Books,Harcourt Paperbacks,The Boy Who Owned the School,The Rifle
bx_124948_half_2863,0,Gary Paulsen,Gary Paulsen,,,bx_124948,half_2863,9780440706946,9780440405245,-1,96,1991,"Oct. 1st, 1991",Yearling Books,Yearling Books,The Boy Who Owned the School,The Boy Who Owned the School
bx_260110_half_2863,1,Gary Paulsen,Gary Paulsen,,,bx_260110,half_2863,9780440405245,9780440405245,-1,96,1991,"Oct. 1st, 1991",Yearling Books,Yearling Books,The Boy Who Owned the School,The Boy Who Owned the School
bx_20008_half_904,0,Richard Laymon,Richard Peck,,,bx_20008,half_904,9780843950465,9780142300701,-1,144,2002,"Dec. 30th, 2002",Leisure Books,Puffin Books,Night in the Lonesome October,A Year Down Yonder
bx_25777_half_904,0,Richard Shenkman,Richard Peck,,,bx_25777,half_904,9780688013998,9780142300701,-1,144,1982,"Dec. 30th, 2002",Quill,Puffin Books,"One-Night Stands With American History: Odd, Amusing, and Little-Known Incidents",A Year Down Yonder
bx_66705_half_904,1,Richard Peck,Richard Peck,,,bx_66705,half_904,9780142300701,9780142300701,-1,144,2002,"Dec. 30th, 2002",Puffin Books,Puffin Books,A Year Down Yonder,A Year Down Yonder
bx_124634_half_898,0,John Marsden,John Marsden,,,bx_124634,half_898,9783401025995,9780439829120,-1,267,2000,"Aug. 1st, 2006",Arena,Scholastic Paperbacks,Checkers. .,A Killing Frost
bx_46880_half_638,0,Jane Yolen,Jane Yolen,,,bx_46880,half_638,9780440218982,9780765350411,-1,192,1994,"Jun. 30th, 2006",Laurel-Leaf Books,Starscape Books,2041: Twelve Short Stories About the Future by Top Science Fiction Writers,Pay the Piper
bx_129583_half_645,0,Antoine De Saint-Exupery,Antoine De Saint-Exupery,,,bx_129583,half_645,9782070393954,9782070612758,-1,113,2000,"Mar. 1st, 2007",Gallimard,Editions Gallimard,Vol de Nuit,Le Petit Prince
bx_141552_half_645,0,Antoine de Saint-Exupery,Antoine De Saint-Exupery,,,bx_141552,half_645,9780762408535,9782070612758,-1,113,2000,"Mar. 1st, 2007",Running Press Book Publishers,Editions Gallimard,Le Petit Prince Diary With Lock,Le Petit Prince
bx_199397_half_645,0,Antoine de Saint-Exupéry,Antoine De Saint-Exupery,,,bx_199397,half_645,9780152164157,9782070612758,-1,113,2001,"Mar. 1st, 2007",Harcourt Children's Books,Editions Gallimard,Le Petit Prince,Le Petit Prince
bx_113849_half_645,0,Antoine de Saint-Exupery,Antoine De Saint-Exupery,,,bx_113849,half_645,9783506464071,9782070612758,-1,113,1981,"Mar. 1st, 2007","F. Schöningh, Paderborn",Editions Gallimard,Le Petit Prince.,Le Petit Prince
bx_139329_half_2403,0,Mary Downing Hahn,Mary Downing Hahn,,,bx_139329,half_2403,9780380775309,9780380707645,-1,192,1994,"Sep. 1st, 1990",HarperTrophy,Harper Teen,The Wind Blows Backward,December Stillness
bx_52505_half_2403,1,Mary Downing Hahn,Mary Downing Hahn,,,bx_52505,half_2403,9780380707645,9780380707645,-1,192,1990,"Sep. 1st, 1990",HarperTrophy,Harper Teen,December Stillness,December Stillness
bx_14745_half_990,0,Michelle Magorian,Michelle Paver,,,bx_14745,half_990,9780064401746,9780060728274,-1,293,1986,"Feb. 21st, 2006",HarperTrophy,HarperTrophy,"Good Night, Mr. Tom",Wolf Brother
bx_14745_half_599,1,Michelle Magorian,Michelle Magorian,,,bx_14745,half_599,9780064401746,9780064401746,-1,336,1986,"Nov. 13th, 1986",HarperTrophy,HarperTrophy,"Good Night, Mr. Tom","Good Night, Mr. Tom"
bx_13179_half_504,0,James Patterson,James Patterson,,,bx_13179,half_504,9780446609401,9780316038348,-1,314,2001,"Oct. 31st, 2010",Warner Vision,"Little, Brown Books for Young Readers",Cradle and All,Witch & Wizard
bx_195164_half_2659,0,V. C. Andrews,V. C. Andrews,,,bx_195164,half_2659,9783442067640,9781442403017,-1,439,1984,"Nov. 10th, 2009",Goldmann,Simon Pulse,Das Netz im Dunkel. Roman.,Flowers in the Attic/Petals on the Wind
bx_78497_half_3003,0,William Sutcliffe,William Sleator,,,bx_78497,half_3003,9780140296099,9780140345803,-1,176,2000,"Apr. 1st, 1991",Penguin Books,Puffin Books,The Love Hexagon,The House of Stairs
bx_387_half_3003,1,William Sleator,William Sleator,,,bx_387,half_3003,9780140345803,9780140345803,-1,176,1991,"Apr. 1st, 1991",Puffin Books,Puffin Books,House of Stairs,The House of Stairs
bx_199954_half_1313,0,Herge,Herge,,,bx_199954,half_1313,9780416926507,9780316358361,-1,62,1968,"Apr. 30th, 1975",French  European Pubns,"Little, Brown Books for Young Readers",The Adventures of Tintin: Flight 714,Cigars of the Pharoah
bx_101382_half_1313,1,Herge,Herge,,,bx_101382,half_1313,9780316358361,9780316358361,-1,62,1975,"Apr. 30th, 1975","Little, Brown","Little, Brown Books for Young Readers",Cigars of the Pharoah,Cigars of the Pharoah
bx_199954_half_1192,0,Herge,Herge,,Paperback,bx_199954,half_1192,9780416926507,9780316358330,-1,62,1968,"Jun. 30th, 1974",French  European Pubns,"Little, Brown Books for Young Readers",The Adventures of Tintin: Flight 714,The Adventures of Tintin
bx_28306_half_1192,1,Herge,Herge,,Paperback,bx_28306,half_1192,9780316358330,9780316358330,-1,62,1974,"Jun. 30th, 1974","Little, Brown","Little, Brown Books for Young Readers",The Crab with the Golden Claws,The Adventures of Tintin
bx_123620_half_693,0,James Patterson,James Patterson,,,bx_123620,half_693,9781570420290,9780446545242,-1,242,1995,"Feb. 26th, 2013",Time Warner Audio Major,Grand Central Publishing,Kiss the Girls,Angel
bx_199673_half_936,0,John Marsden,John Marsden,,,bx_199673,half_936,9780330361361,9780439858021,-1,259,2000,"Oct. 1st, 2006",Pan Macmillan,Scholastic Paperbacks,The Night Is For Hunting,Darkness Be My Friend
bx_4199_half_677,0,WALTER DEAN MYERS,Walter Dean Myers,,,bx_4199,half_677,9780440967842,9780307976109,-1,151,1986,"Feb. 14th, 2012",Laure Leaf,Ember,The Outside Shot,145th Street
bx_4199_half_3008,1,WALTER DEAN MYERS,Walter Dean Myers,,,bx_4199,half_3008,9780440967842,9780440967842,-1,192,1986,"Dec. 1st, 1986",Laure Leaf,Laurel Leaf Library,The Outside Shot,The Outside Shot
bx_2686_half_1701,0,Ann M. Martin,Ann Matthews Martin,,,bx_2686,half_1701,9780590448598,9780439388818,-1,189,1992,"Jan. 1st, 2004",Scholastic Paperbacks (Mm),Scholastic Paperbacks,Karen's School Trip,A Corner of the Universe
bx_224139_half_3060,0,Mavis Jukes,Mavis Jukes,,,bx_224139,half_3060,9780679839989,9780679890270,-1,80,1993,"Sep. 8th, 1998",Random House Childrens Books,Alfred A. Knopf,Wild Iris Bloom,Growing Up: It's a Girl Thing
bx_9770_half_2391,0,T. A. Barron,T. A. Barron,,Paperback,bx_9770,half_2391,9780812536546,9780441006687,-1,284,1994,"Oct. 31st, 1999",Tor Books,Ace Books,The Ancient One,The Lost Years of Merlin
bx_79725_half_2391,0,T. A. Barron,T. A. Barron,,Paperback,bx_79725,half_2391,9780441007134,9780441006687,-1,284,2000,"Oct. 31st, 1999",Ace Books,Ace Books,The Fires of Merlin,The Lost Years of Merlin
bx_10282_half_2391,1,T. A. Barron,T. A. Barron,,Paperback,bx_10282,half_2391,9780441006687,9780441006687,-1,284,1999,"Oct. 31st, 1999",Ace Books,Ace Books,The Lost Years of Merlin,The Lost Years of Merlin
bx_92684_half_411,0,J. K. Rowling,J. K. Rowling,,Paperback,bx_92684,half_411,9780439358071,9783551354013,-1,334,2004,"Jul. 1st, 2005",Scholastic Paperbacks,Carlsen Verlag GmbH,Harry Potter and the Order of the Phoenix,Harry Potter Und der Stein der Weisen
bx_92684_half_129,1,J. K. Rowling,J. K. Rowling,,Paperback,bx_92684,half_129,9780439358071,9780439358071,-1,870,2004,"Sep. 1st, 2004",Scholastic Paperbacks,Scholastic,Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix
bx_55749_half_129,0,J. K. Rowling,J. K. Rowling,,Paperback,bx_55749,half_129,9780439203524,9780439358071,-1,870,2000,"Sep. 1st, 2004",Scholastic,Scholastic,Harry Potter and the Sorcerer's Stone,Harry Potter and the Order of the Phoenix
bx_153920_half_129,0,J. K. Rowling,J. K. Rowling,,Paperback,bx_153920,half_129,9780807220283,9780439358071,-1,870,2003,"Sep. 1st, 2004",Random House Audio,Scholastic,Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix
bx_213409_half_129,0,J. K. Rowling,J. K. Rowling,,Paperback,bx_213409,half_129,9780439567626,9780439358071,-1,870,2003,"Sep. 1st, 2004",Scholastic,Scholastic,Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix
bx_5506_half_129,0,J. K. Rowling,J. K. Rowling,,Paperback,bx_5506,half_129,9780439358064,9780439358071,-1,870,2003,"Sep. 1st, 2004",Scholastic,Scholastic,Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix
bx_86323_half_129,0,J. K. Rowling,J. K. Rowling,,Paperback,bx_86323,half_129,9780439567619,9780439358071,-1,870,2003,"Sep. 1st, 2004",Scholastic,Scholastic,Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix
bx_225393_half_2165,0,R.L. Stine,R. L. Stine,,,bx_225393,half_2165,9780671529611,9781442450684,-1,407,1997,"Jul. 10th, 2012",Simon Pulse,Simon Pulse,ALL NIGHT PARTY FEAR STREET 43,Temptation
bx_25713_half_141,0,J. K. Rowling,J. K. Rowling,,Paperback,bx_25713,half_141,9788478886463,9780545139700,-1,759,2001,"Jul. 7th, 2009",Lectorum Publications,Arthur A. Levine Books,Harry Potter y el cÃ¡liz de fuego,Harry Potter and the Deathly Hallows
bx_256873_half_141,0,J. K. Rowling,J. K. Rowling,,Paperback,bx_256873,half_141,9780439554909,9780545139700,-1,759,2003,"Jul. 7th, 2009",Arthur A. Levine Books,Arthur A. Levine Books,Harry Potter and the Goblet of Fire,Harry Potter and the Deathly Hallows
bx_25713_half_2033,1,J. K. Rowling,J. K. Rowling,,,bx_25713,half_2033,9788478886463,9788478886463,-1,563,2001,"May. 1st, 2001",Lectorum Publications,Lectorum Publications,Harry Potter y el cÃ¡liz de fuego,Harry Potter y el Caliz del Fuego = Harry Potter and the Goblet of Fire
bx_54067_half_2107,0,Mark Twain,Mark Twain,,Paperback,bx_54067,half_2107,9780451526533,9780140367492,-1,288,1997,"Feb. 1st, 1996",Signet Book,Puffin Books,Adventures of Tom Sawyer,The Prince and the Pauper
bx_105569_half_2107,0,Mark Twain,Mark Twain,,Paperback,bx_105569,half_2107,9780486411101,9780140367492,-1,288,2000,"Feb. 1st, 1996",Dover Publications,Puffin Books,The Prince and the Pauper,The Prince and the Pauper
bx_26439_half_2107,1,Mark Twain,Mark Twain,,Paperback,bx_26439,half_2107,9780140367492,9780140367492,-1,288,1996,"Feb. 1st, 1996",Puffin Books,Puffin Books,The Prince and the Pauper,The Prince and the Pauper
bx_188957_half_2386,0,Diana Wynne Jones,Diana Wynne Jones,,,bx_188957,half_2386,9780688078065,9780064472685,-1,608,1988,"Jan. 9th, 2001",Harpercollins Library,HarperTrophy,The Lives of Christopher Chant,"The Chronicles of Chrestomanci, Volume 1"
bx_28565_half_2386,0,Diana Wynne Jones,Diana Wynne Jones,,,bx_28565,half_2386,9780064473361,9780064472685,-1,608,2001,"Jan. 9th, 2001",HarperTrophy,HarperTrophy,Dark Lord of Derkholm,"The Chronicles of Chrestomanci, Volume 1"
bx_109546_half_2386,0,Diana Wynne Jones,Diana Wynne Jones,,,bx_109546,half_2386,9780064473156,9780064472685,-1,608,2001,"Jan. 9th, 2001",HarperTrophy,HarperTrophy,The Spellcoats,"The Chronicles of Chrestomanci, Volume 1"
bx_54716_half_2386,1,Diana Wynne Jones,Diana Wynne Jones,,,bx_54716,half_2386,9780064472685,9780064472685,-1,608,2001,"Jan. 9th, 2001",HarperTrophy,HarperTrophy,"The Chronicles of Chrestomanci, Volume 1: Charmed Life / The Lives of Christopher Chant","The Chronicles of Chrestomanci, Volume 1"
bx_219623_half_548,0,William Shakespeare,William Shakespeare,,,bx_219623,half_548,9780521434942,9780198328735,-1,174,1994,"May. 1st, 2009",Cambridge University Press,"Oxford University Press, USA",Hamlet,Othello
bx_216185_half_548,0,William Shakespeare,William Shakespeare,,,bx_216185,half_548,9780812036046,9780198328735,-1,174,1985,"May. 1st, 2009",Barron's Educational Series,"Oxford University Press, USA",Twelfth Night: Or What You Will,Othello
bx_171104_half_1123,0,Judy Blume,Judy Blume,,,bx_171104,half_1123,9780027110401,9780440984696,-1,224,1982,"Jul. 31st, 1982",Atheneum/Richard Jackson Books,Laurel Leaf Library,Iggie's House,Tiger Eyes
bx_171084_half_1123,0,Judy Blume,Judy Blume,,,bx_171084,half_1123,9780027110807,9780440984696,-1,224,1982,"Jul. 31st, 1982",Atheneum/Richard Jackson Books,Laurel Leaf Library,Tiger Eyes,Tiger Eyes
bx_10928_half_1123,1,Judy Blume,Judy Blume,,,bx_10928,half_1123,9780440984696,9780440984696,-1,224,1982,"Jul. 31st, 1982",Laure Leaf,Laurel Leaf Library,Tiger Eyes,Tiger Eyes
bx_166977_half_1690,0,Jack Canfield,Jack Canfield,,,bx_166977,half_1690,9781583754351,9780757303135,-1,345,1999,"Sep. 7th, 2005",Garborg's Heart 'n Home,Chicken Soup for the Soul,A Little Spoonful of Chicken Soup for the Teenage Soul,Chicken Soup for the Girl's Soul
bx_203088_half_1648,0,Richard Peck,Richard Peck,,,bx_203088,half_1648,9780440428619,9780142403105,-1,164,1994,"Apr. 21st, 2005",Yearling Books,Puffin Books,The Ghost Belonged to Me,The River Between Us
bx_28294_half_1017,0,Herge,Herge,,Paperback,bx_28294,half_1017,9780316358378,9780316358408,-1,62,1975,"Sep. 30th, 1975","Little, Brown","Little, Brown Books for Young Readers",Flight 714,The Adventures of Tintin
bx_28308_half_1017,1,Herge,Herge,,Paperback,bx_28308,half_1017,9780316358408,9780316358408,-1,62,1975,"Sep. 30th, 1975","Little, Brown","Little, Brown Books for Young Readers",The Seven Crystal Balls,The Adventures of Tintin
