ids,label,ban_author,half_author,ban_binding,half_binding,ban_id,half_id,ban_isbn,half_isbn,ban_pages,half_pages,ban_pubdate,half_pubdate,ban_publisher,half_publisher,ban_title,half_title
ban_2055_half_1928,1,Michael Carroll,Michael Carroll,,,ban_2055,half_1928,9780142421093,9780142421093,400,378,7/19/12,"Jul. 19th, 2012",Penguin Young Readers Group,Speak,The Ascension: A Super Human Clash: A Super Human Clash,The Ascension
ban_8215_half_2384,0,Peter Gasston,Peter Cameron,,,ban_8215,half_2384,9781593275808,9780312428167,304,229,,"Apr. 28th, 2009","No Starch Press San Francisco, CA",Picador USA,The Book of CSS3: A Developer's Guide to the Future of Web Design,Someday This Pain Will Be Useful to You
ban_1915_half_2384,1,Peter Cameron,Peter Cameron,,,ban_1915,half_2384,9780312428167,9780312428167,240,229,4/28/09,"Apr. 28th, 2009",Picador,Picador USA,Someday This Pain Will Be Useful to You,Someday This Pain Will Be Useful to You
ban_200_half_1216,0,C. C. Hunter,Erin Hunter,,,ban_200,half_1216,9781250035912,9780060871338,400,265,5/20/14,"Jan. 4th, 2011",St. Martin's Press,HarperCollins,Reborn,The Last Wilderness
ban_200_half_2986,0,C. C. Hunter,Zach Hunter,,,ban_200,half_2986,9781250035912,9780310726111,400,171,5/20/14,"Aug. 16th, 2011",St. Martin's Press,Zondervan,Reborn,Be the Change
ban_9663_half_1946,0,Michael Gregg,Michael Scott,,,ban_9663,half_1946,9780470179864,9780375873119,456,112,,"Sep. 28th, 2010",Wiley,Ember,Build Your Own Security Lab: A Field Guide for Network Testing / Edition 1,The Secrets of the Immortal Nicholas Flamel
ban_356_half_1946,0,Michael Scott,Michael Scott,,,ban_356,half_1946,9780385735308,9780375873119,512,112,4/27/10,"Sep. 28th, 2010",Random House Children's Books,Ember,The Sorceress,The Secrets of the Immortal Nicholas Flamel
ban_12459_half_1946,0,Michael W. Trosset,Michael Scott,,,ban_12459,half_1946,9781584889472,9780375873119,496,112,,"Sep. 28th, 2010",Taylor & Francis,Ember,An Introduction to Statistical Inference and Its Applications with R / Edition 1,The Secrets of the Immortal Nicholas Flamel
ban_1328_half_1946,1,Michael Scott,Michael Scott,,,ban_1328,half_1946,9780375873119,9780375873119,-1,112,9/28/10,"Sep. 28th, 2010",Random House Children's Books,Ember,The Secrets of the Immortal Nicholas Flamel: The First Codex,The Secrets of the Immortal Nicholas Flamel
ban_9450_half_1501,0,David Busch,David Klass,,,ban_9450,half_1501,9781285429977,9780312653026,256,288,,"Sep. 14th, 2010",Cengage Learning,Square Fish,David Busch's Olympus OM-D E-M5 Guide to Digital Photography,You Don't Know Me
ban_1726_half_1501,1,David Klass,David Klass,,,ban_1726,half_1501,9780312653026,9780312653026,288,288,9/14/10,"Sep. 14th, 2010",Square Fish,Square Fish,You Don't Know Me,You Don't Know Me
ban_7785_half_1817,0,Richard Leland Petersen,Richard Peck,,,ban_7785,half_1817,9781936280896,9780142412046,592,148,,"Oct. 16th, 2008",Surfing Turtle Press,Puffin Books,Ubuntu 14.04 Lts Server: Administration and Reference,On the Wings of Heroes
ban_7144_half_1688,0,Dave Johnson,Maureen Johnson,,,ban_7144,half_1688,9780071495806,9780061976810,428,288,,"Apr. 24th, 2012",McGraw-Hill Professional Publishing,Harper Teen,How to Do Everything: Digital Camera,The Last Little Blue Envelope
ban_1085_half_1688,1,Maureen Johnson,Maureen Johnson,,,ban_1085,half_1688,9780061976810,9780061976810,282,288,4/24/12,"Apr. 24th, 2012",HarperCollins Publishers,Harper Teen,The Last Little Blue Envelope,The Last Little Blue Envelope
ban_1898_half_598,0,L. J. Smith,Jeff Smith,,Paperback,ban_1898,half_598,9781612184623,9780439706346,308,150,11/12/13,"Feb. 1st, 2008",47North,Graphix,Unspoken,Ghost Circles
ban_1716_half_598,0,L. J. Smith,Jeff Smith,,Paperback,ban_1716,half_598,9780062003935,9780439706346,237,150,11/2/10,"Feb. 1st, 2008",HarperCollins Publishers,Graphix,Origins,Ghost Circles
ban_14021_half_939,0,Robert Lair,Robert Cormier,,,ban_14021,half_939,9781430234616,9780440229711,422,176,,"May. 13th, 2003",Apress,Laurel Leaf Library,Beginning Silverlight 5 in C#,The Rag and Bone Shop
ban_2201_half_939,1,Robert Cormier,Robert Cormier,,,ban_2201,half_939,9780440229711,9780440229711,176,176,5/13/03,"May. 13th, 2003",Random House Children's Books,Laurel Leaf Library,The Rag and Bone Shop,The Rag and Bone Shop
ban_5259_half_521,0,Amanda Smith,Roland Smith,,Paperback,ban_5259,half_521,9781297996191,9781585364565,570,256,08/22/2015,"Jun. 25th, 2010",Sagwan Press,Sleeping Bear Press,"An Autobiography, The Story Of The Lord's Dealings With Mrs. Amanda Smith, The Colored Evangelist: Containing An Account Of Her Life Work Of Faith, And Her Travels In America, England, Ireland, Scotland, India, And Africa, As An Independent",The White House
ban_5741_half_1638,0,Robert LeFevre,Robert Muchamore,,,ban_5741,half_1638,9781584451419,9780340956465,660,432,09/28/1999,"May. 6th, 2010","Pulpless.com, Incorporated",Hodder & Stoughton,"Way to Be Free, the Autobiography of Robert Lefevre: The Making of a Modern American Revolution",Brigands M.C.
ban_521_half_455,0,Huntley Fitzpatrick,Becca Fitzpatrick,,,ban_521,half_455,9780142423950,9781442426658,432,464,4/7/15,"Jan. 1st, 2013",Penguin Young Readers Group,Simon & Schuster Books for Young Readers,What I Thought Was True,Silence
ban_625_half_455,0,Becca Fitzpatrick,Becca Fitzpatrick,,,ban_625,half_455,9781416989448,9781442426658,464,464,1/3/12,"Jan. 1st, 2013",Simon & Schuster Books For Young Readers,Simon & Schuster Books for Young Readers,Crescendo,Silence
ban_339_half_455,1,Becca Fitzpatrick,Becca Fitzpatrick,,,ban_339,half_455,9781442426658,9781442426658,438,464,1/1/13,"Jan. 1st, 2013",Simon & Schuster Books For Young Readers,Simon & Schuster Books for Young Readers,Silence,Silence
ban_15164_half_1315,0,,,paperback,,ban_15164,half_1315,9780596515867,9781603209397,500,384,"December 9, 2011","Oct. 9th, 2012", O'Reilly Media,People,PHP & MySQL: The Missing Manual,People Celebrity Puzzler
ban_15033_half_1315,0,,,paperback,,ban_15033,half_1315,9788132216940,9781603209397,579,384,"December 21, 2013","Oct. 9th, 2012", Springer,People,"Proceedings of International Conference on Soft Computing Techniques and Engineering Application: ICSCTEA 2013, September 25-27, 2013, Kunming, China ... Systems and Computing)",People Celebrity Puzzler
ban_16681_half_1315,0,,,paperback,,ban_16681,half_1315,9781483333465,9781603209397,224,384,"February 11, 2015","Oct. 9th, 2012"," SAGE Publications, Inc ",People,Data Literacy: A User's Guide,People Celebrity Puzzler
ban_17210_half_1315,0,,,paperback,,ban_17210,half_1315,9780470149775,9781603209397,672,384,"January 10, 2008","Oct. 9th, 2012", Wiley,People,The Data Warehouse Lifecycle Toolkit,People Celebrity Puzzler
ban_17408_half_1315,0,,,paperback,,ban_17408,half_1315,9788441523111,9781603209397,896,384,January 2008,"Oct. 9th, 2012", Anaya Multimedia ,People,PHP y MySQL practico / Practical PHP and MySQL: Para Disenadores Y Programadores Web,People Celebrity Puzzler
ban_16958_half_1315,0,,,paperback,,ban_16958,half_1315,9780679791737,9781603209397,215,384,"November 9, 1993","Oct. 9th, 2012", Random House Information Group ,People,dBase Language Reference with Annotations,People Celebrity Puzzler
ban_16586_half_1315,0,,,paperback,,ban_16586,half_1315,9780769505060,9781603209397,703,384,March 2000,"Oct. 9th, 2012", Ieee ,People,"16th International Conference on Data Engineering: 29 February-3 March 2000 San Diego, California",People Celebrity Puzzler
ban_17200_half_1315,0,,,paperback,,ban_17200,half_1315,9780789719003,9781603209397,416,384,"April 1, 1999","Oct. 9th, 2012", Alpha ,People,The Complete Idiot's Guide to Microsoft Access 2000,People Celebrity Puzzler
ban_16280_half_1315,0,,,paperback,,ban_16280,half_1315,9780134310862,9781603209397,400,384,"February 29, 2016","Oct. 9th, 2012", Addison-Wesley Professional,People,Building Database Clouds in Oracle 12c,People Celebrity Puzzler
ban_16009_half_1315,0,,,paperback,,ban_16009,half_1315,9780679791614,9781603209397,220,384,"August 3, 1993","Oct. 9th, 2012", Random House Information Group ,People,USING SPREADSHEETS WITH DATABA,People Celebrity Puzzler
ban_14676_half_1315,0,,,paperback,,ban_14676,half_1315,9781937842321,9781603209397,118,384,"August 6, 2014","Oct. 9th, 2012", Questing Vole Press ,People,SQL Tricks,People Celebrity Puzzler
ban_16352_half_1315,0,,,paperback,,ban_16352,half_1315,9780764500091,9781603209397,397,384,June 1996,"Oct. 9th, 2012", John Wiley & Sons Inc ,People,More Microsoft Office for Windows 95 for Dummies: A Reference for the Rest of Us,People Celebrity Puzzler
ban_16657_half_1315,0,,,paperback,,ban_16657,half_1315,9781590595350,9781603209397,784,384,"February 2, 2006","Oct. 9th, 2012", Apress,People,The Definitive Guide to MySQL 5,People Celebrity Puzzler
ban_12255_half_349,0,Bruce Smith,L. J. Smith,,,ban_12255,half_349,9780992391676,9780062017710,402,416,,"Dec. 1st, 2012",BSB,Harper Teen,Raspberry Pi Insider Guide,The Vampire Diaries: The Hunters
ban_2069_half_349,0,L. J. Smith,L. J. Smith,,,ban_2069,half_349,9780062017741,9780062017710,416,416,10/22/13,"Dec. 1st, 2012",HarperCollins Publishers,Harper Teen,The Vampire Diaries: The Hunters: Destiny Rising,The Vampire Diaries: The Hunters
ban_12255_half_1079,0,Bruce Smith,L. J. Smith,,,ban_12255,half_1079,9780992391676,9780061963865,402,253,,"Sep. 1st, 2009",BSB,Harper Teen,Raspberry Pi Insider Guide,The Awakening
ban_1241_half_1079,1,L. J. Smith,L. J. Smith,,,ban_1241,half_1079,9780061963865,9780061963865,272,253,8/25/09,"Sep. 1st, 2009",HarperCollins Publishers,Harper Teen,The Awakening,The Awakening
ban_17095_half_2379,0,Nicholas Kassem,Nicholasa Mohr,paperback,,ban_17095,half_2379,9780201702774,9780064471008,368,272,"June 13, 2000","Mar. 19th, 1993", Addison-Wesley Professional,Harper Teen,Designing Enterprise Applications with the Java,El Bronx Remembered
ban_2258_half_334,0,Stephanie Spinner,Stephanie Perkins,,,ban_2258,half_334,9780440238454,9780142419403,240,400,12/12/06,"Aug. 4th, 2011",Random House Children's Books,Speak,Quicksilver,Anna and the French Kiss
ban_106_half_334,1,Stephanie Perkins,Stephanie Perkins,,,ban_106,half_334,9780142419403,9780142419403,400,400,8/4/11,"Aug. 4th, 2011",Penguin Young Readers Group,Speak,Anna and the French Kiss,Anna and the French Kiss
ban_293_half_2110,0,James Patterson,James Phelan,,,ban_293,half_2110,9780316154277,9780758280664,432,256,7/1/08,"Nov. 1st, 2012","Little, Brown Books for Young Readers",K-Teen,Saving the World and Other Extreme Sports,Chasers
ban_13546_half_2110,0,James Pyles,James Phelan,,,ban_13546,half_2110,9780470593516,9780758280664,-1,256,,"Nov. 1st, 2012","Wiley, John & Sons, Incorporated",K-Teen,PC Technician Street Smarts: A Real World Guide to CompTIA A+ Skills,Chasers
ban_293_half_867,0,James Patterson,James Patterson,,,ban_293,half_867,9780316154277,9780446194044,432,418,7/1/08,"Feb. 1st, 2008","Little, Brown Books for Young Readers",Grand Central Publishing,Saving the World and Other Extreme Sports,Saving the World and Other Extreme Sports
ban_293_half_567,0,James Patterson,James Patterson,,,ban_293,half_567,9780316154277,9780316101752,432,384,7/1/08,"Oct. 30th, 2012","Little, Brown Books for Young Readers",Little Brown and Company,Saving the World and Other Extreme Sports,Witch & Wizard
ban_256_half_567,0,James Patterson,James Patterson,,,ban_256,half_567,9781455530687,9780316101752,432,384,10/28/14,"Oct. 30th, 2012",Grand Central Publishing,Little Brown and Company,The Angel Experiment,Witch & Wizard
ban_293_half_518,1,James Patterson,James Patterson,,,ban_293,half_518,9780316154277,9780316154277,432,405,7/1/08,"Sep. 1st, 2008","Little, Brown Books for Young Readers","Little, Brown Young Readers",Saving the World and Other Extreme Sports,Saving the World and Other Extreme Sports
ban_1079_half_518,0,James Patterson,James Patterson,,,ban_1079,half_518,9780316038300,9780316154277,304,405,5/10/11,"Sep. 1st, 2008","Little, Brown Books for Young Readers","Little, Brown Young Readers",Demons and Druids,Saving the World and Other Extreme Sports
ban_2125_half_1063,0,Jacqueline Woodson,Jacqueline Woodson,,,ban_2125,half_1063,9780142423929,9780142415511,240,181,2/7/13,"Jan. 7th, 2010",Penguin Young Readers Group,Speak,Beneath a Meth Moon,Hush
ban_2624_half_3008,0,Walter Dean Myers,Walter Dean Myers,,,ban_2624,half_3008,9780375845451,9780440967842,256,192,2/10/09,"Dec. 1st, 1986",Random House Children's Books,Laurel Leaf Library,What They Found: Love on 145th Street,The Outside Shot
ban_2285_half_3008,1,Walter Dean Myers,Walter Dean Myers,,,ban_2285,half_3008,9780440967842,9780440967842,192,192,12/28/86,"Dec. 1st, 1986",Random House Children's Books,Laurel Leaf Library,The Outside Shot,The Outside Shot
ban_989_half_798,0,Tamora Pierce,Tamora Pierce,,Paperback,ban_989,half_798,9780375838170,9780689878558,576,274,5/25/10,"Jan. 6th, 2005",Random House Children's Books,Simon Pulse,Bloodhound,Alanna
ban_1712_half_798,0,Tamora Pierce,Tamora Pierce,,Paperback,ban_1712,half_798,9780375828799,9780689878558,448,274,9/28/04,"Jan. 6th, 2005",Random House Children's Books,Simon Pulse,Trickster's Choice,Alanna
ban_2216_half_798,0,Tamora Pierce,Tamora Pierce,,Paperback,ban_2216,half_798,9780689878565,9780689878558,288,274,1/28/05,"Jan. 6th, 2005",Simon Pulse,Simon Pulse,In the Hand of the Goddess,Alanna
ban_1515_half_798,1,Tamora Pierce,Tamora Pierce,,Paperback,ban_1515,half_798,9780689878558,9780689878558,240,274,1/6/05,"Jan. 6th, 2005",Simon Pulse,Simon Pulse,Alanna: The First Adventure,Alanna
ban_583_half_798,0,Tamora Pierce,Tamora Pierce,,Paperback,ban_583,half_798,9781481416498,9780689878558,1168,274,10/21/14,"Jan. 6th, 2005",Atheneum Books for Young Readers,Simon Pulse,Song of the Lioness Quartet: Alanna; In the Hand of the Goddess; The Woman Who Rides Like a Man; Lioness Rampant,Alanna
ban_989_half_2112,1,Tamora Pierce,Tamora Pierce,,Paperback,ban_989,half_2112,9780375838170,9780375838170,576,549,5/25/10,"May. 25th, 2010",Random House Children's Books,Random House Books for Young Readers,Bloodhound,Bloodhound
ban_2918_half_637,0,"Lemony Snicket, Brett Helquist, Brett Helquist",Lemony Snicket,,Paperback,ban_2918,half_637,9780060562250,9780061146312,240,168,05/06/2003,"May. 8th, 2007",HarperCollins Publishers,HarperTrophy,Lemony Snicket: The Unauthorized Autobiography,The Reptile Room
ban_2918_half_2596,1,"Lemony Snicket, Brett Helquist, Brett Helquist",Lemony Snicket,,,ban_2918,half_2596,9780060562250,9780060562250,240,240,05/06/2003,"May. 6th, 2003",HarperCollins Publishers,HarperTrophy,Lemony Snicket: The Unauthorized Autobiography,Lemony Snicket
ban_2604_half_873,0,Brian Jacques,Brian Jacques,,,ban_2604,half_873,9780441014361,9780441005482,336,333,3/27/07,"Jun. 1st, 1998",Penguin Publishing Group,Ace Books,High Rhulain,Redwall
ban_616_half_873,1,Brian Jacques,Brian Jacques,,,ban_616,half_873,9780441005482,9780441005482,352,333,9/28/97,"Jun. 1st, 1998",Penguin Publishing Group,Ace Books,Redwall,Redwall
ban_2285_half_2181,0,Walter Dean Myers,Walter Dean Myers,,,ban_2285,half_2181,9780440967842,9780060582968,192,218,12/28/86,"Jan. 27th, 2009",Random House Children's Books,Harper Teen,The Outside Shot,Game
ban_4301_half_1202,0,Christopher A. Newsome,Christopher Pike,,Paperback,ban_4301,half_1202,9781450089302,9781416983088,60,594,06/01/2010,"Aug. 4th, 2009",Xlibris Corporation,Simon Pulse,Autobiography Of A Mysterious Man,"Human Urges, Fatal Consequences"
ban_2410_half_1202,0,Christopher Pike,Christopher Pike,,Paperback,ban_2410,half_1202,9781442405967,9781416983088,789,594,7/6/10,"Aug. 4th, 2009",Simon Pulse,Simon Pulse,Remember Me: Remember Me; The Return; The Last Story,"Human Urges, Fatal Consequences"
ban_2115_half_1202,1,Christopher Pike,Christopher Pike,,Paperback,ban_2115,half_1202,9781416983088,9781416983088,624,594,8/4/09,"Aug. 4th, 2009",Simon Pulse,Simon Pulse,Thirst No. 1: The Last Vampire/ Black Blood/ Red Dice,"Human Urges, Fatal Consequences"
ban_2259_half_835,0,Walter Dean Myers,Walter Dean Myers,,,ban_2259,half_835,9780545055772,9780140326130,192,192,5/1/08,"Apr. 1st, 1988","Scholastic, Inc.",Puffin Books,Somewhere in the Darkness,"Fast Sam, Cool Clyde, and Stuff"
ban_2259_half_1180,1,Walter Dean Myers,Walter Dean Myers,,,ban_2259,half_1180,9780545055772,9780545055772,192,168,5/1/08,"May. 1st, 2008","Scholastic, Inc.",Scholastic Paperbacks,Somewhere in the Darkness,Somewhere in the Darkness
ban_2132_half_1180,0,Walter Dean Myers,Walter Dean Myers,,,ban_2132,half_1180,9780061214790,9780545055772,201,168,2/2/10,"May. 1st, 2008",HarperCollins Publishers,Scholastic Paperbacks,Dope Sick,Somewhere in the Darkness
ban_2349_half_2491,0,Kimberly Derting,Kimberly Reid,,,ban_2349,half_2491,9781442445604,9780758267412,368,261,12/31/13,"May. 1st, 2012",Margaret K. McElderry Books,K-Teen,The Essence,Creeping with the Enemy
ban_811_half_1914,0,Walter Dean Myers,Walter Dean Myers,,,ban_811,half_1914,9780307976116,9780060582937,224,212,2/14/12,"Oct. 31st, 2006",Random House Children's Books,Amistad Press,Hoops,Autobiography of My Dead Brother
ban_2983_half_1914,0,"Walter Dean Myers, Christopher Myers",Walter Dean Myers,,,ban_2983,half_1914,9780062046895,9780060582937,224,212,10/26/2010,"Oct. 31st, 2006",HarperCollins Publishers,Amistad Press,Autobiography of My Dead Brother,Autobiography of My Dead Brother
ban_811_half_677,0,Walter Dean Myers,Walter Dean Myers,,,ban_811,half_677,9780307976116,9780307976109,224,151,2/14/12,"Feb. 14th, 2012",Random House Children's Books,Ember,Hoops,145th Street
ban_1764_half_677,1,Walter Dean Myers,Walter Dean Myers,,,ban_1764,half_677,9780307976109,9780307976109,160,151,2/14/12,"Feb. 14th, 2012",Random House Children's Books,Ember,145th Street: Short Stories,145th Street
ban_811_half_541,0,Walter Dean Myers,Walter Dean Myers,,,ban_811,half_541,9780307976116,9780440938842,224,192,2/14/12,"Mar. 15th, 1983",Random House Children's Books,Laurel Leaf Library,Hoops,Hoops
ban_2101_half_64,0,Rick Christian,Rick Riordan,,Paperback,ban_2101,half_64,9781414313740,9781423101505,416,416,3/25/09,"Jan. 25th, 2011",Tyndale House Publishers,Hyperion Books,The One Year Alive Devotions for Students,"The Percy Jackson and the Olympians, Book Five"
ban_17037_half_64,0,Rebecca M. Riordan,Rick Riordan,paperback,Paperback,ban_17037,half_64,9780321205612,9781423101505,544,416,"July 26, 2004","Jan. 25th, 2011", Addison-Wesley Professional ,Hyperion Books,Seeing Data: Designing User Interfaces for Database Systems Using .NET,"The Percy Jackson and the Olympians, Book Five"
ban_2132_half_1670,0,Walter Dean Myers,Walter Dean Myers,,,ban_2132,half_1670,9780061214790,9780439916332,201,144,2/2/10,"Jul. 1st, 2011",HarperCollins Publishers,Scholastic Press,Dope Sick,The Cruisers
ban_2132_half_2595,1,Walter Dean Myers,Walter Dean Myers,,,ban_2132,half_2595,9780061214790,9780061214790,201,186,2/2/10,"Feb. 2nd, 2010",HarperCollins Publishers,Amistad Press,Dope Sick,Dope Sick
ban_1460_half_402,0,Sara Shepard,Sara Shepard,,,ban_1460,half_402,9780062128232,9780060887414,400,335,7/8/14,"Dec. 1st, 2008",HarperCollins Publishers,Harper Teen,Seven Minutes in Heaven,Unbelievable
ban_1739_half_402,0,Sara Shepard,Sara Shepard,,,ban_1739,half_402,9780061869730,9780060887414,336,335,7/31/12,"Dec. 1st, 2008",HarperCollins Publishers,Harper Teen,Never Have I Ever,Unbelievable
ban_1017_half_402,1,Sara Shepard,Sara Shepard,,,ban_1017,half_402,9780060887414,9780060887414,335,335,11/25/08,"Dec. 1st, 2008",HarperCollins Publishers,Harper Teen,Unbelievable,Unbelievable
ban_1460_half_1414,0,Sara Shepard,Sara Shepard,,,ban_1460,half_1414,9780062128232,9780062009548,400,286,7/8/14,"Jun. 8th, 2010",HarperCollins Publishers,Harper Teen,Seven Minutes in Heaven,Pretty Little Liars TV
ban_445_half_1414,0,Sara Shepard,Sara Shepard,,,ban_445,half_1414,9780062287021,9780062009548,352,286,5/12/15,"Jun. 8th, 2010",HarperCollins Publishers,Harper Teen,Toxic,Pretty Little Liars TV
ban_1645_half_1028,0,Sharon M. Draper,Sharon M. Draper,,,ban_1645,half_1028,9781442408975,9780689842313,272,192,4/1/14,"Dec. 30th, 2003",Atheneum Books for Young Readers,Aladdin Paperbacks,Panic,Double Dutch
ban_1645_half_17,0,Sharon M. Draper,Sharon M. Draper,,,ban_1645,half_17,9781442408975,9781416971719,272,295,4/1/14,"May. 1st, 2012",Atheneum Books for Young Readers,Atheneum Books for Young Readers,Panic,Out of My Mind
ban_2744_half_1306,0,Meg Cabot,Meg Cabot,,,ban_2744,half_1306,9780545040587,9780061479939,352,228,4/1/10,"Mar. 25th, 2008","Scholastic, Inc.",Harper Teen,Being Nikki,The Princess Diaries
ban_702_half_1306,1,Meg Cabot,Meg Cabot,,,ban_702,half_1306,9780061479939,9780061479939,256,228,3/25/08,"Mar. 25th, 2008",HarperCollins Publishers,Harper Teen,The Princess Diaries,The Princess Diaries
ban_2449_half_338,0,Laurie Halse Anderson,Laurie Halse Anderson,,,ban_2449,half_338,9780142405703,9780142414736,240,197,2/2/06,"Mar. 19th, 2009",Penguin Young Readers Group,Speak,Prom,Speak
ban_75_half_338,0,Laurie Halse Anderson,Laurie Halse Anderson,,,ban_75,half_338,9780312674397,9780142414736,224,197,5/10/11,"Mar. 19th, 2009",Square Fish,Speak,Speak,Speak
ban_2449_half_331,0,Laurie Halse Anderson,Laurie Halse Anderson,,,ban_2449,half_331,9780142405703,9780142411841,240,250,2/2/06,"May. 15th, 2008",Penguin Young Readers Group,Speak,Prom,Twisted
ban_2449_half_3032,1,Laurie Halse Anderson,Laurie Halse Anderson,,,ban_2449,half_3032,9780142405703,9780142405703,240,216,2/2/06,"Feb. 2nd, 2006",Penguin Young Readers Group,Puffin Books,Prom,Prom
ban_2745_half_2184,0,Holly Black,Holly Black,,,ban_2745,half_2184,9781442403406,9780316008105,352,403,4/3/12,"Jun. 7th, 2010",Margaret K. McElderry Books,"Little, Brown Books for Young Readers",Red Glove,Geektastic
ban_2745_half_2531,1,Holly Black,Holly Black,,,ban_2745,half_2531,9781442403406,9781442403406,352,325,4/3/12,"Apr. 3rd, 2012",Margaret K. McElderry Books,Margaret K. McElderry Books,Red Glove,Red Glove
ban_726_half_1128,0,John Corey Whaley,John Connolly,,,ban_726,half_1128,9781442458734,9781442429345,368,339,3/24/15,"Aug. 30th, 2011",Atheneum Books for Young Readers,Simon & Schuster Books for Young Readers,Noggin,The Book of Lost Things
ban_1056_half_1810,0,Tamora Pierce,Tamora Pierce,,Paperback,ban_1056,half_1810,9780375829062,9781442427655,432,260,8/24/04,"Apr. 19th, 2011",Random House Children's Books,Atheneum Books,Squire,The Woman Who Rides Like a Man
