ids,label,ban_author,wor_author,ban_binding,wor_binding,ban_id,wor_id,ban_isbn,wor_isbn,ban_pages,wor_pages,ban_pubdate,wor_pubdate,ban_publisher,wor_publisher,ban_title,wor_title
ban_2125_wor_29802,0,Jacqueline Woodson,Jacqueline Woodson,,,ban_2125,wor_29802,9780142423929,9780593147047,240,-1,2/7/13,(17 Sep 2019),Penguin Young Readers Group,Penguin Audiobooks ,Beneath a Meth Moon,Red at the Bone
ban_1067_wor_37459,0,Kristen Simmons,Kristen Simmons,,Paperback,ban_1067,wor_37459,9780765329639,9780765336644,384,352,1/20/15,(8 Aug 2016),Tom Doherty Associates,Tor Teen ,Three,The Glass Arrow
ban_1067_wor_37452,1,Kristen Simmons,Kristen Simmons,,Paperback,ban_1067,wor_37452,9780765329639,9780765329639,384,384,1/20/15,(4 Feb 2015),Tom Doherty Associates,Starscape ,Three,Three
ban_2872_wor_18870,0,Mark Twain,"Mark Twain, Benjamin Griffin, E.W. Kemble",,Hardback,ban_2872,wor_18870,9780520279940,9781597144780,792,192,10/15/2015,(17 Oct 2019),University of California Press,Heyday Books ,"Autobiography of Mark Twain, Volume 3: The Complete and Authoritative Edition",Mark Twain's Civil War: The Private History of a Campaign That Failed
ban_2872_wor_18865,0,Mark Twain,"Mark Twain, Harriet E. Smith, Robert Hirst",,Paperback,ban_2872,wor_18865,9780520279940,9780520272255,792,440,10/15/2015,(7 Feb 2012),University of California Press,University of California Press ,"Autobiography of Mark Twain, Volume 3: The Complete and Authoritative Edition","Autobiography of Mark Twain: Volume 1, Reader's Edition"
ban_3014_wor_18865,0,Mark Twain,"Mark Twain, Harriet E. Smith, Robert Hirst",,Paperback,ban_3014,wor_18865,9780520952447,9780520272255,440,440,03/26/2012,(7 Feb 2012),University of California Press,University of California Press ,"Autobiography of Mark Twain: Volume 1, Reader's Edition","Autobiography of Mark Twain: Volume 1, Reader's Edition"
ban_2872_wor_18867,0,Mark Twain,"Mark Twain, Lin Salamo, Benjamin Griffin, Victor Fischer, Michael B. Frank, Sharon K. Goetz, Leslie Diane Myrick, Robert Hirst, Harriet E. Smith",,Hardback,ban_2872,wor_18867,9780520279940,9780520267190,792,760,10/15/2015,(15 Oct 2010),University of California Press,University of California Press ,"Autobiography of Mark Twain, Volume 3: The Complete and Authoritative Edition","Autobiography of Mark Twain, Volume 1: The Complete and Authoritative Edition"
ban_2889_wor_18867,0,Mark Twain,"Mark Twain, Lin Salamo, Benjamin Griffin, Victor Fischer, Michael B. Frank, Sharon K. Goetz, Leslie Diane Myrick, Robert Hirst, Harriet E. Smith",,Hardback,ban_2889,wor_18867,9780520272781,9780520267190,776,760,10/05/2013,(15 Oct 2010),University of California Press,University of California Press ,"Autobiography of Mark Twain, Volume 2: The Complete and Authoritative Edition","Autobiography of Mark Twain, Volume 1: The Complete and Authoritative Edition"
ban_433_wor_43640,0,Spectrum,Spectrum,,Paperback,ban_433,wor_43640,9781483812113,9780769630144,160,160,8/15/14,(1 Sep 2003),"Carson-Dellosa Publishing Company, Incorporated",Spectrum ,"Spectrum Language Arts, Grade 7","Florida Test Prep, Grade 4"
ban_3533_wor_23660,0,James Weldon Johnson,James Weldon Johnson,,Hardback,ban_3533,wor_23660,2940148402671,9781374907768,-1,214,09/10/2013,(25 May 2017),Civitas Media LLC,Pinnacle Press ,The Autobiography of an Ex-Colored Man,The Book of American Negro Poetry
ban_3533_wor_23659,0,James Weldon Johnson,James Weldon Johnson,,Hardback,ban_3533,wor_23659,2940148402671,9781604592184,-1,112,09/10/2013,(17 Jan 2008),Civitas Media LLC,Wilder Publications ,The Autobiography of an Ex-Colored Man,The Autobiography of an Ex-Colored Man
ban_4925_wor_23659,0,Johnson James Weldon 1871-1938,James Weldon Johnson,,Hardback,ban_4925,wor_23659,9781314015218,9781604592184,234,112,01/28/2013,(17 Jan 2008),HardPress Publishing,Wilder Publications ,The Autobiography of an Ex-Colored Man,The Autobiography of an Ex-Colored Man
ban_5890_wor_23659,0,James Weldon Johnson,James Weldon Johnson,,Hardback,ban_5890,wor_23659,9781458703415,9781604592184,-1,112,05/06/2009,(17 Jan 2008),ReadHowYouWant,Wilder Publications ,The Autobiography of an Ex-Colored Man,The Autobiography of an Ex-Colored Man
ban_2899_wor_23659,0,James Weldon Johnson,James Weldon Johnson,,Hardback,ban_2899,wor_23659,9780486285122,9781604592184,112,112,05/10/1995,(17 Jan 2008),Dover Publications,Wilder Publications ,The Autobiography of an Ex-Colored Man,The Autobiography of an Ex-Colored Man
ban_3533_wor_23674,0,James Weldon Johnson,James Weldon Johnson,,Paperback,ban_3533,wor_23674,2940148402671,9783732695492,-1,110,09/10/2013,(23 May 2018),Civitas Media LLC,Outlook Verlag ,The Autobiography of an Ex-Colored Man,The Autobiography of an Ex-Colored Man
ban_5698_wor_23674,0,James Weldon Johnson Summary & Study Guide,James Weldon Johnson,,Paperback,ban_5698,wor_23674,2940013018570,9783732695492,-1,110,09/05/2011,(23 May 2018),BookRags.com,Outlook Verlag ,The Autobiography of an Ex-Colored Man,The Autobiography of an Ex-Colored Man
ban_3698_wor_23674,0,James Johnson,James Weldon Johnson,,Paperback,ban_3698,wor_23674,9781456314880,9783732695492,92,110,10/27/2010,(23 May 2018),CreateSpace Publishing,Outlook Verlag ,The Autobiography of an Ex-Colored Man,The Autobiography of an Ex-Colored Man
ban_5890_wor_23674,0,James Weldon Johnson,James Weldon Johnson,,Paperback,ban_5890,wor_23674,9781458703415,9783732695492,-1,110,05/06/2009,(23 May 2018),ReadHowYouWant,Outlook Verlag ,The Autobiography of an Ex-Colored Man,The Autobiography of an Ex-Colored Man
ban_2899_wor_23674,0,James Weldon Johnson,James Weldon Johnson,,Paperback,ban_2899,wor_23674,9780486285122,9783732695492,112,110,05/10/1995,(23 May 2018),Dover Publications,Outlook Verlag ,The Autobiography of an Ex-Colored Man,The Autobiography of an Ex-Colored Man
ban_3533_wor_12589,0,James Weldon Johnson,James Weldon Johnson,,Paperback,ban_3533,wor_12589,2940148402671,9780140184020,-1,192,09/10/2013,(1 Feb 1990),Civitas Media LLC,Penguin Books Ltd ,The Autobiography of an Ex-Colored Man,The Autobiography of an Ex-Colored Man
ban_3698_wor_12589,0,James Johnson,James Weldon Johnson,,Paperback,ban_3698,wor_12589,9781456314880,9780140184020,92,192,10/27/2010,(1 Feb 1990),CreateSpace Publishing,Penguin Books Ltd ,The Autobiography of an Ex-Colored Man,The Autobiography of an Ex-Colored Man
ban_1460_wor_29845,0,Sara Shepard,Sara Shepard,,Hardback,ban_1460,wor_29845,9780062128232,9780606122610,400,286,7/8/14,(21 Aug 2007),HarperCollins Publishers,Turtleback Books ,Seven Minutes in Heaven,Pretty Little Liars
ban_1028_wor_34936,0,Brian Jacques,Brian Jacques,,Paperback,ban_1028,wor_34936,9780142501528,9781862301436,400,384,9/15/03,(3 Aug 2006),Penguin Young Readers Group,Random House Children's Publishers UK ,Salamandastron,Martin the Warrior
ban_3958_wor_14534,0,"Anna Sewell, Jonathan Keeble",Anna Sewell,,Paperback,ban_3958,wor_14534,9781402211683,9781840227611,144,208,09/01/2008,(7 Jan 2018),Sourcebooks,Wordsworth Editions Ltd ,Black Beauty with CD: The Autobiography of a Horse,Black Beauty
ban_3958_wor_14550,0,"Anna Sewell, Jonathan Keeble","Anna Sewell, Sabrina Kelsey",,Paperback,ban_3958,wor_14550,9781402211683,9781633842915,144,150,09/01/2008,(25 May 2015),Sourcebooks,Illustrated Books ,Black Beauty with CD: The Autobiography of a Horse,Black Beauty
ban_2618_wor_41401,0,Andrew Lane,Andrew Lane,,Paperback,ban_2618,wor_41401,9781250050724,9781848126633,368,288,10/21/14,(11 Jul 2018),Square Fish,Templar Publishing ,Fire Storm,AWOL 1 Agent Without Licence
ban_1705_wor_32677,0,Darren Shan,Darren Shan,,Paperback,ban_1705,wor_32677,9780316013888,9780007260393,240,240,11/1/07,(1 Oct 2008),"Little, Brown Books for Young Readers",HarperCollins Publishers ,Slawter,Death's Shadow
ban_2115_wor_32428,0,Christopher Pike,Christopher Pike,,Paperback,ban_2115,wor_32428,9781416983088,9781442431065,624,256,8/4/09,(26 Apr 2011),Simon Pulse,Simon & Schuster ,Thirst No. 1: The Last Vampire/ Black Blood/ Red Dice,Road to Nowhere
ban_2115_wor_32438,1,Christopher Pike,Christopher Pike,,Paperback,ban_2115,wor_32438,9781416983088,9781416983088,624,512,8/4/09,(1 Aug 2009),Simon Pulse,Simon & Schuster ,Thirst No. 1: The Last Vampire/ Black Blood/ Red Dice,"Thirst No. 1: Human Urges, Fatal Consequences"
ban_956_wor_29830,0,Sara Shepard,Sara Shepard,,Paperback,ban_956,wor_29830,9780060887353,9780061801310,352,-1,2/19/08,(27 Oct 2009),HarperCollins Publishers,HarperCollins Publishers Inc ,Flawless,Pretty Little Liars: 4-Book Collection
ban_211_wor_29830,1,Sara Shepard,Sara Shepard,,Paperback,ban_211,wor_29830,9780061801310,9780061801310,-1,-1,10/27/09,(27 Oct 2009),HarperCollins Publishers,HarperCollins Publishers Inc ,Pretty Little Liars Box Set: Pretty Little Liars / Flawless / Perfect / Unbelievable,Pretty Little Liars: 4-Book Collection
ban_581_wor_32296,0,Alexander Gordon Smith,Alexander Gordon Smith,,Paperback,ban_581,wor_32296,9780312674410,9780571303427,288,272,2/14/12,(1 Aug 2013),Square Fish,Faber & Faber ,Death Sentence: Escape from Furnace 3,Escape from Furnace 2: Solitary
ban_581_wor_32305,1,Alexander Gordon Smith,Alexander Gordon Smith,,Paperback,ban_581,wor_32305,9780312674410,9780312674410,288,261,2/14/12,(14 Feb 2012),Square Fish,St Martin's Press ,Death Sentence: Escape from Furnace 3,Death Sentence
ban_2852_wor_30436,0,M. T. Anderson,M. T. Anderson,,Paperback,ban_2852,wor_30436,9780763646264,9780763691004,592,464,10/13/09,(1 Mar 2017),Candlewick Press,"Candlewick Press,U.S. ","The Astonishing Life of Octavian Nothing, Traitor to the Nation, Volume II: The Kingdom on the Waves",Symphony for the City of the Dead: Dmitri Shostakovich and the Siege of Leningrad
ban_1777_wor_31649,0,Lisi Harrison,Lisi Harrison,,Paperback,ban_1777,wor_31649,9780316701297,9780316701310,224,197,5/28/04,(1 Oct 2004),"Little, Brown Books for Young Readers","Little, Brown & Company ",The Clique,Best Friends for Never
ban_1826_wor_31649,1,Lisi Harrison,Lisi Harrison,,Paperback,ban_1826,wor_31649,9780316701310,9780316701310,208,197,9/30/04,(1 Oct 2004),"Little, Brown Books for Young Readers","Little, Brown & Company ",Best Friends for Never,Best Friends for Never
ban_1777_wor_31660,0,Lisi Harrison,Lisi Harrison,,Paperback,ban_1777,wor_31660,9780316701297,9780316701334,224,304,5/28/04,(2 Mar 2005),"Little, Brown Books for Young Readers","Little, Brown & Company ",The Clique,The Clique #3: The Revenge of the Wannabes
ban_1387_wor_822,0,Terry Brooks,Terry Brooks,,Paperback,ban_1387,wor_822,9780345424648,9781841495491,408,624,6/28/99,(1 Jan 2000),Random House Publishing Group,"Little, Brown Book Group ",A Knight of the Word,The Elfstones Of Shannara: The original Shannara Trilogy
ban_2124_wor_25510,0,Chris Crutcher,Chris Crutcher,,Paperback,ban_2124,wor_25510,9780060598402,9780061914829,288,288,10/5/04,(25 Mar 2014),HarperCollins Publishers,HarperCollins Publishers Inc ,Ironman,Period 8
ban_2139_wor_25510,1,Chris Crutcher,Chris Crutcher,,Paperback,ban_2139,wor_25510,9780061914829,9780061914829,288,288,3/25/14,(25 Mar 2014),HarperCollins Publishers,HarperCollins Publishers Inc ,Period 8,Period 8
ban_2124_wor_31419,1,Chris Crutcher,Chris Crutcher,,Paperback,ban_2124,wor_31419,9780060598402,9780060598402,288,288,10/5/04,(3 Dec 2004),HarperCollins Publishers,HarperCollins Publishers Inc ,Ironman,Ironman
ban_540_wor_28232,0,Veronica Rossi,Veronica Roth,,Paperback,ban_540,wor_28232,9780062072047,9780007584642,400,304,12/4/12,(27 Aug 2015),HarperCollins Publishers,HarperCollins Publishers ,Under the Never Sky,Four: A Divergent Collection
ban_540_wor_34255,0,Veronica Rossi,Veronica Rossi,,Paperback,ban_540,wor_34255,9780062072047,9780349001487,400,384,12/4/12,(1 Jan 2013),HarperCollins Publishers,"Little, Brown Book Group ",Under the Never Sky,Under The Never Sky: Number 1 in series
ban_540_wor_34271,0,Veronica Rossi,Veronica Rossi,,Paperback,ban_540,wor_34271,9780062072047,9781907411052,400,384,12/4/12,(7 Feb 2012),HarperCollins Publishers,"Little, Brown Book Group ",Under the Never Sky,Under the Never Sky: 1
ban_540_wor_34258,0,Veronica Rossi,Veronica Rossi,,Hardback,ban_540,wor_34258,9780062072047,9780062072030,400,376,12/4/12,(3 Jan 2012),HarperCollins Publishers,HarperCollins Publishers Inc ,Under the Never Sky,Under the Never Sky
ban_540_wor_34267,1,Veronica Rossi,Veronica Rossi,,Paperback,ban_540,wor_34267,9780062072047,9780062072047,400,376,12/4/12,(4 Dec 2012),HarperCollins Publishers,HarperCollins Publishers Inc ,Under the Never Sky,Under the Never Sky
ban_2244_wor_41713,0,Anna Godbersen,Anna Godbersen,,Hardback,ban_2244,wor_41713,9780061962714,9780061962684,375,368,6/18/13,(20 Sep 2011),HarperCollins Publishers,HarperCollins ,The Lucky Ones,Beautiful Days
ban_2244_wor_41715,1,Anna Godbersen,Anna Godbersen,,Paperback,ban_2244,wor_41715,9780061962714,9780061962714,375,400,6/18/13,(20 Jun 2013),HarperCollins Publishers,HarperCollins Publishers Inc ,The Lucky Ones,The Lucky Ones
ban_6390_wor_27437,0,Lesslie Newbigin,Lesslie Newbigin,,Paperback,ban_6390,wor_27437,9781606088050,9781597522281,290,200,06/28/2009,(1 Jun 2005),Wipf  Stock Publishers,Wipf & Stock Publishers ,Unfinished Agenda: An Updated Autobiography,"Faith and Power: Christianity and Islam in ""Secular"" Britain"
ban_845_wor_820,0,Terry Brooks,Terry Brooks,,Paperback,ban_845,wor_820,9780345356369,9780356510187,512,384,7/28/88,(21 Jun 2018),Random House Publishing Group,"Little, Brown Book Group ",The Wishsong of Shannara,The Skaar Invasion: Book Two of the Fall of Shannara
ban_845_wor_8815,1,Terry Brooks,Terry Brooks,,Paperback,ban_845,wor_8815,9780345356369,9780345356369,512,512,7/28/88,(12 Jul 1988),Random House Publishing Group,Random House USA Inc ,The Wishsong of Shannara,The Wishsong of Shannara
ban_327_wor_31559,0,Sheila Burnford,Sheila Burnford,,Paperback,ban_327,wor_31559,9780440226703,9781405884006,160,80,12/28/95,(12 Mar 2008),Random House Children's Books,Pearson Education Limited ,The Incredible Journey,The Incredible Journey Book and Cassette Pack
ban_327_wor_31554,0,Sheila Burnford,Sheila Burnford,,Hardback,ban_327,wor_31554,9780440226703,9780385322799,160,160,12/28/95,(1 Apr 2002),Random House Children's Books,Bantam Doubleday Dell Publishing Group Inc ,The Incredible Journey,"Incredible Journey, the"
ban_327_wor_31560,0,Sheila Burnford,Sheila Burnford,,Hardback,ban_327,wor_31560,9780440226703,9780812415926,160,145,12/28/95,(1 Dec 1995),Random House Children's Books,Perfection Learning ,The Incredible Journey,Incredible Journey
ban_327_wor_31551,0,Sheila Burnford,Sheila Burnford,,Paperback,ban_327,wor_31551,9780440226703,9780440413240,160,145,12/28/95,(6 Oct 1998),Random House Children's Books,Bantam Doubleday Dell Publishing Group Inc ,The Incredible Journey,The Incredible Journey
ban_327_wor_31555,0,Sheila Burnford,Sheila Burnford,,Hardback,ban_327,wor_31555,9780440226703,9780613862363,160,160,12/28/95,(22 Jan 1997),Random House Children's Books,Turtleback Books ,The Incredible Journey,The Incredible Journey
ban_327_wor_31557,1,Sheila Burnford,Sheila Burnford,,Paperback,ban_327,wor_31557,9780440226703,9780440226703,160,160,12/28/95,(1 Jan 1920),Random House Children's Books,Bantam Doubleday Dell Publishing Group Inc ,The Incredible Journey,Incredible Journey
ban_347_wor_28295,0,Sean Covey,Sean Covey,,Paperback,ban_347,wor_28295,9781476764689,9781534415850,240,224,5/27/14,(24 Apr 2018),Touchstone,Simon & Schuster Books for Young Readers ,The 7 Habits of Highly Effective Teens Personal Workbook,The 7 Habits of Happy Kids Collection
ban_347_wor_28292,0,Sean Covey,Sean Covey,,Paperback,ban_347,wor_28292,9781476764689,9781476764665,240,288,5/27/14,(1 Jun 2014),Touchstone,Simon & Schuster ,The 7 Habits of Highly Effective Teens Personal Workbook,The 7 Habits of Highly Effective Teens
ban_47_wor_28292,1,Sean Covey,Sean Covey,,Paperback,ban_47,wor_28292,9781476764665,9781476764665,288,288,5/27/14,(1 Jun 2014),Touchstone,Simon & Schuster ,The 7 Habits of Highly Effective Teens,The 7 Habits of Highly Effective Teens
ban_347_wor_28289,0,Sean Covey,Sean Covey,,Paperback,ban_347,wor_28289,9781476764689,9781929494170,240,64,5/27/14,(3 Feb 2007),Touchstone,Simon & Schuster ,The 7 Habits of Highly Effective Teens Personal Workbook,The 7 Habits of Highly Effective Teens: Workbook
ban_166_wor_28289,1,Sean Covey,Sean Covey,,Paperback,ban_166,wor_28289,9781929494170,9781929494170,64,64,12/28/99,(3 Feb 2007),Franklin Covey Company,Simon & Schuster ,The 7 Habits of Highly Effective Teens Workbook,The 7 Habits of Highly Effective Teens: Workbook
ban_347_wor_28299,1,Sean Covey,Sean Covey,,Paperback,ban_347,wor_28299,9781476764689,9781476764689,240,240,5/27/14,(1 Jun 2014),Touchstone,Simon & Schuster ,The 7 Habits of Highly Effective Teens Personal Workbook,7 Habits of Highly Effective Teens Personal Workbook
ban_1171_wor_48216,0,Jack Canfield,Jack Canfield,,,ban_1171,wor_48216,9781623610104,9781455891542,400,-1,9/18/12,(3 Dec 2012),"Backlist, LLC - a unit of Chicken Soup of the Soul Publishing LLC",Brilliance Corporation ,Chicken Soup for the Christian Teenage Soul: Stories to Open the Hearts of Christian Teens,Chicken Soup for the Soul - Shaping the New You: 101 Encouraging Stories About Dieting and Fitness...and Finding What Works for You
ban_1171_wor_48218,0,Jack Canfield,Jack Canfield,,,ban_1171,wor_48218,9781623610104,9781455833092,400,-1,9/18/12,(6 Dec 2011),"Backlist, LLC - a unit of Chicken Soup of the Soul Publishing LLC",Brilliance Corporation ,Chicken Soup for the Christian Teenage Soul: Stories to Open the Hearts of Christian Teens,"Chicken Soup for the Soul What I Learned from the Dog: 101 Stories About Life Love, and Lessons"
ban_2426_wor_36746,0,Joseph Delaney,Joseph Delaney,,Paperback,ban_2426,wor_36746,9780061730313,9781862307414,176,384,4/27/10,(27 Feb 2014),HarperCollins Publishers,Random House Children's Publishers UK ,The Spook's Tale and Other Horrors,Spook's: Alice: Book 12
ban_197_wor_9631,0,James Patterson,James Patterson,,Paperback,ban_197,wor_9631,9781455547746,9780446677387,352,481,5/27/14,(1 Jul 2000),Grand Central Publishing,Grand Central Publishing ,Confessions of a Murder Suspect,Kiss the Girls
ban_1051_wor_15760,0,David Weber,"David Weber, David Weber, Timothy Zahn, Jane Lindskold",,Hardback,ban_1051,wor_15760,9781451638264,9781451639247,384,400,9/4/12,(14 Jul 2013),Baen,Baen Books ,A Beautiful Friendship,Worlds of Honor 6: Beginnings
ban_1158_wor_32043,0,Lauren Kate,Lauren Kate,,Paperback,ban_1158,wor_32043,9780385742665,9780552567527,480,400,10/28/14,(29 Apr 2015),Random House Children's Books,Random House Children's Publishers UK ,Teardrop,Waterfall
ban_1158_wor_32052,1,Lauren Kate,Lauren Kate,,Paperback,ban_1158,wor_32052,9780385742665,9780385742665,480,480,10/28/14,(28 Oct 2014),Random House Children's Books,Ember ,Teardrop,Teardrop
ban_2082_wor_30378,0,Jasmine Jones,Diana Wynne Jones,,Paperback,ban_2082,wor_30378,9780060772529,9780006755302,144,288,12/14/04,(2 Oct 2000),HarperCollins Publishers,HarperCollins Publishers ,Coach Carter,Castle in the Air
ban_320_wor_29841,0,Sara Shepard,Sara Shepard,,Paperback,ban_320,wor_29841,9780062102546,9781907411939,1280,416,7/5/11,(18 Oct 2012),HarperCollins Publishers,"Little, Brown Book Group ",Pretty Little Liars Second Collection Box Set: Wicked / Killer / Heartless / Wanted,Pretty Little Secrets: A Pretty Little Liars Collection
ban_1819_wor_35993,0,Gemma Malley,Gemma Malley,,Hardback,ban_1819,wor_35993,9781599902951,9781408800898,320,288,9/2/08,(6 Sep 2010),Bloomsbury USA,Bloomsbury Publishing PLC ,The Declaration,The Legacy
ban_1819_wor_35992,0,Gemma Malley,Gemma Malley,,Hardback,ban_1819,wor_35992,9781599902951,9781599901190,320,300,9/2/08,(2 Oct 2007),Bloomsbury USA,Bloomsbury Publishing PLC ,The Declaration,The Declaration
ban_1819_wor_35982,1,Gemma Malley,Gemma Malley,,Paperback,ban_1819,wor_35982,9781599902951,9781599902951,320,300,9/2/08,(1 Sep 2008),Bloomsbury USA,Bloomsbury Publishing Plc ,The Declaration,The Declaration
ban_3037_wor_23510,0,Benjamin Franklin,Benjamin Franklin,,Paperback,ban_3037,wor_23510,2940015855920,9781420922387,-1,108,07/13/2015,(1 Jan 2005),Unforgotten Classics,Digireads.com ,Benjamin Franklin - His Autobiography,The Autobiography of Benjamin Franklin
ban_2877_wor_23510,0,Benjamin Franklin,Benjamin Franklin,,Paperback,ban_2877,wor_23510,9780486290737,9781420922387,144,108,06/07/1996,(1 Jan 2005),Dover Publications,Digireads.com ,The Autobiography of Benjamin Franklin,The Autobiography of Benjamin Franklin
ban_2776_wor_12106,0,Marion Zimmer Bradley,Marion Zimmer Bradley,,Paperback,ban_2776,wor_12106,9780451456526,9780451458629,480,394,6/28/98,(1 Aug 2002),Penguin Publishing Group,Penguin Putnam Inc ,Lady of Avalon,Priestess of Avalon
ban_2296_wor_12106,1,Marion Zimmer Bradley,Marion Zimmer Bradley,,Paperback,ban_2296,wor_12106,9780451458629,9780451458629,416,394,7/28/02,(1 Aug 2002),Penguin Publishing Group,Penguin Putnam Inc ,Priestess of Avalon,Priestess of Avalon
ban_2776_wor_8093,1,Marion Zimmer Bradley,,,Paperback,ban_2776,wor_8093,9780451456526,9780451456526,480,448,6/28/98,(25 Jun 1998),Penguin Publishing Group,Penguin Putnam Inc ,Lady of Avalon,Lady of Avalon
