ids,ban_author,wor_author,ban_binding,wor_binding,ban_id,wor_id,ban_isbn,wor_isbn,ban_pages,wor_pages,ban_pubdate,wor_pubdate,ban_publisher,wor_publisher,ban_title,wor_title,label
ban_2850_wor_44579,Jeyn Roberts,Jeyn Roberts,,Hardback,ban_2850,wor_44579,9781442423527,9780230756182,327,368,9/4/12,(2 Sep 2011),Simon & Schuster Books For Young Readers,Pan Macmillan ,Dark Inside,Dark Inside,0
ban_874_wor_39178,Michael Thomas Ford,Michael Thomas Ford,,Paperback,ban_874,wor_39178,9780060737573,9780062845511,295,320,9/7/10,(12 Mar 2019),HarperCollins Publishers,Harperteen ,Suicide Notes,Suicide Notes,0
ban_1790_wor_47505,L. A. Weatherly,L A Weatherly,,Paperback,ban_1790,wor_47505,9780763658465,9780763658465,464,449,12/27/11,(27 Dec 2011),Candlewick Press,"Candlewick Press,U.S. ",Angel Burn,Angel Burn,1
ban_2880_wor_10430,Lucy Grealy,"Lucy Grealy, Ann Patchett",,Paperback,ban_2880,wor_10430,9780060569662,9780060569662,256,256,03/18/2003,(18 Mar 2003),HarperCollins Publishers,HarperCollins Publishers Inc ,Autobiography of a Face,Autobiography of a Face,1
ban_2039_wor_36527,Shannon Hale,Shannon Hale,,Paperback,ban_2039,wor_36527,9781599903781,9780747597810,336,320,9/15/09,(2 Mar 2009),Bloomsbury USA,Bloomsbury Publishing PLC ,Book of a Thousand Days,Book of a Thousand Days,0
ban_2485_wor_28565,Madeleine L'Engle,Madeleine L'Engle,,Paperback,ban_2485,wor_28565,9781250003430,9781250004673,800,236,10/16/12,(31 Jan 2012),Square Fish,Square Fish ,A Wrinkle in Time Trilogy,A Wrinkle in Time,0
ban_2811_wor_42330,Swati Avasthi,Swati Avasthi,,Hardback,ban_2811,wor_42330,9780375863417,9780606264839,288,282,1/24/12,(24 Jan 2012),Random House Children's Books,Turtleback Books ,Split,Split,0
ban_784_wor_41617,Barry Lyga,Barry Lyg,,Paperback,ban_784,wor_41617,9780316283632,9780316283632,464,464,6/24/14,(24 Jun 2014),"Little, Brown Books for Young Readers","Little, Brown & Company ",I Hunt Killers,I Hunt Killers,1
ban_5337_wor_24571,Andrew Carnegie,Andrew Carnegie,,Paperback,ban_5337,wor_24571,9781490572543,9781376661873,174,410,06/29/2013,(4 Feb 2018),CreateSpace Independent Publishing Platform,Sagwan Press ,Autobiography of Andrew Carnegie,Autobiography of Andrew Carnegie,0
ban_1183_wor_839,A. C. Crispin,A. C. Crispin,,Paperback,ban_1183,wor_839,9780553574173,9780553574173,400,389,3/28/98,(1 Jun 1998),Random House Publishing Group,Bantam Doubleday Dell Publishing Group Inc ,Star Wars The Han Solo Trilogy #3: Rebel Dawn,Han Solo Tril#3: Rebel Dawn,1
ban_6_wor_1467,Lois Lowry,Lois Lowry,,Paperback,ban_6,wor_1467,9780544336261,9780786271535,240,226,7/1/14,(1 Dec 2004),Houghton Mifflin Harcourt,Thorndike Press ,The Giver,The Giver,0
ban_1218_wor_48431,Jeff Strand,Jeff Strand,,Paperback,ban_1218,wor_48431,9781402284557,9781402284557,256,256,3/1/14,(1 Mar 2014),Sourcebooks,"Sourcebooks, Inc ",I Have a Bad Feeling About This,I Have a Bad Feeling About This,1
ban_5160_wor_23312,Paramahansa Yogananda,Paramahansa Yoganand,,Paperback,ban_5160,wor_23312,9780876122457,9780876123492,642,604,07/22/2013,(25 Jul 2014),Self-Realization Fellowship,Self-Realization Fellowship ,Autobiography of a Yogi - Bulgarian,Autobiography of a Yogi,0
ban_1677_wor_37187,Laura Resau,Laura Resau,,Paperback,ban_1677,wor_37187,9780375859632,9780375859632,368,352,3/13/12,(13 Mar 2012),Random House Children's Books,Ember ,The Queen of Water,The Queen of Water,1
ban_1335_wor_34169,Geoff Herbach,Geoff Herbach,,Paperback,ban_1335,wor_34169,9781402256301,9781402256301,320,311,6/1/11,(1 Jun 2011),Sourcebooks,"Sourcebooks, Inc ",Stupid Fast,Stupid Fast,1
ban_1165_wor_33417,Aim��e Carter,Aimee Carter,,Paperback,ban_1165,wor_33417,9780373210459,9780373210459,304,304,3/27/12,(27 Mar 2012),Harlequin,HarperCollins Publishers ,Goddess Interrupted,Goddess Interrupted,1
ban_1824_wor_39314,Kady Cross,Kady Cross,,Paperback,ban_1824,wor_39314,9780373210701,9780373210701,480,476,4/17/12,(24 Apr 2012),Harlequin,HarperCollins Publishers ,The Girl in the Steel Corset,The Girl in the Steel Corset,1
ban_6427_wor_23312,"Paramhansa Yogananda, Ben Kingsley",Paramahansa Yoganand,,Paperback,ban_6427,wor_23312,9780876120859,9780876123492,15,604,09/28/1996,(25 Jul 2014),Self-Realization Fellowship,Self-Realization Fellowship ,Autobiography of a Yogi,Autobiography of a Yogi,0
ban_646_wor_29043,Eoin Colfer,Eoin Colfer,,Paperback,ban_646,wor_29043,9781423124948,9780141339146,432,416,8/11/09,(7 Apr 2011),Disney-Hyperion,Penguin Books Ltd ,Artemis Fowl; The Lost Colony,Artemis Fowl and the Lost Colony,0
ban_281_wor_45813,Kiera Cass,Kiera Cass,,Paperback,ban_281,wor_45813,9780062318329,9780007587094,240,272,2/4/14,(27 Mar 2014),HarperCollins Publishers,HarperCollins Publishers ,The Selection Stories: The Prince & The Guard,The Selection Stories: The Prince and The Guard,0
ban_74_wor_29400,Marissa Meyer,Marissa Meyer,,Paperback,ban_74,wor_29400,9781250007223,9781250007223,592,592,1/27/15,(27 Jan 2015),Square Fish,Square Fish ,Cress,Cress,1
ban_1070_wor_35383,Gabrielle Zevin,Gabrielle Zevin,,Paperback,ban_1070,wor_35383,9780312561284,9780747591658,304,288,6/23/09,(17 Sep 2007),Square Fish,Bloomsbury Publishing PLC ,Memoirs of a Teenage Amnesiac,Memoirs of a Teenage Amnesiac,0
ban_620_wor_11449,C. S. Lewis,C. S. Lewis,,Paperback,ban_620,wor_11449,9780064471053,9780064471053,256,256,7/28/94,(25 Jun 1994),HarperCollins Publishers,Zondervan ,Prince Caspian,Prince Caspian: The Return to Narnia,1
ban_533_wor_30371,Ellen Hopkins,Ellen Hopkins,,Paperback,ban_533,wor_30371,9781442471801,9781442471801,663,663,8/6/13,(1 Sep 2013),Margaret K. McElderry Books,Simon & Schuster ,Fallout,Fallout,1
ban_1517_wor_8734,Marc Aronson,Marc Aronson,,Hardback,ban_1517,wor_8734,9781416903154,9780689848643,288,-1,8/9/05,(2 Dec 2003),Atheneum Books for Young Readers,Atheneum Books for Young Readers ,Witch-Hunt: Mysteries of the Salem Witch Trials,Witch-Hunt: Mysteries of the Salem Witch Trials,0
ban_811_wor_24916,Walter Dean Myers,Walter Dean Myers,,Paperback,ban_811,wor_24916,9780307976116,9780307976116,224,192,2/14/12,(15 Apr 2012),Random House Children's Books,Random House USA Inc ,Hoops,Hoops,1
ban_75_wor_28504,Laurie Halse Anderson,Laurie Halse Anderson,,Hardback,ban_75,wor_28504,9780312674397,9780374371524,224,198,5/10/11,(30 Sep 1999),Square Fish,"Farrar, Straus & Giroux Inc ",Speak,Speak,0
ban_382_wor_7841,Douglas Preston,Douglas Preston,,Paperback,ban_382,wor_7841,9780812543261,9780812543261,480,480,1/28/96,(31 Oct 2003),Tom Doherty Associates,St Martin's Press ,Relic,Relic,1
ban_2048_wor_39141,Kathe Koja,Kathe Koje,,,ban_2048,wor_39141,9780142402092,9781933322209,128,-1,11/18/04,(1 Jan 2004),Penguin Young Readers Group,Full Cast Audio ,Buddha Boy,Buddha Boy,0
ban_409_wor_14495,Robert A. Heinlein,Robert A. Heinlein,,Paperback,ban_409,wor_14495,9780441790340,9780340938348,448,640,5/28/87,(28 Jun 2007),Penguin Publishing Group,Hodder & Stoughton ,Stranger in a Strange Land,Stranger in a Strange Land,0
ban_2530_wor_46511,Suzanne Supplee,Suzanne Supplee,,Hardback,ban_2530,wor_46511,9780142414279,9780525479024,288,276,5/14/09,(12 Jun 2008),Penguin Young Readers Group,Dutton Books ,Artichoke's Heart,Artichoke's Heart,0
ban_4047_wor_24253,Paramahansa Yogananda,Paramhansa Yoganand,,Hardback,ban_4047,wor_24253,9780876126394,9781515426639,562,372,02/19/2015,(3 Apr 2018),Self-Realization Fellowship,SMK Books ,Autobiography of a Yogi,Autobiography of a Yogi,0
ban_2470_wor_46375,Brodi Ashton,Brodi Ashton,,Paperback,ban_2470,wor_46375,9780062071170,9780062071170,384,360,12/23/13,(23 Dec 2013),HarperCollins Publishers,Balzer & Bray/Harperteen ,Everbound,Everbound,1
ban_1003_wor_3877,Gary Paulsen,Gary Paulsen,,Hardback,ban_1003,wor_3877,9780440407126,9780756911522,160,148,11/12/02,(1 Nov 2002),Random House Children's Books,Perfection Learning ,Guts: The True Stories behind Hatchet and the Brian Books,Guts: The True Stories Behind Hatchet and the Brian Books,0
ban_1544_wor_33692,Rick Yancey,Rick Yancey,,Paperback,ban_1544,wor_33692,9781481425445,9781481425445,464,464,2/24/15,(24 Feb 2015),Saga Press,Gallery / Saga Press ,The Monstrumologist,The Monstrumologist,1
ban_2872_wor_18867,Mark Twain,"Mark Twain, Lin Salamo, Benjamin Griffin, Victor Fischer, Michael B. Frank, Sharon K. Goetz, Leslie Diane Myrick, Robert Hirst, Harriet E. Smith",,Hardback,ban_2872,wor_18867,9780520279940,9780520267190,792,760,10/15/2015,(15 Oct 2010),University of California Press,University of California Press ,"Autobiography of Mark Twain, Volume 3: The Complete and Authoritative Edition","Autobiography of Mark Twain, Volume 1: The Complete and Authoritative Edition",0
ban_3002_wor_25140,Lou Holtz,Lou Holtz,,Paperback,ban_3002,wor_25140,9780060840815,9780060840815,352,318,07/31/2007,(1 Sep 2007),HarperCollins Publishers,HarperCollins Publishers Inc ,"Wins, Losses, and Lessons: An Autobiography","Wins, Losses, and Lessons: An Autobiography",1
ban_66_wor_29388,Marissa Meyer,Marissa Meyer,,Paperback,ban_66,wor_29388,9781250007209,9780141340135,448,400,1/8/13,(29 Dec 2011),Square Fish,Penguin Books Ltd ,Cinder,Cinder,0
ban_1076_wor_33793,Alyson No��l,Alyson Noel,,Paperback,ban_1076,wor_33793,9780312532758,9780330512855,320,384,2/3/09,(18 Sep 2009),St. Martin's Press,Pan Macmillan ,Evermore,Evermore,0
ban_2690_wor_19313,Naomi Shihab Nye,Naomi Shihab Nye,,Paperback,ban_2690,wor_19313,9780689825231,9780689825231,272,272,6/28/99,(20 Aug 1999),Simon Pulse,Simon & Schuster Australia ,Habibi,Habibi,1
ban_2592_wor_31960,Kimberly Willis Holt,Kimberly Willis Holt,,Paperback,ban_2592,wor_31960,9780312660956,9780312616762,224,152,2/15/11,(29 Mar 2011),Square Fish,Square Fish ,My Louisiana Sky,"Piper Reed, Clubhouse Queen",0
ban_1819_wor_35992,Gemma Malley,Gemma Malley,,Hardback,ban_1819,wor_35992,9781599902951,9781599901190,320,300,9/2/08,(2 Oct 2007),Bloomsbury USA,Bloomsbury Publishing PLC ,The Declaration,The Declaration,0
ban_748_wor_35217,Miranda Kenneally,Miranda Kenneally,,Paperback,ban_748,wor_35217,9781402271878,9781402271878,256,304,10/1/12,(1 Oct 2012),Sourcebooks,"Sourcebooks, Inc ",Stealing Parker,Stealing Parker,1
ban_2456_wor_30938,Robert Lipsyte,Robert Lipsyte,,Paperback,ban_2456,wor_30938,9780064470797,9780064470797,240,195,3/28/03,(4 Mar 2003),HarperCollins Publishers,HarperCollins Publishers Inc ,The Brave,The Brave,1
ban_6560_wor_6950,Douglas R. Hofstadter,Douglas R. Hofstadter,,Paperback,ban_6560,wor_6950,9780465026562,9780465026562,800,824,,(15 Jan 1999),Basic Books,INGRAM PUBLISHER SERVICES US ,Godel Escher Bach: An Eternal Golden Braid,"Godel, Escher, Bach: An Eternal Golden Braid",1
ban_3018_wor_25305,Kevin Pietersen,Kevin Pietersen,,Paperback,ban_3018,wor_25305,9780751557565,9780751557558,-1,336,10/09/2014,(9 Oct 2014),"Little, Brown Book Group","Little, Brown Book Group ",KP: The Autobiography,KP: The Autobiography,0
ban_2405_wor_32673,Darren Shan,Darren Shan,,Paperback,ban_2405,wor_32673,9780316078696,9780007315932,272,256,10/2/12,(26 Apr 2012),"Little, Brown Books for Young Readers",HarperCollins Publishers ,Palace of the Damned,Palace of the Damned,0
ban_1019_wor_28450,Sharon M. Draper,Sharon M. Draper,,Hardback,ban_1019,wor_28450,9781442489141,9780689806995,151,160,7/23/13,(1 Jan 1997),Atheneum Books for Young Readers,Atheneum Books for Young Readers ,Forged by Fire,Forged by Fire,0
ban_1402_wor_15762,David Weber,"David Weber, Jane Lindskold",,Hardback,ban_1402,wor_15762,9781451639216,9781451638400,304,304,8/6/13,(2 Oct 2012),Baen,Baen Books ,Fire Season,Fire Season,0
ban_2603_wor_45948,Margaret Bechard,Margaret Bechard,,Hardback,ban_2603,wor_45948,9780689862687,9780756914790,176,204,12/1/03,(1 Jan 2001),Simon Pulse,Perfection Learning ,Hanging on to Max,Hanging on to Max,0
ban_1144_wor_34702,Sherri L. Smith,Sherri L. Smith,,Paperback,ban_1144,wor_34702,9780142417256,9780142417256,304,304,9/16/10,(16 Sep 2010),Penguin Young Readers Group,Penguin Putnam Inc ,Flygirl,Flygirl,1
ban_540_wor_34258,Veronica Rossi,Veronica Rossi,,Hardback,ban_540,wor_34258,9780062072047,9780062072030,400,376,12/4/12,(3 Jan 2012),HarperCollins Publishers,HarperCollins Publishers Inc ,Under the Never Sky,Under the Never Sky,0
ban_4015_wor_26156,Steve Fossett,Steve Fossett,,Paperback,ban_4015,wor_26156,9780753541784,9780753541784,304,304,02/07/2013,(7 Feb 2013),Virgin Books,Ebury Publishing ,Chasing the Wind: The Autobiography of Steve Fossett,Chasing The Wind: The Autobiography of Steve Fossett,1
ban_357_wor_35542,Frank Beddor,Frank Beddor,,Paperback,ban_357,wor_35542,9780142409411,9780142409411,400,358,8/21/07,(21 Aug 2007),Penguin Young Readers Group,Speak ,The Looking Glass Wars,The Looking Glass Wars,1
ban_185_wor_19680,Jostein Gaarder,"Jostein Gaarder, Paulette Moller",,Paperback,ban_185,wor_19680,9780374530716,9780374530716,544,518,3/6/07,(20 Mar 2007),"Farrar, Straus and Giroux","Farrar, Straus & Giroux Inc ",Sophie's World: A Novel about the History of Philosophy,Sophie's World: A Novel about the History of Philosophy,1
ban_869_wor_29065,Pittacus Lore,Pittacus Lore,,Paperback,ban_869,wor_29065,9780062223678,9780062223678,416,406,7/23/13,(23 Jul 2013),HarperCollins Publishers,HarperCollins ,I Am Number Four: The Lost Files: Secret Histories,I am Number Four Secret Histories,1
ban_9034_wor_18623,William Harrel,William Sleator,,Hardback,ban_9034,wor_18623,9781118026229,9780810958586,408,215,,(1 May 2005),Wiley,Abrams ,"HTML, CSS, and JavaScript Mobile Development For Dummies",Last Universe,0
ban_2681_wor_47045,Martine Leavitt,Martine Leavitt,,Hardback,ban_2681,wor_47045,9781590789490,9781932425291,224,216,10/1/12,(1 Nov 2006),Highlights Press,Front Street Inc ,Keturah and Lord Death,Keturah and Lord Death,0
ban_731_wor_39883,National Geographic,National Geographic,,Paperback,ban_731,wor_39883,9781426317750,9781426218835,144,320,7/8/14,(15 Feb 2018),National Geographic Society,National Geographic Society ,National Geographic Student World Atlas Fourth Edition,National Geographic Traveler: New Zealand 3rd Ed,0
ban_465_wor_17405,Homer Hickam,Homer H. Hickam,,Paperback,ban_465,wor_17405,9780440235507,9780440235507,448,428,2/28/99,(1 Oct 2007),Random House Publishing Group,Bantam Doubleday Dell Publishing Group Inc ,October Sky,October Sky,1
ban_2078_wor_4513,Robin McKinley,Robin McKinley,,Paperback,ban_2078,wor_4513,9780515138818,9780515138818,416,405,12/28/04,(18 Nov 2010),Penguin Publishing Group,Penguin Putnam Inc ,Sunshine,Sunshine,1
ban_4047_wor_23312,Paramahansa Yogananda,Paramahansa Yoganand,,Paperback,ban_4047,wor_23312,9780876126394,9780876123492,562,604,02/19/2015,(25 Jul 2014),Self-Realization Fellowship,Self-Realization Fellowship ,Autobiography of a Yogi,Autobiography of a Yogi,0
ban_1733_wor_34792,Vera Brosgol,Vera Brosgol,,Paperback,ban_1733,wor_34792,9781250040015,9781250040015,240,221,3/25/14,(25 Mar 2014),Square Fish,Square Fish ,Anya's Ghost,Anya's Ghost,1
ban_1922_wor_12474,Aaron Allston,Aaron Allston,,Paperback,ban_1922,wor_12474,9780553578942,9780553578942,403,403,2/28/98,(1 May 1998),Random House Publishing Group,Bantam Doubleday Dell Publishing Group Inc ,Star Wars X-Wing #5: Wraith Squadron,X-Wing 005: Wraith Squadron,1
ban_2864_wor_23261,"Chris Kyle, Scott McEwen, Jim DeFelice",Chris Kyle,,Paperback,ban_2864,wor_23261,9780062376336,9780062376336,416,416,11/25/2014,(25 Nov 2014),HarperCollins Publishers,HarperCollins Publishers Inc ,American Sniper : The Autobiography of the Most Lethal Sniper in U.S. Military History,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,1
ban_1454_wor_32339,Kirby Larson,Kirby Larson,,Hardback,ban_1454,wor_32339,9780385735957,9781606860892,304,289,12/23/08,(1 Dec 2007),Random House Children's Books,Perfection Learning ,Hattie Big Sky,Hattie Big Sky,0
ban_17158_wor_18135,,,paperback,Paperback,ban_17158,wor_18135,9781508527619,9780064610261,260,352,"February 23, 2015",(31 Aug 1992), CreateSpace Independent Publishing Platform ,HarperCollins Publishers Inc ,The SAP BW to HANA Migration Handbook,HarperCollins Dictionary of Philosophy,0
ban_956_wor_29830,Sara Shepard,Sara Shepard,,Paperback,ban_956,wor_29830,9780060887353,9780061801310,352,-1,2/19/08,(27 Oct 2009),HarperCollins Publishers,HarperCollins Publishers Inc ,Flawless,Pretty Little Liars: 4-Book Collection,0
ban_187_wor_21825,Eric Schlosser,"Dr Charles Wilson, Eric Schlosser",,Paperback,ban_187,wor_21825,9780618593941,9780618593941,318,318,4/23/07,(23 Apr 2007),Houghton Mifflin Harcourt,Houghton Mifflin ,Chew On This: Everything You Don't Want to Know about Fast Food,Chew on This: Everything You Don't Want to Know about Fast Food,1
ban_1002_wor_5913,Kaye Gibbons,Kaye Gibbons,,Paperback,ban_1002,wor_5913,9781616203023,9781616203023,144,134,10/17/12,(17 Oct 2012),Algonquin Books of Chapel Hill,Algonquin Books ,Ellen Foster,Ellen Foster,1
ban_5_wor_13947,Harper Lee,Harper Lee,,Hardback,ban_5,wor_13947,9780061120084,9780812416800,336,281,5/23/06,(1 Jun 1994),HarperCollins Publishers,Perfection Learning ,To Kill a Mockingbird,To Kill a Mockingbird,0
ban_1054_wor_38083,Rachel Caine,Rachel Caine,,Paperback,ban_1054,wor_38083,9780451414267,9780749012663,368,448,10/1/13,(2 May 2013),Penguin Publishing Group,Allison & Busby ,Fall of Night,Fall of Night,0
ban_5872_wor_26070,Tom Clark,Tom Clark,,Paperback,ban_5872,wor_26070,9780811217675,9780811217675,164,164,11/28/1993,(17 Nov 1993),WW Norton Client,New Directions Publishing Corporation ,Robert Creeley and the Genius of the American Common Place: Together with the Poet's Own Autobiography,Robert Creeley the Genius of the American Common Place,1
ban_2811_wor_42331,Swati Avasthi,Swati Avasthi,,Hardback,ban_2811,wor_42331,9780375863417,9780375863400,288,-1,1/24/12,(9 Mar 2010),Random House Children's Books,Alfred A. Knopf Books for Young Readers ,Split,Split,0
ban_1289_wor_35963,Cate Tiernan,Cate Tiernan,,Paperback,ban_1289,wor_35963,9780142420102,9780142420102,560,560,7/7/11,(16 Aug 2011),Penguin Young Readers Group,Penguin Books India Pvt Ltd ,Seeker / Origins / Eclipse,"Sweep: Seeker, Origins, and Eclipse: Volume 4",1
ban_1045_wor_13219,Harold Keith,Harold Keith,,Paperback,ban_1045,wor_13219,9780064470308,9780064470308,352,352,9/28/87,(25 Sep 1987),HarperCollins Publishers,HarperCollins Publishers Inc ,Rifles for Watie,Rifles for Watie,1
ban_2076_wor_1636,Michael A. Stackpole,Michael A. Stackpole,,Paperback,ban_2076,wor_1636,9780553578737,9780553578737,577,577,6/1/99,(1 Jan 1920),Random House Publishing Group,Bantam Doubleday Dell Publishing Group Inc ,"Star Wars I, Jedi","Star Wars: I, Jedi",1
ban_6_wor_1448,Lois Lowry,Lois Lowry,,Paperback,ban_6,wor_1448,9780544336261,9780007263516,240,240,7/1/14,(5 May 2008),Houghton Mifflin Harcourt,HarperCollins Publishers ,The Giver,The Giver,0
ban_215_wor_30444,M. T. Anderson,M. T. Anderson,,Paperback,ban_215,wor_30444,9780763662622,9781406345209,320,320,7/17/12,(6 Sep 2012),Candlewick Press,Walker Books Ltd ,Feed,Feed,0
ban_2017_wor_21120,C. S. Lewis,C. S. Lewis,,Paperback,ban_2017,wor_21120,9780061199004,9780007117307,816,768,11/7/06,(1 Oct 2001),HarperCollins Publishers,HarperCollins Publishers ,Las Cronicas de Narnia,The Chronicles of Narnia,0
ban_227_wor_31570,Karen Blumenthal,Karen Blumenthal,,Paperback,ban_227,wor_31570,9781250014450,9781250014450,320,320,2/14/12,(1 Mar 2012),Square Fish,St Martin's Press ,Steve Jobs: The Man Who Thought Different,Steve Jobs: The Man Who Thought Different,1
ban_364_wor_35021,Tahereh Mafi,Tahereh Mafi,,Paperback,ban_364,wor_35021,9780062327963,9781405296243,224,208,2/4/14,(13 Jun 2019),HarperCollins Publishers,Egmont UK Ltd ,Unite Me,Unite Me,0
ban_2971_wor_24782,Chris Froome,Chris Froome,,Hardback,ban_2971,wor_24782,9780241969434,9780241004180,-1,448,06/05/2014,(3 Jun 2014),Penguin UK,Penguin Books Ltd ,The Climb: The Autobiography,The Climb: The Autobiography,0
ban_857_wor_24926,Walter Dean Myers,Walter Dean Myers,,Paperback,ban_857,wor_24926,9780545055741,9780545055741,288,266,5/1/08,(3 Oct 2008),"Scholastic, Inc.",Scholastic US ,Slam!,Slam!,1
ban_3053_wor_25836,Jon E. Lewis,Jon E. Lewis,,Paperback,ban_3053,wor_25836,9781472107824,9781849013925,544,336,02/07/2013,(20 Oct 2006),"Little, Brown Book Group","Little, Brown Book Group ",Spitfire: The Autobiography,Spitfire: The Autobiography,0
ban_633_wor_32167,Livia Bitton-Jackson,Livia Bitton-Jackson,,Hardback,ban_633,wor_32167,9780689823954,9780613178112,224,224,3/1/99,(1 Mar 1999),Simon Pulse,Turtleback Books ,I Have Lived a Thousand Years: Growing Up in the Holocaust,I Have Lived a Thousand Years: Growing Up in the Holocaust,0
ban_2776_wor_12106,Marion Zimmer Bradley,Marion Zimmer Bradley,,Paperback,ban_2776,wor_12106,9780451456526,9780451458629,480,394,6/28/98,(1 Aug 2002),Penguin Publishing Group,Penguin Putnam Inc ,Lady of Avalon,Priestess of Avalon,0
ban_762_wor_44711,Eoin Colfer,Eoin Colfer,,Paperback,ban_762,wor_44711,9781423124542,9780786848805,304,128,6/23/09,(10 Jul 2012),Disney-Hyperion,Disney-Hyperion ,Artemis Fowl; The Arctic Incident,The Supernaturalist: The Graphic Novel,0
ban_447_wor_30198,Susan Beth Pfeffer,Susan Beth Pfeffer,,Paperback,ban_447,wor_30198,9780544336155,9780544336155,304,288,9/28/14,(16 Sep 2014),Houghton Mifflin Harcourt,Houghton Mifflin ,The Shade of the Moon,The Shade of the Moon,1
ban_370_wor_37487,Cynthia Voigt,Cynthia Voigt,,Hardback,ban_370,wor_37487,9781442428782,9781442450615,400,388,3/6/12,(6 Mar 2012),Atheneum Books for Young Readers,Atheneum Books for Young Readers ,Homecoming,Homecoming,0
ban_15516_wor_34622,,Na N,paperback,Hardback,ban_15516,wor_34622,9780137274130,9780312225711,608,254,January 1997,(4 Mar 2000), Prentice Hall,Palgrave USA ,"DB2 Certification Guide for Common Servers, with CD-ROM",China's Trade Patterns and International Comparative Advantage,0
ban_2907_wor_23968,Rob Lowe,Rob Lowe,,,ban_2907,wor_23968,9781250008855,9781427212276,320,7,01/03/2012,(26 Apr 2011),St. Martin's Press,MacMillan Audio ,Stories I Only Tell My Friends: An Autobiography,Stories I Only Tell My Friends: An Autobiography,0
ban_2330_wor_36382,Caragh M. O'Brien,Caragh M O'Brien,,Paperback,ban_2330,wor_36382,9780312674724,9780312674724,384,362,10/11/11,(11 Oct 2011),Square Fish,St Martin's Press ,Birthmarked,Birthmarked,1
ban_2879_wor_23532,Matt Ridley,Matt Ridley,,Paperback,ban_2879,wor_23532,9780060894085,9781857028355,368,352,05/30/2006,(16 Mar 2000),HarperCollins Publishers,HarperCollins Publishers ,Genome: The Autobiography of a Species in 23 Chapters,Genome: The Autobiography of a Species in 23 Chapters,0
