ids,bx_author,half_author,bx_binding,half_binding,bx_id,half_id,bx_isbn,half_isbn,bx_pages,half_pages,bx_pubdate,half_pubdate,bx_publisher,half_publisher,bx_title,half_title,label
bx_61793_half_2526,Meg Cabot,Meg Cabot,,,bx_61793,half_2526,9780064472807,9780064472807,-1,288,2003,,HarperTrophy,HarperTrophy,Princess in Love,Princess in Love,1
bx_239526_half_160,Michael Coulson,Michael Grant,,,bx_239526,half_160,9780340568675,9780061448782,-1,558,1992,"Apr. 28th, 2009",Hodder Arnold Teach Yourself,Harper Teen,Sanskrit,Gone,0
bx_234031_half_1254,Cynthia Voigt,Cynthia Voigt,,,bx_234031,half_1254,9780689864384,9780689851322,-1,416,2003,"Aug. 1st, 2002",Simon Pulse,Simon Pulse,Elske : A Novel of the Kingdom,Homecoming,0
bx_81410_half_1645,Scott O'Dell,Scott O'Dell,,,bx_81410,half_1645,9780440979753,9780440979753,-1,121,1999,"Mar. 31st, 1997",Laure Leaf,Laurel Leaf Library,Sing Down the Moon,Sing Down the Moon,1
bx_122870_half_2724,Nathaniel Hawthorne,Nathaniel Hawthorne,,,bx_122870,half_2724,9780134354651,9780812504835,-1,277,1990,"Aug. 15th, 1989",Prentice Hall,Tor Classics,The Scarlet Letter,The Scarlet Letter,0
bx_11187_half_777,D.J. MacHale,D. J. MacHale,,,bx_11187,half_777,9780743437318,9780743437318,-1,384,2002,"Sep. 1st, 2002",Aladdin,Aladdin Paperbacks,The Merchant of Death,The Merchant of Death,1
bx_3768_half_2540,Anne Mccaffrey,Anne McCaffrey,,,bx_3768,half_2540,9780553142044,9781416964889,-1,192,0,,Bantam Doubleday Dell,Simon Pulse,Dragonsong,Dragonsong,0
bx_69001_half_699,Elizabeth George Speare,Elizabeth George Speare,,,bx_69001,half_699,9780440227212,9780440995777,-1,224,1997,"May. 31st, 1978",Random House Childrens Pub,Laurel Leaf Library,The Witch of Blackbird Pond,The Witch of Blackbird Pond,0
bx_28565_half_2386,Diana Wynne Jones,Diana Wynne Jones,,,bx_28565,half_2386,9780064473361,9780064472685,-1,608,2001,"Jan. 9th, 2001",HarperTrophy,HarperTrophy,Dark Lord of Derkholm,"The Chronicles of Chrestomanci, Volume 1",0
bx_66445_half_1199,Roald Dahl,Roald Dahl,,,bx_66445,half_1199,9780141303109,9780142413838,-1,209,1999,"Feb. 1st, 2009",Puffin Books,Puffin Books,Going Solo,Going Solo,0
bx_65238_half_2675,Jules Verne,Jules Verne,,,bx_65238,half_2675,9780893754174,9781416561460,-1,330,1980,"May. 1st, 2008",Dutton Books,Pocket Books,Journey to the Center of the Earth,Journey to the Center of the Earth,0
bx_167525_half_1698,Ursula K. Le Guin,Ursula K. Le Guin,,,bx_167525,half_1698,9780689852039,9780689845369,-1,192,2002,"Sep. 1st, 2001",Aladdin,Simon Pulse,The Tombs of Atuan/Fantasy,The Tombs of Atuan,0
bx_44403_half_79,Sharon M. Draper,Sharon M. Draper,,,bx_44403,half_79,9780689806988,9780689806988,-1,192,1996,"Feb. 1st, 1996",Simon Pulse,Simon Pulse,Tears Of A Tiger,Tears of a Tiger,1
bx_186918_half_2626,Margaret Bechard,Margaret Bechard,,,bx_186918,half_2626,9780689862687,9780689862687,-1,176,2003,"Dec. 2nd, 2003",Simon Pulse,Simon Pulse,Hanging on to Max,Hanging on to Max,1
bx_113956_half_2501,TAMORA PIERCE,Tamora Pierce,Paperback,Paperback,bx_113956,half_2501,9780679889182,9780679889182,-1,288,2001,"May. 22nd, 2001",Random House Books for Young Readers,Laurel Leaf Library,Page,Page,1
bx_29649_half_2652,Louisa May Alcott,Louisa May Alcott,,Paperback,bx_29649,half_2652,9780440422310,9780140374568,-1,320,1996,"Sep. 1st, 1995",Yearling,Puffin Books,"Eight Cousins, or the Aunt Hill",Eight Cousins,0
bx_101381_half_923,Herge,Herge,,Paperback,bx_101381,half_923,9780316358521,9780316358521,-1,62,1979,"Nov. 30th, 1979","Little, Brown","Little, Brown Books for Young Readers",Tintin in America,Tintin in America,1
bx_215507_half_1585,Clive Barker,Clive Barker,,,bx_215507,half_1585,9781578150458,9780064409940,-1,224,1996,"Feb. 28th, 2002",Media Books Audio Publishing,HarperTrophy,The Thief of Always,The Thief of Always,0
bx_19979_half_1197,Wilson Rawls,Wilson Rawls,,,bx_19979,half_1197,9780553298185,9780553298185,-1,304,1992,"Feb. 1st, 1992",Bantam,Laurel Leaf Library,Summer of the Monkeys,Summer of the Monkeys,1
bx_5238_half_2461,Walter Dean Myers,Walter Dean Myers,,,bx_5238,half_2461,9780590409438,9780590409438,-1,320,1991,,Scholastic Paperbacks,Scholastic Paperbacks,Fallen Angels,Fallen Angels,1
bx_28299_half_669,Herge,Herge,,Paperback,bx_28299,half_669,9780316358460,9780316358460,-1,62,1976,"Sep. 30th, 1976","Little, Brown","Little, Brown Books for Young Readers",Explorers on the Moon,The Adventures of Tintin,1
bx_15103_half_1144,Celia Rees,Celia Rees,,,bx_15103,half_1144,9780763618292,9780763642280,-1,261,2002,"May. 12th, 2009",Candlewick Press (MA),Candlewick Press (MA),Witch Child,Witch Child,0
bx_37318_half_447,Katherine Paterson,Katherine Paterson,,,bx_37318,half_447,9780064402811,9780064402811,-1,192,1989,"Mar. 24th, 1989",HarperTrophy,Harper Teen,The Master Puppeteer,The Master Puppeteer,1
bx_199954_half_1192,Herge,Herge,,Paperback,bx_199954,half_1192,9780416926507,9780316358330,-1,62,1968,"Jun. 30th, 1974",French  European Pubns,"Little, Brown Books for Young Readers",The Adventures of Tintin: Flight 714,The Adventures of Tintin,0
bx_230904_half_52,Paul Fleischman,Paul Fleischman,,,bx_230904,half_52,9780064472074,9780064472074,-1,80,1999,"Mar. 24th, 1999",HarperTrophy,HarperTrophy,Seedfolks,Seedfolks,1
bx_39025_half_2346,Lois Duncan,Lois Duncan,,,bx_39025,half_2346,9780440983248,9780440983248,-1,208,1992,"Oct. 31st, 1977",Laure Leaf,Laurel Leaf Library,Summer of Fear,Summer of Fear,1
bx_55965_half_564,Neal Shusterman,Neal Shusterman,,,bx_55965,half_564,9780689839696,9780689839696,-1,256,2001,"Feb. 1st, 2001",Simon Pulse,Simon Pulse,Downsiders,Downsiders,1
bx_203131_half_3012,Paula Fox,Paula Fox,,,bx_203131,half_3012,9780689839702,9780689839702,-1,224,2000,"Dec. 1st, 2000",Aladdin,Aladdin Paperbacks,One-Eyed Cat,One-Eyed Cat,1
bx_118914_half_939,Robert Cormier,Robert Cormier,,,bx_118914,half_939,9780440229711,9780440229711,-1,176,2003,"May. 13th, 2003",Laurel-Leaf Books,Laurel Leaf Library,The Rag and Bone Shop: A Novel,The Rag and Bone Shop,1
bx_34576_half_1866,Mary Wollstonecraft Shelley,Mary Wollstonecraft Shelley,,Paperback,bx_34576,half_1866,9780451520098,9780140367126,-1,288,1965,"Nov. 1st, 1994",Signet Book,Puffin Books,Frankenstein,Frankenstein,0
bx_22474_half_1571,Lois Duncan,Lois Duncan,,,bx_22474,half_1571,9780440983569,9780440983569,-1,256,1990,"Aug. 31st, 1990",Laure Leaf,Laurel Leaf Library,Stranger With My Face,Stranger with My Face,1
bx_3333_half_2114,Emma Donoghue,Emma Donoghue,,,bx_3333,half_2114,9780064407724,9780064407724,-1,240,1999,"Feb. 27th, 1999",HarperTrophy,Harper Teen,Kissing the Witch: Old Tales in New Skins,Kissing the Witch,1
bx_112609_half_1595,Meg Cabot,Meg Cabot,,,bx_112609,half_1595,9780060096090,9780060096090,-1,259,2004,,HarperTrophy,HarperTrophy,"The Princess Diaries, Volume IV: Princess in Waiting",Princess in Waiting,1
bx_50412_half_1230,Todd Strasser,Todd Strasser,,,bx_50412,half_1230,9780689820748,9780689848933,-1,208,1998,"Apr. 1st, 2002",Simon Pulse,Simon Pulse,How I Created My Perfect Prom Date,Give a Boy a Gun,0
bx_162598_half_897,John Minahan,John Marsden,,,bx_162598,half_897,9780451146168,9780439858052,-1,319,1986,"Feb. 1st, 2007",New Amer Library (Mm),Scholastic Paperbacks,The Face Behind the Mask: A Novel,The Other Side of Dawn,0
bx_106564_half_77,Ben Mikaelsen,Ben Mikaelsen,,,bx_106564,half_77,9780380805600,9780380805600,-1,256,2002,"Apr. 30th, 2002",HarperTrophy,HarperCollins,Touching Spirit Bear,Touching Spirit Bear,1
bx_103845_half_2048,Mark Twain,Mark Twain,,,bx_103845,half_2048,9780333321300,9780689831393,-1,544,1983,"Aug. 1st, 1999",Nelson Thornes,Aladdin Paperbacks,The Adventures of Huckleberry Finn,The Adventures of Huckleberry Finn,0
bx_85471_half_301,Caroline B. Cooney,Caroline B. Cooney,,,bx_85471,half_301,9780590674508,9780385732604,-1,200,2000,"May. 8th, 2007",Scholastic,Laurel Leaf Library,Mummy,Code Orange,0
bx_123777_half_1247,Robert Cormier,Robert Cormier,,,bx_123777,half_1247,9780385308182,9780440219033,-1,112,1992,"Apr. 1st, 1994",Delacorte Press,Laurel Leaf Library,Tunes for Bears to Dance to,Tunes for Bears to Dance to,0
bx_270790_half_2406,Cameron Dokey,Cameron Dokey,,,bx_270790,half_2406,9780689869990,9781442422834,-1,640,2004,"Feb. 7th, 2012",Simon Pulse,Simon Pulse,Sunlight and Shadow,Once,0
bx_5731_half_208,CHRISTOPHER PAUL CURTIS,Christopher Paolini,,Paperback,bx_5731,half_208,9780440414124,9780375826740,-1,800,1997,"Apr. 13th, 2010",Yearling,Alfred A. Knopf Books for Young Readers,The Watsons Go to Birmingham - 1963,Brisingr,0
bx_199397_half_39,Antoine de Saint-Exupéry,Antoine de Saint-Exupery,,,bx_199397,half_39,9780152164157,9780156012195,-1,96,2001,"Jun. 29th, 2000",Harcourt Children's Books,Harvest Books,Le Petit Prince,The Little Prince,0
bx_189679_half_202,Lois Lowry,Lois Lowry,,,bx_189679,half_202,9780618404414,9780385737166,-1,169,2004,"Jan. 13th, 2009",Houghton Mifflin/Walter Lorraine Books,Bantam Books for Young Readers,Messenger,Messenger,0
bx_29106_half_1314,Adrien Stoutenburg,Adrien Stoutenberg,,,bx_29106,half_1314,9780140309287,9780140309287,-1,112,1976,"Oct. 28th, 1976",Puffin Books,Puffin Books,American Tall Tales,American Tall Tales,1
bx_55749_half_129,J. K. Rowling,J. K. Rowling,,Paperback,bx_55749,half_129,9780439203524,9780439358071,-1,870,2000,"Sep. 1st, 2004",Scholastic,Scholastic,Harry Potter and the Sorcerer's Stone,Harry Potter and the Order of the Phoenix,0
bx_58941_half_267,Homer Hickam,Homer,,Paperback,bx_58941,half_267,9780440235385,9780140383096,-1,112,2000,"Dec. 1st, 1997",Island,Puffin Books,Back to the Moon: A Novel,The Odyssey,0
bx_80621_half_1739,Alice Hoffman,Alice Hoffman,,,bx_80621,half_1739,9780439443845,9780439443852,-1,116,2003,"Jun. 30th, 2004",Scholastic,Scholastic Paperbacks,Green Angel,Green Angel,0
bx_176355_half_2560,Lawrence Treat,Lawrence Treat,,,bx_176355,half_2560,9780879234058,9780879234058,-1,80,1981,"Jun. 30th, 2003",David R. Godine Publisher,David R. Godine,Crime and Puzzlement,Crime and Puzzlement,1
bx_3917_half_1428,Garth Nix,Garth Nix,,,bx_3917,half_1428,9780439551236,9780439551236,-1,361,2003,"Jul. 1st, 2003",Scholastic,Scholastic,Mister Monday,Mister Monday,1
bx_227104_half_3092,Jane Austen,Jane Austen,,,bx_227104,half_3092,9783190025350,9781402785306,-1,416,1999,"Mar. 6th, 2012",Max Hueber Verlag,Splinter,Pride and Prejudice,Pride and Prejudice,0
bx_36991_half_49,ELIZABETH GEORGE SPEARE,Elizabeth George Speare,,,bx_36991,half_49,9780440495963,9780440495963,-1,256,1987,"Feb. 15th, 1972",Yearling,Yearling Books,The Witch of Blackbird Pond,The Witch of Blackbird Pond,1
bx_3926_half_1891,Gail Carson Levine,Gail Carson Levine,,,bx_3926,half_1891,9780064407052,9780060558864,-1,288,1998,"Feb. 17th, 2004",HarperTrophy,Harper Teen,Ella Enchanted,Ella Enchanted,0
bx_61746_half_2490,PHILIP PULLMAN,Philip Pullman,,Paperback,bx_61746,half_2490,9780440238140,9780440238140,-1,288,2003,"Sep. 9th, 2003",Laurel Leaf,Laurel Leaf Library,The Subtle Knife,The Subtle Knife,1
bx_95352_half_1447,Sylvia Engdahl,Sylvia Louise Engdahl,,,bx_95352,half_1447,9780142500378,9780142500378,-1,288,2003,"Feb. 24th, 2003",Puffin Books,Firebird,Enchantress from the Stars,Enchantress from the Stars,1
bx_208485_half_488,David Weber,David Klass,,,bx_208485,half_488,9780671878924,9780064473781,-1,352,1998,"Aug. 31st, 2002",Baen,HarperTempest,Echoes of Honor,You Don't Know Me,0
bx_73608_half_1564,Joseph Bruchac,Joseph Bruchac,,,bx_73608,half_1564,9780064408882,9780064408882,-1,114,2003,"Aug. 5th, 2003",HarperTrophy,HarperTrophy,Skeleton Man,Skeleton Man,1
bx_104469_half_1013,Marguerite De Angeli,Marguerite de Angeli,,,bx_104469,half_1013,9780385072830,9780440402831,-1,128,1989,"Jul. 1st, 1990",Doubleday Books for Young Readers,Yearling Books,The Door in the Wall,The Door in the Wall,0
bx_98805_half_2127,Eoin Colfer,Eoin Colfer,,,bx_98805,half_2127,9780439443364,9780439443364,-1,252,2004,"Jul. 31st, 2004",Scholastic Inc.,Scholastic,Wish List,The Wish List,1
bx_25713_half_2033,J. K. Rowling,J. K. Rowling,,,bx_25713,half_2033,9788478886463,9788478886463,-1,563,2001,"May. 1st, 2001",Lectorum Publications,Lectorum Publications,Harry Potter y el cÃ¡liz de fuego,Harry Potter y el Caliz del Fuego = Harry Potter and the Goblet of Fire,1
bx_81495_half_39,Antoine De Saint-Exupery,Antoine de Saint-Exupery,,,bx_81495,half_39,9780152465032,9780156012195,-1,96,1943,"Jun. 29th, 2000",Harcourt,Harvest Books,The Little Prince,The Little Prince,0
bx_242347_half_2724,Nathaniel Hawthorne,Nathaniel Hawthorne,,,bx_242347,half_2724,9783895084577,9780812504835,-1,277,1998,"Aug. 15th, 1989",Konemann,Tor Classics,The Scarlet Letter,The Scarlet Letter,0
bx_49972_half_1399,Christopher Stasheff,Christopher Paolini,,Paperback,bx_49972,half_1399,9780441873258,9780440238485,-1,768,1982,"Oct. 31st, 2006",Penguin Putnam~mass,Laurel Leaf Library,Warlock Unlocked,Eragon,0
bx_15718_half_101,Jeanne W. Houston,Jeanne Wakatsuki Houston,,,bx_15718,half_101,9780553272581,9780553272581,-1,224,1983,"Mar. 31st, 1983",Bantam Books,Laurel Leaf Library,Farewell to Manzanar: A True Story of Japanese American Experience During and After the World War II Internment,Farewell to Manzanar,1
bx_10418_half_1728,J. M. Barrie,James Matthew Barrie,,,bx_10418,half_1728,9780451520883,9780451520883,-1,208,2003,"Jul. 5th, 2011",Signet Classics,Signet Classics,Peter Pan,Peter Pan,1
bx_17699_half_381,Gary Paulsen,Gary Paulsen,,,bx_17699,half_381,9780440407126,9780440407126,-1,160,2002,"Nov. 12th, 2002",Laurel-Leaf Books,Laurel Leaf Library,Guts: The True Stories Behind Hatchet and the Brian Books,Guts,1
bx_94451_half_252,Christopher Reed,Christopher Paolini,,Paperback,bx_94451,half_252,9780345353917,9780440240730,-1,754,1988,"Jun. 30th, 2007",Ballantine Books,Laurel Leaf Library,Big Scratch: A Manx McCatty Adventure,Eragon,0
bx_115756_half_2637,Richard E. Peck,Richard Peck,,,bx_115756,half_2637,9780553271997,9780553271997,-1,192,1983,"Mar. 1st, 1983",Laurel-Leaf Books,Laurel Leaf Library,Something for Joey,Something for Joey,1
bx_159879_half_2076,Mercedes Lackey,Mercedes Lackey,,,bx_159879,half_2076,9780671578343,9780765317636,-1,304,1999,"Apr. 2nd, 2013",Baen,Tor Books,The Chrome Borne,Shadow Grail #3,0
bx_203088_half_1648,Richard Peck,Richard Peck,,,bx_203088,half_1648,9780440428619,9780142403105,-1,164,1994,"Apr. 21st, 2005",Yearling Books,Puffin Books,The Ghost Belonged to Me,The River Between Us,0
bx_115598_half_39,Antoine de Saint-Exupéry,Antoine de Saint-Exupery,,,bx_115598,half_39,9780156465113,9780156012195,-1,96,1982,"Jun. 29th, 2000",Harvest Books,Harvest Books,The Little Prince,The Little Prince,0
bx_251784_half_1376,Jack London,Jack London,,,bx_251784,half_1376,9781577656821,9780689856747,-1,160,2002,"Feb. 1st, 2003",Abdo  Daughters Publishing,Aladdin Paperbacks,The Call of the Wild,The Call of the Wild,0
bx_96479_half_1324,Irene Hunt,Irene Hunt,,,bx_96479,half_1324,9780425182802,9780425182802,-1,192,2002,"Jan. 8th, 2002",Berkley Publishing Group,Berkley,No Promises in the Wind,No Promises in the Wind,1
bx_50755_half_609,Susan McQuillan,Susan Hill,,,bx_50755,half_609,9780028621135,9781567921892,-1,144,1997,"Dec. 31st, 2001",Macmillan Distribution,David R. Godine,The Complete Idiot's Guide to Losing Weight,The Woman in Black,0
bx_215724_half_469,SUZANNE FISHER STAPLES,Suzanne Fisher Staples,,,bx_215724,half_469,9780440238560,9780440238560,-1,240,2003,"Aug. 12th, 2003",Laurel Leaf,Laurel Leaf Library,Shabanu : Daughter of the Wind,Shabanu,1
bx_22916_half_1233,Julie Anne Peters,Julie Anne Peters,,,bx_22916,half_1233,9780316702751,9780316009850,-1,250,2003,"May. 4th, 2005",Megan Tingley,Megan Tingley Books,Keeping You a Secret,Keeping You a Secret,0
bx_25270_half_34,Sean Covey,Sean Covey,,,bx_25270,half_34,9780684856094,9780684856094,-1,288,1998,"Oct. 9th, 1998",Fireside,Fireside Books,The 7 Habits Of Highly Effective Teens,The 7 Habits of Highly Effective Teens,1
bx_6356_half_1881,Neil Gaiman,Neil Gaiman,,,bx_6356,half_1881,9780380807345,9780060575915,-1,194,2003,"May. 4th, 2004",HarperTrophy,HarperTrophy,Coraline,Coraline,0
bx_1584_half_1029,Ann Rinaldi,Ann Rinaldi,,,bx_1584,half_1029,9780590447317,9780590447317,-1,323,1996,"Nov. 30th, 1994",Scholastic,Scholastic,In My Father's House,In My Father's House,1
bx_94597_half_423,Gary Blackwood,Gary L. Blackwood,,,bx_94597,half_423,9780141305950,9780141305950,-1,216,2000,"Jul. 1st, 2000",Puffin Books,Puffin Books,The Shakespeare Stealer,The Shakespeare Stealer,1
bx_126489_half_1375,Anne McCaffrey,Anne McCaffrey,,,bx_126489,half_1375,9780380979004,9780689860089,-1,208,2004,"Apr. 1st, 2003",Eos,Aladdin Paperbacks,Acorna's Triumph: The Further Adventures of the Unicorn Girl,Dragonsong,0
bx_151069_half_1385,Terry Deary,Terry Deary,,,bx_151069,half_1385,9780439083874,9780439083874,-1,192,1999,"Oct. 31st, 1999",Scholastic,Scholastic Paperbacks,Top 10 Shakespeare Stories,Top Ten Shakespeare Stories,1
bx_92557_half_1995,Sean Covey,Sean Covey,,,bx_92557,half_1995,9780684870601,9780684870601,-1,384,1999,"Nov. 16th, 1999",Fireside,Fireside Books,Daily Reflections For Highly Effective Teens,Daily Reflections for Highly Effective Teens,1
bx_59117_half_224,Gloria Whelan,Gloria Whelan,,,bx_59117,half_224,9780064408196,9780064408196,-1,192,2001,"Aug. 21st, 2001",HarperTrophy,HarperTrophy,Homeless Bird,Homeless Bird,1
bx_28559_half_1823,Diana Wynne Jones,Diana Wynne Jones,,,bx_28559,half_1823,9780064473453,9780064473453,-1,248,2001,"Aug. 7th, 2001",HarperTrophy,HarperTrophy,Castle in the Air,Castle in the Air,1
bx_260847_half_1667,Eve Bunting,Eve Bunting,,Paperback,bx_260847,half_1667,9780899193991,9780064408905,-1,160,1985,"Aug. 8th, 2000",Houghton Mifflin,HarperTrophy,Face at the Edge of the World,Blackwater,0
bx_17087_half_2320,CAROLINE B. COONEY,Caroline B. Cooney,,,bx_17087,half_2320,9780385322133,9780440219774,-1,224,1996,"Aug. 10th, 1998",Delacorte Books for Young Readers,Laurel Leaf Library,The Voice on the Radio,The Voice on the Radio,0
bx_4199_half_677,WALTER DEAN MYERS,Walter Dean Myers,,,bx_4199,half_677,9780440967842,9780307976109,-1,151,1986,"Feb. 14th, 2012",Laure Leaf,Ember,The Outside Shot,145th Street,0
bx_81326_half_1657,Jean Craighead George,Jean Craighead George,,,bx_81326,half_1657,9780141312354,9780141312354,-1,258,2001,"May. 21st, 2001",Puffin Books,Puffin Books,Frightful's Mountain,Frightful's Mountain,1
bx_46568_half_1640,D.J. MacHale,D. J. MacHale,,,bx_46568,half_1640,9780743437325,9780743437325,-1,400,2003,"Jan. 1st, 2003",Aladdin Library,Aladdin Paperbacks,The Lost City of Faar,The Lost City of Faar,1
bx_86501_half_257,Jack Canfield,Jack Canfield,,,bx_86501,half_257,9781558746374,9781558744639,-1,352,1998,"May. 14th, 1997",Health Communications,Chicken Soup for the Soul,Chicken Soup for the Teenage Soul Journal,Chicken Soup for the Teenage Soul,0
bx_66945_half_304,Roger Lancelyn Green,Roger Lancelyn Green,,Paperback,bx_66945,half_304,9780140304381,9780141321011,-1,384,1970,"Apr. 1st, 2008",Puffin Books,Puffin Books,Tales of Ancient Egypt,King Arthur and His Knights of the Round Table,0
bx_58899_half_928,Caroline B. Cooney,Caroline B. Cooney,,,bx_58899,half_928,9780590988490,9780590988490,-1,230,1997,"Jul. 1st, 1997",Scholastic,Scholastic,Wanted!,Wanted!,1
